"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.99118992107318e-92,1.06178477627675,0.808,0.653,1.56714513270776e-87,"CD3G"
9.26355077295741e-92,2.52057623359125,0.347,0.08,2.07651754126613e-87,"MTSS1"
1.40777881098959e-91,-0.660943158224492,0.974,0.993,3.15567698271426e-87,"RPL17"
3.83968801786529e-90,2.26494736630294,0.236,0.058,8.60704466084683e-86,"HAVCR2"
3.4684400241411e-89,1.33712254577766,0.565,0.301,7.77485515811469e-85,"PPP1R16B"
4.66982668710876e-89,1.31760900138512,0.533,0.352,1.0467883501823e-84,"DSTN"
6.11321478225496e-89,-3.78838489390294,0.013,0.246,1.37033822559027e-84,"RETREG1"
5.06401993173947e-88,-8.48499017605569,0,0.177,1.13515070789872e-83,"LRRN3"
5.91333795152617e-88,1.60060780503142,0.5,0.243,1.32553383521411e-83,"SYNE1"
8.99946988462423e-88,-2.63855308856146,0.061,0.377,2.01732116933737e-83,"TESPA1"
3.01840041831935e-87,-2.42894179603491,0.067,0.391,6.76604637770465e-83,"LRRC8D"
6.82985388161891e-87,1.23581855090618,0.619,0.287,1.53098004610369e-82,"METRNL"
5.62437493927649e-86,-0.471240775584933,0.998,0.999,1.26075988638822e-81,"RPS7"
6.63691459489883e-86,0.554734813050239,0.976,0.915,1.48773077559252e-81,"CRIP1"
1.05645854913376e-85,-2.66598575318555,0.031,0.242,2.36815748373824e-81,"LDLRAP1"
1.15705274073243e-85,-0.723193755957867,0.974,0.994,2.59364942362581e-81,"RPL37A"
1.71007519083751e-85,-0.708058590242402,0.924,0.984,3.83330454778136e-81,"RPL38"
2.08780818349657e-85,-4.68216873608783,0.012,0.211,4.68003082412592e-81,"SOCS3"
1.05394851959123e-84,-1.9805676854947,0.215,0.643,2.36253100151569e-80,"RGS10"
3.36778777891597e-84,-7.22973032511696,0.001,0.161,7.54923308521805e-80,"SCML1"
4.49331766909645e-84,2.33151982246142,0.282,0.065,1.00722208870466e-79,"FASLG"
1.31019764760431e-83,-6.27091116971855,0.002,0.179,2.93693904686982e-79,"SPINT2"
1.34445881710712e-82,-0.820379900939393,0.87,0.968,3.01373888442732e-78,"RPL13A"
4.35802689420275e-82,-1.71580691341748,0.189,0.572,9.76895308604489e-78,"PIK3IP1"
4.54966940043987e-82,1.26319921204532,0.672,0.458,1.0198538928026e-77,"LY6E"
6.37252320767234e-82,2.68975862854958,0.195,0.037,1.42846480223183e-77,"HLA-DRB5"
5.74978108536163e-81,1.21760285663061,0.553,0.334,1.28887092809466e-76,"PTPRJ"
6.45807947358289e-81,1.14614103860886,0.679,0.505,1.44764309479834e-76,"AKNA"
7.86875401361352e-81,1.50308030170324,0.491,0.225,1.76385989969161e-76,"SLFN12L"
7.92506744286363e-81,-4.98459239166878,0.005,0.169,1.77648311799231e-76,"LSR"
1.56357472420354e-80,-3.44893601212582,0.024,0.278,3.50490910177465e-76,"SNX9"
3.7955867767986e-80,2.78011378916479,0.331,0.052,8.50818731887175e-76,"CX3CR1"
6.09858673493228e-80,-0.472222774787624,0.996,1,1.36705920250242e-75,"RPL7A"
8.7305409734028e-80,-4.6934827702506,0.008,0.196,1.95703806459797e-75,"CD28"
9.62385718589092e-79,-0.294513221496034,0.998,1,2.15728382678931e-74,"FAU"
2.30558923994404e-78,1.97503015442395,0.359,0.115,5.16820884025856e-74,"APOBEC3C"
3.09132011513975e-78,1.0484891899423,0.875,0.695,6.92950317009725e-74,"IL32"
5.75969739977404e-78,-1.43683522126849,0.291,0.702,1.29109376913335e-73,"CAMK4"
7.73899362425864e-78,-2.06030277595392,0.186,0.604,1.73477281081382e-73,"MAML2"
1.28255008819438e-76,-3.37824789000337,0.03,0.236,2.87496427769653e-72,"AQP3"
1.45698025204129e-76,2.60032016025237,0.292,0.052,3.26596693297575e-72,"ADGRG1"
1.8036296235852e-76,0.64084560015693,0.987,0.968,4.04301616422858e-72,"PFN1"
1.87736311047341e-76,1.18973822310921,0.576,0.385,4.2082971484372e-72,"IFI16"
3.06700100692107e-76,1.39845789547842,0.409,0.227,6.87498945711428e-72,"IRF1-AS1"
8.09658422290528e-76,-0.484844275916536,0.994,0.996,1.81493031940645e-71,"NACA"
1.16460653084624e-75,1.77012527467588,0.337,0.124,2.61058199954492e-71,"FAM53B"
1.61561035568356e-75,-2.56511061289033,0.059,0.31,3.62155217330027e-71,"GPR183"
2.22672729413629e-75,1.7049376976069,0.4,0.131,4.99143190253591e-71,"CYTOR"
4.49010236771036e-75,1.87613148900154,0.407,0.142,1.00650134674595e-70,"ADAM8"
9.01495471378194e-74,1.80714262487817,0.449,0.157,2.02079224864136e-69,"CLIC3"
1.04131602785029e-73,-5.73334149403708,0.006,0.179,2.3342140080292e-69,"PCSK1N"
1.80298736242932e-73,-0.542778567381766,0.937,0.989,4.04157647162157e-69,"MT-ND3"
2.29011250039522e-73,1.09678880370451,0.649,0.451,5.13351618088592e-69,"CFLAR"
2.78196091702357e-73,1.04346371312251,0.611,0.423,6.23604359160003e-69,"STAT4"
3.9438742323436e-73,2.32869019202143,0.271,0.058,8.84058847922142e-69,"PPP2R2B"
5.39315921238815e-73,-1.43406611078821,0.376,0.727,1.20893056904893e-68,"FOXP1"
2.2892493849612e-72,-0.88979166045752,0.51,0.81,5.13158142132902e-68,"LEPROTL1"
4.24698911510511e-72,0.992532225304591,0.766,0.605,9.52005080041961e-68,"PSMB9"
7.63629822634356e-72,0.546504630585114,0.97,0.981,1.71175261041717e-67,"PTPRC"
8.13897797823885e-72,-1.15115055588222,0.333,0.661,1.82443330360202e-67,"RIPOR2"
3.59141614227218e-71,-5.42589531526884,0.003,0.145,8.05051842451732e-67,"BEX3"
3.65615227588593e-71,-4.34987424515136,0.009,0.231,8.19563094162591e-67,"ARMH1"
3.85658406524547e-71,1.73002081532617,0.271,0.103,8.64491884065425e-67,"MIR4435-2HG"
4.48441539990579e-70,1.05718317511521,0.569,0.388,1.00522655604288e-65,"MXD4"
1.33375986260078e-69,1.95217109081739,0.377,0.115,2.9897561080059e-65,"PRR5L"
3.04171228466163e-69,1.66951086805794,0.378,0.14,6.81830225729752e-65,"DOK2"
4.90034910647701e-69,-6.53055986320184,0.001,0.142,1.09846225570789e-64,"UBE2E2"
1.03417160419492e-68,1.48438604374972,0.436,0.201,2.31819906796333e-64,"TNFRSF1B"
1.53077775619188e-68,1.81448278339435,0.367,0.129,3.43139141827972e-64,"TRGC2"
