"Module","CD8_Annotation","Comparison","p_value","p_adj","star"
"Stress_IFN","TEM CD8","Suppressed vs Unsuppressed",0.0362665717890893,0.0534454742155,""
"Stress_IFN","TEM CD8","Pre-ART vs Unsuppressed",0.522795487611842,0.548935261992434,""
"Stress_IFN","TEM CD8","Suppressed vs Pre-ART",0.162461486347793,0.200687718429627,""
"Stress_IFN","TEMRA CD8","Suppressed vs Unsuppressed",5.03542205297695e-11,2.68258322748691e-10,"***"
"Stress_IFN","TEMRA CD8","Pre-ART vs Unsuppressed",0.00720972178237061,0.0151404157429783,"*"
"Stress_IFN","TEMRA CD8","Suppressed vs Pre-ART",2.77439685635925e-06,7.28279174794303e-06,"***"
"Stress_IFN","CD16+ Effector CD8","Suppressed vs Unsuppressed",0.00197554698474999,0.00425502427484613,"**"
"Stress_IFN","CD16+ Effector CD8","Pre-ART vs Unsuppressed",0.0197689674585116,0.0345956930523953,"*"
"Stress_IFN","CD16+ Effector CD8","Suppressed vs Pre-ART",0.575439005640609,0.629571786753178,""
"Stress_IFN","KIR+ innate-like CD8","Suppressed vs Unsuppressed",0.00033367394615285,0.000849351862934527,"***"
"TypeI_IFN_Memory","TEM CD8","Suppressed vs Unsuppressed",0.00914961094557481,0.0160118191547559,"*"
"TypeI_IFN_Memory","TEM CD8","Pre-ART vs Unsuppressed",0.112737677630249,0.169106516445373,""
"TypeI_IFN_Memory","TEM CD8","Suppressed vs Pre-ART",0.310860092185431,0.36267010754967,""
"TypeI_IFN_Memory","TEMRA CD8","Suppressed vs Unsuppressed",9.61765349308407e-19,1.34647148903177e-17,"***"
"TypeI_IFN_Memory","TEMRA CD8","Pre-ART vs Unsuppressed",0.664285949464706,0.664285949464706,""
"TypeI_IFN_Memory","TEMRA CD8","Suppressed vs Pre-ART",2.14464853061374e-22,1.50125397142962e-21,"***"
"TypeI_IFN_Memory","CD16+ Effector CD8","Suppressed vs Unsuppressed",3.88424854361906e-07,1.55369941744762e-06,"***"
"TypeI_IFN_Memory","CD16+ Effector CD8","Pre-ART vs Unsuppressed",0.405488524054763,0.448171526586843,""
"TypeI_IFN_Memory","CD16+ Effector CD8","Suppressed vs Pre-ART",0.00145305886911086,0.00254285302094401,"**"
"TypeI_IFN_Memory","KIR+ innate-like CD8","Suppressed vs Unsuppressed",0.327955738402776,0.40791743711986,""
"Inflammatory_Chemokines","TEM CD8","Suppressed vs Unsuppressed",0.576666445517263,0.621025402864745,""
"Inflammatory_Chemokines","TEM CD8","Pre-ART vs Unsuppressed",2.76341658015926e-08,1.16063496366689e-07,"***"
"Inflammatory_Chemokines","TEM CD8","Suppressed vs Pre-ART",7.87473092346297e-07,2.36241927703889e-06,"***"
"Inflammatory_Chemokines","TEMRA CD8","Suppressed vs Unsuppressed",2.63421395454334e-13,1.84394976818034e-12,"***"
"Inflammatory_Chemokines","TEMRA CD8","Pre-ART vs Unsuppressed",2.20491551308229e-26,2.3151612887364e-25,"***"
"Inflammatory_Chemokines","TEMRA CD8","Suppressed vs Pre-ART",1.38804794655614e-81,2.9149006877679e-80,"***"
"Inflammatory_Chemokines","CD16+ Effector CD8","Suppressed vs Unsuppressed",0.860235256589147,0.860235256589147,""
"Inflammatory_Chemokines","CD16+ Effector CD8","Pre-ART vs Unsuppressed",0.00526511015025076,0.0122852570172518,"*"
"Inflammatory_Chemokines","CD16+ Effector CD8","Suppressed vs Pre-ART",0.000282249431706351,0.000592723806583338,"***"
"Inflammatory_Chemokines","KIR+ innate-like CD8","Suppressed vs Unsuppressed",0.00491672852988947,0.00917789325579368,"**"
"Terminal_Differentiation","TEM CD8","Suppressed vs Unsuppressed",0.0144548851870528,0.02380804619044,"*"
"Terminal_Differentiation","TEM CD8","Pre-ART vs Unsuppressed",3.08717539924602e-13,2.16102277947222e-12,"***"
"Terminal_Differentiation","TEM CD8","Suppressed vs Pre-ART",6.73336974992767e-13,2.82801529496962e-12,"***"
"Terminal_Differentiation","TEMRA CD8","Suppressed vs Unsuppressed",0.000117763296672795,0.000329737230683825,"***"
"Terminal_Differentiation","TEMRA CD8","Pre-ART vs Unsuppressed",0.00143526620547672,0.00376757378937639,"**"
"Terminal_Differentiation","TEMRA CD8","Suppressed vs Pre-ART",0.647758385963131,0.647758385963131,""
"Terminal_Differentiation","CD16+ Effector CD8","Suppressed vs Unsuppressed",0.689994082107999,0.715549418482369,""
"Terminal_Differentiation","CD16+ Effector CD8","Pre-ART vs Unsuppressed",0.134563250604441,0.188388550846218,""
"Terminal_Differentiation","CD16+ Effector CD8","Suppressed vs Pre-ART",0.0673644554918117,0.0943102376885363,""
"Terminal_Differentiation","KIR+ innate-like CD8","Suppressed vs Unsuppressed",0.537885140724977,0.602431357611974,""
