"CD8_Annotation","Timepoint_Group","cloneSize","n"
"Naïve CD8 (post-ART)","PostART_Suppressed","Medium (5 < X <= 20)",2
"Naïve CD8 (post-ART)","PostART_Suppressed","Small (1 < X <= 5)",3
"Naïve CD8 (post-ART)","PostART_Suppressed","Single (0 < X <= 1)",617
"Naïve CD8 (post-ART)","PostART_Unsuppressed","Single (0 < X <= 1)",274
"Terminal TEMRA CD8","PreART_Entry","Hyperexpanded (100 < X <= 500)",132
"Terminal TEMRA CD8","PreART_Entry","Large (20 < X <= 100)",309
"Terminal TEMRA CD8","PreART_Entry","Medium (5 < X <= 20)",236
"Terminal TEMRA CD8","PreART_Entry","Small (1 < X <= 5)",138
"Terminal TEMRA CD8","PreART_Entry","Single (0 < X <= 1)",111
"Terminal TEMRA CD8","PostART_Suppressed","Hyperexpanded (100 < X <= 500)",6
"Terminal TEMRA CD8","PostART_Suppressed","Large (20 < X <= 100)",275
"Terminal TEMRA CD8","PostART_Suppressed","Medium (5 < X <= 20)",381
"Terminal TEMRA CD8","PostART_Suppressed","Small (1 < X <= 5)",259
"Terminal TEMRA CD8","PostART_Suppressed","Single (0 < X <= 1)",149
"Terminal TEMRA CD8","PostART_Unsuppressed","Large (20 < X <= 100)",58
"Terminal TEMRA CD8","PostART_Unsuppressed","Medium (5 < X <= 20)",234
"Terminal TEMRA CD8","PostART_Unsuppressed","Small (1 < X <= 5)",137
"Terminal TEMRA CD8","PostART_Unsuppressed","Single (0 < X <= 1)",75
"Transitional Tem CD8","PreART_Entry","Hyperexpanded (100 < X <= 500)",19
"Transitional Tem CD8","PreART_Entry","Large (20 < X <= 100)",14
"Transitional Tem CD8","PreART_Entry","Medium (5 < X <= 20)",29
"Transitional Tem CD8","PreART_Entry","Small (1 < X <= 5)",40
"Transitional Tem CD8","PreART_Entry","Single (0 < X <= 1)",171
"Transitional Tem CD8","PostART_Suppressed","Large (20 < X <= 100)",40
"Transitional Tem CD8","PostART_Suppressed","Medium (5 < X <= 20)",48
"Transitional Tem CD8","PostART_Suppressed","Small (1 < X <= 5)",63
"Transitional Tem CD8","PostART_Suppressed","Single (0 < X <= 1)",440
"Transitional Tem CD8","PostART_Unsuppressed","Large (20 < X <= 100)",7
"Transitional Tem CD8","PostART_Unsuppressed","Medium (5 < X <= 20)",24
"Transitional Tem CD8","PostART_Unsuppressed","Small (1 < X <= 5)",29
"Transitional Tem CD8","PostART_Unsuppressed","Single (0 < X <= 1)",120
"Vγ9Vδ2 γδ T cell","PreART_Entry","Small (1 < X <= 5)",2
"Vγ9Vδ2 γδ T cell","PreART_Entry","Single (0 < X <= 1)",7
"Vγ9Vδ2 γδ T cell","PostART_Suppressed","Large (20 < X <= 100)",1
"Vγ9Vδ2 γδ T cell","PostART_Suppressed","Medium (5 < X <= 20)",2
"Vγ9Vδ2 γδ T cell","PostART_Suppressed","Small (1 < X <= 5)",2
"Vγ9Vδ2 γδ T cell","PostART_Unsuppressed","Medium (5 < X <= 20)",1
"Vγ9Vδ2 γδ T cell","PostART_Unsuppressed","Small (1 < X <= 5)",1
"Vγ9Vδ2 γδ T cell","PostART_Unsuppressed","Single (0 < X <= 1)",3
