"CD8_Annotation","PID","n","pct"
"Effector CD8","CP018",284,5.99788806758184
"Effector CD8","CP020",1255,26.5047518479409
"Effector CD8","CP022",158,3.33685322069694
"Effector CD8","CP042",28,0.591341077085533
"Terminal TEMRA CD8","CP002",337,11.0891740704179
"Terminal TEMRA CD8","CP003",761,25.0411319512998
"Terminal TEMRA CD8","CP006",463,15.2352747614347
"Terminal TEMRA CD8","CP011",218,7.17341230667983
"Terminal TEMRA CD8","CP013",550,18.0980585718987
"Terminal TEMRA CD8","CP016",11,0.361961171437973
"Terminal TEMRA CD8","CP017",3,0.0987166831194472
"Terminal TEMRA CD8","CP018",169,5.56103981572886
"Terminal TEMRA CD8","CP020",323,10.6284962158605
"Terminal TEMRA CD8","CP022",199,6.54820664692333
"Terminal TEMRA CD8","CP042",5,0.164527805199079
"KIR+ innate-like CD8","CP002",2,0.266666666666667
"KIR+ innate-like CD8","CP003",83,11.0666666666667
"KIR+ innate-like CD8","CP006",345,46
"KIR+ innate-like CD8","CP011",5,0.666666666666667
"KIR+ innate-like CD8","CP013",95,12.6666666666667
"KIR+ innate-like CD8","CP016",7,0.933333333333333
"KIR+ innate-like CD8","CP017",3,0.4
"KIR+ innate-like CD8","CP018",108,14.4
"KIR+ innate-like CD8","CP020",89,11.8666666666667
"KIR+ innate-like CD8","CP022",13,1.73333333333333
"MAIT-like Trm","CP002",5,3.52112676056338
"MAIT-like Trm","CP003",23,16.1971830985916
"MAIT-like Trm","CP006",17,11.9718309859155
"MAIT-like Trm","CP011",1,0.704225352112676
"MAIT-like Trm","CP013",29,20.4225352112676
"MAIT-like Trm","CP016",5,3.52112676056338
"MAIT-like Trm","CP018",11,7.74647887323944
"MAIT-like Trm","CP020",50,35.2112676056338
"MAIT-like Trm","CP042",1,0.704225352112676
"TRDV1+ γδ T cell","CP002",30,1.04022191400832
"TRDV1+ γδ T cell","CP003",1021,35.4022191400832
"TRDV1+ γδ T cell","CP006",316,10.9570041608877
"TRDV1+ γδ T cell","CP011",36,1.24826629680999
"TRDV1+ γδ T cell","CP013",171,5.92926490984743
"TRDV1+ γδ T cell","CP016",20,0.693481276005548
"TRDV1+ γδ T cell","CP017",18,0.624133148404993
"TRDV1+ γδ T cell","CP018",365,12.6560332871012
"TRDV1+ γδ T cell","CP020",866,30.0277392510402
"TRDV1+ γδ T cell","CP022",32,1.10957004160888
"TRDV1+ γδ T cell","CP042",9,0.312066574202497
"Naïve-like TRDV1+ γδ","CP002",31,6.66666666666667
"Naïve-like TRDV1+ γδ","CP003",84,18.0645161290323
"Naïve-like TRDV1+ γδ","CP006",77,16.5591397849462
"Naïve-like TRDV1+ γδ","CP011",6,1.29032258064516
"Naïve-like TRDV1+ γδ","CP013",135,29.0322580645161
"Naïve-like TRDV1+ γδ","CP016",10,2.1505376344086
"Naïve-like TRDV1+ γδ","CP017",1,0.21505376344086
"Naïve-like TRDV1+ γδ","CP018",53,11.3978494623656
"Naïve-like TRDV1+ γδ","CP020",52,11.1827956989247
"Naïve-like TRDV1+ γδ","CP022",11,2.36559139784946
"Naïve-like TRDV1+ γδ","CP042",5,1.0752688172043
"Vγ9Vδ2 γδ T cell","CP002",10,3.67647058823529
"Vγ9Vδ2 γδ T cell","CP003",73,26.8382352941176
"Vγ9Vδ2 γδ T cell","CP006",30,11.0294117647059
"Vγ9Vδ2 γδ T cell","CP011",6,2.20588235294118
"Vγ9Vδ2 γδ T cell","CP013",18,6.61764705882353
"Vγ9Vδ2 γδ T cell","CP016",21,7.72058823529412
"Vγ9Vδ2 γδ T cell","CP017",7,2.57352941176471
"Vγ9Vδ2 γδ T cell","CP018",35,12.8676470588235
"Vγ9Vδ2 γδ T cell","CP020",55,20.2205882352941
"Vγ9Vδ2 γδ T cell","CP022",4,1.47058823529412
"Vγ9Vδ2 γδ T cell","CP042",13,4.77941176470588
