"PID","CD8_Annotation","n","pct"
"CP020","Naïve CD8 (post-ART)",300,7.78008298755187
"CP020","Transitional Tem CD8",288,7.46887966804979
"CP020","Effector CD8",1255,32.5466804979253
"CP020","Terminal TEMRA CD8",323,8.37655601659751
"CP020","KIR+ innate-like CD8",89,2.30809128630705
"CP020","MAIT-like Trm",50,1.29668049792531
"CP020","TRDV1+ γδ T cell",866,22.4585062240664
"CP020","Naïve-like TRDV1+ γδ",52,1.34854771784232
"CP020","Vγ9Vδ2 γδ T cell",55,1.42634854771784
"CP022","Naïve CD8",670,50.3380916604057
"CP022","Naïve CD8 (innate-like)",225,16.9045830202855
"CP022","Naïve CD8 (post-ART)",7,0.525920360631104
"CP022","Transitional Tem CD8",12,0.901577761081893
"CP022","Effector CD8",158,11.8707738542449
"CP022","Terminal TEMRA CD8",199,14.9511645379414
"CP022","KIR+ innate-like CD8",13,0.976709241172051
"CP022","TRDV1+ γδ T cell",32,2.40420736288505
"CP022","Naïve-like TRDV1+ γδ",11,0.826446280991736
"CP022","Vγ9Vδ2 γδ T cell",4,0.300525920360631
"CP042","Naïve CD8",262,71.978021978022
"CP042","Naïve CD8 (innate-like)",33,9.06593406593407
"CP042","Naïve CD8 (post-ART)",5,1.37362637362637
"CP042","Transitional Tem CD8",3,0.824175824175824
"CP042","Effector CD8",28,7.69230769230769
"CP042","Terminal TEMRA CD8",5,1.37362637362637
"CP042","MAIT-like Trm",1,0.274725274725275
"CP042","TRDV1+ γδ T cell",9,2.47252747252747
"CP042","Naïve-like TRDV1+ γδ",5,1.37362637362637
"CP042","Vγ9Vδ2 γδ T cell",13,3.57142857142857
