"Annotation","Timepoint_Group","PS_Exhaustion_Protein","PS_Activation_Protein","PS_Stemness_Protein","PS_Tissue_Residency_Protein","PS_Senescence_Protein","PS_Terminal_Diff_Protein","n_cells"
"Naive 1 CD8","PostART_Unsuppressed",0.0109973469807478,0.13300362423887,5.26770222538105,0.247081369753731,0.04214205242511,0,889
"Naive 1 CD8","PreART_Entry",0.00679221106025585,0.256957400739544,5.35038819048571,0.22038120433366,0.018963863445189,0,2957
"Naive 2 CD4","PostART_Suppressed",0.00798068416395277,0.129103899967457,4.97930108323627,0.0699373814913276,0.0144435149408627,0,2780
"Naive 2 CD4","PostART_Unsuppressed",0.0136562403362523,0.106679807985979,5.07931926472084,0.0510309124159198,0.0317550886300881,0.00036428941969283,1346
"Naive 2 CD4","PreART_Entry",0.00464598648500369,0.24428536135215,5.26326352570962,0.0368412746542351,0.0108654027886864,1.29459899192547e-05,5781
"Naive 2 CD8","PostART_Suppressed",0.00882363271893427,0.0766552874804982,3.92415785177927,0.126287783082851,0.0232213874280851,0.000281786887690593,1112
"Naive 2 CD8","PostART_Unsuppressed",0.0155744113607139,0.0660971619325559,4.13672193323199,0.0528920767751347,0.0973050781509294,0,716
"Naive 2 CD8","PreART_Entry",0.00398487230015841,0.131564191337981,4.62471629516637,0.0614425660525236,0.0141310444266394,0.000690321352536413,2765
"Naive 3 CD4","PostART_Suppressed",0.00737982527992909,0.274842192049225,5.94307515909418,0.095107811381866,0.0146815705901359,0,1358
"Naive 3 CD4","PostART_Unsuppressed",0.00891849407051444,0.16429105713351,5.91709006859744,0.0324768303791876,0.017509840612627,0,1232
"Naive 3 CD4","PreART_Entry",0.00419648151145028,0.350060649302119,5.48367228162592,0.0309965552735022,0.00970090026378506,0,3563
"Naive Intermediate CD8","PostART_Suppressed",0.00959853232784186,0.45745735254735,8.05589055040099,1.08349882669158,0.0141851638203323,0,185
"Naive Intermediate CD8","PostART_Unsuppressed",0.0308885547584694,0.252914737582047,4.16916490262422,0.237548446114139,0.0658493092461568,0,19
"Naive Intermediate CD8","PreART_Entry",0.00909033726107783,0.586200069295314,5.77193821357597,0.33965475422445,0.0395941074458817,0,1823
"Non-classical Monocyte","PostART_Suppressed",0.0886794277741868,0.292360946791908,0.0673614811483119,0.0725660043479052,0.0321185107983966,0.000227718385728558,553
"Non-classical Monocyte","PostART_Unsuppressed",0.244233158972668,0.616275021831374,0.162287461420975,0.115797681058731,0.048331590486323,0,593
"Non-classical Monocyte","PreART_Entry",0.264364589901146,0.656210610212193,0.159081561145373,0.134328568953098,0.0134494051767711,0.0235800225820586,520
"pDC","PostART_Suppressed",0.0632354123795345,0.784319896848854,4.60714451842448,0.158262619951715,0.00740379882186254,0,75
"pDC","PostART_Unsuppressed",1.03315188365551,1.63351091241436,2.13657387418348,0.360950976621058,0.13112824400272,0,65
"pDC","PreART_Entry",0.52338675555462,1.50871276758621,4.61995654901037,0.334677507816197,0.0452931749278524,0.00924108326098657,75
"Resting Naive B cell","PostART_Suppressed",0.517363246374948,1.17413051820397,1.32065952281708,0.262504342701087,0.018733543255674,0,1273
"Resting Naive B cell","PostART_Unsuppressed",0.550355994989433,1.56631285633373,1.99499014392269,0.159759413622133,0.0260451829692131,0.000457737673411258,619
"Resting Naive B cell","PreART_Entry",0.232359716249041,0.67843398870074,3.1296184677977,0.0837117692872925,0.0158491604227603,4.96213309635115e-05,1665
"TEMRA/CTL CD8","PostART_Suppressed",0.0186925613705841,0.110374335262782,1.08399281970364,0.128184213849028,2.50525721624233,1.51553434597771e-05,2871
"TEMRA/CTL CD8","PostART_Unsuppressed",0.0626551905555868,0.168027675053531,0.66938916598911,0.0836831548560458,2.54085764027706,0.000250359141739859,2430
"TEMRA/CTL CD8","PreART_Entry",0.0631787845168054,0.199467714929414,0.845896107848872,0.20927580670365,2.25264533169256,0.021626535473877,1881
"Tex CD8","PostART_Suppressed",0.103880162818315,0.562762147670128,1.49088671507423,0.732462425249547,1.06363658676591,0,170
"Tex CD8","PostART_Unsuppressed",0.205688831074441,0.949901101205755,1.24429937640558,0.360481581867661,1.00008060957786,0,407
"Tex CD8","PreART_Entry",0.276578401169161,1.07524917265154,1.60990642527525,0.965741739396197,0.727919200367271,0.00220157711847009,429
"Th2/Th17 EM CD4","PostART_Suppressed",0.0439596324502493,0.485840665239497,3.45365474293562,0.272431703507285,0.0815772923372406,0,1174
"Th2/Th17 EM CD4","PostART_Unsuppressed",0.0838905195174998,0.794101614301929,3.59861359121833,0.168024102464765,0.0640268893090788,0.00162770409028339,756
"Th2/Th17 EM CD4","PreART_Entry",0.0569496795226959,1.02973705356597,4.43501226839045,0.159391114961126,0.118120146116961,0.000344702256598213,1570
"TNF+ B cell","PostART_Suppressed",0.53492074062129,1.23010091196362,0.257670394508981,0.318821398483264,0.0444484056592639,0,72
"TNF+ B cell","PostART_Unsuppressed",0.416633956186643,1.69249065074716,0.342014528451417,0.237982721674784,0.0594849400590907,0,57
"TNF+ B cell","PreART_Entry",0.145157954828045,1.24471769254904,1.0060866132907,0.235022340476383,0.0386603602014681,0,10
"Transitional B cell","PostART_Suppressed",0.155523863251495,1.59958153813614,0.509967779447837,0.44735576343227,0.0178482227479848,0.00717691492472167,684
"Transitional B cell","PostART_Unsuppressed",0.195414930910609,2.08493898574862,0.537794288881619,0.278978173990023,0.0194398435439674,0,548
"Transitional B cell","PreART_Entry",0.0379435623368102,1.38068584884779,1.45733064063049,0.411563248931742,0.0231060709695842,0,1895
"Transitional Memory CD4","PostART_Suppressed",0.00900894898162806,0.984942699609394,7.10845650005623,0.527555603597662,0.0143060890459933,0,410
"Transitional Memory CD4","PostART_Unsuppressed",0.0460527623196908,1.01897958340044,5.53638943686484,0.152916263537745,0.0555321322353816,0,155
"Transitional Memory CD4","PreART_Entry",0.0120676399419823,1.07848801587476,6.28506338073816,0.174879521764456,0.0296203631054702,0.000184519364031131,3224
"Treg","PostART_Suppressed",0.255242272744754,0.422012695381169,4.25223551643426,0.139031980272042,0.0250263421084207,0.0015749123368498,331
"Treg","PostART_Unsuppressed",0.16472334246995,0.492187388555161,4.62695079731061,0.100081733276043,0.0335492895049841,0.000149075002079728,228
"Treg","PreART_Entry",0.190529271565706,0.648724072545252,4.10103364987971,0.090284477488773,0.026395512356267,0,949
"Tscm CD8","PostART_Suppressed",0.111041957976264,0.300068456779624,4.56704357147468,0.611289697066732,0,0,6
"Tscm CD8","PostART_Unsuppressed",0.028050403693824,0.322674903850456,4.98500418193959,0.342224457656934,0.142389482671617,0,36
"Tscm CD8","PreART_Entry",0.00579830447526829,0.719462820961542,4.22629936195788,0.315385916836176,0.0876372024500569,0.00581803391258224,312
"Vd1 gd T cell","PostART_Suppressed",0.0212073904059208,0.11800459207632,2.45911053339017,0.531027365623827,0.401649028791098,0.000257359178219033,992
"Vd1 gd T cell","PostART_Unsuppressed",0.0402320977939499,0.239992226301802,3.59132811673283,0.217466408147316,0.32021023706347,0.000638682715659944,522
"Vd1 gd T cell","PreART_Entry",0.0321128745582399,0.193873668507292,3.10974440283471,0.146117438854398,0.111370292100044,0,752
"Vg9Vd2 gd T cell","PostART_Suppressed",0.00993836720570528,0.23939109218538,1.00116491979473,0.606039133355003,2.77020365778868,0,718
"Vg9Vd2 gd T cell","PostART_Unsuppressed",0.0375314338827405,0.19229299788423,1.34486566063692,0.215426338059919,3.00141010327193,0,393
"Vg9Vd2 gd T cell","PreART_Entry",0.00880076770564377,0.291633779729813,1.71863999695726,0.336141708571141,1.58694403877782,0.00494559651124502,671
