"Comparison","Module","Cluster","n_g1","n_g2","mean_g1","mean_g2","cohens_d","p_value","p_adj","sig"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Naive 1 CD4",1897,9575,0.1317,0.1852,-0.139,1.36960376520258e-16,6.07698263226923e-16,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Naive 2 CD4",2780,5781,0.102,0.1337,-0.08,9.51017900758477e-08,2.66507472540036e-07,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","CD8+ MAIT cell",217,505,0.0924,0.0722,0.047,0.531449530994024,0.59809914338266,"ns"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Transitional Memory CD4",410,3224,0.1686,0.2078,-0.104,4.13082736827966e-05,9.42615464228388e-05,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Treg",331,949,0.0736,0.238,-0.385,8.12287263748659e-13,2.99882940514913e-12,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Tscm CD8",6,312,0.0891,-0.1233,0.705,0.129164884138829,0.172893330947841,"ns"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","pDC",75,75,-0.1187,-0.115,-0.011,0.635785379732778,0.692141693507043,"ns"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Activated B cell",937,599,-0.106,-0.2122,0.355,1.31215322963997e-30,1.06213484399236e-29,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Naive 2 CD8",1112,2765,0.0115,-0.0594,0.202,4.35496440064556e-09,1.32923499413335e-08,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","TEMRA/CTL CD8",2871,1881,-0.1563,-0.2513,0.379,2.05745656900804e-19,1.04442074986086e-18,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Follicular B cell",1911,3015,-0.1147,-0.0233,-0.284,8.60829005288201e-16,3.63764778954238e-15,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","ISG+ CD4 T cell",1234,411,0.2629,0.1182,0.271,2.72311342865761e-06,6.81774271166524e-06,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Transitional B cell",684,1895,-0.124,0.027,-0.405,2.33259861493781e-16,1.03116352055184e-15,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","CD56bright NK",179,605,-0.1063,-0.1589,0.165,0.0150483691596028,0.024511143784098,"*"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Vd1 gd T cell",992,752,-0.0352,-0.0649,0.082,0.00613750738453023,0.0106023559432837,"*"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Tex CD8",170,429,-0.1828,-0.2434,0.253,2.45578851419927e-06,6.18074504203935e-06,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Non-classical Monocyte",553,520,-0.1767,-0.157,-0.065,0.738963380655885,0.784473309725964,"ns"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Resting Naive B cell",1273,1665,-0.1133,0.0035,-0.354,7.03259624929188e-16,2.9929130751871e-15,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","CD56dim CD122int NK",411,1375,-0.1749,-0.2696,0.437,0.0023692158146634,0.00433993967273205,"**"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Cytotoxic gd T cell",839,358,-0.1671,-0.2226,0.209,0.000645519119655001,0.00127929182025921,"**"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","CD56dim CD122lo NK",791,1455,-0.1425,-0.2348,0.358,6.28241763661079e-10,2.01238939268977e-09,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","CD4dim Naive T cell",317,746,0.0803,0.135,-0.138,0.0208905635248755,0.033214193898873,"*"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Vg9Vd2 gd T cell",718,671,-0.1182,-0.137,0.061,0.000742077034848455,0.00146218468379679,"**"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Intermediate Monocyte",108,26,-0.2096,-0.0132,-0.796,0.00158211464631991,0.0029848399154193,"**"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","TNF+ B cell",72,10,-0.0406,-0.077,0.113,0.634992321625913,0.692125384374498,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","Naive 1 CD8",1410,2957,-0.0801,-0.0638,-0.198,0.896463151673659,0.920746913360781,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","Naive Intermediate CD8",185,1823,-0.0726,-0.069,-0.046,0.1616240611401,0.211266366880349,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","Naive 3 CD4",1358,3563,-0.0594,-0.064,0.054,3.80180737143017e-05,8.69191837972012e-05,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Th2/Th17 EM CD4",1174,1570,0.0348,-0.0028,0.208,1.22017447464962e-10,4.04362108058158e-10,"***"
"Suppressed_vs_PreART","MS_Exhaustion","CD56dim CD122hi NK",1276,4122,0.136,0.1588,-0.102,0.00316773542612014,0.00572822194791234,"**"
"Suppressed_vs_PreART","MS_Exhaustion","Classical Monocyte",450,1180,-0.0027,-0.0931,0.765,4.15551551269551e-39,4.29164446914588e-38,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Naive 1 CD4",1897,9575,-0.0463,-0.0655,0.219,1.5529080634856e-17,7.25295851873584e-17,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Naive 2 CD4",2780,5781,-0.0539,-0.0584,0.047,0.00465522547120091,0.00818936874375726,"**"
"Suppressed_vs_PreART","MS_Exhaustion","CD8+ MAIT cell",217,505,-0.0421,-0.0576,0.109,1.6258932324181e-08,4.79168534424818e-08,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Transitional Memory CD4",410,3224,-0.0419,-0.059,0.185,8.95905392768705e-05,0.000198207693543289,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Treg",331,949,0.1462,0.1795,-0.135,0.0219184390828667,0.0347102313566085,"*"
"Suppressed_vs_PreART","MS_Exhaustion","Tscm CD8",6,312,-0.0466,-0.0748,0.335,0.901889327503519,0.924043273011378,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","pDC",75,75,-0.1375,-0.0996,-0.431,0.0117906868188142,0.0196456784547141,"*"
"Suppressed_vs_PreART","MS_Exhaustion","Activated B cell",937,599,-0.1119,-0.118,0.088,7.75758628830396e-17,3.50701448052383e-16,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Naive 2 CD8",1112,2765,-0.0658,-0.0616,-0.045,0.260833875493617,0.321977313592327,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","TEMRA/CTL CD8",2871,1881,0.1176,0.1994,-0.361,2.37100716904208e-34,2.16829510573466e-33,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Follicular B cell",1911,3015,-0.1041,-0.1183,0.246,2.10166713632562e-34,1.92934653587593e-33,"***"
"Suppressed_vs_PreART","MS_Exhaustion","ISG+ CD4 T cell",1234,411,-0.0664,-0.0602,-0.064,0.00277798125918477,0.00504627983093762,"**"
"Suppressed_vs_PreART","MS_Exhaustion","Transitional B cell",684,1895,-0.1155,-0.1243,0.169,2.94848876408805e-06,7.35127895812172e-06,"***"
"Suppressed_vs_PreART","MS_Exhaustion","CD56bright NK",179,605,0.0133,0.095,-0.393,2.56426371034208e-05,5.94770169407516e-05,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Vd1 gd T cell",992,752,-0.0112,0.0226,-0.222,0.00411396990445717,0.00730153473413288,"**"
"Suppressed_vs_PreART","MS_Exhaustion","Tex CD8",170,429,0.1474,0.3185,-0.618,2.76090662838435e-11,9.54564542800707e-11,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Non-classical Monocyte",553,520,-0.0309,-0.0687,0.353,4.1895919878234e-11,1.43608904189197e-10,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Resting Naive B cell",1273,1665,-0.1023,-0.1149,0.22,1.25319041894584e-15,5.23108753274255e-15,"***"
"Suppressed_vs_PreART","MS_Exhaustion","CD56dim CD122int NK",411,1375,0.1601,0.1781,-0.079,0.132756179394225,0.177304239592287,"ns"
