"Annotation","Condition","PS_Exhaustion_Protein","PS_Activation_Protein","PS_Stemness_Protein","PS_Tissue_Residency_Protein","PS_Senescence_Protein","PS_Terminal_Diff_Protein","n_cells"
"TNF+ B cell","HEI",0.458374160975913,1.4207655372623,0.346100450786218,0.279643016050515,0.0501980603802148,0,139
"Transitional B cell","HEI",0.0912595955328723,1.55198593535079,1.08895772160033,0.39615725559957,0.0213134707736098,0.0015698784165365,3127
"Transitional B cell","HEU",0.149318733585545,2.58564641756405,0.963202115796172,0.823699764722738,0.0984633256259592,0,231
"Transitional B cell","HUU",0.0387731292328128,0.775481851042855,1.91179191353711,0.204922411155079,0.00751436232483465,0,234
"Transitional Memory CD4","HEI",0.0131269248917843,1.06593130257249,6.34353440676615,0.212143414223278,0.0290232324247499,0.000157004600062383,3789
"Transitional Memory CD4","HEU",0.0397206140194665,1.80832145963152,5.73485995963586,0.287056125127067,0.0528668668814813,0.000268620687072215,1111
"Transitional Memory CD4","HUU",0.00499240463634841,0.800979114085678,6.49381351585806,0.157265024562856,0.0125659794351092,0,444
"Treg","HEI",0.200831825648221,0.575294477193095,4.21373718266738,0.102465643099356,0.0271765904980909,0.000368226183004948,1508
"Treg","HEU",0.910144540060164,1.3650260077221,2.96541379806657,0.10800390555019,0.153171783913775,0,307
"Treg","HUU",0.0687834345419117,0.250994831999203,4.50188174493192,0.0558264587637333,0.016416745633049,0.00347279348313238,201
"Tscm CD8","HEI",0.00984502055683321,0.672003128303094,4.30923110991393,0.323130578279482,0.0917198546344519,0.00512775870261486,354
"Tscm CD8","HEU",0.0292620376935704,0.889490844092652,4.58415862057276,0.569662343697185,0.0627164536796348,0,187
"Tscm CD8","HUU",0,0.261135762443155,5.62890569068274,0.280366572703586,0,0,6
"Vd1 gd T cell","HEI",0.0292090767868101,0.171283978899706,2.93585115489377,0.331057778362861,0.286556063533598,0.000259793769800429,2266
"Vd1 gd T cell","HEU",0.149845109735924,0.506211435617437,2.16218637024668,0.291392225103224,0.281756958902294,0.00237616713058523,435
"Vd1 gd T cell","HUU",0.0158142941235641,0.0794869596427332,3.08779292286706,0.154040464310748,0.0218000875362625,0,133
"Vg9Vd2 gd T cell","HEI",0.0155953514590911,0.24867576798895,1.34712460998948,0.418265844589044,2.37564525639622,0.00186223078509843,1782
"Vg9Vd2 gd T cell","HEU",0.0384292433960315,1.15162835553324,1.54627118999665,1.26365253187043,2.63246896236023,0.0249615274200698,119
"Vg9Vd2 gd T cell","HUU",0.00229045783460719,0.0484766121121855,1.10508036641039,0.411903564668435,0.554290816258851,0,48
