"Module","Cluster","spearman_rho","p_value","n","p_adj"
"MS_Stress_IFN_Acute","TEMRA/CTL CD8",0.066,2.1075070932161e-08,7182,4.95665891131764e-08
"MS_Stress_IFN_Acute","Follicular B cell",-0.035,0.00438320309691894,6546,0.00678634919638801
"MS_Stress_IFN_Acute","Naive 1 CD8",-0.088,1.99382001739111e-10,5256,5.24276607851694e-10
"MS_Stress_IFN_Acute","Th2/Th17 EM CD4",-0.006,0.743068170352237,3500,0.777990434233021
"MS_Stress_IFN_Acute","Transitional Memory CD4",-0.071,1.17460173847363e-05,3789,2.29763559574599e-05
"MS_Stress_IFN_Acute","Transitional B cell",-0.137,1.4222711889121e-14,3127,4.75275622294794e-14
"MS_Stress_IFN_Acute","Naive 2 CD4",-0.035,0.000411701046186503,9907,0.000711603963451671
"MS_Stress_IFN_Acute","CD56dim CD122hi NK",-0.108,8.49664679589193e-19,6705,3.42427674889715e-18
"MS_Stress_IFN_Acute","Activated B cell",-0.016,0.530745592535517,1630,0.582295438048543
"MS_Stress_IFN_Acute","Naive Intermediate CD8",-0.074,0.000908521684851609,2027,0.00153396713947577
"MS_Stress_IFN_Acute","Resting Naive B cell",-0.063,0.00017581286768526,3557,0.000312642837879332
"MS_Stress_IFN_Acute","Vd1 gd T cell",0.014,0.50413893711168,2266,0.561554760504955
"MS_Stress_IFN_Acute","Non-classical Monocyte",0.186,1.7764967631328e-14,1666,5.9118274026245e-14
"MS_Stress_IFN_Acute","CD56bright NK",-0.027,0.415925001129544,895,0.473151561568645
"MS_Stress_IFN_Acute","Naive 3 CD4",-0.033,0.00922505281358068,6153,0.0137009117712809
"MS_Stress_IFN_Acute","Vg9Vd2 gd T cell",0.12,4.06272633294622e-07,1782,8.73540621721949e-07
"MS_Stress_IFN_Acute","Treg",-0.032,0.216857546532804,1508,0.260358910657648
"MS_Stress_IFN_Acute","CD4dim Naive T cell",-0.164,3.52481146251249e-08,1116,8.12327239349143e-08
"MS_Stress_IFN_Acute","CD56dim CD122int NK",-0.064,0.00249476073839338,2203,0.00396983752418947
"MS_Stress_IFN_Acute","Tscm CD8",-0.22,3.09185868745126e-05,354,5.80719125839792e-05
"MS_Stress_IFN_Acute","Classical Monocyte",0.137,2.4091259893542e-10,2122,6.2935473728406e-10
"MS_Stress_IFN_Acute","CD8+ MAIT cell",0.053,0.128510390717811,824,0.163595767231245
"MS_Stress_IFN_Acute","CD56dim CD122lo NK",-0.13,1.66296798550086e-11,2664,4.63090390406837e-11
"MS_Stress_IFN_Acute","Tex CD8",0.044,0.165998148978494,1006,0.205765866276278
"MS_Stress_IFN_Acute","Cytotoxic gd T cell",0.012,0.528560256108901,2845,0.580692226574437
"MS_Stress_IFN_Acute","ISG+ CD4 T cell",0.306,1.27669062211788e-51,2331,1.29608339106144e-50
"MS_Stress_IFN_Acute","pDC",-0.015,0.822113227122801,215,0.847474046468492
"MS_Stress_IFN_Acute","Intermediate Monocyte",0.039,0.29407334602048,722,0.344203005790612
"MS_Stress_IFN_Acute","TNF+ B cell",-0.453,2.1855694035321e-08,139,5.12522415682089e-08
"MS_IFN_Signalling","Naive 1 CD4",-0.195,2.67621164300209e-110,12914,7.40110944030234e-109
"MS_IFN_Signalling","Naive 2 CD8",-0.229,1.39807055298285e-55,4593,1.51520619390844e-54
"MS_IFN_Signalling","TEMRA/CTL CD8",-0.051,1.46145740479948e-05,7182,2.81752124675285e-05
"MS_IFN_Signalling","Follicular B cell",0.048,0.000101365414865447,6546,0.000185182375221158
"MS_IFN_Signalling","Naive 1 CD8",-0.243,1.63441272852748e-71,5256,2.22169323437126e-70
"MS_IFN_Signalling","Th2/Th17 EM CD4",-0.049,0.00350733346210562,3500,0.00550466034561391
"MS_IFN_Signalling","Transitional Memory CD4",-0.394,1.33443738433387e-140,3789,5.94565990130981e-139
"MS_IFN_Signalling","Transitional B cell",-0.158,6.57378058568921e-19,3127,2.66271314632462e-18
"MS_IFN_Signalling","Naive 2 CD4",-0.117,1.92608463197814e-31,9907,1.17024232942915e-30
"MS_IFN_Signalling","CD56dim CD122hi NK",-0.191,2.74659199655868e-56,6705,3.05939830727787e-55
"MS_IFN_Signalling","Activated B cell",-0.321,1.84550742639494e-40,1630,1.38326818314836e-39
"MS_IFN_Signalling","Naive Intermediate CD8",-0.459,2.94799462315903e-106,2027,7.38841152429231e-105
"MS_IFN_Signalling","Resting Naive B cell",0.033,0.0492947199257143,3557,0.0673498558439913
"MS_IFN_Signalling","Vd1 gd T cell",0.021,0.324552535211299,2266,0.375600480865024
"MS_IFN_Signalling","Non-classical Monocyte",0.042,0.0903605639994916,1666,0.118996998895882
"MS_IFN_Signalling","CD56bright NK",-0.094,0.00486052920102082,895,0.00745343101189044
"MS_IFN_Signalling","Naive 3 CD4",-0.115,1.26575312300565e-19,6153,5.23264950850788e-19
"MS_IFN_Signalling","Vg9Vd2 gd T cell",0.087,0.000221441101301212,1782,0.000392910980627372
"MS_IFN_Signalling","Treg",-0.216,2.04990472107001e-17,1508,7.71842059294905e-17
"MS_IFN_Signalling","CD4dim Naive T cell",-0.204,5.97200709963982e-12,1116,1.7416544341495e-11
"MS_IFN_Signalling","CD56dim CD122int NK",-0.171,5.67337512573048e-16,2203,2.01329506674153e-15
"MS_IFN_Signalling","Tscm CD8",-0.304,5.36682133487755e-09,354,1.31626627234611e-08
"MS_IFN_Signalling","Classical Monocyte",0.105,1.39312911631575e-06,2122,2.87220964340676e-06
"MS_IFN_Signalling","CD8+ MAIT cell",-0.131,0.000161348362024483,824,0.000288199078716337
"MS_IFN_Signalling","CD56dim CD122lo NK",-0.135,2.85898695586797e-12,2664,8.49225014298561e-12
"MS_IFN_Signalling","Tex CD8",-0.01,0.762587233996686,1006,0.796347606335081
"MS_IFN_Signalling","Cytotoxic gd T cell",0.007,0.708148227361653,2845,0.747282734663218
"MS_IFN_Signalling","ISG+ CD4 T cell",-0.082,6.76505078640386e-05,2331,0.000124439695658163
"MS_IFN_Signalling","pDC",-0.287,1.94226871129269e-05,215,3.70880834870652e-05
"MS_IFN_Signalling","Intermediate Monocyte",0.002,0.966512551419802,722,0.973797821907891
"MS_IFN_Signalling","TNF+ B cell",0.11,0.196330297304218,139,0.238933078054602
"MS_IFN_Negative_Reg","Naive 1 CD4",0.129,2.52943796988604e-49,12914,2.50445586647976e-48
"MS_IFN_Negative_Reg","Naive 2 CD8",-0.102,3.99295845539443e-12,4593,1.17302296015616e-11
"MS_IFN_Negative_Reg","TEMRA/CTL CD8",-0.133,6.90367786597402e-30,7182,3.81844803345597e-29
"MS_IFN_Negative_Reg","Follicular B cell",0.01,0.440039628247517,6546,0.497058847682407
"MS_IFN_Negative_Reg","Naive 1 CD8",-0.123,3.30288369695607e-19,5256,1.34462574871003e-18
"MS_IFN_Negative_Reg","Th2/Th17 EM CD4",0.091,7.60029583624501e-08,3500,1.68848677580845e-07
"MS_IFN_Negative_Reg","Transitional Memory CD4",0.07,1.46800333734056e-05,3789,2.82335414040078e-05
"MS_IFN_Negative_Reg","Transitional B cell",-0.153,8.33629576762745e-18,3127,3.19890392614221e-17
"MS_IFN_Negative_Reg","Naive 2 CD4",0.12,6.22150759331757e-33,9907,3.92885755105566e-32
"MS_IFN_Negative_Reg","CD56dim CD122hi NK",-0.188,1.38956209026323e-54,6705,1.44731012518326e-53
"MS_IFN_Negative_Reg","Activated B cell",-0.324,4.73357796330727e-41,1630,3.61555193006898e-40
"MS_IFN_Negative_Reg","Naive Intermediate CD8",-0.256,1.30562785478591e-31,2027,8.05471953491002e-31
"MS_IFN_Negative_Reg","Resting Naive B cell",0.011,0.498030599743213,3557,0.5570718842316
"MS_IFN_Negative_Reg","Vd1 gd T cell",-0.071,0.000685360594927516,2266,0.00116453219731328
"MS_IFN_Negative_Reg","Non-classical Monocyte",0.026,0.29001204475667,1666,0.340541229714274
"MS_IFN_Negative_Reg","CD56bright NK",-0.145,1.35599786166387e-05,895,2.63958807052045e-05
"MS_IFN_Negative_Reg","Naive 3 CD4",0.096,3.62943245569868e-14,6153,1.17371162478643e-13
"MS_IFN_Negative_Reg","Vg9Vd2 gd T cell",-0.044,0.0635163400167477,1782,0.0856136213334986
"MS_IFN_Negative_Reg","Treg",0.131,3.0449187155229e-07,1508,6.57303586991135e-07
"MS_IFN_Negative_Reg","CD4dim Naive T cell",0.032,0.287363101063376,1116,0.337925523537871
"MS_IFN_Negative_Reg","CD56dim CD122int NK",-0.131,6.64813839935521e-10,2203,1.70345271446737e-09
"MS_IFN_Negative_Reg","Tscm CD8",-0.329,2.11132696470374e-10,354,5.53360858069412e-10
"MS_IFN_Negative_Reg","Classical Monocyte",0.013,0.536091428869243,2122,0.587357002668214
"MS_IFN_Negative_Reg","CD8+ MAIT cell",-0.025,0.46935516321125,824,0.527942273345613
"MS_IFN_Negative_Reg","CD56dim CD122lo NK",-0.131,1.12372365497143e-11,2664,3.18454548157982e-11
"MS_IFN_Negative_Reg","Tex CD8",-0.084,0.00788846818533208,1006,0.0118474746903302
"MS_IFN_Negative_Reg","Cytotoxic gd T cell",-0.114,1.23215910465806e-09,2845,3.11732366541251e-09
"MS_IFN_Negative_Reg","ISG+ CD4 T cell",-0.003,0.882605621544209,2331,0.900572148191419
"MS_IFN_Negative_Reg","pDC",0.026,0.704301094733451,215,0.744202210772368
"MS_IFN_Negative_Reg","Intermediate Monocyte",-0.001,0.978565890721232,722,0.981012305448035
"MS_IFN_Negative_Reg","TNF+ B cell",-0.02,0.816191536859207,139,0.843529451212359
"MS_Exhaustion","Naive 1 CD4",-0.162,1.19061186746378e-76,12914,1.9097414354119e-75
"MS_Exhaustion","Naive 2 CD8",-0.087,3.05395150935571e-09,4593,7.55947256328174e-09
"MS_Exhaustion","TEMRA/CTL CD8",0.216,1.94397147798212e-76,7182,3.05699044184639e-75
"MS_Exhaustion","Follicular B cell",-0.159,1.65422909401076e-38,6546,1.1952177778348e-37
"MS_Exhaustion","Naive 1 CD8",-0.105,1.95816980143078e-14,5256,6.48947182127059e-14
"MS_Exhaustion","Th2/Th17 EM CD4",-0.068,5.76609531880657e-05,3500,0.000106308240130641
"MS_Exhaustion","Transitional Memory CD4",-0.163,6.24852015879076e-24,3789,2.93059249552643e-23
"MS_Exhaustion","Transitional B cell",-0.116,7.47120931786084e-11,3127,2.00398323509177e-10
"MS_Exhaustion","Naive 2 CD4",-0.071,1.60639109498219e-12,9907,4.89857664705596e-12
"MS_Exhaustion","CD56dim CD122hi NK",-0.082,1.76825483349974e-11,6705,4.87333462703366e-11
"MS_Exhaustion","Activated B cell",-0.215,1.5454752112301e-18,1630,6.10576906111597e-18
"MS_Exhaustion","Naive Intermediate CD8",-0.234,1.39969071463608e-26,2027,6.92933304406257e-26
"MS_Exhaustion","Resting Naive B cell",-0.166,2.44525628603517e-23,3557,1.12062602365726e-22
"MS_Exhaustion","Vd1 gd T cell",0.048,0.0226744339172684,2266,0.0324730285743736
"MS_Exhaustion","Non-classical Monocyte",-0.018,0.47338862022851,1666,0.531733436167038
"MS_Exhaustion","CD56bright NK",0.056,0.0913814909295711,895,0.120144189713961
"MS_Exhaustion","Naive 3 CD4",-0.11,6.49136658700633e-18,6153,2.50292115518225e-17
"MS_Exhaustion","Vg9Vd2 gd T cell",0.062,0.00930968523727863,1782,0.0138010490948197
"MS_Exhaustion","Treg",0.014,0.596052531682122,1508,0.646897528744443
"MS_Exhaustion","CD4dim Naive T cell",-0.02,0.49930642167432,1116,0.557721100533154
"MS_Exhaustion","CD56dim CD122int NK",-0.065,0.00228789466422679,2203,0.00366245812516943
"MS_Exhaustion","Tscm CD8",-0.149,0.00482747861960896,354,0.00741693075273254
"MS_Exhaustion","Classical Monocyte",-0.064,0.00322689782285795,2122,0.00507445500770995
"MS_Exhaustion","CD8+ MAIT cell",-0.244,1.28879692469337e-12,824,3.97544282155416e-12
"MS_Exhaustion","CD56dim CD122lo NK",0.037,0.0572020485569977,2664,0.0777560049876478
"MS_Exhaustion","Tex CD8",0.181,6.96744147122837e-09,1006,1.69844621882224e-08
"MS_Exhaustion","Cytotoxic gd T cell",0.135,3.95112138639558e-13,2845,1.24266641250559e-12
"MS_Exhaustion","ISG+ CD4 T cell",-0.104,4.9337688967729e-07,2331,1.04679435323065e-06
"MS_Exhaustion","pDC",0.14,0.039647302029764,215,0.05520336150672
"MS_Exhaustion","Intermediate Monocyte",0.106,0.00449580177087685,722,0.00693390965431391
"MS_Exhaustion","TNF+ B cell",-0.249,0.00306921381356583,139,0.00484549109936967
"MS_Stemness_Naive","Naive 1 CD4",-0.031,0.000400053865787778,12914,0.000692965875511443
"MS_Stemness_Naive","Naive 2 CD8",0.028,0.0575547577017892,4593,0.0781030722112266
"MS_Stemness_Naive","TEMRA/CTL CD8",-0.119,5.05422041521163e-24,7182,2.39851169999984e-23
"MS_Stemness_Naive","Follicular B cell",0.114,1.59971540636946e-20,6546,6.82431785057609e-20
"MS_Stemness_Naive","Naive 1 CD8",0.084,1.02350779267177e-09,5256,2.59763686621126e-09
"MS_Stemness_Naive","Th2/Th17 EM CD4",0.164,2.0029519045793e-22,3500,9.07552218911071e-22
"MS_Stemness_Naive","Transitional Memory CD4",0.123,3.05513674790653e-14,3789,9.91991769968031e-14
"MS_Stemness_Naive","Transitional B cell",0.172,2.94863696541196e-22,3127,1.32112114316223e-21
"MS_Stemness_Naive","Naive 2 CD4",-0.06,1.83299564957262e-09,9907,4.57963399052101e-09
"MS_Stemness_Naive","CD56dim CD122hi NK",-0.198,5.29162944512699e-60,6705,6.33415942536096e-59
"MS_Stemness_Naive","Activated B cell",-0.265,1.57487790713346e-27,1630,8.09648770205794e-27
"MS_Stemness_Naive","Naive Intermediate CD8",0.01,0.639376676180201,2027,0.683706792395362
"MS_Stemness_Naive","Resting Naive B cell",0.17,1.48857789084777e-24,3557,7.19180402686696e-24
"MS_Stemness_Naive","Vd1 gd T cell",0.177,2.28029546871634e-17,2266,8.54578021453508e-17
"MS_Stemness_Naive","Non-classical Monocyte",-0.193,2.0165844442802e-15,1666,7.00130183685161e-15
"MS_Stemness_Naive","CD56bright NK",-0.208,3.23181845031074e-10,895,8.41531947126367e-10
"MS_Stemness_Naive","Naive 3 CD4",-0.114,3.20401867973477e-19,6153,1.31103213323841e-18
"MS_Stemness_Naive","Vg9Vd2 gd T cell",-0.022,0.358389225285305,1782,0.411199082516187
"MS_Stemness_Naive","Treg",0.17,3.03820785693845e-11,1508,8.28790034443755e-11
"MS_Stemness_Naive","CD4dim Naive T cell",0.082,0.00630521980287279,1116,0.0096136621328973
"MS_Stemness_Naive","CD56dim CD122int NK",-0.106,6.1964894202061e-07,2203,1.3077853986856e-06
"MS_Stemness_Naive","Tscm CD8",-0.204,0.000113782597648598,354,0.000206924361256634
"MS_Stemness_Naive","Classical Monocyte",-0.182,2.71383539119813e-17,2122,1.00763702950967e-16
"MS_Stemness_Naive","CD8+ MAIT cell",-0.007,0.8415506720102,824,0.864178795073215
"MS_Stemness_Naive","CD56dim CD122lo NK",-0.221,7.58040135491682e-31,2664,4.43757801944766e-30
"MS_Stemness_Naive","Tex CD8",-0.19,1.3272013538594e-09,1006,3.33672566080011e-09
"MS_Stemness_Naive","Cytotoxic gd T cell",-0.17,6.48127291842036e-20,2845,2.73577941082796e-19
"MS_Stemness_Naive","ISG+ CD4 T cell",-0.038,0.0656824326466184,2331,0.0881139074971753
"MS_Stemness_Naive","pDC",0.182,0.00754732660713661,215,0.0113991637267864
"MS_Stemness_Naive","Intermediate Monocyte",-0.018,0.62103363517849,722,0.670348553718909
"MS_Stemness_Naive","TNF+ B cell",-0.276,0.000990533177429482,139,0.00166542475534265
"MS_Cytotoxicity","Naive 1 CD4",-0.149,7.97266211870188e-65,12914,1.03130242245144e-63
"MS_Cytotoxicity","Naive 2 CD8",-0.082,2.70773200603609e-08,4593,6.29449585171289e-08
"MS_Cytotoxicity","TEMRA/CTL CD8",0.092,5.40459183579425e-15,7182,1.84446070310936e-14
"MS_Cytotoxicity","Follicular B cell",-0.269,6.11107528942731e-109,6546,1.63369412737357e-107
"MS_Cytotoxicity","Naive 1 CD8",-0.044,0.00128924603423,5256,0.00213631264349682
"MS_Cytotoxicity","Th2/Th17 EM CD4",-0.179,1.07268304771867e-26,3500,5.37682377668981e-26
"MS_Cytotoxicity","Transitional Memory CD4",-0.114,1.70663859502097e-12,3789,5.16499680455404e-12
"MS_Cytotoxicity","Transitional B cell",-0.149,5.38576224625811e-17,3127,1.98136757866927e-16
"MS_Cytotoxicity","Naive 2 CD4",-0.108,4.67232311121593e-27,9907,2.38675358929629e-26
"MS_Cytotoxicity","CD56dim CD122hi NK",0.057,3.20239713249273e-06,6705,6.45307160869139e-06
"MS_Cytotoxicity","Activated B cell",-0.612,4.30052196146953e-168,1630,2.1556366331866e-166
"MS_Cytotoxicity","Naive Intermediate CD8",-0.097,1.13834932370881e-05,2027,2.23216664453414e-05
"MS_Cytotoxicity","Resting Naive B cell",-0.226,1.37852523149485e-42,3557,1.1281400363866e-41
"MS_Cytotoxicity","Vd1 gd T cell",-0.143,7.77012394439901e-12,2266,2.24159690770072e-11
"MS_Cytotoxicity","Non-classical Monocyte",-0.106,1.46142145318762e-05,1666,2.81752124675285e-05
"MS_Cytotoxicity","CD56bright NK",0.25,2.84782588345104e-14,895,9.3222708511336e-14
"MS_Cytotoxicity","Naive 3 CD4",-0.195,6.38602679119883e-54,6153,6.56614549556598e-53
"MS_Cytotoxicity","Vg9Vd2 gd T cell",0.091,0.000121455109815114,1782,0.00021889213049825
"MS_Cytotoxicity","Treg",-0.308,1.78735785834777e-34,1508,1.17496803474993e-33
"MS_Cytotoxicity","CD4dim Naive T cell",-0.104,0.000524129885556311,1116,0.000898188393624277
"MS_Cytotoxicity","CD56dim CD122int NK",0.113,1.02502115355898e-07,2203,2.25842572844588e-07
"MS_Cytotoxicity","Tscm CD8",-0.005,0.922069909228133,354,0.9348926260442
"MS_Cytotoxicity","Classical Monocyte",-0.014,0.511240700189308,2122,0.566319118165504
"MS_Cytotoxicity","CD8+ MAIT cell",-0.091,0.00915663691565393,824,0.0136498565173875
"MS_Cytotoxicity","CD56dim CD122lo NK",0.211,4.21001094255133e-28,2664,2.2068161934158e-27
"MS_Cytotoxicity","Tex CD8",0.244,4.23206286291534e-15,1006,1.45047624617868e-14
"MS_Cytotoxicity","Cytotoxic gd T cell",0.209,2.08915525681752e-29,2845,1.14760446299154e-28
"MS_Cytotoxicity","ISG+ CD4 T cell",-0.117,1.40154884282969e-08,2331,3.3453636069923e-08
"MS_Cytotoxicity","pDC",-0.317,2.11139584871685e-06,215,4.31974354762989e-06
"MS_Cytotoxicity","Intermediate Monocyte",0.037,0.316429320280774,722,0.367259500528481
"MS_Cytotoxicity","TNF+ B cell",-0.449,3.03280306427598e-08,139,7.02979207384201e-08
"MS_Inflammatory_Chemokines","Naive 1 CD4",-0.446,0,12914,0
"MS_Inflammatory_Chemokines","Naive 2 CD8",-0.334,4.82331518283552e-120,4593,1.61179115693087e-118
"MS_Inflammatory_Chemokines","TEMRA/CTL CD8",0.214,2.34243284724212e-75,7182,3.54458706318524e-74
"MS_Inflammatory_Chemokines","Follicular B cell",-0.278,7.05794068602003e-117,6546,2.26418737207523e-115
"MS_Inflammatory_Chemokines","Naive 1 CD8",-0.33,1.06750678758395e-133,5256,4.07685925543965e-132
"MS_Inflammatory_Chemokines","Th2/Th17 EM CD4",-0.296,7.51479680598009e-72,3500,1.03911500662001e-70
"MS_Inflammatory_Chemokines","Transitional Memory CD4",-0.505,6.71363600134797e-244,3789,6.73042009135134e-242
"MS_Inflammatory_Chemokines","Transitional B cell",-0.245,4.95413035040033e-44,3127,4.18232899054849e-43
"MS_Inflammatory_Chemokines","Naive 2 CD4",-0.305,4.86792313525044e-213,9907,3.90407435447086e-211
"MS_Inflammatory_Chemokines","CD56dim CD122hi NK",0.133,5.02184916144649e-28,6705,2.61527469316888e-27
"MS_Inflammatory_Chemokines","Activated B cell",-0.302,9.69017896817039e-36,1630,6.69958925213159e-35
"MS_Inflammatory_Chemokines","Naive Intermediate CD8",-0.478,1.95366773015468e-116,2027,6.02631353686174e-115
"MS_Inflammatory_Chemokines","Resting Naive B cell",-0.242,1.27668345127596e-48,3557,1.20458838579214e-47
"MS_Inflammatory_Chemokines","Vd1 gd T cell",-0.232,4.16880971648352e-29,2266,2.27441183171414e-28
"MS_Inflammatory_Chemokines","Non-classical Monocyte",0.155,1.93117448797888e-10,1666,5.09474322157587e-10
"MS_Inflammatory_Chemokines","CD56bright NK",0.128,0.000118651042493881,895,0.000214803918916688
"MS_Inflammatory_Chemokines","Naive 3 CD4",-0.412,1.09853463520334e-250,6153,1.2586068249044e-248
"MS_Inflammatory_Chemokines","Vg9Vd2 gd T cell",0.043,0.0699580179675856,1782,0.0931998844019995
"MS_Inflammatory_Chemokines","Treg",-0.339,7.75820334250025e-42,1508,6.10007753008353e-41
"MS_Inflammatory_Chemokines","CD4dim Naive T cell",-0.326,4.70009773768977e-29,1116,2.54694485515351e-28
"MS_Inflammatory_Chemokines","CD56dim CD122int NK",0.175,1.17466427225176e-16,2203,4.24360696552211e-16
"MS_Inflammatory_Chemokines","Tscm CD8",-0.365,1.25606338721621e-12,354,3.88943180134131e-12
"MS_Inflammatory_Chemokines","Classical Monocyte",0.1,3.89955406550741e-06,2122,7.8382014048545e-06
"MS_Inflammatory_Chemokines","CD8+ MAIT cell",-0.292,1.30028086740864e-17,824,4.96583455077016e-17
"MS_Inflammatory_Chemokines","CD56dim CD122lo NK",0.147,2.94246412410672e-14,2664,9.592911494039e-14
"MS_Inflammatory_Chemokines","Tex CD8",0.235,4.50370879470115e-14,1006,1.43903364675312e-13
"MS_Inflammatory_Chemokines","Cytotoxic gd T cell",0.177,1.44106809326722e-21,2845,6.35020115824348e-21
"MS_Inflammatory_Chemokines","ISG+ CD4 T cell",-0.031,0.130879407240969,2331,0.166084311087432
"MS_Inflammatory_Chemokines","pDC",0.002,0.971143025073776,215,0.977235515820788
"MS_Inflammatory_Chemokines","Intermediate Monocyte",0.278,2.79028032583337e-14,722,9.17133123491132e-14
"MS_Inflammatory_Chemokines","TNF+ B cell",-0.392,1.83201149078357e-06,139,3.7577320092287e-06
"MS_Terminal_Differentiation","Naive 1 CD4",-0.323,1.1812918229165e-311,12914,2.36849010494758e-309
"MS_Terminal_Differentiation","Naive 2 CD8",-0.311,2.84505055395745e-103,4593,6.71097218904082e-102
"MS_Terminal_Differentiation","TEMRA/CTL CD8",0.074,3.33096965760514e-10,7182,8.64542933786188e-10
"MS_Terminal_Differentiation","Follicular B cell",-0.074,1.84081578544796e-09,6546,4.5848890059915e-09
"MS_Terminal_Differentiation","Naive 1 CD8",-0.329,6.75228863756737e-133,5256,2.4615161306041e-131
"MS_Terminal_Differentiation","Th2/Th17 EM CD4",-0.241,1.39506517672763e-47,3500,1.27141167242677e-46
"MS_Terminal_Differentiation","Transitional Memory CD4",-0.333,8.84437306275836e-99,3789,1.91707762063033e-97
"MS_Terminal_Differentiation","Transitional B cell",-0.14,3.14672911633377e-15,3127,1.08312306922733e-14
"MS_Terminal_Differentiation","Naive 2 CD4",-0.275,7.95363563187802e-172,9907,4.25254385117745e-170
"MS_Terminal_Differentiation","CD56dim CD122hi NK",0.019,0.111171703493641,6705,0.143574406122223
"MS_Terminal_Differentiation","Activated B cell",-0.417,2.0753611420722e-69,1630,2.77406605990317e-68
"MS_Terminal_Differentiation","Naive Intermediate CD8",-0.416,1.10312136109868e-85,2027,1.9232681121764e-84
"MS_Terminal_Differentiation","Resting Naive B cell",-0.133,1.45568972821774e-15,3557,5.12045246504661e-15
"MS_Terminal_Differentiation","Vd1 gd T cell",-0.292,9.08718345708888e-46,2266,8.00870454130251e-45
"MS_Terminal_Differentiation","Non-classical Monocyte",0.069,0.00499311474553336,1666,0.00764213363724762
"MS_Terminal_Differentiation","CD56bright NK",0.185,2.43554315156133e-08,895,5.69476853513756e-08
"MS_Terminal_Differentiation","Naive 3 CD4",-0.354,7.89532641573492e-181,6153,4.87080906570724e-179
"MS_Terminal_Differentiation","Vg9Vd2 gd T cell",-0.015,0.528365189284789,1782,0.580692226574437
"MS_Terminal_Differentiation","Treg",-0.338,1.13910320795641e-41,1508,8.86952206583532e-41
"MS_Terminal_Differentiation","CD4dim Naive T cell",-0.3,1.30291097426814e-24,1116,6.33293697795786e-24
