"Module","Cluster","n_cells","spearman_rho","p_value","mean_RNA","mean_Protein","p_adj","concordant"
"Exhaustion","CD56bright NK",1252,0.132,2.73106858209624e-06,0.0635,0.0824,5.64420840299889e-06,"Yes"
"Exhaustion","Vd1 gd T cell",2834,0.125,2.17146053047212e-11,0.0121,0.0471,6.35049777779581e-11,"Yes"
"Exhaustion","Tex CD8",1074,0.299,1.35827622873854e-23,0.28,0.2136,5.39827731934547e-23,"Yes"
"Exhaustion","Non-classical Monocyte",2041,0.023,0.299496115557986,-0.045,0.27,0.351681044783999,"Weak"
"Exhaustion","Resting Naive B cell",3967,0.042,0.00825167526591451,-0.1119,0.3963,0.013051119043028,"Weak"
"Exhaustion","CD56dim CD122int NK",2637,0.071,0.000274428505980003,0.1777,0.0622,0.00047793728569551,"Weak"
"Exhaustion","Cytotoxic gd T cell",2989,0.098,8.88354782135504e-08,0.221,0.0614,2.05514912285079e-07,"Weak"
"Exhaustion","CD56dim CD122lo NK",3148,0.029,0.1062396004796,0.1787,0.0215,0.134976541592935,"Weak"
"Exhaustion","CD4dim Naive T cell",1411,0.067,0.0113382501791577,-0.0339,0.017,0.0174002849284103,"Weak"
"Exhaustion","Vg9Vd2 gd T cell",1949,0.029,0.19867312848272,0.0198,0.0167,0.242475078069461,"Weak"
"Exhaustion","Intermediate Monocyte",752,0.081,0.0268789943022107,-0.023,0.3566,0.0404489720081811,"Weak"
"Exhaustion","TNF+ B cell",139,0.036,0.676777215854392,-0.1033,0.4584,0.704029989647186,"Weak"
"Activation","Naive 1 CD8",6726,0.134,2.15259294909585e-28,-0.445,0.3181,8.78031334499622e-28,"Weak"
"Activation","Naive Intermediate CD8",4183,0.085,3.15168386171171e-08,-0.4699,0.767,7.51555382408176e-08,"Weak"
"Activation","Naive 3 CD4",7790,0.052,5.36354175172114e-06,-0.3874,0.3985,1.0523404702744e-05,"Weak"
"Activation","Th2/Th17 EM CD4",4450,0.061,4.20714790030876e-05,-0.3454,0.9495,7.76318957795069e-05,"Weak"
"Activation","CD56dim CD122hi NK",9012,-0.084,1.62889715664747e-15,-0.2333,0.8688,5.25998040167411e-15,"Weak"
"Activation","Classical Monocyte",3044,0.106,4.13128327911206e-09,0.1108,0.7932,1.03282081977802e-08,"Yes"
"Activation","Naive 1 CD4",17584,0.089,2.87882237282261e-32,-0.4004,0.8164,1.35217414481062e-31,"Weak"
"Activation","Naive 2 CD4",11558,0.126,2.93461990298424e-42,-0.4051,0.2272,1.89527535401066e-41,"Weak"
"Activation","CD8+ MAIT cell",1084,0.192,2.00882206189028e-10,-0.3786,0.354,5.6612258107817e-10,"Weak"
"Activation","Transitional Memory CD4",5344,0.151,1.43917695750399e-28,-0.3985,1.1983,6.0289845517059e-28,"Weak"
"Activation","Treg",2016,0.172,6.89559192383936e-15,-0.3421,0.6632,2.1376334963902e-14,"Weak"
"Activation","Tscm CD8",547,0.017,0.684042337196893,-0.4658,0.7418,0.706843748436789,"Weak"
"Activation","pDC",279,0.212,0.000360834580140064,0.4038,1.5071,0.000614608350788021,"Yes"
"Activation","Activated B cell",1878,0.268,2.67495733043807e-32,0.6265,1.9753,1.29568245693094e-31,"Yes"
"Activation","Naive 2 CD8",5824,0.114,2.75889906058259e-18,-0.4586,0.1483,9.29629031283264e-18,"Weak"
"Activation","TEMRA/CTL CD8",7275,0.188,1.25948422636489e-58,-0.1819,0.1585,9.76100275432793e-58,"Weak"
"Activation","Follicular B cell",7615,0.221,1.03100726543042e-84,0.6423,1.3109,1.33171771784763e-83,"Yes"
"Activation","ISG+ CD4 T cell",2441,0.08,7.54205744892166e-05,-0.1449,0.4564,0.000135932430765449,"Weak"
"Activation","Transitional B cell",3592,0.165,2.90441088181531e-23,0.6133,1.5679,1.09800899190579e-22,"Yes"
"Activation","CD56bright NK",1252,0.162,8.10021061519211e-09,-0.2378,0.2422,1.9929089608806e-08,"Weak"
"Activation","Vd1 gd T cell",2834,0.08,2.04066303551356e-05,-0.4426,0.2184,3.85735085981222e-05,"Weak"
"Activation","Tex CD8",1074,0.084,0.00583483211842388,-0.0315,0.9629,0.00932370080779074,"Weak"
"Activation","Non-classical Monocyte",2041,0.253,3.77492463405589e-31,0.213,0.6145,1.67175233793904e-30,"Yes"
"Activation","Resting Naive B cell",3967,0.334,3.99706398012745e-104,0.6348,1.0016,5.63222651745232e-103,"Yes"
"Activation","CD56dim CD122int NK",2637,-0.083,1.78220183629979e-05,-0.2388,0.5586,3.41038622995639e-05,"Weak"
"Activation","Cytotoxic gd T cell",2989,0.113,6.36008594618241e-10,-0.1749,0.2274,1.72949705554083e-09,"Weak"
"Activation","CD56dim CD122lo NK",3148,0.081,5.24959819766866e-06,-0.2525,0.2051,1.04318938543416e-05,"Weak"
"Activation","CD4dim Naive T cell",1411,0.137,2.3206864485606e-07,-0.386,0.1208,5.13866285038418e-07,"Weak"
"Activation","Vg9Vd2 gd T cell",1949,0.136,1.88312882950752e-09,-0.3137,0.2989,4.94720285718077e-09,"Weak"
"Activation","Intermediate Monocyte",752,0.334,5.03563970592622e-21,0.1403,0.6747,1.77391853276946e-20,"Yes"
"Activation","TNF+ B cell",139,-0.183,0.0311163918164346,0.8122,1.4208,0.0463753916494939,"Discordant"
"Stemness","Naive 1 CD8",6726,0.308,2.12818542938141e-147,0.4681,4.9912,6.59737483108236e-146,"Yes"
"Stemness","Naive Intermediate CD8",4183,0.339,2.39873785327403e-113,0.4135,5.5656,4.64755459071843e-112,"Yes"
"Stemness","Naive 3 CD4",7790,0.32,5.525560505108e-185,0.5225,5.4518,2.85487292763913e-183,"Yes"
"Stemness","Th2/Th17 EM CD4",4450,0.371,7.09674994107167e-145,0.1137,3.9818,1.83332706811018e-143,"Yes"
"Stemness","CD56dim CD122hi NK",9012,0.293,5.78404820307414e-178,-0.7391,0.6415,2.24131867869123e-176,"Weak"
"Stemness","Classical Monocyte",3044,0.258,1.46657828109344e-47,-0.7279,0.7249,1.03327106167947e-46,"Weak"
"Stemness","Naive 1 CD4",17584,0.316,0,0.472,5.7757,0,"Yes"
"Stemness","Naive 2 CD4",11558,0.305,2.26048331061313e-247,0.4904,5.1233,1.75187456572518e-245,"Yes"
"Stemness","CD8+ MAIT cell",1084,0.353,3.15385445013716e-33,-0.023,3.3507,1.6294914659042e-32,"Weak"
"Stemness","Transitional Memory CD4",5344,0.29,2.18004700858976e-104,0.4457,6.2295,3.37907286331412e-103,"Yes"
"Stemness","Treg",2016,0.146,4.76583872125778e-11,0.1983,4.0524,1.36797222554621e-10,"Yes"
"Stemness","Tscm CD8",547,0.394,8.62054682793805e-22,0.2946,4.4177,3.10740641472185e-21,"Yes"
"Stemness","pDC",279,-0.357,8.39832188004345e-10,-0.6628,3.6079,2.24437912311506e-09,"Discordant"
"Stemness","Activated B cell",1878,0.003,0.911214728776514,-0.4378,0.5347,0.917131707534803,"Weak"
"Stemness","Naive 2 CD8",5824,0.306,2.71320442113645e-126,0.4403,4.3622,6.00780978965928e-125,"Yes"
"Stemness","TEMRA/CTL CD8",7275,0.211,7.15611648282809e-74,-0.6831,0.8927,7.92284324884538e-73,"Weak"
"Stemness","Follicular B cell",7615,0.219,1.91328724830832e-83,-0.184,2.2972,2.28122710375223e-82,"Weak"
"Stemness","ISG+ CD4 T cell",2441,0.33,3.42103417217724e-63,0.4522,3.8242,2.94589053715263e-62,"Yes"
"Stemness","Transitional B cell",3592,0.271,2.55007514125672e-61,-0.3378,1.1345,2.08032445734101e-60,"Weak"
"Stemness","CD56bright NK",1252,0.481,1.43672493372012e-73,-0.4298,1.9474,1.39182727954137e-72,"Weak"
"Stemness","Vd1 gd T cell",2834,0.394,1.09233268155234e-105,0.148,2.8242,1.88123961822902e-104,"Yes"
"Stemness","Tex CD8",1074,0.403,3.45048246436554e-43,-0.5928,1.6272,2.32532513902895e-42,"Weak"
"Stemness","Non-classical Monocyte",2041,0.055,0.0133740353571701,-0.8848,0.1397,0.0203232890231507,"Weak"
"Stemness","Resting Naive B cell",3967,0.188,5.87816620960145e-33,-0.0682,2.2206,2.93908310480073e-32,"Weak"
"Stemness","CD56dim CD122int NK",2637,0.252,2.4885015409577e-39,-0.7819,0.447,1.54287095539377e-38,"Weak"
"Stemness","Cytotoxic gd T cell",2989,0.115,2.62579929934095e-10,-0.684,0.7554,7.26783734639014e-10,"Weak"
"Stemness","CD56dim CD122lo NK",3148,0.212,2.17787281950116e-33,-0.7268,0.3039,1.164035472492e-32,"Weak"
"Stemness","CD4dim Naive T cell",1411,0.244,1.59089963268449e-20,0.3807,3.2643,5.4797654014688e-20,"Yes"
"Stemness","Vg9Vd2 gd T cell",1949,0.114,4.37851277890277e-07,-0.4037,1.3533,9.42596501013791e-07,"Weak"
"Stemness","Intermediate Monocyte",752,0.057,0.11942298882995,-0.8232,0.4502,0.149278736037438,"Weak"
"Stemness","TNF+ B cell",139,0.041,0.634773424960233,-0.2501,0.3461,0.664796492357001,"Weak"
"Tissue_Residency","Naive 1 CD8",6726,0.101,8.90196483865e-17,-0.1119,0.3415,2.93575436168245e-16,"Weak"
"Tissue_Residency","Naive Intermediate CD8",4183,0.072,3.31026054910478e-06,-0.1284,0.5057,6.75118927777949e-06,"Weak"
"Tissue_Residency","Naive 3 CD4",7790,0.052,3.92633478084693e-06,-0.1725,0.0444,7.90366092248407e-06,"Weak"
"Tissue_Residency","Th2/Th17 EM CD4",4450,0.072,1.33421552765497e-06,-0.1213,0.2037,2.83292338063726e-06,"Weak"
"Tissue_Residency","CD56dim CD122hi NK",9012,0.021,0.0451407838587639,0.0177,0.4956,0.0641910229184258,"Weak"
"Tissue_Residency","Classical Monocyte",3044,0.281,1.72220056073421e-56,-0.2157,0.6011,1.27114803292287e-55,"Weak"
"Tissue_Residency","Naive 1 CD4",17584,0.091,1.2741825919014e-33,-0.1757,0.1603,7.05351077659702e-33,"Weak"
"Tissue_Residency","Naive 2 CD4",11558,0.092,2.39409977697689e-23,-0.1853,0.048,9.27713663578544e-23,"Weak"
"Tissue_Residency","CD8+ MAIT cell",1084,0.057,0.0599342813587881,0.0104,2.2722,0.0829447643804656,"Weak"
"Tissue_Residency","Transitional Memory CD4",5344,0.07,3.23140711887035e-07,-0.1885,0.2232,7.05448032992823e-07,"Weak"
"Tissue_Residency","Treg",2016,0.017,0.45789571686371,-0.1111,0.0987,0.521866442013787,"Weak"
"Tissue_Residency","Tscm CD8",547,0.091,0.0325961051402923,-0.0879,0.4069,0.0476641160070311,"Weak"
"Tissue_Residency","pDC",279,0.127,0.0344590890634828,-0.1967,0.3688,0.049917372007849,"Weak"
"Tissue_Residency","Activated B cell",1878,0.289,1.45966318182137e-37,-0.0953,1.2874,8.70183819931971e-37,"Weak"
"Tissue_Residency","Naive 2 CD8",5824,0.063,1.35659489795221e-06,-0.1436,0.0831,2.8415163403053e-06,"Weak"
"Tissue_Residency","TEMRA/CTL CD8",7275,0.013,0.279477959097636,0.0555,0.1391,0.333223720462566,"Weak"
"Tissue_Residency","Follicular B cell",7615,0.138,7.17513453577452e-34,-0.0944,0.2977,4.11905871498167e-33,"Weak"
"Tissue_Residency","ISG+ CD4 T cell",2441,0.051,0.0112174684035887,-0.0452,0.2345,0.0173870760255624,"Weak"
"Tissue_Residency","Transitional B cell",3592,0.089,9.60393215512977e-08,-0.1189,0.4112,2.18913159418399e-07,"Weak"
"Tissue_Residency","CD56bright NK",1252,0.222,1.68413607451046e-15,0.0073,0.6716,5.32736921528819e-15,"Yes"
"Tissue_Residency","Vd1 gd T cell",2834,0.035,0.0607412859918162,-0.0556,0.3167,0.0833176931746152,"Weak"
"Tissue_Residency","Tex CD8",1074,0.12,7.97119695957245e-05,0.015,0.6739,0.000142015578015371,"Yes"
"Tissue_Residency","Non-classical Monocyte",2041,0.132,2.2760067159285e-09,-0.232,0.1698,5.7832957535888e-09,"Weak"
"Tissue_Residency","Resting Naive B cell",3967,0.176,4.15693379505166e-29,-0.0957,0.1566,1.78979093953613e-28,"Weak"
"Tissue_Residency","CD56dim CD122int NK",2637,0.01,0.610128518866084,0.0257,0.2479,0.643332792001653,"Weak"
"Tissue_Residency","Cytotoxic gd T cell",2989,0.033,0.0705370784883538,0.0636,0.2195,0.0934465569717507,"Weak"
"Tissue_Residency","CD56dim CD122lo NK",3148,0.046,0.00956068812033845,0.0307,0.0869,0.0149687541278026,"Weak"
"Tissue_Residency","CD4dim Naive T cell",1411,0.05,0.0623208442977845,-0.1777,0.035,0.0847344812820755,"Weak"
"Tissue_Residency","Vg9Vd2 gd T cell",1949,0.044,0.0517640779994169,0.1,0.4697,0.072940291726451,"Weak"
"Tissue_Residency","Intermediate Monocyte",752,0.131,0.000312967998755388,-0.1097,0.7256,0.000539000442300946,"Weak"
"Tissue_Residency","TNF+ B cell",139,0.144,0.0911849570856658,0.0842,0.2796,0.118770322254439,"Yes"
"Senescence","Naive 1 CD8",6726,0.039,0.00152019268871961,-0.1219,0.0322,0.00253365448119935,"Weak"
"Senescence","Naive Intermediate CD8",4183,0.054,0.000518946166238066,-0.1197,0.0516,0.000874311475727176,"Weak"
"Senescence","Naive 3 CD4",7790,0.004,0.691752558850785,-0.1126,0.0128,0.71007712994617,"Weak"
"Senescence","Th2/Th17 EM CD4",4450,0.06,6.04841676210774e-05,-0.0776,0.1063,0.000110294658603141,"Weak"
"Senescence","CD56dim CD122hi NK",9012,0.077,1.87641714937533e-13,-0.0826,0.3102,5.59316650294571e-13,"Weak"
"Senescence","Classical Monocyte",3044,-0.001,0.970245322068862,0.0444,0.0537,0.970245322068862,"Weak"
"Senescence","Naive 1 CD4",17584,0.03,8.15191511890391e-05,-0.1069,0.0348,0.000143584868571603,"Weak"
"Senescence","Naive 2 CD4",11558,0.019,0.0385877657545301,-0.1084,0.0148,0.0553805897402979,"Weak"
"Senescence","CD8+ MAIT cell",1084,0.181,2.01334754489222e-09,-0.0582,0.6278,5.20114782430489e-09,"Weak"
"Senescence","Transitional Memory CD4",5344,0.016,0.254670261309881,-0.1015,0.0326,0.305999151186292,"Weak"
"Senescence","Treg",2016,0.041,0.0652716559654354,-0.1124,0.0453,0.0879748406490651,"Weak"
"Senescence","Tscm CD8",547,0.049,0.24900143106846,-0.1113,0.0808,0.301525170434464,"Weak"
"Senescence","pDC",279,0.011,0.857011910511619,0.0911,0.0513,0.868214680583667,"Weak"
"Senescence","Activated B cell",1878,-0.014,0.53506570544701,0.0929,0.0292,0.586997677658711,"Weak"
"Senescence","Naive 2 CD8",5824,0.022,0.095446587319835,-0.1198,0.027,0.122266289541937,"Weak"
"Senescence","TEMRA/CTL CD8",7275,0.049,2.57751086699704e-05,-0.0742,2.4441,4.81342390824749e-05,"Weak"
"Senescence","Follicular B cell",7615,0.022,0.0549898520460355,0.0527,0.024,0.0767876312354549,"Weak"
"Senescence","ISG+ CD4 T cell",2441,0.015,0.468906385286676,-0.0926,0.0447,0.530514523499524,"Weak"
"Senescence","Transitional B cell",3592,0.023,0.177577897302316,0.0713,0.0254,0.218449000649674,"Weak"
"Senescence","CD56bright NK",1252,0.125,9.77940093730956e-06,-0.1247,0.103,1.89475893160373e-05,"Weak"
"Senescence","Vd1 gd T cell",2834,0.033,0.0748337666356556,-0.0875,0.2734,0.0982985917671747,"Weak"
"Senescence","Tex CD8",1074,0.095,0.00190233573500875,-0.0734,0.8422,0.00313683020134422,"Weak"
"Senescence","Non-classical Monocyte",2041,0.023,0.289574521113914,0.039,0.033,0.342626341776005,"Weak"
"Senescence","Resting Naive B cell",3967,0.01,0.537765614371206,0.0484,0.0203,0.586997677658711,"Weak"
"Senescence","CD56dim CD122int NK",2637,0.016,0.414296856961005,-0.0951,0.5661,0.475674169103377,"Weak"
"Senescence","Cytotoxic gd T cell",2989,0.052,0.00470225307980151,-0.0794,2.0119,0.00759217945176285,"Weak"
"Senescence","CD56dim CD122lo NK",3148,0.012,0.515141396886481,-0.0939,0.3269,0.578600844329019,"Weak"
"Senescence","CD4dim Naive T cell",1411,-0.014,0.598071672894814,-0.0992,0.0352,0.639317995163421,"Weak"
"Senescence","Vg9Vd2 gd T cell",1949,0.041,0.0698133313162482,0.0012,2.3465,0.0932850547760214,"Weak"
"Senescence","Intermediate Monocyte",752,0.023,0.536952184250871,0.1767,0.0707,0.586997677658711,"Weak"
"Senescence","TNF+ B cell",139,0.055,0.52240531645115,0.1919,0.0502,0.582538302517469,"Weak"
