gene,avg_log2FC,padj
MIR210HG,-7.70224797761243,1.33237443403469e-144
ARID5A,2.07515860847658,1.4713517676684197e-139
YARS,-10.0254945863613,1.43114764654975e-131
AC004687.1,-10.1394351415856,3.7936018249228294e-131
FAM102A,-10.2626640741718,5.35459219634763e-129
CD27,-1.87463153824832,7.34418815675532e-129
VEGFA,-9.84001806595149,7.84888850948945e-129
IL16,-2.05760490100943,1.0967108188897899e-128
IL32,-1.89285455399451,1.8189923866429e-128
H2AFY,-10.1961957519629,2.6737425737931e-128
HIST1H1D,-10.659473558603,4.04622867131978e-128
LINC00869,4.37033410226327,9.33246030658631e-128
IFITM2,-2.316376722431,1.56956051258107e-125
RPS20,0.874617063939044,1.45299021967808e-124
BIRC2,2.25969525865514,3.22159211821955e-124
ATP5MJ,4.87426364921173,4.3489410153670696e-123
SIT1,-3.41391616485474,7.509390487422529e-123
LINC-PINT,4.18409358222285,1.5810401544641598e-122
TAZ,-9.49916216432775,7.502368220944139e-122
HIVEP2,1.83684043289766,1.5332208611488998e-121
ENSG00000234961,4.42847991247319,9.409932964255519e-121
MARCH9,-9.69185882663305,3.30860599141683e-119
MATR3.1,-10.8956421212936,8.929373311224939e-118
ITK,1.51868118688717,1.0099036539940098e-117
OSBPL8,1.98584849865476,2.4020537182732798e-116
HIST1H2AC,-10.2785588742536,3.01134933495806e-116
KAT6A,1.69432600723786,6.2523875251201e-116
GPRIN3,2.22108759399128,4.96031794319143e-115
PGAM1,-1.50344310006263,3.1488329970255697e-114
HERC1,1.87278971972663,3.406089465996e-114
BATF,3.04715456677105,3.47932845191092e-114
MARCH7,-9.95112654928304,3.6845538957941995e-114
FAM162A,-2.54903848023492,5.054223000841459e-114
C4orf3,-2.09972469839665,5.467039789746719e-113
AC078883.1,-10.1214951994842,1.04362958032531e-112
LDHB,-1.08770367342004,1.3901609778022102e-111
WDR54,-2.4938645906489,2.0203110972545303e-111
TUBA4A,-2.27872148813193,4.12379318621167e-111
AC245407.2,-9.0758522051769,4.58650678945651e-111
ITGB2,-2.27229382545753,7.39728966803544e-111
YPEL3,-1.15056338071755,4.50097871878464e-110
EPRS,-9.91794754923261,5.79997790738185e-110
LCK,-1.36113873297881,8.05442633646322e-110
TKT,-1.56331682183724,1.8969019679379297e-109
CD55,1.4153637785478,2.01542228944005e-108
ADSS,-9.86415347889881,2.2928598413857495e-107
GARS,-9.57657293244542,8.905733359257127e-107
C12orf65,-9.69763818633128,5.859365358102689e-106
BICDL1,3.11171476677152,7.05762825563638e-105
ANP32B,-1.05571525706001,7.104239047228981e-105
NUCB2,-1.9821831643629,3.3427362501992596e-104
AL133415.1,-9.13550309924571,2.09275865380819e-103
LINC00486,5.0253594815098,5.47746709083276e-103
ENO2,-2.53943124033945,2.05593828260947e-102
EEIG1,4.28346652148611,2.18017631293844e-102
KLF12,1.61364703698125,1.5247996552411098e-101
HIST1H1C,-9.69153118871817,5.97203972334474e-101
CCNI,-0.70814020893743,1.0043209719266598e-100
HSPB11,-9.62419301440383,2.45162552847425e-100
BBLN,4.70871108316043,2.9437232546452997e-99
MARCH5,-9.52188609863891,1.1196448174040899e-98
PLCL1,1.4860169665226,1.71581364523029e-98
TCF7,-0.690399840375025,2.1104610727795998e-98
AC119396.1,-10.1696405972286,7.428513051526919e-97
MGAT1,-2.32428336569164,8.93785200982115e-96
BIRC3,1.99884444145404,4.712243262947949e-95
PCBP2,-1.03368466144497,2.0526684793605597e-94
SNHG7,-1.2328218272613,3.5365978090785196e-94
LARS,-9.75717574596711,4.373228135413469e-94
LDLRAD4,2.17143356687314,6.257878398238988e-94
TARS,-9.33661493804226,1.1566257829521999e-93
CYRIB,4.65156681295388,1.49881897270614e-93
CCDC107,-2.43113527860254,3.97340528410035e-93
ICOS,1.02594979661843,2.5504892302237096e-92
AKAP13,1.38404195747401,4.29794965103451e-92
EVL,-0.845720037989136,2.5459011685065497e-91
FAAH2,1.54674185424767,6.61529470855748e-90
ZEB1,1.36801150249842,2.1028990003747497e-87
H1-10,4.73633579746171,2.7164207033333096e-87
SOD2,2.05522511207372,6.2432582545194e-87
PFKFB4,-9.81964392901014,8.276893624692549e-87
MTRNR2L8,-6.79141925673741,1.20760269147032e-86
AKT3,1.94129646680706,2.5432028541148e-86
ACAP1,-1.80233580424851,3.0026710392908002e-86
SRSF5,-0.688630714790756,4.2411245904146496e-86
TMEM8A,-8.76965832945499,5.19243635999318e-86
TMEM173,-9.67499322878388,9.98613274383611e-86
PHB,-9.74822436788281,1.4768717364058398e-84
PITPNC1,1.69413537839567,9.19086757810988e-83
BCL3,2.39220697575307,1.06831708268566e-82
JUNB,1.17387202765354,1.2285198078834099e-82
TUBB,-0.914344185247665,4.0168223031795095e-82
C5orf56,-9.6995203937645,5.541819786656179e-82
AC243960.1,-10.5358136954487,6.037864804742199e-82
FAM177A1,2.34475913831129,7.01410798886951e-82
MTFP1,-2.28851654222986,5.96893807886967e-81
NPM1,-0.738899085835878,7.06880980942093e-81
MARS,-9.16360187202776,3.15501475252209e-80
CMSS1,3.18528284510479,3.30682305783593e-80
H2AFJ,-9.15861847272981,7.04334154981906e-80
SH3BP1,-2.81243089234856,1.9940883135431702e-79
C12orf10,-9.39451085794443,3.60478039898077e-79
IKZF1,0.848359433007327,4.07359623472071e-79
AARS,-9.21600160730677,5.14588890254102e-79
FKBP8,-1.41169505345317,1.0452685405951498e-77
CREM,2.98684834971174,2.5295081960087297e-77
WASHC1,-1.73188039989922,9.967033265276998e-77
ADPRHL2,-9.2689022546939,5.452672902427109e-76
NARS,-9.12686122119112,7.37695509485876e-76
HIVEP1,2.73566802151658,1.7336686421782398e-75
HPCAL1,-1.29338983611555,3.16820719200996e-75
HILPDA,-3.75810652065195,1.05061574253708e-74
UBB,1.05771565889912,1.7939394784025702e-74
SNRPD3,0.616322814281569,1.97468266519265e-74
AC097534.2,-9.59649615665816,6.81594791933706e-74
TARSL2,-9.15971873352953,1.52753923839098e-73
AC025164.1,-9.14767549096182,3.94397684588964e-73
VIM,1.51435965423167,7.90703140599452e-73
ZYX,-1.40418521457492,1.28260997859459e-72
IFITM1,-1.04933250765644,4.92160193958054e-72
ADSS2,4.95018406407567,6.50164353181921e-72
PACS1,1.2165759421481,1.4833204933638298e-70
IDS,2.35319090527652,1.4988457998484e-69
JMJD1C,1.41901279709704,1.78837823937551e-69
PFKP,-2.27356180124364,3.09713776573829e-69
GPX1,4.64766561157566,1.8897726956278102e-68
PAICS,-2.35327650107202,4.05386354862616e-68
S100A11,1.2460876059037,4.42370191480442e-68
IARS,-9.23586269256898,2.0773691855719103e-67
CSK,-1.33554562800816,2.77749315382305e-67
RCSD1,-2.60649370602863,4.84335373396119e-67
TGFB1,1.44280444673118,5.99851800800574e-67
USP3,1.08975303561719,6.57713713644382e-67
CORO1B,-2.63944385932605,1.3658750050866e-66
PRKY,-7.66995227369724,3.87008130745607e-66
ALDOC,-3.27154481491158,6.28281039974495e-66
ABTB3,4.90722820180213,1.3629807542979e-65
FKBP5,1.47912805125551,1.84212115194834e-65
ETS1,0.979075874936609,4.47032259624045e-65
HMGN3,-1.96727569001967,1.88699310659638e-64
ENSG00000289614,5.1075164040588,3.93946325365836e-64
ARID5B,1.46498231397322,1.03224111626503e-63
TXLNGY,12.1992643150315,1.44384225564904e-63
DBP,-2.70276581744897,1.76868705172772e-63
PPP2R5C,1.41325293183492,4.55290912353377e-63
RNF125,2.0478122771904,7.41152834137179e-63
EGLN1,-1.98156306370736,2.22832025464661e-62
MARCHF7,4.73453196747507,2.63057981381425e-62
TAF4B,2.22746926551102,9.955493835881169e-62
CAMK1D,2.02485815721631,1.18735735132484e-61
GPSM3,-1.34780477584515,1.33628687186557e-61
PLEKHF1,-2.36858709675575,2.1075555225980402e-61
KARS,-9.08966186685958,4.8266730581475706e-61
POLD4,-1.71768420157029,6.737159950066799e-61
SRGN,1.75370834090969,8.87477677057972e-61
CSGALNACT1,1.30861471207532,1.54116091683604e-60
ARRB2,-1.3714626698959,3.75875405199657e-60
FGF11,-8.48079170437293,3.95941911507044e-60
AHNAK,2.6756871090761,4.37994408870705e-60
CDC42SE2,0.674901185338435,1.75297498413479e-59
SARS1,4.99491653860406,2.17990422287407e-59
FAM207A,-8.9573367624751,2.34743373310198e-59
AC116407.2,-8.13463658907348,1.57095020137185e-58
LRMP,-8.9717604127504,1.86846568811485e-58
SEC61G,-1.25007336518208,6.061933139924711e-58
ANP32A,-1.29168688903874,1.05937721077902e-57
ZNF581,-1.59185516612589,2.5319370459392598e-57
CALM1,0.863961184585048,2.988391951614e-57
RUNX1,1.23214553651819,4.7284633230781095e-57
CELF2,0.984106789387372,5.41831167779386e-57
LRRFIP1,1.48994276701489,6.88081542406233e-57
TTC37,-8.8392964378718,7.50343309330788e-57
MACROH2A1,4.65431213678506,3.0774909036728696e-56
CIB1,1.26339957536658,7.10162345760837e-56
FOXO1,1.39939373118692,3.32286912872722e-55
