gene,avg_log2FC_unsup,padj_unsup,avg_log2FC_supp,padj_supp
YARS,-10.0254945863613,1.43114764654975e-131,-3.99211828832531,1.4937202293929498e-204
AC004687.1,-10.1394351415856,3.7936018249228294e-131,-3.69140835926283,5.992866642887269e-177
FAM102A,-10.2626640741718,5.35459219634763e-129,-3.9144158529214,3.54568326268351e-253
CD27,-1.87463153824832,7.34418815675532e-129,-1.45802082628526,1.0411908258003e-294
VEGFA,-9.84001806595149,7.84888850948945e-129,-6.86523539924727,2.47577672832784e-293
IL16,-2.05760490100943,1.0967108188897899e-128,-1.78044574632186,0
IL32,-1.89285455399451,1.8189923866429e-128,-1.98453949478728,0
H2AFY,-10.1961957519629,2.6737425737931e-128,-3.40889282766729,3.4402547534487e-181
HIST1H1D,-10.659473558603,4.04622867131978e-128,-4.61079932155649,3.70750223494123e-265
LINC00869,4.37033410226327,9.33246030658631e-128,3.66844159856696,0
IFITM2,-2.316376722431,1.56956051258107e-125,-2.01244889709284,0
RPS20,0.874617063939044,1.45299021967808e-124,0.744969817598881,1.83369193412249e-116
BIRC2,2.25969525865514,3.22159211821955e-124,1.99271000036542,5.76073959591495e-293
ATP5MJ,4.87426364921173,4.3489410153670696e-123,4.68064047609687,0
SIT1,-3.41391616485474,7.509390487422529e-123,-3.06087001769246,0
LINC-PINT,4.18409358222285,1.5810401544641598e-122,4.01732120902992,0
TAZ,-9.49916216432775,7.502368220944139e-122,-3.56890511877305,1.68261863185394e-129
HIVEP2,1.83684043289766,1.5332208611488998e-121,1.04961380077729,6.91219308818829e-113
ENSG00000234961,4.42847991247319,9.409932964255519e-121,3.629232149534,0
MARCH9,-9.69185882663305,3.30860599141683e-119,-3.45254368823897,7.781974414143819e-154
MATR3.1,-10.8956421212936,8.929373311224939e-118,-3.54684729984162,0
OSBPL8,1.98584849865476,2.4020537182732798e-116,1.69875427511176,0
HIST1H2AC,-10.2785588742536,3.01134933495806e-116,-4.5743903082663,3.751366503924979e-235
KAT6A,1.69432600723786,6.2523875251201e-116,1.11786291987546,1.1523269943482398e-141
GPRIN3,2.22108759399128,4.96031794319143e-115,0.662792065890885,1.37676275293493e-19
PGAM1,-1.50344310006263,3.1488329970255697e-114,-1.4788860568805,0
HERC1,1.87278971972663,3.406089465996e-114,1.57437821316952,3.0467293382313696e-241
BATF,3.04715456677105,3.47932845191092e-114,1.93067038728559,4.9863463648486504e-110
MARCH7,-9.95112654928304,3.6845538957941995e-114,-3.93172338863167,5.680703105902108e-219
FAM162A,-2.54903848023492,5.054223000841459e-114,-2.59955170647323,0
C4orf3,-2.09972469839665,5.467039789746719e-113,-2.29461344753782,0
AC078883.1,-10.1214951994842,1.04362958032531e-112,-4.64698153748274,1.40963604024653e-282
LDHB,-1.08770367342004,1.3901609778022102e-111,-1.2032867891434,0
WDR54,-2.4938645906489,2.0203110972545303e-111,-2.70505812446733,2.3640685898460695e-292
TUBA4A,-2.27872148813193,4.12379318621167e-111,-1.58580913046655,3.29609564494667e-202
AC245407.2,-9.0758522051769,4.58650678945651e-111,-3.80460300678281,7.154362339849448e-107
ITGB2,-2.27229382545753,7.39728966803544e-111,-1.85255331922114,1.5168651444206797e-168
YPEL3,-1.15056338071755,4.50097871878464e-110,-1.18913713525657,4.31497774512881e-261
EPRS,-9.91794754923261,5.79997790738185e-110,-3.91639898934869,1.0454050765214399e-194
LCK,-1.36113873297881,8.05442633646322e-110,-1.47971763026301,0
TKT,-1.56331682183724,1.8969019679379297e-109,-1.40471250109338,6.725071572994089e-154
CD55,1.4153637785478,2.01542228944005e-108,1.36908262709231,0
ADSS,-9.86415347889881,2.2928598413857495e-107,-3.47240780336622,3.6502284389973496e-149
GARS,-9.57657293244542,8.905733359257127e-107,-4.01030675486764,8.048583111403058e-139
C12orf65,-9.69763818633128,5.859365358102689e-106,-3.730216191177,7.171768401819899e-178
BICDL1,3.11171476677152,7.05762825563638e-105,2.63478564560687,4.10108644061118e-293
ANP32B,-1.05571525706001,7.104239047228981e-105,-1.04316364204986,6.01981401733728e-293
NUCB2,-1.9821831643629,3.3427362501992596e-104,-1.99276215033893,4.9589445279977e-286
AL133415.1,-9.13550309924571,2.09275865380819e-103,-6.04129639268783,8.29909755466831e-123
LINC00486,5.0253594815098,5.47746709083276e-103,3.07213794689921,2.6645644391879497e-62
ENO2,-2.53943124033945,2.05593828260947e-102,-2.15395228979657,2.55576229481592e-273
EEIG1,4.28346652148611,2.18017631293844e-102,3.99876788513333,0
KLF12,1.61364703698125,1.5247996552411098e-101,1.35462632760765,9.61025192137183e-174
HIST1H1C,-9.69153118871817,5.97203972334474e-101,-5.36910961720881,1.6685703008540498e-151
CCNI,-0.70814020893743,1.0043209719266598e-100,-0.839012445417065,1.70249674556307e-252
HSPB11,-9.62419301440383,2.45162552847425e-100,-3.90072445948976,1.7979577393059798e-165
BBLN,4.70871108316043,2.9437232546452997e-99,4.44662647117503,0
MARCH5,-9.52188609863891,1.1196448174040899e-98,-4.0782118058344,5.1078752606539985e-173
PLCL1,1.4860169665226,1.71581364523029e-98,1.02281068618468,1.46068786384771e-124
TCF7,-0.690399840375025,2.1104610727795998e-98,-1.02693516383511,0
AC119396.1,-10.1696405972286,7.428513051526919e-97,-3.31565127370345,2.9934927615236197e-151
MGAT1,-2.32428336569164,8.93785200982115e-96,-2.1334198184303,7.1446035598653694e-276
BIRC3,1.99884444145404,4.712243262947949e-95,1.32358336621513,7.032109783307349e-87
PCBP2,-1.03368466144497,2.0526684793605597e-94,-1.28440764049366,3.70277384811089e-293
SNHG7,-1.2328218272613,3.5365978090785196e-94,-0.733049012080593,1.97734828193726e-129
LARS,-9.75717574596711,4.373228135413469e-94,-3.7664018378721,2.4372721940221295e-132
LDLRAD4,2.17143356687314,6.257878398238988e-94,1.72295559324796,8.38732356703202e-179
TARS,-9.33661493804226,1.1566257829521999e-93,-3.62098102266944,3.7901836625463096e-116
CYRIB,4.65156681295388,1.49881897270614e-93,4.30621896697266,0
CCDC107,-2.43113527860254,3.97340528410035e-93,-2.6912754846729,0
ICOS,1.02594979661843,2.5504892302237096e-92,0.613379756491578,1.21072573675056e-15
AKAP13,1.38404195747401,4.29794965103451e-92,1.05378465215569,5.21843440087557e-142
EVL,-0.845720037989136,2.5459011685065497e-91,-1.10695142629698,0
ZEB1,1.36801150249842,2.1028990003747497e-87,1.24804163426619,1.33655895624231e-108
H1-10,4.73633579746171,2.7164207033333096e-87,4.31308732541092,0
SOD2,2.05522511207372,6.2432582545194e-87,1.21927829788425,2.00657736741494e-64
PFKFB4,-9.81964392901014,8.276893624692549e-87,-6.77137453904925,2.67996637689168e-245
MTRNR2L8,-6.79141925673741,1.20760269147032e-86,-7.43302189095857,1.4510709374124599e-22
AKT3,1.94129646680706,2.5432028541148e-86,1.69045562112859,7.779361135907299e-246
ACAP1,-1.80233580424851,3.0026710392908002e-86,-1.87001940939099,2.3323994500703197e-207
SRSF5,-0.688630714790756,4.2411245904146496e-86,-0.6141429812917,8.05273858209573e-152
TMEM8A,-8.76965832945499,5.19243635999318e-86,-2.9143985187636,2.2691140223118098e-55
TMEM173,-9.67499322878388,9.98613274383611e-86,-2.89487397555054,1.3968695294500099e-112
PHB,-9.74822436788281,1.4768717364058398e-84,-2.91035556998382,1.92800181459473e-101
PITPNC1,1.69413537839567,9.19086757810988e-83,1.10019873790628,8.792146071354497e-165
BCL3,2.39220697575307,1.06831708268566e-82,1.47238413630718,6.788046661816799e-78
TUBB,-0.914344185247665,4.0168223031795095e-82,-0.862389682261276,2.8173024839019198e-86
C5orf56,-9.6995203937645,5.541819786656179e-82,-3.448075521977,5.460852303847999e-209
AC243960.1,-10.5358136954487,6.037864804742199e-82,-3.44576854517096,1.5912231420799997e-228
FAM177A1,2.34475913831129,7.01410798886951e-82,2.31682765214378,5.507731699237671e-265
MTFP1,-2.28851654222986,5.96893807886967e-81,-2.01238559039843,1.15641134306553e-230
NPM1,-0.738899085835878,7.06880980942093e-81,-0.798229817922187,0
MARS,-9.16360187202776,3.15501475252209e-80,-3.81705260983288,5.398262582218e-106
CMSS1,3.18528284510479,3.30682305783593e-80,2.53221873854894,1.6957031972407599e-195
H2AFJ,-9.15861847272981,7.04334154981906e-80,-4.86306131489275,3.68609464860196e-129
SH3BP1,-2.81243089234856,1.9940883135431702e-79,-2.73936239834645,1.2678062386866198e-162
C12orf10,-9.39451085794443,3.60478039898077e-79,-3.68830659083484,1.1608934610724397e-133
AARS,-9.21600160730677,5.14588890254102e-79,-4.08396871810112,4.0626645058093296e-116
FKBP8,-1.41169505345317,1.0452685405951498e-77,-1.20329290000606,1.40469923208014e-200
CREM,2.98684834971174,2.5295081960087297e-77,2.79582396467022,1.08087272831507e-192
WASHC1,-1.73188039989922,9.967033265276998e-77,-2.66879739393089,5.075196432333379e-84
ADPRHL2,-9.2689022546939,5.452672902427109e-76,-4.20656689708218,7.54059322769538e-167
NARS,-9.12686122119112,7.37695509485876e-76,-3.37820588576188,1.25278847452578e-84
HIVEP1,2.73566802151658,1.7336686421782398e-75,1.882485157131,1.0119534416714699e-99
HPCAL1,-1.29338983611555,3.16820719200996e-75,-1.65599831581458,7.66042129515893e-278
HILPDA,-3.75810652065195,1.05061574253708e-74,-4.62906133365932,9.52238872182166e-244
UBB,1.05771565889912,1.7939394784025702e-74,1.02962619951342,2.1088777363888598e-280
AC097534.2,-9.59649615665816,6.81594791933706e-74,-7.23266543517515,1.13224152407592e-249
TARSL2,-9.15971873352953,1.52753923839098e-73,-4.3429845026816,2.10029152499816e-104
AC025164.1,-9.14767549096182,3.94397684588964e-73,-4.29017442047736,2.4365664902920096e-118
VIM,1.51435965423167,7.90703140599452e-73,1.56225203797088,0
ZYX,-1.40418521457492,1.28260997859459e-72,-1.31021628057082,3.628094364486249e-89
IFITM1,-1.04933250765644,4.92160193958054e-72,-1.25762366324426,0
ADSS2,4.95018406407567,6.50164353181921e-72,4.41168286482103,6.974098238869008e-237
PACS1,1.2165759421481,1.4833204933638298e-70,0.794065852029832,2.16412914961185e-93
IDS,2.35319090527652,1.4988457998484e-69,2.22726824964739,0
JMJD1C,1.41901279709704,1.78837823937551e-69,0.692492792435865,5.44420567334324e-34
PFKP,-2.27356180124364,3.09713776573829e-69,-3.1129619894524,6.02914468138056e-263
GPX1,4.64766561157566,1.8897726956278102e-68,4.25671496765799,3.9843885236911195e-259
PAICS,-2.35327650107202,4.05386354862616e-68,-2.47401586220202,1.1820213321783e-246
S100A11,1.2460876059037,4.42370191480442e-68,1.61504808426286,0
IARS,-9.23586269256898,2.0773691855719103e-67,-3.56820141823333,1.1111693281818897e-89
CSK,-1.33554562800816,2.77749315382305e-67,-1.17801848374639,5.77162113419555e-160
RCSD1,-2.60649370602863,4.84335373396119e-67,-2.06909596069762,7.456095438947519e-164
TGFB1,1.44280444673118,5.99851800800574e-67,1.7151713429089,0
USP3,1.08975303561719,6.57713713644382e-67,0.858311097449501,2.76285160700887e-103
CORO1B,-2.63944385932605,1.3658750050866e-66,-1.98484283967747,3.96714657608457e-232
PRKY,-7.66995227369724,3.87008130745607e-66,-8.3115549079184,4.06375914759032e-66
ALDOC,-3.27154481491158,6.28281039974495e-66,-3.32140322853666,6.64722850499505e-253
ABTB3,4.90722820180213,1.3629807542979e-65,4.16436141644197,4.65861291513958e-177
ETS1,0.979075874936609,4.47032259624045e-65,0.613427591652389,3.7131000047300004e-113
HMGN3,-1.96727569001967,1.88699310659638e-64,-1.48682179849892,5.656778482570019e-152
ENSG00000289614,5.1075164040588,3.93946325365836e-64,3.84767476025262,1.5640637452444699e-117
TXLNGY,12.1992643150315,1.44384225564904e-63,10.09931006861,6.300563421124919e-49
DBP,-2.70276581744897,1.76868705172772e-63,-1.40496465556938,1.6246711766788598e-77
PPP2R5C,1.41325293183492,4.55290912353377e-63,1.24832632286649,8.095290712459128e-146
RNF125,2.0478122771904,7.41152834137179e-63,2.07939363725542,1.8242664842019897e-231
EGLN1,-1.98156306370736,2.22832025464661e-62,-2.29893298134641,2.1271469131034499e-243
MARCHF7,4.73453196747507,2.63057981381425e-62,4.47820091601976,9.52431016171242e-272
TAF4B,2.22746926551102,9.955493835881169e-62,0.797083569313086,4.7570022540355797e-20
CAMK1D,2.02485815721631,1.18735735132484e-61,1.71183406312857,5.762612635061639e-153
GPSM3,-1.34780477584515,1.33628687186557e-61,-1.1451312455417,1.80911783643992e-261
PLEKHF1,-2.36858709675575,2.1075555225980402e-61,-1.05875189725686,6.26080994719448e-68
KARS,-9.08966186685958,4.8266730581475706e-61,-3.19684052200877,2.69573701730583e-93
POLD4,-1.71768420157029,6.737159950066799e-61,-1.79903855584216,1.89613528071795e-293
SRGN,1.75370834090969,8.87477677057972e-61,1.68771422901313,3.944216290307819e-237
CSGALNACT1,1.30861471207532,1.54116091683604e-60,0.962661184627793,5.99984897342127e-105
ARRB2,-1.3714626698959,3.75875405199657e-60,-1.09610327189266,1.8141952284361098e-76
FGF11,-8.48079170437293,3.95941911507044e-60,-9.12239433859409,1.96989483012961e-127
AHNAK,2.6756871090761,4.37994408870705e-60,2.05077517927881,3.2172656484882296e-182
SARS1,4.99491653860406,2.17990422287407e-59,4.83217185396058,4.0530625982284503e-277
FAM207A,-8.9573367624751,2.34743373310198e-59,-4.48736033884107,5.608967896334249e-117
AC116407.2,-8.13463658907348,1.57095020137185e-58,-3.89534811658445,2.49447946738194e-57
LRMP,-8.9717604127504,1.86846568811485e-58,-4.6685932730011,1.38816501817103e-115
SEC61G,-1.25007336518208,6.061933139924711e-58,-1.43431909358561,6.03833672802743e-256
ANP32A,-1.29168688903874,1.05937721077902e-57,-1.31936889119538,3.132886771024189e-140
ZNF581,-1.59185516612589,2.5319370459392598e-57,-1.285975024079,8.05894040169625e-93
CALM1,0.863961184585048,2.988391951614e-57,1.2997078191121,0
RUNX1,1.23214553651819,4.7284633230781095e-57,0.967246828753649,2.11859238375702e-73
CELF2,0.984106789387372,5.41831167779386e-57,1.04349416817899,3.41888075419741e-138
LRRFIP1,1.48994276701489,6.88081542406233e-57,1.53342776395383,7.290516702541751e-293
TTC37,-8.8392964378718,7.50343309330788e-57,-4.05521818690978,8.04346488047204e-85
MACROH2A1,4.65431213678506,3.0774909036728696e-56,4.18990107574134,2.7675576816222398e-201
CIB1,1.26339957536658,7.10162345760837e-56,0.953471663302178,6.62803517722005e-132
FOXO1,1.39939373118692,3.32286912872722e-55,1.03803235223696,8.83499420467448e-111
NDUFS5,0.95975334827904,3.7647886013065894e-55,0.909723302394284,9.266799766965478e-164
KDELR1,-1.26277797002372,3.8155784851922e-55,-1.22048498902753,4.3808050167917694e-98
AC006064.4,-8.4261681878912,3.92870322288299e-55,-5.00271558580596,3.0787958499978904e-85
AL135905.2,-8.50393290113334,1.01742134446999e-54,-3.48994255487516,2.5048913636417497e-76
ANKZF1,-2.06693320209284,1.5021956087672198e-54,-2.1281872168164,6.716058271847419e-188
PHB1,5.24662813139177,3.52267303968513e-54,4.81087198096659,4.272708318524159e-215
SNHG1,-1.3271809871268,9.500128149700301e-54,-1.27434536443579,2.6050861883875396e-118
CBWD2,-8.74593887324896,2.34389669441377e-53,-3.27128923223553,2.11680966024779e-66
ENSG00000253980,5.87380779237824,3.07990780555677e-53,4.73709910773499,5.34850394952773e-116
IL21R,2.16148972905854,5.69451013607927e-53,1.69092436036835,6.33114964291266e-143
TMIGD2,-2.17404304639629,1.01084593592406e-52,-2.15879567060487,3.905430156165929e-184
ENSG00000291149,5.2258678026016,5.3455459278831306e-52,4.84801122305977,3.3460835791213696e-213
FAM107B,1.00577334447965,5.991210517822871e-52,1.10770693616469,4.366827462603299e-160
ZNF720,-8.66238972344179,6.16427401903419e-52,-4.0314029379534,6.384269996782109e-84
MARCH6,-8.98574687782225,1.7792824490926e-51,-3.37379714274322,3.0635616548769593e-89
TMEM159,-8.04012026132015,1.7869725033706e-51,-4.17045923502725,2.09725093524986e-51
SERF2,-0.882884648324801,2.43809460793348e-51,-0.759330234355369,3.9662709197133197e-202
HCFC1R1,-1.43611358227355,3.18273210788189e-51,-1.55409744578761,7.84437992531091e-85
MYL12A,-1.159948039837,4.22247573485689e-51,-1.2413747226406,1.18100782440296e-183
CCSER2,1.26741105268008,5.14460025426658e-51,0.978384610216665,1.02635078885737e-70
C19orf48,-8.53324049943153,7.25378615329324e-51,-4.10095835866567,5.88259912980284e-66
SKIL,2.74805164828752,1.10179496736941e-50,2.66361704795218,6.307577209235579e-246
SFPQ,1.13089355068568,1.2355287280449299e-50,1.5285199086455,0
AL118516.1,-8.91268008953539,1.84135398169404e-50,-4.12738067662322,1.21016148696132e-96
AC245297.3,-9.31763510531713,2.16872834224016e-50,-3.76008753972519,1.09502640548902e-137
AC118549.1,-9.21900227445184,2.70572858569476e-50,-3.6951443638819,5.305061029468839e-98
CCDC130,-8.69379981463501,3.84317976447139e-50,-3.63433639554297,9.810188183264659e-84
HARS,-8.60638155450468,4.548925853333e-50,-3.07075232261966,6.5607025157796e-51
SIK3,1.85033573484517,3.15058815822815e-49,1.68035136057798,1.19850185097034e-152
GARS1,5.38013384967701,3.44106194067623e-49,4.98042018617349,1.6226924766851e-177
SPOCK2,1.09800503855101,4.60096657837946e-49,0.977995803476562,3.10718785216469e-104
AL627171.2,-7.87049807111387,7.86491452418036e-49,-2.08535156554827,1.2884783470371801e-14
AC100810.1,-8.19155743878709,1.0930068216666899e-48,-3.9200260776895,1.23887805441204e-39
CRYBG1,2.52588218681198,1.18786522996558e-48,2.0372714110542,3.4061143935285598e-99
WDR60,-8.5152819781795,1.29092441313462e-48,-4.7305677583901,3.18882540011267e-83
WDR61,-8.92508954485401,1.30697181763814e-48,-3.09077552749394,5.81377512542999e-70
NCF1,-3.69420135995061,1.70143669371942e-48,-1.84364281183247,6.451468377834281e-52
PRDX2,-1.8917839129725,1.93462558960318e-48,-1.88730934566151,7.279237046857189e-167
C5orf51,-8.65532396246456,2.13858094028187e-48,-3.4058014600532,6.7213894830917e-73
FAM192A,-8.74011223254902,3.1296029189474e-48,-3.67045092813429,1.23298930080427e-71
STAT4,2.38988767281509,3.30558382546966e-48,1.31528856342802,3.9250627535011e-29
MAML2,0.779112454103708,3.8446279561306e-48,0.714735795129088,6.55271634004442e-99
TGFBR2,0.97136326447543,6.6454286272301e-48,0.689991327503836,3.5290837136907e-51
IARS1,5.24840420590046,8.72657723533013e-48,4.40775763153495,7.07208984803533e-105
VAMP2,-0.973244719011575,8.747654528855501e-48,-0.826004461603327,3.7569074265169e-136
YARS1,4.15967855871429,1.16128508655816e-47,3.65643015645389,1.15931116636618e-190
UCP2,0.891229395960029,1.68580728207128e-47,0.996382136958451,3.5691569062128e-138
ANAPC16,-0.951864661562819,2.2161268056621203e-47,-1.17177683616372,1.05671436947429e-204
PBXIP1,1.42013827706102,3.26078128587833e-47,1.03203458575988,2.10502492789209e-77
ABLIM1,0.957712401815953,4.06822331479493e-47,0.862881129709647,1.8644880208276e-138
AC093323.1,-8.71436029297517,8.223058688631621e-47,-3.65797027241521,2.9033007452918195e-84
IKZF3,2.10063856294475,8.726589878210651e-47,1.25133671140891,8.66191002806229e-68
AC026979.2,-8.56719765419049,1.18754233163686e-46,-4.36592427186389,2.93348781614612e-81
BAX,-1.33719372570912,2.24033929601045e-46,-1.36646706707817,9.294009670585011e-111
LINC01619,1.62963493188421,2.35518255506629e-46,1.9267760395742,2.37976196001856e-142
UBE2R2,-0.59480470973748,3.04621028377959e-46,-0.702788573633659,9.679338818695769e-62
DDIT4-AS1,-7.3252063470208,4.0260166475558404e-46,-7.96680898124197,1.09624450615335e-50
EIF4G2,0.929973266434408,4.04088434353073e-46,0.871432129667734,2.13196717780147e-115
IL2RG,-0.758212483589415,5.7879777474261704e-46,-1.07060180433063,0
CLPP,-1.5233473270763,7.95253537987606e-46,-1.39800853770234,3.7969219205665396e-129
AC093157.1,-9.2823393319875,1.1759244454202399e-45,-3.34109334022654,3.02828246408525e-57
ENSG00000289707,12.3623301706419,1.47037222520564e-45,9.9520405775003,4.60427168472589e-38
STING1,5.37073376395667,2.04376144350308e-45,4.36356077414566,1.97681994041574e-104
KCNAB2,-1.49764175166594,3.3262179776636795e-45,-1.77695652778827,1.62936978410842e-114
PCBP3,4.21236986601514,4.1967004420725697e-45,3.71773908353202,4.5869562611663e-138
POLR1H,4.9451495706984,5.0473002660286997e-45,4.74947613524391,6.496428924579639e-225
DENND4A,1.4220199536454,5.24246291264719e-45,1.23808516579958,2.9194178190968998e-65
ZNF395,-2.18265940997204,8.42820078199106e-45,-1.8999437401661,2.09854072964911e-72
ASAP1,1.13321817707482,9.594618141491099e-45,0.818654159550838,7.943326128710249e-31
EZR,1.573669581917,1.0474199590569998e-44,1.54685373642768,2.16186787745115e-282
ATXN1,2.56651865433591,1.0707031866657899e-44,2.02989198055682,5.60175668660769e-88
ING2,-2.01538163633152,1.3495166397673798e-44,-2.36844455783559,4.088178623364089e-107
SNHG12,-0.968162673379313,1.36268764692901e-44,-0.965644587243986,1.46314857085218e-41
CD37,-0.827576203055449,1.3691873848956498e-44,-0.677918488375025,2.3881794830567497e-205
LPCAT4,-1.77295009383318,6.164170382334879e-44,-1.68222829620975,7.266406576719549e-36
MARCHF6,5.51657235196035,8.669325906452379e-44,5.0976341954205,3.7567360836773297e-174
ARHGEF18,1.63138637871377,1.0428008472850499e-43,1.53100874889031,1.36263931777435e-108
SIPA1L1,2.01674526805981,1.3116248934533598e-43,1.3822727337887,4.23905665392885e-53
ENSG00000291099,4.575206630372,3.2739098973968094e-43,4.65898363911165,3.27105434136163e-268
ZNF467,-1.83042984628873,3.324532455635419e-43,-2.3737485794213,1.00754433027268e-24
TCAF2,-2.9222394714482,3.545302172363909e-43,-3.17178179057162,0
IRF1-AS1,5.00784328269264,4.120943070099249e-43,4.51554811217189,3.6227566907299794e-170
ENSG00000291073,5.58535496399434,5.292472779478179e-43,5.13605859074678,1.7702594132647398e-192
Z93930.2,-8.05018974237552,5.857635155872349e-43,-5.87990151403627,2.39960943281609e-65
AL450998.2,-8.47500043088554,1.20083795036971e-42,-3.80944165579621,8.37535548813111e-64
UNC119,-1.38038690071914,2.3637823199943e-42,-1.5278338578991,3.0181558369313e-62
CXCR4,1.31635440471732,4.41416170761146e-42,1.58918387689309,5.8844414652598995e-261
GLIPR1,1.79830138708738,4.9017242543919696e-42,1.99462587284459,1.4087841082882997e-166
NCOA1,1.65391998926326,6.25159582456668e-42,1.10050344663462,4.05488971492406e-35
CSTB,-0.724149256618438,6.4079648184433e-42,-0.882881463454876,4.0759551203781994e-88
SESN3,2.05445166708549,7.483682767288769e-42,1.36604808378901,1.30595091836862e-64
TSPAN2,3.80523129943593,1.00995289520135e-41,3.4834647911303,1.6855162795030697e-162
KIAA1109,-8.61392726781719,1.1831992755614799e-41,-3.5568169782269,1.15901750641503e-62
ADORA2A,-3.60080270671614,1.66065086963351e-41,-2.45880429106185,9.34379973649867e-79
CDK2AP2,-1.14737238779574,1.72600385086806e-41,-0.984864823832235,8.83447017846628e-40
DBNDD2,-1.66479609341509,2.0115258377205299e-41,-1.87095948252583,1.70034552291536e-38
EPS8L2,-3.65190334896822,2.27330040320854e-41,-2.54975219839358,2.08662970340213e-53
HIST1H3D,-8.01383248921624,3.20247583696148e-41,-4.25287017370442,9.96698398505807e-57
