gene,avg_log2FC,padj
FAM102A,-3.9144158529214,3.54568326268351e-253
ALDOC,-3.32140322853666,6.64722850499505e-253
CCNI,-0.839012445417065,1.70249674556307e-252
UBC,0.872819916768144,7.57640227355505e-251
AC097534.2,-7.23266543517515,1.13224152407592e-249
PAICS,-2.47401586220202,1.1820213321783e-246
SKIL,2.66361704795218,6.307577209235579e-246
AKT3,1.69045562112859,7.779361135907299e-246
PFKFB4,-6.77137453904925,2.67996637689168e-245
ABCG1,3.4908769026608,1.5541746739448898e-244
ENSG00000268027,6.24490096481568,2.033387032142e-244
SARS,-3.6820624039789,2.3586353535332798e-244
HILPDA,-4.62906133365932,9.52238872182166e-244
EGLN1,-2.29893298134641,2.1271469131034499e-243
HERC1,1.57437821316952,3.0467293382313696e-241
MT-ND1,0.697102474917035,1.07372536496782e-238
SRGN,1.68771422901313,3.944216290307819e-237
ADSS2,4.41168286482103,6.974098238869008e-237
HIST1H2AC,-4.5743903082663,3.751366503924979e-235
NPEPPSP1,6.23130215542564,1.28972982265648e-233
CORO1B,-1.98484283967747,3.96714657608457e-232
RNF125,2.07939363725542,1.8242664842019897e-231
MTFP1,-2.01238559039843,1.15641134306553e-230
AC243960.1,-3.44576854517096,1.5912231420799997e-228
ACTN1,-1.43771961232633,1.0642291501594198e-225
POLR1H,4.74947613524391,6.496428924579639e-225
PYURF,-3.25714606197935,6.998342138965099e-221
MARCH7,-3.93172338863167,5.680703105902108e-219
AC008105.3,-4.03153258398339,1.0181487558172197e-217
PHB1,4.81087198096659,4.272708318524159e-215
MARCHF5,4.98288754059009,1.2566891552107199e-213
ENSG00000291149,4.84801122305977,3.3460835791213696e-213
GNG2,1.69712110007087,6.27934066435777e-213
ENSG00000257732,10.228323877995,9.57459343077204e-211
RGCC,1.39569121635499,4.06650865834282e-209
C5orf56,-3.448075521977,5.460852303847999e-209
NDFIP1,1.0751864092855,5.67125931451485e-209
ACAP1,-1.87001940939099,2.3323994500703197e-207
ENSG00000273149,3.00825956531598,1.6950519913387097e-205
CD37,-0.677918488375025,2.3881794830567497e-205
ANAPC16,-1.17177683616372,1.05671436947429e-204
YARS,-3.99211828832531,1.4937202293929498e-204
TSC22D3,1.45534784414705,9.536014008540778e-203
ZNRD1,-3.28203802640669,2.51727814883879e-202
TUBA4A,-1.58580913046655,3.29609564494667e-202
SERF2,-0.759330234355369,3.9662709197133197e-202
MACROH2A1,4.18990107574134,2.7675576816222398e-201
FKBP8,-1.20329290000606,1.40469923208014e-200
ANXA2,3.09200646868361,1.2143709373614497e-199
LMNA,3.74710302211288,1.88214378329089e-198
RNF216P1,4.66394868303884,1.1865699245795399e-197
CYSTM1,3.18168427698325,3.2905816259202396e-196
CMSS1,2.53221873854894,1.6957031972407599e-195
ENSG00000274265,5.62250341830182,3.67245891423916e-195
EPRS,-3.91639898934869,1.0454050765214399e-194
CREM,2.79582396467022,1.08087272831507e-192
ENSG00000291073,5.13605859074678,1.7702594132647398e-192
YARS1,3.65643015645389,1.15931116636618e-190
GMFG,-1.08852154604121,2.49393664059885e-189
ANKZF1,-2.1281872168164,6.716058271847419e-188
SSH2,1.14660340136121,2.18665935874062e-187
CALM2,0.808394405110431,2.8475209460028796e-184
TMIGD2,-2.15879567060487,3.905430156165929e-184
MYL12A,-1.2413747226406,1.18100782440296e-183
AHNAK,2.05077517927881,3.2172656484882296e-182
CD6,1.11522289688188,2.3109455369415698e-181
GZMA,-3.50609157604328,3.1339172067943096e-181
H2AFY,-3.40889282766729,3.4402547534487e-181
MBNL1,0.851896762644764,3.4933387805559704e-180
LDLRAD4,1.72295559324796,8.38732356703202e-179
C12orf65,-3.730216191177,7.171768401819899e-178
GARS1,4.98042018617349,1.6226924766851e-177
ABTB3,4.16436141644197,4.65861291513958e-177
AC004687.1,-3.69140835926283,5.992866642887269e-177
ENSG00000291075,4.44265482792331,1.27157104842832e-176
NHERF1,4.27036634488225,2.2075453966415598e-176
ATOSA,4.0779499039276,1.08885992817112e-175
MARCHF6,5.0976341954205,3.7567360836773297e-174
AC092821.3,-4.15089647019576,7.41586044455123e-174
KLF12,1.35462632760765,9.61025192137183e-174
