"Cluster","PID","Proportion"
"Terminal TEMRA CD8","CP020",0.0837655601659751
"Transitional Tem CD8","CP020",0.0746887966804979
"TRDV1+ γδ T cell","CP020",0.224585062240664
"Vγ9Vδ2 γδ T cell","CP020",0.0142634854771784
"Effector CD8","CP022",0.118707738542449
"KIR+ innate-like CD8","CP022",0.00976709241172051
"MAIT-like Trm","CP022",0
"Naïve CD8","CP022",0.503380916604057
"Naïve CD8 (innate-like)","CP022",0.169045830202855
"Naïve CD8 (post-ART)","CP022",0.00525920360631104
"Naïve-like TRDV1+ γδ","CP022",0.00826446280991736
"Terminal TEMRA CD8","CP022",0.149511645379414
"Transitional Tem CD8","CP022",0.00901577761081893
"TRDV1+ γδ T cell","CP022",0.0240420736288505
"Vγ9Vδ2 γδ T cell","CP022",0.00300525920360631
"Effector CD8","CP042",0.0769230769230769
"KIR+ innate-like CD8","CP042",0
"MAIT-like Trm","CP042",0.00274725274725275
"Naïve CD8","CP042",0.71978021978022
"Naïve CD8 (innate-like)","CP042",0.0906593406593407
"Naïve CD8 (post-ART)","CP042",0.0137362637362637
"Naïve-like TRDV1+ γδ","CP042",0.0137362637362637
"Terminal TEMRA CD8","CP042",0.0137362637362637
"Transitional Tem CD8","CP042",0.00824175824175824
"TRDV1+ γδ T cell","CP042",0.0247252747252747
"Vγ9Vδ2 γδ T cell","CP042",0.0357142857142857
