"","CP002-entry","CP003-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP022-entry","CP042-entry"
"CCR6",0.185545741467826,0.0596079789910491,0.0266314843751491,0.168688628533519,0.0616019267503646,0.206116365505249,0.00413475647519727,0.163235020402219
"CXCR5",0.0155938753051937,0.105148968920152,0.0172505738682186,0.12713207931165,0.0455076600156573,0.0609820238925352,0,0.0179553513076459
"ITGAE",0.0322928103822592,0.0105162144371121,0.0236741772276953,0.0422934603246955,0.0100859621580933,0.144226217958246,0.907083108406321,0.0177688929832947
"CD69",0.43447049225589,0.298442485974783,0,0.258469356685995,0.00363336198416599,0,0,0.100628785620452
"SELL",1859.46782998121,427.695678450609,474.287512466989,11.9093600121138,953.786241929295,798.548489263469,56.2508206288101,623.874751110162
"KLRB1",0.0426969249486824,0,0.00549872113295468,0,0,0,0.00212896260086377,0
"CTLA4",0.00246331691573176,0.0156709986893101,0,0,0,0,0,0
"LAG3",0,0.0440240754739699,0,0,0,0,0,0
"KLRG1",0.270911017641315,0.11528176029163,0.00380325935660854,0.0644589745242046,0.003380654329566,0.0272972762440404,0,0.0174838646944197
"CD27",1.37808094158572,10.5310697106095,0.453791949296211,0.11212690802806,0.872950769683712,0.239417959088202,2.97313123102744,0.162586747183841
"LAMP1",0.00354543635601567,0,0.00672110041862592,0.00224500672368811,0.010752963634599,0.00450498523907789,0,0.0037641522189857
"FAS",0,0.0385205924448913,0.011224151455947,0.0153780072345734,0,0,0.0066792937135456,0
"TNFRSF4",0,0.019310992472977,0,0,0,0,0,0
"HLA-DRA",1.07954084716616,0.0895550861815229,0.0202263003982901,6.95921293101382,0.741479808007107,0.00257792981409587,0.00235939706006132,0.0233014170244459
"CD1C",0.501285838033533,0.516720136215096,0.367320693226005,2.41234632421767,0.840740663538887,0.0290299285250977,0.106378926428098,0.0209830838841158
"ITGAM",0,0,0.0209494991742149,0.0665867476853475,0.027350631970874,0.0110204542292529,0.0107613299612008,0.0485841579535304
"FCGR1A",0,0.0732808228794152,0.0463805470825998,0.0307712338151786,0.0993604752745898,0,0.0204508413279032,0.0437128205397376
"THBD",0,0.0231781452598777,0,0,0,0,0,0
"CD1D",0.00448910912578339,0,0.0037837197706068,0,0,0.0158063015603941,0,0.00211056560559476
"KLRK1",0,0.0342202112408376,0,0.0102167482206204,0.00183728232822725,0,0,0
"CR1",4.48786985691535,93.409670046983,0.857644126414035,96.5895818962907,4.79864460945221,1.81617820400999,0.211558430321553,0.224269014140641
"B3GAT1",0.0560421864302785,0.19723653134668,2.84229185338823,0,0.00160482973566755,0,0.156276454572982,0.0179988988371772
"BTLA",0.0352150955753365,0.0225109707417475,0,0,0.00100130626042034,0,0.0110144468475396,0
"ICOS",0.00998997761744068,0.0732173800525809,0,0.0943711213101881,0,0,0.00412622551095867,0.0684017993406589
"CD58",0,0,0,0,0,0,0,0
"ENTPD1",0.0148963244171764,0,0.0386356601387661,0,0.163746289605035,0.266162802077751,0.0416749453230544,0.0656509370718334
"CX3CR1",0,0.0101625624579823,0,0,0,0,0,0
"CD24",0.0508943707566118,0.0108073235870354,0,0.0319305572045521,0.0123676235478983,0.00643326603456477,0.0199146939431055,0
"CR2",1.72858523703531,0.068274085920574,3.09017565757559,64909374.3419232,18223.025026082,366.331652519195,0.168138212166431,1.20882588087263
"ITGAL",0.739402282680164,1.982220931462,0.369697738667403,3.66691843988066,0.165863718036678,0.0656706537852899,0.289410151515334,0.32503249556897
"CD79B",0,0.0475947111832522,0,0,0,0,0,0
"CD244",0.00802571585145689,0.00790059997349197,0,0.0750752795283813,0.0276172310944234,0.00725855675558254,0.0243586816120282,0.019132102287189
"SIGLEC1",0,0.00109843621626916,0,0,0,0,0.00743275453262553,0.000310942965231194
"ITGB7",3.33960519614865,0.193262086768369,0.0482940457783493,0.194110527361999,0.0428910376794475,0.0157877707204367,0.178713664521233,0.0511982542912278
"TNFRSF13C",0.0277144991220641,0.0581104062586971,0.0116333245467562,0.0085243788108799,0.134547692907031,0.0132150203199259,0,0.032565597768239
"GP1BB",0.0010567635272136,0.0112396666092429,0.0240987166726279,0,0.0190730465863739,0,0.0137854655996169,0.0254094572020598
"ICAM1",0.286547752241821,0.335222954201613,7.19528696438147,4.10157305165981,0.406535781939148,0.198160736475306,0.696645195928443,4.0834209110245
"SELP",0.0195522033091325,0.0273754723772375,0,0.0655050617820234,0.0235334483210544,0,0.0148490803321059,0.000651800655094379
"IFNGR1",0,0.0250686458119421,0.000210100702873412,0.0164168182766784,0,0.000226872329205549,0,0
"TCR-AB",0.00996544323793825,0.117485313932799,0.0426828312595104,0.0111338328746385,0.0480943791836388,0.0222419886815365,0.0180377466694654,0.0303915880392697
