"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"CD7",168.869967008534,101.434648101734,6332.51284995164,54.3430022005834,68.9950081997766,62.7962697504279,345.99042091894,56.0643023550002,136.11520896532,15.1959256239179
"ENG",0.00171232057169499,0,0,0,0,0,0.00447984258334452,0.00469884786446452,0,0
"ITGA6",0.00848988005694406,0,0,0.00865900757005651,0,0.00205771212028755,0,0,0.00104948632219303,0
"CCR4",0.0572366774723367,0.0321165060888949,0.181012597993326,0.00146324420308314,0,0.0100285864714478,0.0100628939112832,0.0674591316219406,0.0110021104160493,0.0526602504183336
"CD4",0.006750780263119,0.000440528549983193,10.6479202400236,0.0087019772749797,0,0.00745615282762392,0.0114353029697708,0,0.000989921329461501,0
"CD44",3.48276725801399,4.45289443357256,9.14983608448589,168.992372929565,13.7311065876557,11.0905807544377,10.3178480204319,2.79224730932176,6.53449719457292,423.870009324251
"CD14",0.0234400487507685,0.0314191453468101,0.142026867722739,0.00309990103914457,0.0138310166271761,0.000848774588902346,0.0032534459492004,0,0.0325395890236663,0.0366239343887111
"FCGR3A",784.519634228833,1107.98892873541,7002550.83463942,1041.06804765974,58824200205.0578,377705.705863222,10462.3889331596,39046.1300338069,950212.926929571,24652.9870704963
"IL2RA",0.00127927950084762,0.00562619626576017,0.0300705313074984,0,0.00195408198562508,0.0062576807818965,0.000311363299361037,0.00706473210933996,8.82388034686524e-05,0
"CD45RO",0.0130692058200118,0.00353406411171391,0.0566459529316432,0,0,0,0,0,0,0
"PDCD1",0,0,0.0035227697828724,0.00114042618324249,0,0,0,0,0,0.00176696968722535
"TIGIT",0.704481200533143,0.475274198886779,7.51974283392203,0.00429430482728923,0.0185933895006254,0.00710404231926689,0.00928907917382961,0,0.0124499655335041,0.00474571681729357
"Mouse-IgG1",0,0.000200069915726369,0.00242273498642184,0,0.00134037286647314,0,0.00215449706890025,2.32797655272194e-05,0.00214152930249872,0.0119084173088869
"Mouse-IgG2a",0.00610979435289846,0.000881768798470062,0.00213647082168119,0,0.00536503232686925,0.00213253216117287,0.00578591529912104,0.000155396987627678,0.00130022397511069,0
"Mouse-IgG2b",0.153664345379996,0.00124303092207553,0.676963798997892,0,0.0272364928299508,0.00405743864528279,0.00520676236269175,0.0099058375761114,0.0198494409795119,0
"Rat-IgG2b",0.0143388855916782,0.00841716218986604,0,0,0.0275018929511284,0,0.00549136963610392,0.00997274740674373,0.00113286539285665,0
"MS4A1",0.00263317936092878,0,0,0.000359040127733403,0.00623551403850732,0,0.0190061922866511,0,0,0
"NCR1",1.31791822325616,0.574550925666921,226.719780669992,1.09089623095619,83.5328647195058,3.36542316223472,0.726623794760531,0.827989279186408,0.325993109542056,0.669597777073207
