"","CP002-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"Mouse-IgG2b",0,0.000644602478161693,0.00348966964291532,0.00139749923830834,0,0,0.000554117150786448,0.000939060671813736,0
"Rat-IgG2b",0,0,0,0.0129236601645352,0.00546562638402476,0,0,0,0.00603218508389584
"MS4A1",1.87657018229371,0.701237199378105,34.6250501962241,70.2856311650004,12.6755225490214,703.966452017007,119.263402753389,87.9539793109035,0.568571470421322
"NCR1",0.0026657430149807,0,0.0489152880782645,0,0.000900615601173796,0.140664403522935,0.00353803900629976,0.00389459451466297,0.0197333837676887
"PECAM1",3.04361243189081,4.28053998734691,1.11116269109316,0.0584481597635533,5.10441863878656,0.463855795116699,0.240277499775007,0.799864169812869,0
"MCAM",0,0.0480090231527437,0.436773764891004,0.0246983192717817,0.0637036874556456,0.0339113118799964,0.000511980742597188,0.029393846614293,0.0428387642284684
"IGHM",205.53953598885,90.1041020241263,2021.0621491462,248.922527438999,225.275562156031,75136.028340708,193.466254536345,82.7897020157425,661.391042056018
"CD5",8.67511718403506,5.28307632700099,41.4158417087441,4.2725896510538,5.15646189677505,0.146581914186963,13.2349117803686,3.58306648111896,14.77827197892
"CXCR3",0,0.00514849256139786,0.0104318481436089,0,0.00191941742047927,0,0.00903266619777488,0,0
"CCR5",0.00164520404955804,0,0.0021388266926516,0,0.00127955713329868,0,0,0,0
"FCGR2A",47.1772062801085,3.91950609298942,224.97646517813,91.4442279632879,10.3273378809717,116.596918290098,46.9370483025581,67.8656640060557,0.5042600336754
"CCR6",0.817448995019975,0.412037893549408,6.37921639406169,0.810584543070392,0.319510064919652,103.984542869178,25.8694396871327,0.679799018540173,0.0563247493419718
"CXCR5",0.919727192029769,0.128513233072013,1.97746843425141,0.215127774128073,0.259684128649974,1.8872754273607,2.55266204294436,0.461262401005608,0.184879653468174
"ITGAE",0.127844152638289,0.0209356137756751,0.228337932477567,0.0522459881319847,0.0617975627486616,0.0035766006586233,0.0977209573056459,0.00544265204961354,0.0275344611753996
"CD69",201752.47229763,16.6631224398625,17893.6343675453,20.4096121325475,10.7221340499275,5235.48322017204,118.332604278109,49.9721420032172,11.1046061540405
"SELL",11417.3558656261,5147.45245509142,11.2316475203871,63.6772968426199,15839.7709966943,14.0969842085958,1378.39721175138,2556.41830083228,4927.79663883636
"KLRB1",6.30052710518761,0,9.30983330971629,0,0,0.18911968416147,0,0,0
"CTLA4",0.00276371323658495,0,0,0,0,0,0,0,0
"LAG3",0,0,0.0192322239552601,0,0,0.0682386868259302,0.0103683744001368,0,0
"KLRG1",0.000833689316598062,0,1.75041323268088,0.00263538359136381,0,0.0290980478832291,0,0,0.000481168509909697
"CD27",0.229901398502318,0.294785204531143,21.082297200619,0.18924316686649,2.12537565087619,0.312819160444965,4.34706565336308,0.0430929281582377,0.18305277838168
"LAMP1",0.0058557353061248,0.0461754387981587,0.122847953432037,0.0434793222508666,0.0112676511402102,0.168501396075127,0.0741547210092875,0.12332845686044,0.821167086514254
"FAS",0.098533054764401,0,3.66202235010711,0.0404655941518576,0.062061133188085,0.203765491134725,0.0381326897060442,0,0.0130885247066241
"TNFRSF4",0.00136805956178774,0,0,0,0,0.747580445946823,0,0.0932553420569257,0
"HLA-DRA",164.168253160428,35.2292958055678,4461.90887091022,156.731805787837,105.511640454378,3753.44528296876,1062.39368072431,62.0151898719476,36.2648117035098
"CD1C",2438.08709329688,16.3334299444251,14880062.0609314,25714.6936311226,28780.6773327601,666452938.797116,129213.137314473,478.294055752433,66438.1184006172
"ITGAM",0,0.0232207631107243,0.420161396863777,0.0183599207562378,0.0159724113259355,1291.43763774124,0.0206184799685474,0.0331114965277788,0.415650692201758
"FCGR1A",0.0372460098328848,0.0127432896333438,0.234888371306408,0.0259731792925801,0,0.996358684974076,0.069772060601577,0.0276589061031896,0.158175789251178
"THBD",0,0,0,0,0,0.00648637939623441,0.0365153664342777,0,0.0412035966839811
"CD1D",0.0285882770749158,0.031732882812935,0.0243512939483143,0.00586293086789246,0.0166512351573319,0.0214617201123845,0.451588962156999,0.0225722701079181,0.00234927796517643
"KLRK1",0.0130294561051845,0.00310601486790463,0,0,0,0,0.0113185934718814,0,0
"CR1",636.327993097808,1839.13290553214,687665.062309805,3294.61363638885,32903.9841385532,412368.194011862,66634.8811031932,3775.86438881904,17811.1663285258
"B3GAT1",0.00340105358105179,0.00567549069801164,0.010461391731166,0.0133499837029346,0.329584461547509,0.00220405781538603,0.0490084701267613,1.2175803040568,0.000851053345899276
"BTLA",0.683874322920431,0.49496058360914,0.23399589466414,0.250381239525439,0.204074685605744,3.01715684669171,0.240199041047888,0.75311795717873,0.0528404140877913
"ICOS",0.00103287591274999,0,18.1328579389365,0.00499322880256222,0,0,0.0395640111126606,0,0.0310599830041739
"CD58",0.178973341392619,0,0,0.000179214162905697,0.00480799480097031,1.8585854979605,0.065389596877482,0.00105664175017621,0.00325137084607676
"ENTPD1",10.9249735220285,3.91982020997914,967.411552021876,5.18923886348119,70.0608556216209,2766.17961595004,7948.73478507264,1.61931140323598,3.8856561776539
"CX3CR1",0,0,0,0,0,0,0,0,0
"CD24",0.266893208419436,0.0410582852407387,4.05475873243922,0.227368543138473,0.0307699046093759,3.21730068975976,1.45493021851404,0.767682804229461,0.175020645889212
"CR2",210340.753819159,10223440.7639264,287704093594574816,7269860770.1757,17008097126.5385,722855772457.671,1604403032.16737,4749784930.47364,6390027365.98667
"ITGAL",2.43636435799499,1.12567263542794,520.199138070732,4.15218874508247,70.8656534948039,86.7279617454265,5.86595897192979,1.87707207469822,5.26579270839292
"CD79B",0,0,0.00972558814352639,0,0,0.114005920252871,0.603556248443341,0,0
"CD244",0.00128279292806422,0.0138218411805922,0.0771118016740974,0,0.0279788015440876,0.00638136336696062,0,0.00927156250679645,0
"SIGLEC1",0.0789933600397358,0,0,0,0,0.00284191689616824,0.00101057583815789,0,0
"ITGB7",0.0283981572777597,0.249125868861947,0.307475744134622,0.00448580044533215,0.0661927975094828,0.0099434362688744,11.9051681612552,0.024882713815355,0.148200604618714
"TNFRSF13C",2.08255031687252,0.927880210599331,41.2088604557554,1.757301406927,0.656178913831072,323.330141976404,27.8264551067568,0.907836575231453,0.676847254703202
"GP1BB",0.0225250885975052,0,0,0.0191994960756342,0,0,0.0250571661110576,0.000617622470440008,0.184907007177042
"ICAM1",311.423159162205,24516.0785653427,2838.86226935114,2127.09639421791,4765.58231469975,111.114953508192,93444.8962240036,2525.83455241297,38.8523881824265
"SELP",0.860426043147364,0.037334430704158,1.60509553675471,0.0396059007582626,0.0998755514400452,0,0.282649582435425,0.116153865045878,0.0189251581900264
"IFNGR1",0.168771261912226,0.00511581949486109,0.0141003552595472,0,0.00224497870677343,11.0369321026052,0.190856499170247,0,0.0415341642874012
"TCR-AB",0.914548963023318,0.00211350004870131,16.6345623929782,0.118518357348929,0.147162865578242,0.0364130858719904,0.342397973507658,0.294671764850953,0.946700759965311
"Rat-IgG1",0,0,0.00413933944970432,0,0,0,0.00548708694620317,0,0
"Rat-IgG2a",0,0,0.0323146896529654,0.0124656072455039,0,0,0.00259549528534388,0,0
"Hamster-IgG",0,0.0071594513886045,0.036124631130947,0,0.0219358741876489,0,0.103079537076484,0.0139781047575392,0
"IL2RB",0,0.00130236769022144,0.134534212767729,0,0,0,0,0.00400656047898606,0.0142831081110615
"TNFRSF13B",0.00379036999802585,0,0.183342605821279,0.0171666046470562,0.0180892755018734,0.0854934572951422,0,0,0.00896882565575935
"FCER1A",0.00530721878113347,0.00837269667985645,0.0541338115455699,0,0,0,0,0,0
"ITGA2B",0,0.238165961799914,0.0177518955078974,0.0369711741702835,0.178002096162743,0,0.0280076515534383,0.193150415307258,0
"TNFRSF9",0,0.668286490722687,0.351715205451405,0.0239304050611955,0.025794269960085,1.00006301791188,0,0.0177655635767374,0
"CD163",0,0.0264960649189416,0.0578573065958873,0.0153045574476832,0.00386988784621621,0,0,0.0461829769843643,0.0161328749403046
"CD83",1.00793679371472,0.932374452501753,12.8161321298686,1.7288700665238,0.555485824798658,37.5767651220452,0.0629665161940757,2.69413720289791,1.63547375780726
"IL4R",0.0404607710062155,0,0.00154851013549105,0,0,0.248709991036855,0,0,0
"ANPEP",0.0243280290982561,0.00101434213830707,0.00599027966499972,0.0244686233998079,0.0104871516181646,0,0.207285730098078,0.0108812612505906,0.00586917097416486
