cluster,direction,gene,avg_log2FC,padj
0_CD4_T_cell_HighvsLowVL_ALL,Up,ATP5MD,0.852716549149703,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,DARS,0.846735151799979,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,MIF,0.770596191699751,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,ENO1,0.679744158719436,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,GYPC,0.584902018624315,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,HIST1H4C,0.672976076286704,1.18773733306119e-293
0_CD4_T_cell_HighvsLowVL_ALL,Up,EVL,0.589426621841924,1.51295989979328e-293
0_CD4_T_cell_HighvsLowVL_ALL,Up,LCK,0.772327892784594,2.93694697016404e-293
0_CD4_T_cell_HighvsLowVL_ALL,Up,IFITM2,0.668632467205196,3.13934082427644e-293
0_CD4_T_cell_HighvsLowVL_ALL,Up,RAC2,0.732629036712125,1.1736674453956597e-287
0_CD4_T_cell_HighvsLowVL_ALL,Up,CD27,0.898265374610399,9.00751818208021e-280
0_CD4_T_cell_HighvsLowVL_ALL,Up,IL16,0.916858072957348,4.60965660670075e-277
0_CD4_T_cell_HighvsLowVL_ALL,Up,CCDC107,1.19663972822925,2.3773772601623e-276
0_CD4_T_cell_HighvsLowVL_ALL,Up,FAM162A,0.996989932210957,2.8479872672711696e-276
0_CD4_T_cell_HighvsLowVL_ALL,Up,HIST1H1E,1.67144031409205,1.95896159301581e-264
0_CD4_T_cell_HighvsLowVL_ALL,Up,SIT1,1.30497454992991,2.9437629545156198e-255
0_CD4_T_cell_HighvsLowVL_ALL,Up,CORO1B,1.65006619808233,6.01431815157059e-254
0_CD4_T_cell_HighvsLowVL_ALL,Up,YPEL3,0.730647552655616,3.0048803932455097e-245
0_CD4_T_cell_HighvsLowVL_ALL,Up,SLC9A3R1,1.03183266472193,4.454330245426031e-239
0_CD4_T_cell_HighvsLowVL_ALL,Up,ANP32B,0.641150674842955,2.83025778801534e-233
0_CD4_T_cell_HighvsLowVL_ALL,Up,MGAT1,1.3008905314233,9.80519941369239e-227
0_CD4_T_cell_HighvsLowVL_ALL,Up,PGAM1,0.756095072121531,2.5202851889596897e-220
0_CD4_T_cell_HighvsLowVL_ALL,Up,ACTN1,0.99782473876241,4.91276912310892e-218
0_CD4_T_cell_HighvsLowVL_ALL,Up,NUCB2,0.891328994740994,2.2156761554453496e-217
0_CD4_T_cell_HighvsLowVL_ALL,Up,PCBP2,0.606353757894946,1.3747984873034098e-216
0_CD4_T_cell_HighvsLowVL_ALL,Up,ENO2,1.56779565543724,6.570251101841459e-212
0_CD4_T_cell_HighvsLowVL_ALL,Up,GPSM3,0.608278372756878,9.649199991865158e-210
0_CD4_T_cell_HighvsLowVL_ALL,Up,VEGFA,1.55152482361596,1.0924742698447499e-204
0_CD4_T_cell_HighvsLowVL_ALL,Up,SEC61G,0.95195985500272,8.323611204571909e-203
0_CD4_T_cell_HighvsLowVL_ALL,Up,MATR3.1,0.739904560019871,2.22327350826359e-200
0_CD4_T_cell_HighvsLowVL_ALL,Up,WDR54,1.15231431847311,2.73449172539428e-200
0_CD4_T_cell_HighvsLowVL_ALL,Up,SOCS3,1.20459084925359,3.49599761438102e-191
0_CD4_T_cell_HighvsLowVL_ALL,Up,POLD4,0.63471363094128,1.66251680308343e-186
0_CD4_T_cell_HighvsLowVL_ALL,Up,GZMA,1.48257099981885,5.4095374681389505e-186
0_CD4_T_cell_HighvsLowVL_ALL,Up,FAM49B,1.13088527565868,2.8788482441866398e-185
0_CD4_T_cell_HighvsLowVL_ALL,Up,HPCAL1,0.671114521002493,7.124058404367679e-183
0_CD4_T_cell_HighvsLowVL_ALL,Up,ENSG00000273149,0.585330483701011,3.014329516523959e-182
0_CD4_T_cell_HighvsLowVL_ALL,Up,C9orf16,0.838911226945088,1.5491298583668298e-173
0_CD4_T_cell_HighvsLowVL_ALL,Up,PDK1,0.619278148431449,6.066714526001449e-166
0_CD4_T_cell_HighvsLowVL_ALL,Up,SARS,0.980938825609935,3.1647752583695195e-165
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC097534.2,1.41387263190758,1.8079619748324696e-164
0_CD4_T_cell_HighvsLowVL_ALL,Up,FAM102A,0.830923620199762,1.4507071542212398e-163
0_CD4_T_cell_HighvsLowVL_ALL,Up,EGLN1,1.0554512667845,2.35407465354796e-159
0_CD4_T_cell_HighvsLowVL_ALL,Up,MYC,0.735508933746075,1.7577258182148598e-156
0_CD4_T_cell_HighvsLowVL_ALL,Up,ACAP1,0.79916051214485,1.3230567184023699e-155
0_CD4_T_cell_HighvsLowVL_ALL,Up,PFKP,0.95184600777589,4.323718998113629e-154
0_CD4_T_cell_HighvsLowVL_ALL,Up,HIST1H2AC,1.11398986830135,4.972502106316889e-153
0_CD4_T_cell_HighvsLowVL_ALL,Up,YARS,1.21884258661552,9.19425434099462e-149
0_CD4_T_cell_HighvsLowVL_ALL,Up,HIST1H1D,0.766828365391916,3.1281783934579395e-148
0_CD4_T_cell_HighvsLowVL_ALL,Up,PAICS,0.774781826745376,2.5732228334059e-146
0_CD4_T_cell_HighvsLowVL_ALL,Up,PFKFB4,1.2435235072248,1.66499260682994e-144
0_CD4_T_cell_HighvsLowVL_ALL,Up,MTFP1,1.00362404018184,2.6750723802151e-144
0_CD4_T_cell_HighvsLowVL_ALL,Up,MARCH7,0.928954019227871,3.65647540069526e-144
0_CD4_T_cell_HighvsLowVL_ALL,Up,HNRNPDL,0.730090473981909,5.41410067555266e-143
0_CD4_T_cell_HighvsLowVL_ALL,Up,FKBP8,0.598430406357851,1.98293064654417e-142
0_CD4_T_cell_HighvsLowVL_ALL,Up,TAF1D,1.01729464854433,2.2481933892608497e-141
0_CD4_T_cell_HighvsLowVL_ALL,Up,ANAPC16,0.614313054801417,1.1430167140180199e-133
0_CD4_T_cell_HighvsLowVL_ALL,Up,ALDOC,0.827763863143163,3.2496069142435094e-133
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC008105.3,0.712378295319928,5.87867378803733e-131
0_CD4_T_cell_HighvsLowVL_ALL,Up,ITGB2,0.868497195177144,2.48539040044972e-129
0_CD4_T_cell_HighvsLowVL_ALL,Up,TUBA4A,0.722946714975062,1.0939944147123699e-127
0_CD4_T_cell_HighvsLowVL_ALL,Up,VAMP2,0.628484832085354,3.0720364752416396e-123
0_CD4_T_cell_HighvsLowVL_ALL,Up,EPRS,0.763244837317979,7.264305103883109e-120
0_CD4_T_cell_HighvsLowVL_ALL,Up,ANKZF1,0.862364377015246,5.96842146574083e-115
0_CD4_T_cell_HighvsLowVL_ALL,Up,AL133415.1,3.2969555804318,9.493431076795989e-114
0_CD4_T_cell_HighvsLowVL_ALL,Up,MARCH5,0.919284963913347,3.6127969665048296e-113
0_CD4_T_cell_HighvsLowVL_ALL,Up,UBALD2,0.747233473541315,5.69202496727806e-111
0_CD4_T_cell_HighvsLowVL_ALL,Up,H2AFY,0.621874973789309,1.1007513533822701e-110
0_CD4_T_cell_HighvsLowVL_ALL,Up,C12orf65,0.761961634802976,3.5139888788566295e-109
0_CD4_T_cell_HighvsLowVL_ALL,Up,GRK2,1.25414152247353,4.38790612311311e-109
0_CD4_T_cell_HighvsLowVL_ALL,Up,CIRBP,0.673055846570455,5.54891516969974e-109
0_CD4_T_cell_HighvsLowVL_ALL,Up,TMIGD2,0.598793152884442,3.17005617520039e-108
0_CD4_T_cell_HighvsLowVL_ALL,Up,SH3BP1,1.12984805685852,4.2554153405669896e-108
0_CD4_T_cell_HighvsLowVL_ALL,Up,ANKRD37,1.18696210113671,2.6060354214461998e-107
0_CD4_T_cell_HighvsLowVL_ALL,Up,SNHG1,0.981773106471729,2.8573917460842395e-106
0_CD4_T_cell_HighvsLowVL_ALL,Up,LY9,0.777406636696586,3.0316823985486396e-106
0_CD4_T_cell_HighvsLowVL_ALL,Up,GARS,1.39361467087489,1.1636131868429599e-102
0_CD4_T_cell_HighvsLowVL_ALL,Up,PSIP1,0.753799473930909,4.6170052162294195e-97
0_CD4_T_cell_HighvsLowVL_ALL,Up,HSPB11,0.791480633746072,6.2352372769892e-97
0_CD4_T_cell_HighvsLowVL_ALL,Up,CLPP,0.777375007105658,1.17805468797342e-96
0_CD4_T_cell_HighvsLowVL_ALL,Up,SFXN1,0.803121770515185,2.06880947372994e-96
0_CD4_T_cell_HighvsLowVL_ALL,Up,HDHD5,0.659781684624337,7.08190386392502e-96
0_CD4_T_cell_HighvsLowVL_ALL,Up,TRPT1,0.928210130527827,6.21205325281772e-95
0_CD4_T_cell_HighvsLowVL_ALL,Up,ARRB2,0.807402519454722,1.87192522836054e-92
0_CD4_T_cell_HighvsLowVL_ALL,Up,AARS,1.57202103727105,1.09466885240828e-90
0_CD4_T_cell_HighvsLowVL_ALL,Up,HIST1H1C,0.919608545141209,1.85388092644672e-90
0_CD4_T_cell_HighvsLowVL_ALL,Up,MARCH9,0.723713053977773,5.10317747340367e-90
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC245407.2,2.03436455811271,5.56251533900131e-90
0_CD4_T_cell_HighvsLowVL_ALL,Up,HK2,1.2279689374594,2.9061372963763002e-89
0_CD4_T_cell_HighvsLowVL_ALL,Up,NDUFS2,0.710969024823435,3.2028334602757195e-89
0_CD4_T_cell_HighvsLowVL_ALL,Up,BAX,0.76585388200861,3.756220862809249e-89
0_CD4_T_cell_HighvsLowVL_ALL,Up,CEBPB,1.15136218581738,8.3675228912831e-89
0_CD4_T_cell_HighvsLowVL_ALL,Up,ANP32E,0.871302563868162,1.16586733955793e-88
0_CD4_T_cell_HighvsLowVL_ALL,Up,SAP30,1.2423752728193,9.18652352681719e-88
0_CD4_T_cell_HighvsLowVL_ALL,Up,RNASET2,0.951684454347891,3.06002442613582e-87
0_CD4_T_cell_HighvsLowVL_ALL,Up,MPI,1.01647237936309,3.53865153680891e-86
0_CD4_T_cell_HighvsLowVL_ALL,Up,ADSS,0.661845031424333,4.10222239305787e-86
0_CD4_T_cell_HighvsLowVL_ALL,Up,LRMP,1.23364419408887,4.03793846665153e-85
0_CD4_T_cell_HighvsLowVL_ALL,Up,KDELR1,0.847640320839195,8.1316562265900085e-84
0_CD4_T_cell_HighvsLowVL_ALL,Up,BCKDHA,0.801490280075281,8.328834644361199e-84
0_CD4_T_cell_HighvsLowVL_ALL,Up,TARS,1.27746348834354,2.02352434675203e-83
0_CD4_T_cell_HighvsLowVL_ALL,Up,TAZ,0.890627244828809,8.29649385322174e-83
0_CD4_T_cell_HighvsLowVL_ALL,Up,ANXA6,0.734652989060378,8.54791411697806e-83
0_CD4_T_cell_HighvsLowVL_ALL,Up,BIN1,0.589949475815386,1.5031475995369498e-82
0_CD4_T_cell_HighvsLowVL_ALL,Up,NARF,0.632967423507801,6.20486803253246e-82
0_CD4_T_cell_HighvsLowVL_ALL,Up,KCNAB2,0.853288930270234,8.2574497932995e-82
0_CD4_T_cell_HighvsLowVL_ALL,Up,MARS,1.34382662293643,9.372012947246869e-82
0_CD4_T_cell_HighvsLowVL_ALL,Up,WSB1,0.657061529161777,1.03194747545027e-80
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZYX,0.96182711598332,1.2176199967508e-80
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZNF581,0.767103889965158,1.0154017869990501e-79
0_CD4_T_cell_HighvsLowVL_ALL,Up,RNF187,0.923602971708014,1.32429669982073e-78
0_CD4_T_cell_HighvsLowVL_ALL,Up,C12orf10,0.752219753000546,2.6100658363486e-78
0_CD4_T_cell_HighvsLowVL_ALL,Up,TXNL1,0.622832697513479,2.6803153261640097e-78
0_CD4_T_cell_HighvsLowVL_ALL,Up,H2AFJ,0.81655338957514,3.70128886078873e-78
0_CD4_T_cell_HighvsLowVL_ALL,Up,LARS,0.684713820214988,1.8961374569572e-77
0_CD4_T_cell_HighvsLowVL_ALL,Up,SMAP2,0.625976624538005,3.57378315554855e-77
0_CD4_T_cell_HighvsLowVL_ALL,Up,PKN1,0.676778763548544,2.0638264983082996e-76
0_CD4_T_cell_HighvsLowVL_ALL,Up,AL137857.1,3.94476210552416,5.026889521188559e-75
0_CD4_T_cell_HighvsLowVL_ALL,Up,ING2,1.05528556012341,3.3555017051618502e-74
0_CD4_T_cell_HighvsLowVL_ALL,Up,FAM207A,1.03189986271877,5.45294082934374e-74
0_CD4_T_cell_HighvsLowVL_ALL,Up,XBP1,0.9961649287729,3.03102258950971e-73
0_CD4_T_cell_HighvsLowVL_ALL,Up,LDLRAP1,0.758098753100616,6.03815603273931e-73
0_CD4_T_cell_HighvsLowVL_ALL,Up,TRAF5,1.03938147741593,1.37237133511678e-72
0_CD4_T_cell_HighvsLowVL_ALL,Up,CYBC1,0.830123481471057,7.89425680184205e-72
0_CD4_T_cell_HighvsLowVL_ALL,Up,TARSL2,1.12151843404397,9.60844667979223e-72
0_CD4_T_cell_HighvsLowVL_ALL,Up,MAP2K2,0.685947074223625,1.0515507907881e-70
0_CD4_T_cell_HighvsLowVL_ALL,Up,PSD4,1.02818135968732,1.68421249017742e-70
0_CD4_T_cell_HighvsLowVL_ALL,Up,SIPA1,1.0054588612076,2.8825168909207597e-70
0_CD4_T_cell_HighvsLowVL_ALL,Up,HCFC1R1,0.931485296222007,1.19392744692086e-68
0_CD4_T_cell_HighvsLowVL_ALL,Up,RNF181,0.636765219263369,3.3250726482161503e-68
0_CD4_T_cell_HighvsLowVL_ALL,Up,DHRS3,0.769776731462002,7.59898039664353e-68
0_CD4_T_cell_HighvsLowVL_ALL,Up,WAS,0.583638849722044,4.7985032977106406e-67
0_CD4_T_cell_HighvsLowVL_ALL,Up,CTSD,0.81306717816922,5.55386303182161e-67
0_CD4_T_cell_HighvsLowVL_ALL,Up,UBASH3A,0.826236635330094,9.378554327655531e-67
0_CD4_T_cell_HighvsLowVL_ALL,Up,CBX4,1.19605126466617,1.48345607833861e-66
0_CD4_T_cell_HighvsLowVL_ALL,Up,LINC00486,0.616823070522998,4.16971570950498e-66
0_CD4_T_cell_HighvsLowVL_ALL,Up,FGF11,0.763747568994456,6.18527072090123e-66
0_CD4_T_cell_HighvsLowVL_ALL,Up,UBE2M,0.71080286528997,5.522048843362e-65
0_CD4_T_cell_HighvsLowVL_ALL,Up,N4BP2L1,0.670755354566314,3.13162738161697e-64
0_CD4_T_cell_HighvsLowVL_ALL,Up,RHOG,0.750771522776544,3.60679406312249e-64
0_CD4_T_cell_HighvsLowVL_ALL,Up,TMEM173,0.611213011943141,1.7947712616545702e-63
0_CD4_T_cell_HighvsLowVL_ALL,Up,DEK,0.635265629184474,2.98832931779435e-63
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC026979.2,1.67864543686905,1.1434076122792e-62
0_CD4_T_cell_HighvsLowVL_ALL,Up,FAM216A,0.905252157169399,1.7138881060039198e-62
0_CD4_T_cell_HighvsLowVL_ALL,Up,SLC2A4RG,1.21626261126043,4.90516281010628e-62
0_CD4_T_cell_HighvsLowVL_ALL,Up,PGM1,0.774536267329251,6.58161215057853e-62
0_CD4_T_cell_HighvsLowVL_ALL,Up,PLIN2,0.830323392454955,7.703185697916579e-62
0_CD4_T_cell_HighvsLowVL_ALL,Up,AL118516.1,0.807857751242725,5.42676195362521e-61
0_CD4_T_cell_HighvsLowVL_ALL,Up,PPIB,0.649700735384723,4.1225328106366397e-60
0_CD4_T_cell_HighvsLowVL_ALL,Up,PFKL,0.701392534351082,5.563175693549879e-60
0_CD4_T_cell_HighvsLowVL_ALL,Up,RASSF7,0.967049959992082,1.13215374304255e-59
0_CD4_T_cell_HighvsLowVL_ALL,Up,DBP,0.687868122061076,2.42312425134077e-59
0_CD4_T_cell_HighvsLowVL_ALL,Up,MXI1,0.679176125209644,6.71615757401312e-59
0_CD4_T_cell_HighvsLowVL_ALL,Up,EXOSC8,0.858164540920987,2.07457556975038e-58
0_CD4_T_cell_HighvsLowVL_ALL,Up,BHLHE40,1.07485120331157,4.6944722688175405e-58
0_CD4_T_cell_HighvsLowVL_ALL,Up,NAMPT,0.617391680781084,1.13969112169631e-57
0_CD4_T_cell_HighvsLowVL_ALL,Up,ALKBH5,0.611836830343321,1.47372160367166e-57
0_CD4_T_cell_HighvsLowVL_ALL,Up,GPR65,0.998979150766629,1.61269234353835e-57
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC093323.1,0.771257548036111,1.18422170410092e-56
0_CD4_T_cell_HighvsLowVL_ALL,Up,WASHC1,1.02539069345766,5.2302378531563e-56
0_CD4_T_cell_HighvsLowVL_ALL,Up,ETFB,0.599985259579475,3.49594331640309e-55
0_CD4_T_cell_HighvsLowVL_ALL,Up,MEAK7,1.08425415575884,9.69972475576022e-55
0_CD4_T_cell_HighvsLowVL_ALL,Up,ADORA2A,0.950103023121589,1.5514508677426197e-54
0_CD4_T_cell_HighvsLowVL_ALL,Up,AGTRAP,1.22184948278708,5.76298901756866e-54
0_CD4_T_cell_HighvsLowVL_ALL,Up,WDR60,1.13281600891398,2.3110436265491803e-53
0_CD4_T_cell_HighvsLowVL_ALL,Up,MKNK2,0.692056965347447,6.54678099385123e-53
0_CD4_T_cell_HighvsLowVL_ALL,Up,SLC2A3,0.735411493919196,6.85795365923424e-53
0_CD4_T_cell_HighvsLowVL_ALL,Up,SNHG12,1.33448245828542,1.7485262139688e-52
0_CD4_T_cell_HighvsLowVL_ALL,Up,TSC22D4,0.594725504568842,3.78410170487916e-51
0_CD4_T_cell_HighvsLowVL_ALL,Up,HMGB2,0.858024008631153,1.0898474650400001e-50
0_CD4_T_cell_HighvsLowVL_ALL,Up,SAMD1,1.69279288719079,2.61038588642405e-50
0_CD4_T_cell_HighvsLowVL_ALL,Up,CYHR1,0.652078995927513,2.8436477934913498e-50
0_CD4_T_cell_HighvsLowVL_ALL,Up,RRAGD,1.52407435602627,5.16365444291534e-50
0_CD4_T_cell_HighvsLowVL_ALL,Up,EMC9,1.7044136951419,6.01409311094918e-50
0_CD4_T_cell_HighvsLowVL_ALL,Up,NARS,0.641101021128261,2.40399612211023e-49
0_CD4_T_cell_HighvsLowVL_ALL,Up,Z93930.2,1.3716266246147,3.72155726511306e-49
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZNF720,0.734166272807263,7.19860247607833e-49
0_CD4_T_cell_HighvsLowVL_ALL,Up,MARCH6,0.67849481993565,1.11849336026905e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZNF524,0.780659860610442,2.053895901167e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,TFAP4,0.69230192227268,2.4855082673675e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC025159.1,0.726122750078262,3.16507890497e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,FAM210A,0.849079183753906,3.35622196963232e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,AL135905.2,1.1267233659628,3.5693806250475296e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,YEATS2,0.754323340880705,4.8616238189447397e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,TTC37,0.672646643775516,5.68199019081911e-48
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZNF160,0.719183150298379,2.22098334183884e-47
0_CD4_T_cell_HighvsLowVL_ALL,Up,SLC50A1,0.673321628822187,6.98659409805944e-47
0_CD4_T_cell_HighvsLowVL_ALL,Up,EPB41L4A-AS1,0.830936708552161,1.1415845208812501e-46
0_CD4_T_cell_HighvsLowVL_ALL,Up,GCHFR,1.30191799993216,4.53118010207586e-46
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZNF395,0.968822707157908,6.25720805700164e-46
0_CD4_T_cell_HighvsLowVL_ALL,Up,P4HB,0.801971914784728,6.55827642603809e-45
0_CD4_T_cell_HighvsLowVL_ALL,Up,C5orf51,0.792632108224782,7.51648261702381e-45
0_CD4_T_cell_HighvsLowVL_ALL,Up,FMC1,0.827200451118928,7.52728241414576e-45
0_CD4_T_cell_HighvsLowVL_ALL,Up,FUT11,1.0153934168183,1.5102846097289198e-44
0_CD4_T_cell_HighvsLowVL_ALL,Up,DRAM2,0.582346406144461,5.31378468019111e-44
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC006064.4,1.09000119808079,5.439695541149559e-44
0_CD4_T_cell_HighvsLowVL_ALL,Up,CDK2AP2,0.989511146148426,6.225236341455869e-44
0_CD4_T_cell_HighvsLowVL_ALL,Up,ATP6V0E2,1.03581401010285,1.0260316335396798e-43
0_CD4_T_cell_HighvsLowVL_ALL,Up,RAB24,0.672893833389073,1.5714018848567697e-43
0_CD4_T_cell_HighvsLowVL_ALL,Up,CCDC58,1.10340894688013,5.457089926171179e-43
0_CD4_T_cell_HighvsLowVL_ALL,Up,TMEM8A,1.86573882895835,6.8686755093542785e-43
0_CD4_T_cell_HighvsLowVL_ALL,Up,PLEKHF1,0.803331907655698,1.4276089455158799e-42
0_CD4_T_cell_HighvsLowVL_ALL,Up,UBE2V2,0.654765567434111,3.3819977087319e-42
0_CD4_T_cell_HighvsLowVL_ALL,Up,FAM192A,0.75003207536612,3.61288123470061e-42
0_CD4_T_cell_HighvsLowVL_ALL,Up,KXD1,0.636820542208854,3.53030076766541e-41
0_CD4_T_cell_HighvsLowVL_ALL,Up,NUDT22,0.738742691937642,6.03095034428105e-41
0_CD4_T_cell_HighvsLowVL_ALL,Up,THEM6,1.22131411089883,6.39369728690467e-41
0_CD4_T_cell_HighvsLowVL_ALL,Up,IFITM3,1.34331944935267,7.83576544554529e-41
0_CD4_T_cell_HighvsLowVL_ALL,Up,CLIC1,1.1885402391815,1.79758422960353e-40
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC008555.4,0.681227000643282,1.99677522443771e-40
0_CD4_T_cell_HighvsLowVL_ALL,Up,HPRT1,0.642093123644548,2.70364398737452e-40
0_CD4_T_cell_HighvsLowVL_ALL,Up,SLC2A1,0.864273507227785,4.39603489358745e-40
0_CD4_T_cell_HighvsLowVL_ALL,Up,UNC119,0.801754552267408,2.96160339514183e-39
0_CD4_T_cell_HighvsLowVL_ALL,Up,LGALS8,0.668339511498245,1.06905171232873e-38
0_CD4_T_cell_HighvsLowVL_ALL,Up,GOLGA8A,0.716498061456206,3.02909607734888e-38
0_CD4_T_cell_HighvsLowVL_ALL,Up,TRBJ2-2P,7.79198898870221,3.19811878859754e-38
0_CD4_T_cell_HighvsLowVL_ALL,Up,FDFT1,0.756046395862568,4.36289638586295e-38
0_CD4_T_cell_HighvsLowVL_ALL,Up,NCKIPSD,1.01419502579597,5.69187297069933e-38
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC136475.1,0.657624514535308,9.8085234198743e-38
0_CD4_T_cell_HighvsLowVL_ALL,Up,FOPNL,0.794891846625815,1.01340955807369e-37
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC013264.1,1.26454215123357,3.09005378121046e-37
0_CD4_T_cell_HighvsLowVL_ALL,Up,AC108134.3,1.09247402158479,3.53216059337611e-37
0_CD4_T_cell_HighvsLowVL_ALL,Up,PPP1R13L,1.09709832911167,6.61011115559818e-37
0_CD4_T_cell_HighvsLowVL_ALL,Up,HIST1H3D,1.14001967134428,1.18564199610703e-36
0_CD4_T_cell_HighvsLowVL_ALL,Up,HERC2,0.695930741291119,1.54337440494446e-36
0_CD4_T_cell_HighvsLowVL_ALL,Up,DBNDD2,1.36193779914626,2.9301066111291597e-36
0_CD4_T_cell_HighvsLowVL_ALL,Up,AL450998.2,0.814300003930731,4.4423504976594096e-36
0_CD4_T_cell_HighvsLowVL_ALL,Up,ERO1A,0.68517005504527,6.533613335831869e-36
0_CD4_T_cell_HighvsLowVL_ALL,Up,SNRPA1,0.594933557417799,8.84228054110218e-36
0_CD4_T_cell_HighvsLowVL_ALL,Up,SLC43A3,2.03189577676556,9.173019011527609e-36
0_CD4_T_cell_HighvsLowVL_ALL,Up,WASHC3,0.605612205837313,1.01042248394717e-35
0_CD4_T_cell_HighvsLowVL_ALL,Up,PDIA4,0.906558217430269,1.03317364754993e-35
0_CD4_T_cell_HighvsLowVL_ALL,Up,TMEM159,1.43277697830029,1.80478120920869e-35
0_CD4_T_cell_HighvsLowVL_ALL,Up,SAT2,0.709608209401696,3.3750174809405497e-35
0_CD4_T_cell_HighvsLowVL_ALL,Up,CFAP97,0.785822019601691,7.02310495600217e-35
0_CD4_T_cell_HighvsLowVL_ALL,Up,C19orf48,0.775997418421185,1.15902653847057e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,ERGIC1,0.615252649190591,1.3995277247933599e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZNF580,0.695501896281576,1.53641030396149e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,CYB561D2.1,1.12308507962908,2.0680501933533597e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,ZFAND2B,0.689200021816202,2.76301137395029e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,TRABD2A,0.661006131379954,2.98792654664521e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,SLC16A3,0.890436776877225,4.92000934828867e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,PTDSS1,0.612253175545486,8.20874733624264e-34
0_CD4_T_cell_HighvsLowVL_ALL,Up,KIAA1109,0.580583493992637,1.2739214013932e-33
0_CD4_T_cell_HighvsLowVL_ALL,Up,CARS,1.04142532500825,1.86533534282486e-33
0_CD4_T_cell_HighvsLowVL_ALL,Up,HM13,0.6599139674745,6.78948540244507e-33
0_CD4_T_cell_HighvsLowVL_ALL,Up,SASH3,0.675963434130061,6.94910089712328e-33
0_CD4_T_cell_HighvsLowVL_ALL,Up,GNPDA1,0.812069622666912,7.002548477075749e-33
