"participant","clone_id","clone_size"
"CP003","2491",1
"CP003","251",1
"CP003","252",1
"CP003","2520",1
"CP003","2521",1
"CP003","2522",1
"CP003","2523",1
"CP003","2524",1
"CP003","2526",1
"CP003","2527",1
"CP003","2528",1
"CP003","2529",1
"CP003","2530",1
"CP003","2536",1
"CP003","2573",1
"CP003","2574",1
"CP003","2575",1
"CP003","2616",1
"CP003","2617",1
"CP003","2618",1
"CP003","2619",1
"CP003","262",1
"CP003","2620",1
"CP003","2621",2
"CP003","2622",1
"CP003","2659",1
"CP003","2660",1
"CP003","2661",1
"CP003","2662",1
"CP003","2663",1
"CP003","2664",1
"CP003","2665",1
"CP003","2666",1
"CP003","2667",1
"CP003","2670",1
"CP003","268",1
"CP003","269",1
"CP003","2704",1
"CP003","2705",1
"CP003","2706",1
"CP003","2725",1
"CP003","2728",1
"CP003","2729",1
"CP003","2730",1
"CP003","2731",1
"CP003","2732",1
"CP003","2753",1
"CP003","2754",1
"CP003","2755",1
"CP003","2756",1
"CP003","2775",1
"CP003","2796",1
"CP003","2797",1
"CP003","280",1
"CP003","2805",1
"CP003","2815",1
"CP003","282",1
"CP003","2825",1
"CP003","283",1
"CP003","2834",1
"CP003","2851",1
"CP003","2888",1
"CP003","2889",1
"CP003","2909",1
"CP003","2910",1
"CP003","2911",1
"CP003","2914",1
"CP003","2925",1
"CP003","2935",1
"CP003","2936",1
"CP003","2963",1
"CP003","3025",1
"CP003","3036",1
"CP003","3057",1
"CP003","3080",1
"CP003","3082",1
"CP003","3091",1
"CP003","3113",1
"CP003","3140",1
"CP003","3141",1
"CP003","3149",1
"CP003","3153",1
"CP003","3154",1
"CP003","3155",1
"CP003","3175",1
"CP003","3176",1
"CP003","3192",1
"CP003","3193",1
"CP003","3203",1
"CP003","3204",1
"CP003","3213",1
"CP003","3216",1
"CP003","3229",1
"CP003","3234",1
"CP003","3261",1
"CP003","3264",1
"CP003","3265",1
"CP003","3267",1
"CP003","3268",1
"CP003","3275",1
"CP003","3276",1
"CP003","3277",1
"CP003","3285",1
"CP003","3286",1
"CP003","3287",1
"CP003","3288",1
"CP003","3289",1
"CP003","3300",1
"CP003","3301",1
"CP003","3303",1
"CP003","3304",1
"CP003","3305",1
"CP003","3306",1
"CP003","3320",1
"CP003","3321",1
"CP003","3322",1
"CP003","3323",1
"CP003","3325",1
"CP003","3326",1
"CP003","3327",1
"CP003","3344",1
"CP003","3345",1
"CP003","3346",1
"CP003","3347",1
"CP003","3349",1
"CP003","3350",1
"CP003","3351",1
"CP003","3366",1
"CP003","3367",1
"CP003","3368",1
"CP003","3369",1
"CP003","3371",1
"CP003","3372",1
"CP003","3373",1
"CP003","3374",1
"CP003","3375",1
"CP003","3376",1
"CP003","3377",1
"CP003","3378",1
"CP003","3379",1
"CP003","339",1
"CP003","3404",1
"CP003","3405",1
"CP003","3406",1
"CP003","3407",1
"CP003","3408",1
"CP003","3409",1
"CP003","3410",1
"CP003","3431",1
"CP003","3432",1
"CP003","3433",1
"CP003","3434",1
"CP003","3435",1
"CP003","3436",1
"CP003","3437",1
"CP003","3438",1
"CP003","3439",1
"CP003","3440",1
"CP003","3441",1
"CP003","3442",1
"CP003","3455",1
"CP003","3456",1
"CP003","346",1
"CP003","3477",1
"CP003","3478",1
"CP003","3488",1
"CP003","3497",1
"CP003","3498",1
"CP003","3503",1
"CP003","3514",1
"CP003","3518",1
"CP003","3579",1
"CP003","359",1
"CP003","3592",1
"CP003","3639",1
"CP003","365",1
"CP003","3663",1
"CP003","3667",1
"CP003","3686",1
"CP003","3737",1
"CP003","3770",1
"CP003","3784",1
"CP003","3801",1
"CP003","3802",1
"CP003","3822",1
"CP003","3839",1
"CP003","3914",1
"CP003","3923",1
"CP003","3932",1
"CP003","3946",1
"CP003","3974",1
"CP003","3975",1
"CP003","399",1
"CP003","3994",1
"CP003","4021",2
"CP003","4022",1
"CP003","4047",1
"CP003","408",1
"CP003","4083",1
"CP003","409",1
"CP003","4090",1
"CP003","4113",1
"CP003","4121",1
"CP003","4122",1
"CP003","4123",1
"CP003","4141",1
"CP003","4147",1
"CP003","4158",2
"CP003","4168",1
"CP003","4169",1
"CP003","4180",1
"CP003","419",1
"CP003","4221",1
"CP003","4222",1
"CP003","432",1
"CP003","4324",1
"CP003","4336",1
"CP003","4347",1
"CP003","439",1
"CP003","4442",1
"CP003","4468",1
"CP003","450",2
"CP003","451",1
"CP003","4525",1
"CP003","4536",1
"CP003","4625",1
"CP003","4636",1
"CP003","4647",1
"CP003","4658",1
"CP003","4670",1
"CP003","4681",1
"CP003","4692",1
"CP003","4749",1
"CP003","476",1
"CP003","4792",1
"CP003","4803",1
"CP003","4807",1
"CP003","4849",1
"CP003","4855",1
"CP003","4866",1
"CP003","4867",1
"CP003","4880",1
"CP003","4892",1
"CP003","4952",1
"CP003","4999",1
"CP003","50",1
"CP003","5011",1
"CP003","5014",1
"CP003","5025",1
"CP003","5036",1
"CP003","5041",1
"CP003","5049",1
"CP003","5060",1
"CP003","5097",1
"CP003","5151",1
"CP003","5162",1
"CP003","5163",1
"CP003","5170",1
"CP003","5171",1
"CP003","5172",1
"CP003","5180",1
"CP003","5183",1
"CP003","5208",1
"CP003","5258",1
"CP003","536",1
"CP003","5365",1
"CP003","5369",1
"CP003","5391",1
"CP003","547",1
"CP003","549",1
"CP003","550",1
"CP003","5559",1
"CP003","559",1
"CP003","5595",1
"CP003","5596",1
"CP003","5699",1
"CP003","570",1
"CP003","5725",1
"CP003","5770",2
"CP003","5797",1
"CP003","5871",1
"CP003","5872",2
"CP003","5876",1
"CP003","5888",1
"CP003","5889",1
"CP003","5890",1
"CP003","5907",1
"CP003","5933",1
"CP003","599",1
"CP003","6013",1
"CP003","6030",1
"CP003","6035",1
"CP003","6037",1
"CP003","6038",1
"CP003","6050",1
"CP003","6051",1
"CP003","6052",1
"CP003","6056",1
"CP003","6057",1
"CP003","6059",1
"CP003","6076",1
"CP003","6077",1
"CP003","6090",1
"CP003","612",1
"CP003","6124",1
"CP003","6126",1
"CP003","6127",1
"CP003","6128",1
"CP003","6143",1
"CP003","6144",1
"CP003","616",1
"CP003","617",1
"CP003","6174",1
"CP003","6198",1
"CP003","6223",1
"CP003","6226",1
"CP003","6241",1
"CP003","6242",1
"CP003","6251",1
"CP003","6261",1
"CP003","6277",1
"CP003","6297",1
"CP003","6358",1
"CP003","6369",1
"CP003","6398",1
"CP003","6399",1
"CP003","6400",1
"CP003","6426",1
"CP003","6431",1
"CP003","6433",1
"CP003","6440",1
"CP003","6494",1
"CP003","6515",1
"CP003","658",1
"CP003","6703",1
"CP003","673",1
"CP003","6783",1
"CP003","6785",1
"CP003","6799",1
"CP003","6807",1
"CP003","6812",1
"CP003","6830",1
"CP003","6841",1
"CP003","6949",1
"CP003","6965",1
"CP003","6981",1
"CP003","6982",1
"CP003","6983",1
"CP003","7005",1
"CP003","7006",1
"CP003","7007",1
"CP003","7036",1
"CP003","7040",1
"CP003","7041",1
"CP003","7042",1
"CP003","7043",1
"CP003","7044",1
"CP003","705",1
"CP003","7079",1
"CP003","7081",1
"CP003","7082",1
"CP003","711",1
"CP003","7120",1
"CP003","7121",1
"CP003","7122",1
"CP003","7123",1
"CP003","7124",1
"CP003","7126",1
"CP003","7127",1
"CP003","7128",1
"CP003","7129",1
"CP003","7130",1
"CP003","7131",1
"CP003","7170",1
"CP003","7171",1
"CP003","7172",1
"CP003","7173",1
"CP003","7174",1
"CP003","7204",1
"CP003","7205",1
"CP003","7206",1
"CP003","7207",1
"CP003","7208",1
"CP003","722",1
"CP003","7252",1
"CP003","7253",1
"CP003","7269",1
"CP003","7277",1
"CP003","7278",1
"CP003","7279",1
"CP003","7281",1
"CP003","7317",1
"CP003","7318",1
"CP003","7337",1
"CP003","7338",1
"CP003","7355",1
"CP003","7365",1
"CP003","74",1
"CP003","7428",1
"CP003","749",1
"CP003","7495",1
"CP003","7512",1
"CP003","756",1
"CP003","757",1
"CP003","7579",1
"CP003","7580",1
"CP003","7592",1
"CP003","760",1
"CP003","761",1
"CP003","762",1
"CP003","7626",1
"CP003","763",1
"CP003","764",1
"CP003","765",1
"CP003","766",1
"CP003","7661",1
"CP003","767",1
"CP003","7671",1
"CP003","7675",1
"CP003","7684",1
"CP003","7690",1
"CP003","77",1
"CP003","7708",1
"CP003","7709",1
"CP003","771",1
"CP003","7733",1
"CP003","774",1
"CP003","775",1
"CP003","779",1
"CP003","7802",1
"CP003","7805",1
"CP003","782",1
"CP003","7879",1
"CP003","788",1
"CP003","789",1
"CP003","790",1
"CP003","7922",1
"CP003","797",1
"CP003","798",1
"CP003","799",1
"CP003","800",1
"CP003","805",1
"CP003","806",1
"CP003","8069",1
"CP003","807",1
"CP003","808",1
"CP003","8082",1
"CP003","8085",1
"CP003","815",1
"CP003","816",1
"CP003","817",1
"CP003","818",1
"CP003","8185",1
"CP003","8196",1
"CP003","8201",1
"CP003","8218",1
"CP003","8227",1
"CP003","8250",1
"CP003","8251",1
"CP003","8267",1
"CP003","831",1
"CP003","835",1
"CP003","8384",1
"CP003","8385",1
"CP003","8396",1
"CP003","84",1
"CP003","8407",1
"CP003","8408",1
"CP003","843",1
"CP003","844",1
"CP003","848",1
"CP003","849",1
"CP003","8516",1
"CP003","852",1
"CP003","8538",1
"CP003","8545",1
"CP003","8547",1
"CP003","8551",1
"CP003","8556",1
"CP003","8568",1
"CP003","858",1
"CP003","8582",1
"CP003","8588",1
"CP003","8604",1
"CP003","8605",1
"CP003","8635",1
"CP003","8642",1
"CP003","8643",1
"CP003","8654",1
"CP003","8659",1
"CP003","8676",1
"CP003","8677",1
"CP003","8686",1
"CP003","8687",1
"CP003","8688",1
"CP003","869",1
"CP003","8690",1
"CP003","8696",1
"CP003","8702",1
"CP003","8726",1
"CP003","8733",1
"CP003","874",1
"CP003","875",1
"CP003","8774",1
"CP003","8775",1
"CP003","8787",1
"CP003","8790",1
"CP003","8813",1
"CP003","8818",1
"CP003","8819",1
"CP003","8820",1
"CP003","8821",1
"CP003","8822",1
"CP003","8828",1
"CP003","8842",1
"CP003","8843",1
"CP003","8844",1
"CP003","8859",1
"CP003","886",1
"CP003","8861",1
"CP003","8862",1
"CP003","8863",1
"CP003","8864",1
"CP003","8881",1
"CP003","8882",1
"CP003","8883",1
"CP003","8885",1
"CP003","8904",1
"CP003","8905",1
"CP003","8907",1
"CP003","8908",1
"CP003","8909",1
"CP003","8920",1
"CP003","8921",1
"CP003","8922",1
"CP003","8923",1
"CP003","8924",1
"CP003","8933",1
"CP003","8934",1
"CP003","8935",1
"CP003","8941",2
"CP003","8942",1
"CP003","8943",1
"CP003","8951",1
"CP003","8952",1
"CP003","8967",1
"CP003","8968",1
"CP003","8969",1
"CP003","8970",1
"CP003","8976",1
"CP003","8980",1
"CP003","8998",1
"CP003","9",1
"CP003","90",1
"CP003","9003",1
"CP003","9004",1
"CP003","9005",1
"CP003","9007",1
"CP003","9010",1
"CP003","9032",1
"CP003","9048",1
"CP003","9060",1
"CP003","91",1
"CP003","9137",1
"CP003","9139",1
"CP003","9141",1
"CP003","915",1
"CP003","9196",1
"CP003","921",1
"CP003","922",1
"CP003","9220",1
"CP003","9256",2
"CP003","9261",1
"CP003","9263",1
"CP003","9274",1
"CP003","93",1
"CP003","9330",1
"CP003","9345",1
"CP003","9346",1
"CP003","9353",1
"CP003","9361",1
"CP003","9370",1
"CP003","9371",1
"CP003","9372",1
"CP003","9377",1
"CP003","9378",2
"CP003","9379",1
"CP003","9391",1
"CP003","9392",1
"CP003","9393",1
"CP003","9411",1
"CP003","9417",1
"CP003","9425",1
"CP003","9466",1
"CP003","9473",1
"CP003","948",1
"CP003","9492",1
"CP003","9496",1
"CP003","950",1
"CP003","951",1
"CP003","9533",1
"CP003","9534",1
"CP003","9548",1
"CP003","9549",1
"CP003","9562",1
"CP003","9563",1
"CP003","9573",1
"CP003","9575",1
"CP003","9576",1
"CP003","9577",1
"CP003","9578",1
"CP003","9579",1
"CP003","9608",1
"CP003","9631",1
"CP003","9650",1
"CP003","966",1
"CP003","9751",1
"CP003","9786",1
"CP003","9958",1
"CP003","9992",1
"CP006","10",1
"CP006","10042",1
"CP006","10043",1
"CP006","10044",1
"CP006","10045",1
"CP006","10101",1
"CP006","10102",1
"CP006","10125",1
"CP006","10163",1
"CP006","10164",1
"CP006","10165",1
"CP006","10166",1
"CP006","10184",1
"CP006","10185",1
"CP006","10186",1
"CP006","10199",1
"CP006","10200",1
"CP006","10201",1
"CP006","10214",1
"CP006","10215",1
"CP006","10216",1
"CP006","10226",1
"CP006","10236",1
"CP006","10237",1
"CP006","10242",1
"CP006","10243",1
"CP006","10245",1
"CP006","10248",1
"CP006","10278",1
"CP006","10298",1
"CP006","10328",1
"CP006","10408",1
"CP006","10439",1
"CP006","10446",1
"CP006","10447",1
"CP006","10452",1
"CP006","10453",1
"CP006","10476",1
"CP006","10489",1
"CP006","10509",1
"CP006","10510",1
"CP006","10511",1
"CP006","10512",1
"CP006","10513",1
"CP006","10514",1
"CP006","10517",1
"CP006","10518",1
"CP006","10519",1
"CP006","10521",1
"CP006","10522",1
"CP006","10523",1
"CP006","10524",1
"CP006","10525",1
"CP006","10529",1
"CP006","10530",1
"CP006","10541",1
"CP006","10542",1
"CP006","10543",2
"CP006","10544",1
"CP006","10545",1
"CP006","10552",1
"CP006","10553",1
"CP006","10557",1
"CP006","10558",1
"CP006","10560",1
"CP006","10562",1
"CP006","10563",1
"CP006","10567",1
"CP006","10568",1
"CP006","10569",1
"CP006","10570",1
"CP006","1058",1
"CP006","10582",1
"CP006","10584",1
"CP006","10589",1
"CP006","10595",1
"CP006","10608",1
"CP006","10620",1
"CP006","10621",1
"CP006","10645",1
"CP006","10649",1
"CP006","10692",1
"CP006","10713",1
"CP006","10716",1
"CP006","10801",1
"CP006","10809",1
"CP006","10810",1
"CP006","10811",1
"CP006","10813",1
"CP006","10816",1
"CP006","10827",1
"CP006","1090",1
"CP006","1092",1
"CP006","1093",1
"CP006","1094",1
"CP006","1095",1
"CP006","11",1
"CP006","11007",1
"CP006","1104",1
"CP006","11076",1
"CP006","11077",1
"CP006","11078",1
"CP006","11087",1
"CP006","11091",1
"CP006","11104",1
"CP006","11105",1
"CP006","11114",1
"CP006","11115",1
"CP006","11131",1
"CP006","11136",1
"CP006","11137",1
"CP006","11138",1
"CP006","11140",1
"CP006","11141",1
"CP006","11143",1
"CP006","11144",1
"CP006","11145",1
"CP006","11146",1
"CP006","11147",1
"CP006","11149",1
"CP006","11151",1
"CP006","11152",1
"CP006","11155",1
"CP006","11156",1
"CP006","11157",1
"CP006","11158",1
"CP006","11159",1
"CP006","11160",1
"CP006","11162",1
"CP006","11166",1
"CP006","11167",1
"CP006","11168",1
"CP006","11175",1
"CP006","11176",1
