"Cluster","PID","Proportion"
"Naïve CD8 2","CP016",0.0627118644067797
"Naïve CD8 3","CP016",0
"Naïve Intermediate CD8","CP016",0.0745762711864407
"Naïve γδ1 T cell","CP016",0
"TEM CD8","CP016",0.196610169491525
"TEMRA CD8","CP016",0.0355932203389831
"Transitional Tem CD8","CP016",0.00677966101694915
"Tscm CD8","CP016",0.0169491525423729
"γδ1 T cell","CP016",0.00169491525423729
"γδ2 T cell","CP016",0.0338983050847458
"KIR+ innate-like CD8","CP017",0
"MAIT-like Trm","CP017",0
"Naïve CD8","CP017",0.675
"Naïve CD8 2","CP017",0
"Naïve CD8 3","CP017",0
"Naïve Intermediate CD8","CP017",0.0791666666666667
"Naïve γδ1 T cell","CP017",0
"TEM CD8","CP017",0.170833333333333
"TEMRA CD8","CP017",0.025
"Transitional Tem CD8","CP017",0.025
"Tscm CD8","CP017",0.00416666666666667
"γδ1 T cell","CP017",0
"γδ2 T cell","CP017",0.0208333333333333
"KIR+ innate-like CD8","CP018",0.035751840168244
"MAIT-like Trm","CP018",0.00315457413249211
"Naïve CD8","CP018",0.140904311251314
"Naïve CD8 2","CP018",0.182439537329127
"Naïve CD8 3","CP018",0.0841219768664564
"Naïve Intermediate CD8","CP018",0.203470031545741
"Naïve γδ1 T cell","CP018",0.0315457413249211
"TEM CD8","CP018",0.0983175604626709
"TEMRA CD8","CP018",0.139327024185068
"Transitional Tem CD8","CP018",0.0262881177707676
"Tscm CD8","CP018",0.0262881177707676
"γδ1 T cell","CP018",0.0126182965299685
"γδ2 T cell","CP018",0.0157728706624606
"KIR+ innate-like CD8","CP020",0.033108325297332
"MAIT-like Trm","CP020",0.0151076824172292
"Naïve CD8","CP020",0.162327225972356
"Naïve CD8 2","CP020",0.00964320154291225
"Naïve CD8 3","CP020",0.0784313725490196
"Naïve Intermediate CD8","CP020",0.000321440051430408
"Naïve γδ1 T cell","CP020",0.0125361620057859
"TEM CD8","CP020",0.326261652201864
"TEMRA CD8","CP020",0.264223722275796
"Transitional Tem CD8","CP020",0.0597878495660559
"Tscm CD8","CP020",0.00289296046287367
"γδ1 T cell","CP020",0.0189649630343941
"γδ2 T cell","CP020",0.0163934426229508
"KIR+ innate-like CD8","CP022",0.00563380281690141
"MAIT-like Trm","CP022",0
"Naïve CD8","CP022",0.396244131455399
"Naïve CD8 2","CP022",0.16056338028169
"Naïve CD8 3","CP022",0.0028169014084507
"Naïve Intermediate CD8","CP022",0.0863849765258216
"Naïve γδ1 T cell","CP022",0.00187793427230047
"TEM CD8","CP022",0.109859154929577
"TEMRA CD8","CP022",0.189671361502347
"Transitional Tem CD8","CP022",0.00563380281690141
"Tscm CD8","CP022",0.0215962441314554
"γδ1 T cell","CP022",0.015962441314554
"γδ2 T cell","CP022",0.00375586854460094
"KIR+ innate-like CD8","CP042",0.0242424242424242
"MAIT-like Trm","CP042",0
"Naïve CD8","CP042",0.624242424242424
"Naïve CD8 2","CP042",0.0848484848484849
"Naïve CD8 3","CP042",0.00606060606060606
"Naïve Intermediate CD8","CP042",0.0363636363636364
"Naïve γδ1 T cell","CP042",0
"TEM CD8","CP042",0.0909090909090909
"TEMRA CD8","CP042",0.0363636363636364
"Transitional Tem CD8","CP042",0
"Tscm CD8","CP042",0.0181818181818182
"γδ1 T cell","CP042",0
"γδ2 T cell","CP042",0.0787878787878788
