"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"PHF13",0.100616051452462,0.080376687212783,0.0746721771717267,0.011860436823945,0.0347336660113352,0.0599796861999636,0.101467498357248,0.0785211646797432,0.107822974879092,0.00581499139672023,0.100581307690428
"THAP3",0.244739210003507,0.231418136504004,0.353949986671944,0.109674059876667,0.125151900144036,0.215145385970388,0.108797154191015,0.231563026419389,0.157968353617157,0.190587779980981,0.175068368010493
"DNAJC11",0.173575786487672,0.0861511744812301,0.151919711019972,0.210021678102874,0.0939061935612273,0.0816295428669988,0.183860068971182,0.130504000401071,0.164064519529721,0.12717222355738,0.209361267907922
"CAMTA1-DT",0.0216758586513571,0.0052524539464838,0.0335718386312805,0.0512971678045424,0.0156686932693051,0.0127042619717149,0.0153055751199558,0.0123713839858192,0.01357924972744,0.025246856453476,0.0167783779938379
"CAMTA1",0.637660990368082,0.672704716730965,0.478928551662278,0.520237295174466,0.569914443826258,0.385300183097786,0.477996602399718,0.602416374654823,0.472957359605915,0.623178405503532,0.570148038630167
"VAMP3",0.199682944159235,0.148286880395344,0.127696114722959,0.180030105946189,0.144492996648878,0.159144225721708,0.148612271477502,0.1743588847302,0.232342896088312,0.152612755342896,0.190917377821269
"PER3",0.0156952963736088,0,0.0275988612441638,0.0652045317335255,0.0250837253536436,0.0126735744571697,0.00850157959348847,0,0,0.0133661218518008,0.0488998359236309
"TNFRSF9",0,0,0,0,0,0,0,0,0,0,0
"PARK7",1.71031802825474,1.48070568553451,1.27546429170479,2.07182677598113,1.42945623968684,1.74668931739035,2.29427157517518,1.44796736983183,1.36652731224178,1.58383732671877,2.04909707938282
"ERRFI1",0,0,0,0,0,0,0,0,0.00661405844578886,0,0
"RERE",0.497163452979944,0.386082251280645,0.501467156613156,0.50936282339291,0.45211579200111,0.488049634797571,0.497364604840043,0.618734745134868,0.58392536226914,0.537470649549511,0.670152138207775
"RERE-AS1",0.0340793500788327,0.0331638183532094,0,0.0116944479976634,0.00385500701804028,0.0107452375503897,0.0202432886359481,0.00368311102075212,0.0133776190917856,0.0270159246824954,0.00940026320736981
"ENO1",22.4641251050544,29.8232220990796,26.144191573717,5.81410285230887,34.1067765991515,24.5889235758291,6.02227455577964,25.2582493120241,2.98262447295475,23.595170081121,4.58931987758047
"ENO1-AS1",0.0400274631239275,0.0237894249305738,0,0.0151197621903129,0.0283404794708905,0.0410590527698497,0.121076086125134,0.0340387772823475,0.0127958739993527,0.0478328850501273,0.0222228131659475
"CA6",0.0880042059825708,0.0485146557302192,0,0.164144694684314,0.144534946730838,0.123259158492638,0.217605716930971,0.034851099067655,0.0420603231234698,0.0309020754440466,0.151356901910862
"SLC2A5",0.00279461377319809,0,0,0,0,0,0,0,0,0,0
"GPR157",0.0263007209159627,0.0194778420687077,0.00495880718868361,0,0.00583101599039515,0.0103855964659996,0,0.00358961767700046,0,0.0121191270276764,0.0264128891439621
"MIR34AHG",0,0,0,0,0,0,0,0,0,0,0
"H6PD",0.115246158828829,0.102993825939986,0.0556699673677485,0.0998357332853675,0.0880973297430386,0.106431510205344,0.128758442484659,0.0899768297933208,0.0812944416917411,0.0686030960576558,0.158107883564445
"SPSB1",0.0286660172711537,0.0199142304277465,0.0212957803049891,0.0128400321591536,0.0425958227572823,0.0136207474707318,0.0611360587390741,0.0203572454050725,0.104311034088189,0.0332719203501056,0.0501251088605655
"SLC25A33",0.118374593838457,0.0611809866442125,0.100615756382369,0.20193209577411,0.0654769076342331,0.120210570200611,0.282144867813918,0.174618954374322,0.141765671083344,0.115388572723563,0.208390728821939
"TMEM201",0.0294202133484669,0.0276917707620412,0.020050839280336,0.0121940884317419,0.0165575705225083,0.0248994754191245,0.0555527048439739,0.0431159811050974,0.00972762645914397,0.0124442608647298,0.00736268590781917
"PIK3CD",1.25428123476705,1.00058956262285,1.02950293191185,1.34841341841031,1.3263677667091,1.21842719544693,1.66875693113255,1.46786704816503,1.6459065996536,1.06244192933285,1.46015512282284
"PIK3CD-AS1",0.00397978428773204,0.00598260736387175,0.0180899481613089,0,0.0191880890556088,0.0110819991379853,0,0.00596917993018447,0.0341375231855341,0.0140384616994248,0.0216299137080193
"CLSTN1",0.280040618982344,0.0910351781185243,0.189632501070715,0.246393037295044,0.218304281415188,0.170040654467722,0.357007195768157,0.236601732405864,0.355732149296911,0.181627820597876,0.232556583930937
"CTNNBIP1",0.109512045192904,0.068848307141161,0.0611456887911274,0.0737967695968555,0.0288431999288091,0.0359531684164473,0.106395898660966,0.0518921218949755,0.0654590181097112,0.0865775134733104,0.0460702038112124
"LZIC",0.426754012994869,0.317405356570242,0.247598750132655,0.3308129328324,0.359130249693253,0.298467778975139,0.314356315694152,0.425958836583544,0.389051825171559,0.35285681169959,0.332871775659274
"AL357140.2",0,0,0,0,0,0,0,0,0,0,0
"NMNAT1",0.0568673506459869,0.0403871877962609,0.0383313731406726,0.023206222460226,0.0408068591172297,0.0263835384862383,0.0307458708806633,0.0682826633485248,0.0563578676208764,0.0243072262640298,0.0806811779414303
"RBP7",0,0,0,0,0,0,0,0,0,0,0
"UBE4B",0.203779506192068,0.126107926392419,0.164977054485269,0.246477076151603,0.231019454628397,0.20731491464064,0.319554468681468,0.190220702849344,0.338161359295743,0.185286945412043,0.451734040726188
"KIF1B",0.0594089272249294,0.0153916970106312,0.0137726909354443,0.0272729913829244,0.0207200482985715,0.0345944171159805,0.030612929652433,0.0560666071470958,0.130666662992545,0.0520383772543058,0.0681523570863232
"PGD",0.458004116714577,0.421637233901558,0.404386642808574,0.521284296934812,0.393888851019345,0.38791625702194,0.452682394517803,0.378699222242151,0.391531961273039,0.305860696568146,0.313802733131283
"CENPS",0.0325264104942844,0.0180685316221074,0.044677936678803,0.0256065815550014,0.0666069587403396,0.0376082212510647,0.0372734723687577,0.0373283473850709,0.116926874133807,0.0855883374533808,0.0441512441893733
"DFFA",0.190503789291055,0.0812718314064463,0.175186910197726,0.229179189510916,0.138908948616418,0.101793468130073,0.158952040326707,0.126325888617168,0.25374661817797,0.109184612414095,0.202926890951345
"PEX14",0.199344740251632,0.13877639062898,0.1727380958984,0.176819155264606,0.153645303262505,0.107488757363498,0.240506201089782,0.144824126975074,0.234164212716429,0.145770341262099,0.228556546988382
"CASZ1",0.0363373066392448,0.0108412916396247,0.0352755340571546,0.0152290733996086,0.0539955288809332,0.00832383859865945,0.0399393279938139,0.00878471786661943,0.0880934271232387,0.0110610029434455,0
"TARDBP",0.342867473800717,0.351841191204013,0.435713834333029,0.495005380046385,0.407861777647502,0.391402213914368,0.443340699878694,0.402141224577214,0.676648510622799,0.398447626529024,0.556653552712004
"AL109811.2",0.0176592043648275,0.00417444504927515,0.028026872934658,0.0172757579038857,0.00875026524241516,0.0168865002954335,0.0230773036373341,0.00374842659793552,0,0.0175998319118585,0.0673482098982155
"SRM",1.29230220676599,0.490513101936632,0.270673248400316,1.59082938973072,0.396105516634691,1.02491850024299,1.62530701246471,0.728021459757063,0.553587733579301,0.638356441298097,1.18200017405943
"EXOSC10",0.392109764177841,0.273785750820265,0.354442859518162,0.305627220862736,0.22575472914476,0.300563963954793,0.335118505819251,0.350723403717181,0.551992414531698,0.29566762365668,0.483377868292817
"MTOR",0.217412329555771,0.130028970082933,0.111016548880535,0.207224273199885,0.0760058459313483,0.10114112130639,0.150206228393908,0.156682598380406,0.233553538619567,0.108793698693256,0.164825524424934
"UBIAD1",0.346311231157676,0.378625182747809,0.325762641704056,0.313428124275567,0.103648978986905,0.221824719182325,0.24599981044446,0.295501212935835,0.365761185531194,0.249227888528453,0.548792782788722
"FBXO2",0.0476665829900863,0.00594157294825603,0,0.0188744688656212,0.0173304687910749,0.0102039826716142,0.0310129098585777,0.0316733242223983,0.016104459486376,0.0472907045394284,0.0234879098535357
"FBXO44",0.324425056351695,0.330625259430884,0.315997317192934,0.178714985095491,0.340799442449532,0.200047874117787,0.227732761997599,0.282580755505636,0.135725590261584,0.40892713931533,0.171049334515904
"FBXO6",0.121882860475235,0.067298856074221,0.0308595508600261,0.0834583394914428,0.265695750298013,0.0601235775609556,0.0742629033677302,0.0519818204140236,0.0377152758855682,0.0490552092216777,0.0363273956434667
"MAD2L2",0.304679676714033,0.30372718839182,0.238765841299096,0.405807540846704,0.202612724847582,0.264334793642544,0.421525703630647,0.177973957975751,0.0738863703583168,0.286337068924379,0.253951365097056
"AGTRAP",0.632593843304118,0.438055653891227,0.882382186104089,0.199230382712146,0.18852023457202,0.223884409502148,0.173528263704926,0.383410140143706,0.143954031683504,0.336714297993409,0.140361230673478
"MTHFR",0.0376596632817849,0.033611573104151,0.055079226980037,0.0451972250785628,0.0468415385535782,0.0463078703170689,0.12555120292333,0.0497492751390703,0.0563736976133496,0.0864240699013366,0.0394850110393021
