"","CP003-entry","CP006-entry","CP013-entry","CP020-V1","CP022-entry"
"PLEKHA1",0.693084185139784,0.768995744147614,0.546530376588556,0.818857408292625,0.44808148439366
"HTRA1",0,0,0,0,0
"FAM24B",0.12639430294407,0.085228462257193,0.220184839556312,0.0306801168298849,0.223740854474225
"C10orf88",0.129047714831482,0.132808845838304,0.0547984239973258,0,0.0548365869708269
"PSTK",0,0.0345056037100425,0.0561974553792204,0,0
"IKZF5",0.592241478953917,0.21243298347081,0.353095837809171,0.309832154629263,0.36476585063874
"ACADSB",0.161276203164276,0.148843532672484,0.240937889057377,0.11608056506303,0.250369768284414
"BUB3",1.65434278678588,1.41998770152907,1.6284862803056,1.96444508114999,2.43562465908608
"CHST15",0,0,0,0,0
"OAT",0.525243441845499,0.0376564153351986,0.52903374665681,0.465999402910987,0.502500772050379
"LHPP",0.35911118535104,0.252627770699358,0.380274996821124,0.136563758425801,0.120900547691277
"FAM53B",1.13729151335176,0.604749384574793,0.587193272482609,1.13173939206951,0.521497984357801
"EEF1AKMT2",0.513560260285123,0.514225454392031,0.41665698677212,0.352603438958268,0.487948825765516
"ABRAXAS2",0.312023279632544,0.240337060125186,0.20046490364782,0,0.0637214607507662
"AL731577.2",0.0499840051183621,0,0.139327189004298,0,0.127841730347485
"ZRANB1",0.16571183600956,0.0846152821677122,0.216718019355249,0.354764663962201,0.079183460158842
"CTBP2",0.471984279454253,0.803943765278114,0.911646321051857,0.540893032619767,0.679795527608534
"EDRF1-DT",0.0461016449066903,0,0,0.0994413040069253,0
"EDRF1",0.360434300067353,0.304035603211195,0.284382246353505,0.497880254341611,0.5692413465009
"EDRF1-AS1",0,0.114810785056211,0.101297086415659,0.0317896289514509,0.0637214607507662
"UROS",0.304029524574823,0.815925696367432,0.363800043655339,0.189143112242581,0.38120944047012
"BCCIP",0.716074316720386,0.436474493610443,0.455256615754588,0.59426109240702,0.365515705094382
"DHX32",0.31841616064477,0.0785834299841739,0.263633934462195,0.0435251923813503,0.0541802794618815
"ADAM12",0,0.0602958112499925,0.0685368076925713,0.0603209072264447,0
"DOCK1",0,0,0,0,0
"PTPRE",0.904756450433752,1.26889354188805,0.693151544129084,1.25541420996957,0.926223232057585
"MKI67",0,0,0,0.161264312207708,0.356391888520617
"MGMT",0.304439643385692,0.566688820905289,0.412871436083907,0.110675585331905,0.384174705452225
"C10orf143",0.114710407582322,0.0213761540451165,0.0685368076925713,0.0487842953596378,0.217033377921755
