"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"CRAT",0.117518471675457,0.134798672000146,0.155423616342108,0,0.0856000304378952,0.0792632233440214,0,0.0650049353420999,0.100989827312648,0.349048316172168
"PTPA",0.416725388808825,0.337242010444379,0.281777292465357,0.542689726853696,0.16452803078072,0.380626370321632,0.421473987757263,0.176144107197167,0.227927248719065,0.467589570172014
"IER5L",0.332493118977218,0.23031702527035,0.365801156307006,0.178866108135554,0.149567999258763,0.151419221483735,0.110627841650819,0.551043572107912,0.0937792762163122,0.518864022749421
"AL158151.1",0.0244565749055976,0,0,0,0,0.0316391616887719,0,0,0,0.0493193923850858
"LINC01503",0,0,0,0,0,0,0,0,0,0.0534553540882655
"LINC00963",0.100062745430892,0.0323991576219018,0.116016412805589,0.0791339579640415,0.0551373466119135,0.0464908691932904,0.0588636952273316,0.302149747337201,0.115707041563372,0
"AL391056.2",0,0,0,0,0,0,0,0,0,0
"NTMT1",0.398290793221332,0.240007028506039,0.71892651551587,0.819240719488604,0.386280415845601,0.265027279445981,0.425667137254735,0.387804824924393,0.363802409056625,0.254412636297781
"ASB6",0.274151103162147,0.155663709565532,0.177029475846244,0.456584490842076,0.13053583101129,0.24185626221327,0.232624399948824,0.197398506300005,0.145982979370451,0.569615302537691
"TOR1B",0.16520259646959,0.155711739527415,0.086991318266437,0.239412571695867,0.286283194738074,0.168232143003863,0.165133419813541,0.223514826564352,0.135935609237644,0.299911046014006
"TOR1A",0.310551596249647,0.396404045132281,0.285088040209593,0.119969408675804,0.140752624309171,0.274952364179937,0.520954048034217,0.374907953286963,0.221123940155742,0.187841988007599
"C9orf78",1.43109838930281,1.99277305944905,1.56221992833251,1.3443001997484,1.15215512183356,1.26933819924927,1.5677078142384,1.40670979030432,1.48558329966567,1.77820940830041
"USP20",0.428968908400376,0.364956679308912,0.326389391321839,0.459417103237677,0.324777398764268,0.204445801078103,0.396143308246175,0.467893307314862,0.404326454022214,0.53166711391362
"FNBP1",1.93250765117909,2.31935233064619,2.03641373054779,3.18196721495473,1.6963840692765,1.25782064968194,2.82958786761823,4.39687523166605,2.26013582526214,2.7092675726135
"GPR107",0.0534512340656572,0.153336541582115,0.0386518243661101,0.100451879482577,0.119023084983332,0.176539337805218,0.205380285451275,0.226853460559105,0.154148690526556,0.163234693327876
"NCS1",0,0,0,0,0,0,0,0.149071634186972,0,0
"FUBP3",0.113595211380665,0.140192837182162,0.154457980541772,0.0560437589670014,0.267195122407211,0.247544955773306,0.196298721293189,0.350052338577439,0.267191099464402,0.183852057757487
"EXOSC2",0.188522076510131,0.0430200043020004,0.0268705243782832,0.175488716448913,0.151767207717456,0.0778754942173552,0,0.066000632564585,0.109216521008549,0.241479519871702
"ABL1",0.146361940504966,0.188333154671103,0.13727456969013,0.377361038708424,0.262756052192893,0.171297647031125,0.192895845551717,0.677294031910577,0.183204598917386,0.160620857305932
"AIF1L",0,0,0,0,0,0,0,0,0,0
"NUP214",0.535444126549262,0.242777018349755,0.260687346923498,0.344327842110114,0.288272076934923,0.372272155784059,0.117424305805291,0.66721502518829,0.410253230584215,0.832314938176634
"AL157938.2",0.0453307192877091,0,0,0,0.0468024801305514,0,0.0330039538736741,0,0.0789431853371035,0.0534553540882655
"FAM78A",0.31878616549703,0.36415225077808,0.369017028433195,0.277093396315877,0.156923652586614,0.449262644064181,0.205719350952669,0.184370431120076,0.367172363900641,0.38086842276796
"PRRC2B",1.54736465352223,1.2768408938107,0.874721407675791,2.30148984173779,1.4714290597589,1.79808683627888,1.68423633998611,1.31333337815818,2.03439271254675,2.16459526902241
"AL358781.1",0,0,0,0.0729288214702451,0.0576353685402489,0,0,0,0,0.0738241656023683
"POMT1",0.364018822247863,0.171636468496801,0.0973465331939324,0.479295172614464,0.124385305008363,0.287665765609319,0.432601441855845,0.295739029558658,0.250157616548457,0.0444450370449384
"UCK1",0.196623122553524,0.105076188630349,0.193701725055231,0.211127776628084,0.142827983075291,0.130095269642991,0.137860176216034,0.0679805115580537,0.0825627476882431,0.443535933829015
"RAPGEF1",0.584216088690768,0.591275498199907,0.586202569975604,0.992841187357517,0.362561093848575,0.380621299845715,0.626085747880539,1.23741993145039,0.44046005068349,0.391578129976014
"MED27",0.332202815685891,0.249164614269557,0.299164996560766,0.579427078474669,0.212610188778939,0.0722488189629418,0.162045737359607,0.62598749642002,0.226901872435138,0.242061761811537
"NTNG2",0.0780737891307024,0,0,0.185109487041251,0.0691380626381762,0.0713995379249054,0,0,0.116496636919023,0
"SETX",1.07562879534462,0.381042749264388,0.86431941868941,1.08650878359158,1.13487052663816,1.1510663279992,0.77053801243086,0.977517292746778,0.662706852618933,1.03825480605307
"TTF1",0.414806863667859,0.468497421329684,0.539606746155772,0.254637353981261,0.219412350248969,0.26197765639801,0.312668861348658,0.307302287374341,0.112660078429921,0.45684078783339
"DDX31",0.160249876481647,0.187987566855719,0.143582513375937,0,0.0947001281942341,0.146387001484506,0.343575604867851,0.0969032828921873,0.110776567557808,0.118789656282937
"GTF3C4",0.21633338098036,0,0.189718709739813,0.105467431657104,0.105460605747048,0.031661600810537,0.0451891618314263,0.387170321477199,0.053972366148532,0.253246742525359
"AK8",0,0,0,0,0,0,0,0.0194229443241301,0,0.0521354688021355
"SPACA9",0.128830284574838,0.0571591883395256,0.069165187183971,0,0,0.0789559836380461,0.0373507836194403,0.0247492649207655,0.0718592175454113,0.0950559500265709
"TSC1",0.117209450241102,0.0783407978858798,0.171030567097665,0.0746536072623029,0.25451181826992,0.032627704836731,0.112917587485758,0.227326539601715,0.0414346327234155,0.232037379112817
"GFI1B",0.0217098693065868,0,0,0,0,0,0,0,0,0
"GTF3C5",0.427497406088035,0.524720759000913,0.426762106668725,0.60075321506518,0.193788567915952,0.375282379111479,0.506460220394964,0.247274986162352,0.287494381536574,0.644032522087209
"RALGDS",1.0504661533714,1.340379888359,1.4604796018617,1.33285380118545,1.07759823357781,0.852038987119636,1.32058097644516,1.57967119698973,0.907138802824909,0.565966484192789
"GBGT1",0,0.0285022089211914,0,0,0,0,0,0,0,0
"ABO",0,0,0,0,0,0,0,0,0,0
"SURF6",0.12937928987996,0.236739799655773,0.471350469976124,0.417834379453918,0.379159310914266,0.329319725663427,0.445060323066354,0.236804424282636,0.365434331611842,0.239258770056385
"MED22",0.170120351770732,0.0297309350379069,0.0705940833957686,0.0729288214702451,0.0871112957902975,0.0283762003132732,0.051440329218107,0.0857510584330857,0.0890144328210976,0
"RPL7A",24.8892914391283,28.3837748015673,24.7468024815132,24.8577869998455,28.553466556911,26.8506611208541,25.8753724845605,22.433912739214,25.5479787215686,25.4104178835476
"SURF1",1.23522979816728,0.51104757915142,0.800419479153815,0.510897323780237,0.489972899095149,0.904015908213683,0.605160934240118,0.184163255744067,0.546612453067486,0.822255391533907
"SURF2",0.477024006011271,0.641707921544586,0.384907816109564,0.525389137340784,0.443155486593305,0.525651325487627,0.557643620738255,0.963678714481805,0.456908199569896,0.447903815834447
"SURF4",0.906832229609857,0.786336372624552,1.30513103123515,0.587745589011358,0.884876349316583,0.571083919542431,0.997917291002935,2.03448902309653,0.837671459363876,0.564997681063709
"STKLD1",0,0,0,0,0.0115149798372703,0,0,0,0.0300249807840123,0
"REXO4",0.188977748033684,0.129196256330297,0.314632914898764,0.62619295754298,0.206485029812667,0.23471567181377,0.244073673929559,0.244341375141152,0.0485851990049751,0.232817876046451
"CACFD1",0,0,0.0366525920713113,0.162061037400602,0.0137920000882688,0.0548830028024472,0.0871976112071219,0.0343052128477661,0.0997204699206956,0
"SLC2A6",0.0856515907454058,0.0595163470424743,0.0556902658387118,0.06046826625387,0.0539000777936259,0.0581819703570079,0,0.0264605478207117,0.0873687373738131,0.0526637315413621
"ADAMTSL2",0,0,0,0,0,0,0,0,0,0
"DBH",0,0,0,0,0,0,0,0,0,0
"DBH-AS1",0,0,0,0,0,0,0,0.0145654966688709,0,0
"SARDH",0,0,0,0,0.0713988485982061,0.0253328739638855,0.11055238545217,0.013082891894756,0.0424361759913091,0
"VAV2",0,0,0,0.0389845309381237,0.0249549563038715,0,0,0,0,0
"BRD3OS",0.098545631107106,0,0.0741741915186893,0.291973841593095,0.107009723836207,0.0834228798975607,0.0346075845982406,0.111153820723503,0.101945684870266,0.117621204432159
"BRD3",0.5729219935756,0.530876651309334,0.633317870141252,0.687273303402709,0.443533170384205,0.341330116018871,0.522781119785009,0.345474239136388,0.399276428423443,0.369393786183704
"WDR5",0.280465888518539,0.099263604745435,0.1952713853564,0.303333808932181,0.199786314267105,0.180563013417875,0.125081017914917,0.25601768456851,0.112475746340134,0.320798821967613
"RXRA",0.0613951358860429,0.0383435582822086,0,0,0.133360513430798,0.116044422944102,0.21253592659335,0.117308126235123,0.112150666209542,0.0867801504091064
"FCN1",0,0,0,0,0,0,0,0,0,0
"OLFM1",0,0,0,0,0,0,0,0,0,0
"PPP1R26",0,0,0,0,0,0,0,0,0,0
"C9orf116",0,0.0449034575662326,0,0,0,0,0,0,0,0
"MRPS2",0.753166467818475,0.932517603136605,0.433170839771612,0.467675985816821,0.372317947708379,0.43700200924258,0.474063502692045,0.320379558316874,0.550191407429835,0.239895675094446
"CAMSAP1",0.10485491021603,0.18032124231146,0.122246197545051,0.23799643076703,0.0876111984036611,0.0913200208517759,0.139762650303071,0.266115996630007,0.132851048363782,0.0495181880304636
"UBAC1",0.447438661290376,0.564870366007349,0.191627634604684,0.181693852942709,0.260166718323343,0.285144371309247,0.519246550353625,0.247768008175034,0.338520637412837,0.238752800769706
"NACC2",0.0586446162236978,0.0426075841499787,0,0.169691656282676,0.116493551302595,0.0295501288385617,0.15617295099907,0.0113678993258836,0.0319268492031058,0
"TMEM250",0.307884201223062,0.553178622409551,0.290527460157208,0.928253061726841,0.336019784157844,0.543251226190105,0.35997708072453,0.217744273409228,0.404290020327557,0.629929484018176
"QSOX2",0.131332767014276,0.0316155548529877,0,0.259881326724811,0.0374646479659588,0.0760288973371116,0.078119141267692,0.127344243733021,0.0780203253878019,0
"GPSM1",0,0.0898368641524455,0.027766208524226,0,0,0.0446316992180526,0.073256369046012,0,0,0
"DNLZ",0.337629507812659,0.381737697076492,0.23965448915526,0.194637347179727,0.111673092107398,0.285259582189818,0.361632031470179,0.50402055643373,0.377953930574558,0.214193598901964
"CARD9",0.463206044773286,0.0445037828215398,0,0.360865139796262,0.130230292867924,0.194286973550767,0,0,0.173596506899977,0.0743113198433518
"SNAPC4",0.0608326650544871,0.0243546030199708,0,0.2085814702028,0.0704418646604897,0.031661600810537,0.14757620875611,0.175698200336598,0.0865074235085618,0
"ENTR1",0.465397772859033,0.588691184863659,0.38606884512203,0.620852756635132,0.506286150128997,0.166717282279297,0.513265267767293,0.258294221692932,0.259485764074218,0.270994370139325
"PMPCA",0.321076423638307,0.344959759942761,0.168215732876891,0.3648393075988,0.287944635418207,0.163420088411336,0.215220344929585,0.277642846553025,0.136089877531459,0.298824849240784
"INPP5E",0.0694578723586394,0.0756722797333117,0.262567720988182,0.0902918231724935,0.116800314921077,0.0741289801515685,0.121771157384993,0.0684701100751177,0.120298955643833,0
"SEC16A",0.267146415229843,0.212626947818108,0.234513118670155,0.345257862517364,0.433499603331644,0.278213142767149,0.414735470709641,0.480632634229179,0.212153871087479,0.308409248298957
"C9orf163",0,0,0,0,0.0130113797527317,0.0515655294748567,0,0,0,0
"NOTCH1",0.130609274064363,0.0728265274499988,0.0934545712052337,0.179145960221115,0.153071490672997,0.0444539279490736,0.124466275421538,0.0561298385523892,0.0978940263912734,0.228803870739147
"NALT1",0.0315913312224056,0.0539083557951482,0,0,0.0393924765917248,0.0407232448281479,0,0,0,0
"EGFL7",0.0385161067634975,0.0571845439260771,0,0.0942400482509047,0,0.0968589096187424,0.0435115566694514,0.00708423007879081,0,0
"AGPAT2",0.264642568680359,0.106758560208801,0,0,0.117228234790249,0.2243989160716,0.17509392732164,0.0312643119856828,0.135442635406602,0.0655200655200655
"DIPK1B",0,0,0.0428203173841925,0,0,0,0,0,0,0.0645344484886032
"SNHG7",2.14773485716177,3.27115459751986,3.60034942490613,1.13742928241875,2.73874149361092,1.07118011121409,2.53354110766033,1.19304829887972,1.88850808129483,1.27445294745718
"LCN10",0,0,0,0,0,0,0,0,0,0
"TMEM141",0.293921082380708,0.367539215897118,0.248319175865298,0.804211772499638,0.232831833633809,0.338258137642305,0.243962339327521,0.167467186499935,0.394199110845563,0.293617992963677
"CCDC183",0,0,0,0,0.0125209726291538,0,0,0,0.0308733451886979,0.0743113198433518
"RABL6",0.72481034492571,0.511296075384642,0.700428411918058,0.904087367323812,0.428538426324959,0.56591403540889,0.444443419253283,0.499758997667119,0.740152917679814,0.922427094021748
"AJM1",0.15636296529458,0.126439526620009,0.0996302125922809,0.102559894978668,0.0343978620726235,0.0871298483026302,0.0949359794154274,0.0148909239818331,0.0701540011261386,0
"PHPT1",0.390186851076483,0.250733025156515,0.39391079499527,0.509268872005668,0.722695940836229,0.712600545331201,0.648840860393618,0.103246762524731,0.424501527892612,0.847726118369373
"MAMDC4",0,0,0,0,0.0355526447360707,0,0,0,0,0
