"","CP002-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"KCNQ5",0.125198133752768,0.0194995932036142,0.118188674331137,0.396109552420578,0.241599654946605,0.546601173994251,0.181557428415054,0.193110741620183,0.422525238561352
"KHDC1",0.0309477101980512,0.0305415684024901,0.0758705808363164,0.121925690977524,0.0276298048230587,0.0690135221562941,0,0.0395914165808853,0.0794069726034507
"AC019205.1",0.0322715831351019,0,0,0.117202229752174,0,0.0660787341534939,0,0,0.0892659409621992
"CGAS",0.178345052340403,0.348055640029172,0.391081078846656,0.154407254302398,0.102642091032583,0.140625203299802,0.0682690818218977,0.238920336240709,0.179857553455537
"MTO1",0.179813413965712,0.387815336961224,0.47253487270815,0.214418071084881,0.161592568826879,0.128754423955663,0.128556539919886,0.228621178087193,0.108614502818893
"EEF1A1",78.1384576429587,71.0711684646095,78.6161902811898,81.4163474245231,81.3212947066579,64.4242063635805,72.9008969892364,51.6992128176919,71.833032722734
"SLC17A5",0.0893418080370588,0.210222758114827,0.229078342334784,0.106282086895414,0.105210398147,0.150283352931594,0.203418999955624,0.208936528186781,0.176199523294193
"CD109",0,0,0,0,0,0.0264332085685889,0.0455914665008984,0.0513009273925149,0.0180043930719095
"COX7A2",2.89554072017226,2.41769840852216,3.41333972779363,3.30644868219274,3.33218087885915,2.77446235387165,2.64621130047614,2.6877639480046,3.1115563731382
"TMEM30A",0.480809592085274,0.719543238204954,0.331050029907306,0.311325118885426,0.616758858321984,0.704420390531293,0.554143203491966,0.600778205919449,0.77914419574026
"AL080250.1",0.0770641105147091,0.0673148706784659,0.0367349937550511,0.0236326167923922,0,0.0185468195913765,0,0,0.0503524672708963
"SENP6",0.633409532423682,1.38283958560585,0.714794997219397,0.646630450622458,0.970866074547113,1.68926521557209,1.28869070282933,1.1449173475556,1.31702341218088
"IRAK1BP1",0.00747317131497923,0,0.118902151518327,0.116592935725405,0.110302631800069,0.0342897898721677,0.134349347270958,0.0600748962394293,0.0323498964803313
"PHIP",0.867564572511569,0.944551559624983,0.667700824191663,0.779868999099572,0.917090477482428,0.986677942223374,0.889565029549932,0.997897287784735,0.931163848319086
"AL356776.2",0,0,0,0.0251884093015758,0,0,0,0,0
"HMGN3",2.02582920809268,2.73820267290479,1.81419135424123,1.39433804621965,2.04703937041521,2.17256604241451,1.04713259473897,2.29926207121747,2.50248308189701
"HMGN3-AS1",0.0170971734952778,0,0,0.0513126711930944,0.0572436058892222,0,0.0976831395132723,0,0
"LCA5",0,0,0,0,0,0,0,0,0
"SH3BGRL2",0,0,0,0,0,0,0,0,0
"ELOVL4",0,0,0,0,0,0,0,0.0140542014332475,0
"TTK",0.0507724365805623,0.109175473298899,0,0,0,0,0.0410424736775616,0.0104529798832402,0
"BCKDHB",0.02782136458229,0.255699359314608,0.454844250855425,0.19394965004541,0.324833613150337,0.140422910853366,0.107744372157389,0.113866028701586,0.438537665111022
"TENT5A",0.158779102366917,0.226213048071947,0.266387879888615,0.299436598299102,0.358393871518691,0.340785537872672,0.185541766935325,0.157531506864129,0.177378600630317
"IBTK",0.391372523657891,0.161942460263353,0.336100981772686,0.240907937843054,0.328564567178666,0.590124674922939,0.457221303572781,0.349388687612808,0.320256401600214
"TPBG",0,0,0,0,0,0,0,0,0
"UBE3D",0.053673181965052,0.0292177246404759,0.232759037542377,0.0573177671217949,0.119251235522327,0.0794003900868074,0.0675858340091917,0.107464327836307,0.0630518928559182
"DOP1A",0.104045704385277,0.0637598010319212,0.270362659097274,0.185528377138648,0.316892026873951,0.0968878394626995,0.468557187123146,0.193303293148829,0.294111164647879
"PGM3",0.0774012289273694,0.0975124011126889,0.0674518395485116,0.196428130687439,0,0.0582645720403125,0.0353744384307899,0.199783429020147,0.0776203181873762
"RWDD2A",0.0227580996076504,0.0105703999205106,0,0.118709105165743,0.0277672879134549,0,0.0458618087018633,0.0419559881684113,0.0244092950595587
"ME1",0,0,0,0.0144045725875222,0,0,0,0,0
"CYB5R4",0.211670045135483,0.338803163784468,0.409358323118779,0.356225964699271,0.405460077056563,0.335516835430162,0.659406758677152,0.441842598085899,0.476932408901725
"CEP162",0.124479076623784,0.243028498110468,0.443822920941882,0.177585852460983,0.209384655738324,0.0829936875096165,0.341181760220698,0.375179981210565,0.480838728179171
"NT5E",0,0,0,0,0,0.0333097944119489,0,0,0
"SNX14",0.456419204466645,0.756125735387567,0.53173652339349,0.489384923848507,0.685248447582567,0.916516346322498,0.686343021505119,1.01321072049965,0.672173590267128
"SYNCRIP",0.660575321834639,0.963346580296793,0.748743313652669,0.798976106481281,0.969314498228492,0.94249194484942,0.769435017702467,0.400224105330495,0.786961959956748
"SNHG5",0.604362181408253,0.771439237172233,0.42090124087604,0.734825410758396,1.26199492612393,0.920707221477564,1.21251723246843,0.632662046599359,0.510486733558502
"AL139274.2",0.0274746409064433,0,0.0461552663158866,0,0,0,0,0,0
"ZNF292",1.27677126992644,2.19855635044248,0.833444367209244,2.21675242064261,2.13851834709836,1.39510080527009,1.01485925991793,1.6353834968239,1.50160742891248
"SMIM8",0.14990173664687,0.105763140446386,0.150891158382249,0.0689761326830627,0.126467483361641,0.0577695788734387,0.0296486047366611,0.125678362207925,0.107047506593274
"SLC35A1",0.168308212237716,0.295648797953294,0.426533229595685,0.170938569743923,0.225434395604756,0.522598513538356,0.298176050188744,0.205959110365092,0.216772338435645
"RARS2",0.295809662777843,0.214352803338456,0.190789412324549,0.308629274293204,0.266450796681724,0.548978587418892,0.388618140667735,0.225608016931235,0.415954112401831
"ORC3",0.145399794522881,0.205948957534368,0.344731955493092,0.220491784903271,0.326700404790249,0.113362950020521,0.0737639686897287,0.297776417062093,0.213229867521957
"AKIRIN2",0.524721700237486,0.841172981683006,0.390685909986506,0.718527065390216,0.544400278614712,0.552632090153942,0.835621970310471,0.855632119872412,0.592384345774068
"CNR1",0,0,0,0,0,0,0,0,0
"RNGTT",0.331083434755143,0.0762046206104503,0.383960608349817,0.246550327331962,0.546642278487562,0.460790479069756,0.430932176149325,0.433453899345595,0.586303530458809
"PNRC1",9.54871376186694,10.8897409878957,5.40422453395741,7.14187105911427,7.67038037226833,6.80146140944685,4.27158419192593,7.95663680433758,7.6179197070786
"PM20D2",0.111899443463527,0.0790818013428371,0.0885413044954835,0.0943744544562344,0.175802542954824,0.116582930864118,0.082627950782024,0.0561342110987968,0.0490273804898482
"GABRR2",0,0,0.0338340776830424,0,0,0,0,0,0
"UBE2J1",1.02417149729382,0.556053501840478,0.466166382620406,0.704205472198452,0.632424106802034,0.787419752065762,0.67745861368357,0.385422944999135,0.617647341620073
"RRAGD",0.0931626793191166,0.0858919593673771,0,0.032452315118195,0.147228340323687,0.0352415455532218,0.0429728086150054,0.0341739556866317,0
"ANKRD6",0.136206527197869,0.067533800667234,0.195341600883658,0.107579895146646,0.233559792431755,0,0.109085975215843,0.041579703168419,0.133273855997714
"LYRM2",0.621943891305101,0.614456568172414,0.336499722546251,0.593960142992816,0.565611583570876,0.476337859419058,0.211457366729087,0.216995545405143,0.422818635921508
"MDN1",0.164775660630833,0.330600046362528,0.124570912741404,0.211575506952896,0.461485721729166,0.225370958135122,0.239459797161893,0.118495382404226,0.264739632539189
"AL096678.1",0,0,0,0,0.0736762841567021,0,0,0,0.0519656135996744
"CASP8AP2",0.48452567397698,0.370942132918069,0.437087696617832,0.309513908574858,0.569216813577243,0.525061787259168,0.250922648375748,0.341384528840723,0.481116736369835
"BACH2",1.18818493655344,0.319849776865867,0.941600559562257,1.27415381918498,1.92302450706517,1.23479988215379,5.95109493965428,0.491740784755414,1.36990264329779
"AL121787.1",0,0,0,0.0511772625221107,0.0777546706139974,0.0484900207537289,0,0,0.0623614716248193
"AL132996.1",0,0.0456285958168304,0,0,0.0739334099359724,0.0483764851580944,0,0,0
"MAP3K7",0.204502561841807,0.145400629875964,0.159506718465679,0.107932527658378,0.387174974534948,0.349754882365765,0.242436839330248,0.338174414214227,0.358710271481264
"MANEA-DT",0.12621412159203,0.543205365899663,0.161797959971067,0.122980282730872,0.229189382752465,0.0472205957350358,0,0.298942873924461,0.172105599027544
"MANEA",0.159915588275471,0.0501977777346266,0.101261643673799,0.110868540503793,0.202883812295347,0.139125216595175,0.0922203708042589,0.0684528301603234,0.108130761457846
"UFL1",0.510268495679726,0.481624595574141,0.812226266947048,0.400463323159617,0.674426778962038,1.17992391103543,0.656998163920229,0.553841384058061,0.460811817752603
"NDUFAF4",0.518189547411995,0.166092505747396,0.328413384666695,0.361685567913938,0.348975804863178,0.517446942332459,0.290172058797021,0.386799887022263,0.360017873616463
"KLHL32",0.0246016985012645,0,0,0.08317295624159,0.0266922912662823,0,0,0,0.0434253951710961
"MMS22L",0.0100140998525925,0.113258104385609,0.141805333656747,0.0424202798707286,0.172827925885488,0.0472205957350358,0.0458993666328278,0.151664324471685,0.174846755566788
"FBXL4",0.278927892363724,0.249097893471246,0.267820442773521,0.257764248611688,0.368110737476594,0.263147629890492,0.363024221735127,0.234239917680125,0.537845974557843
"COQ3",0.0230757160394687,0.0460015456519339,0,0.0609614977370204,0.120231636956064,0,0.109662637690726,0,0.0737402913228797
"PNISR",2.4391042006702,3.06563513415716,2.71221919811169,2.61687326624025,2.39082528755097,2.47832875985166,1.25676504475541,2.47840736216837,2.54669259158592
"AL513550.1",0,0,0.0956772763358391,0.0195508008008008,0,0,0,0.0368440832086775,0.0242883513067133
"USP45",0.0497204829757523,0.0704638961107382,0.0338340776830424,0.0911796109467951,0.167392983729048,0.338241440358722,0.274376189102256,0.137728667441737,0.0344423779017703
"TSTD3",0.264108196001449,0.0518570286566962,0.253964313846453,0.0851586543431079,0.22066478175551,0.145474197748542,0.115321066449949,0.235768539101368,0.391701805416893
"CCNC",0.360726200088855,0.260669307792457,0.529736922031445,0.507631632033207,0.532712852817242,0.30350581089213,0.523258580606372,0.598381720799451,0.517066256236335
"ASCC3",0.616132727038833,0.384389906030748,0.592564991950722,0.543190779121351,0.412658141815646,0.844053471699145,0.787867990359521,0.482808533784585,0.799859210285177
