"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ZC3H8",0.8369349960584,-0.0613991368449385,0.11,0.101,1,"15: NK cell_1"
"TMEM94",0.953704990006868,0.0613440850250324,0.052,0.048,1,"15: NK cell_1"
"MBOAT7",0.147050338359744,-0.061339386453829,0.096,0.092,1,"15: NK cell_1"
"RPARP-AS1",0.701484271215336,-0.061331001675458,0.031,0.029,1,"15: NK cell_1"
"TVP23B",0.791229360860933,-0.0612616882293235,0.143,0.135,1,"15: NK cell_1"
"ZNF438",0.70221047365902,0.0612567934651862,0.029,0.025,1,"15: NK cell_1"
"ANAPC4",0.981228871813847,0.0612536937688437,0.102,0.093,1,"15: NK cell_1"
"ZNF319",0.442823048700455,0.06123888625521,0.048,0.038,1,"15: NK cell_1"
"CHST14",0.913675130614095,-0.0612315136210841,0.059,0.059,1,"15: NK cell_1"
"ELOVL5",0.984005321769552,0.061208780233328,0.184,0.169,1,"15: NK cell_1"
"MSANTD4",0.346058899538419,-0.0612062331600964,0.04,0.034,1,"15: NK cell_1"
"SNRPC",0.458655792212867,0.061177111429904,0.264,0.233,1,"15: NK cell_1"
"MORC3",0.737984913634804,0.0611587813353612,0.348,0.312,1,"15: NK cell_1"
"S1PR2",0.953467372992734,0.0610797124565696,0.01,0.01,1,"15: NK cell_1"
"MBNL2",0.685908083745469,-0.0610572147039579,0.25,0.25,1,"15: NK cell_1"
"LINGO2",0.00715113674564288,0.0610482504146462,0.298,0.263,1,"15: NK cell_1"
"CHD4",0.888029266573679,0.0610181018399602,0.245,0.223,1,"15: NK cell_1"
"CAPZB",0.396795974963372,-0.0610135360271487,0.621,0.605,1,"15: NK cell_1"
"PIGG",0.67241489948194,0.0609940322940887,0.09,0.075,1,"15: NK cell_1"
"CAPN1",0.854620800156742,-0.060979275718266,0.197,0.195,1,"15: NK cell_1"
"SCYL1",0.221776302956371,-0.060969212332981,0.139,0.137,1,"15: NK cell_1"
"BPNT1",0.571133743182227,-0.0609628486539346,0.038,0.034,1,"15: NK cell_1"
"SH2B3",0.711465734406131,0.0609396399363169,0.084,0.078,1,"15: NK cell_1"
"ABCF1",0.302561951459213,-0.0609206022863684,0.269,0.249,1,"15: NK cell_1"
"GTF2F1",0.717511582698799,0.0609004723987421,0.21,0.199,1,"15: NK cell_1"
"SLC25A20",0.300017859826012,-0.0608909927820007,0.116,0.108,1,"15: NK cell_1"
"C16orf87",0.361010297536434,-0.0608876547883175,0.062,0.06,1,"15: NK cell_1"
"SCNM1",0.388557282904978,0.0608793102014726,0.224,0.217,1,"15: NK cell_1"
"ZNF66",0.934370774412751,-0.060872719630356,0.042,0.043,1,"15: NK cell_1"
"PPIF",0.693046524225576,0.0608697359090753,0.091,0.08,1,"15: NK cell_1"
"EPB41",0.825573940225471,-0.0608392036989955,0.601,0.58,1,"15: NK cell_1"
"PGRMC1",0.244254997567208,-0.0608027604257568,0.059,0.054,1,"15: NK cell_1"
"PDCD6IP",0.969334593654749,0.0607943798002654,0.297,0.275,1,"15: NK cell_1"
"USP3",0.703420151651516,0.0607887334479467,0.386,0.347,1,"15: NK cell_1"
