"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SLFN12L",1.7725307975862e-07,0.351237630931113,0.695,0.481,0.00397330503586922,"27: GZMK+ CD8 T cell"
"DARS",1.82665560710861e-07,-1.3913251101336,0.143,0.239,0.00409463120889466,"27: GZMK+ CD8 T cell"
"PKM",1.99978812574646e-07,-0.507683796360372,0.676,0.663,0.00448272506267327,"27: GZMK+ CD8 T cell"
"H1-2",2.01200351872235e-07,0.966845809213244,0.412,0.202,0.00451010708756803,"27: GZMK+ CD8 T cell"
"METRNL",2.17545455997458e-07,0.269771824467874,0.702,0.494,0.00487649894163901,"27: GZMK+ CD8 T cell"
"TRPC4AP",2.8337628247501e-07,0.545110664379501,0.691,0.454,0.00635216274795983,"27: GZMK+ CD8 T cell"
"HLA-C",3.18113392246231e-07,0.123539066177846,1,0.998,0.00713082980059151,"27: GZMK+ CD8 T cell"
"AUTS2",3.19179918825363e-07,0.50111369940027,0.684,0.479,0.00715473706038933,"27: GZMK+ CD8 T cell"
"RPS12",3.51459554197899e-07,-0.296392042767683,1,0.999,0.0078783173669001,"27: GZMK+ CD8 T cell"
"MYC",3.65245870481988e-07,-1.30786804868058,0.114,0.197,0.00818735143272425,"27: GZMK+ CD8 T cell"
"RPS3",3.69691037918501e-07,-0.195731746373583,1,0.998,0.00828699430598112,"27: GZMK+ CD8 T cell"
"CLIC1",4.20772290903538e-07,0.466021885714553,0.93,0.758,0.00943203167289371,"27: GZMK+ CD8 T cell"
"EEF1G",4.27653955389592e-07,-0.296095333663309,0.882,0.882,0.0095862910640131,"27: GZMK+ CD8 T cell"
"GPX4",4.36051670497278e-07,-0.621616382859745,0.54,0.615,0.00977453424586698,"27: GZMK+ CD8 T cell"
"FYN",4.78276259375165e-07,0.292112266539922,0.978,0.928,0.0107210406301537,"27: GZMK+ CD8 T cell"
"GBP5",6.80106903790882e-07,0.555597632900155,0.654,0.426,0.0152452763553764,"27: GZMK+ CD8 T cell"
"SYTL3",6.84964402328062e-07,0.479780161602856,0.585,0.383,0.0153541620425858,"27: GZMK+ CD8 T cell"
"CD74",7.30159960029831e-07,0.39619322362441,0.982,0.955,0.0163672656640287,"27: GZMK+ CD8 T cell"
"H3F3A",7.36227330059764e-07,-0.167113438422594,0.305,0.432,0.0165032718306197,"27: GZMK+ CD8 T cell"
"RPL38",7.73053126595234e-07,-0.350516021740006,0.956,0.948,0.0173287588857588,"27: GZMK+ CD8 T cell"
"SLC6A6",7.82166120308947e-07,0.689443607861298,0.467,0.252,0.0175330357528454,"27: GZMK+ CD8 T cell"
"CTSC",8.04602710609309e-07,0.522902388282012,0.768,0.551,0.0180359743610183,"27: GZMK+ CD8 T cell"
"SETBP1",8.36846944502771e-07,0.791392701801544,0.228,0.1,0.0187587611079741,"27: GZMK+ CD8 T cell"
"EFHD2",8.54423055672612e-07,0.293045074574051,0.812,0.639,0.0191527472159573,"27: GZMK+ CD8 T cell"
"CD8A",8.5555494874294e-07,0.28946425489073,0.949,0.866,0.0191781197310217,"27: GZMK+ CD8 T cell"
"RABGAP1L",9.64343712928068e-07,0.276725743324545,0.901,0.749,0.0216167286689956,"27: GZMK+ CD8 T cell"
"GPI",1.00762487518285e-06,-0.803678050329847,0.548,0.517,0.0225869192020988,"27: GZMK+ CD8 T cell"
"C12orf75",1.02009337562005e-06,0.557141535104901,0.787,0.563,0.0228664131078989,"27: GZMK+ CD8 T cell"
"S1PR5",1.02095202596791e-06,0.614313753487523,0.364,0.216,0.0228856606140967,"27: GZMK+ CD8 T cell"
"NFATC2",1.06570779316772e-06,0.471459401350014,0.82,0.622,0.0238889058916477,"27: GZMK+ CD8 T cell"
"RPL22",1.08070713374592e-06,-0.306000180492888,0.949,0.955,0.0242251311100486,"27: GZMK+ CD8 T cell"
"ZBP1",1.11551449998309e-06,0.606284490035401,0.382,0.202,0.025005373031621,"27: GZMK+ CD8 T cell"
"ST3GAL5",1.1655566645678e-06,0.628812683816971,0.489,0.267,0.0261271181929518,"27: GZMK+ CD8 T cell"
"H2BC12",1.20794201995772e-06,1.11471853817029,0.21,0.075,0.0270772283193722,"27: GZMK+ CD8 T cell"
"ST8SIA6",1.21215124957088e-06,1.047550138993,0.316,0.139,0.0271715824103808,"27: GZMK+ CD8 T cell"
"RPS3A",1.29336035668052e-06,-0.323464294594729,0.996,0.993,0.0289919657553506,"27: GZMK+ CD8 T cell"
"KLRD1",1.48800067331032e-06,0.613502951017991,0.489,0.327,0.0333550230929241,"27: GZMK+ CD8 T cell"
"ZEB2",1.49588569751233e-06,0.260590070108102,0.805,0.626,0.0335317737954364,"27: GZMK+ CD8 T cell"
"AQP3",1.64888282512683e-06,-1.79956140017523,0.062,0.152,0.0369613574080429,"27: GZMK+ CD8 T cell"
"GLCCI1",1.65332640007489e-06,0.621900116267677,0.688,0.519,0.0370609645840788,"27: GZMK+ CD8 T cell"
"BNIP3",1.77390667483997e-06,-1.6802555130902,0.169,0.238,0.0397638920232128,"27: GZMK+ CD8 T cell"
"ACTN4",1.99372788425505e-06,0.400160653189324,0.776,0.563,0.0446914042534612,"27: GZMK+ CD8 T cell"
"ENSG00000273149",2.16591684459215e-06,0.401969145148362,0.43,0.255,0.0485511919883777,"27: GZMK+ CD8 T cell"
"ABI3",2.20197351985946e-06,0.490023049756999,0.721,0.505,0.0493594384211695,"27: GZMK+ CD8 T cell"
"RPL23A",2.21213708567628e-06,-0.249692652793428,0.989,0.984,0.0495872649125194,"27: GZMK+ CD8 T cell"
"LAG3",2.3053127145304e-06,0.452092669285429,0.658,0.42,0.0516758898089135,"27: GZMK+ CD8 T cell"
"RASA1",2.35157763427038e-06,0.752524618946314,0.449,0.237,0.0527129642498048,"27: GZMK+ CD8 T cell"
"SARS1",2.52823826712323e-06,0.25422785392664,0.379,0.227,0.0566729889958342,"27: GZMK+ CD8 T cell"
"FCMR",2.61340332994118e-06,-0.739213742872217,0.401,0.483,0.0585820490439615,"27: GZMK+ CD8 T cell"
"FTL",2.6135562612237e-06,-0.525873954752396,0.956,0.961,0.0585854771515905,"27: GZMK+ CD8 T cell"
"LMNB1",2.62374517038519e-06,0.921018995596653,0.515,0.284,0.0588138717393543,"27: GZMK+ CD8 T cell"
"GGA2",2.67230851816557e-06,0.364864748776618,0.735,0.525,0.0599024677431994,"27: GZMK+ CD8 T cell"
