"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PRDX3",0.938338297665124,0.0705847269356815,0.214,0.188,1,"3: IL2RB+ NK cell"
"TMEM68",0.829690474496096,0.0705510410937964,0.071,0.059,1,"3: IL2RB+ NK cell"
"ZNF431",0.632791547088597,-0.0705429817447073,0.205,0.189,1,"3: IL2RB+ NK cell"
"TRRAP",0.306874094698181,0.0705092240523557,0.141,0.117,1,"3: IL2RB+ NK cell"
"STEAP1B",0.738125677700373,-0.0704894136073011,0.029,0.028,1,"3: IL2RB+ NK cell"
"NBPF11",0.148281788128373,-0.0704874214023299,0.076,0.067,1,"3: IL2RB+ NK cell"
"LIN37",0.718981821766933,-0.0704730573913714,0.092,0.083,1,"3: IL2RB+ NK cell"
"MSRB2",0.428662227908526,-0.0704539659799934,0.035,0.031,1,"3: IL2RB+ NK cell"
"GOLGA7",0.19855617992911,0.0704456600168066,0.35,0.314,1,"3: IL2RB+ NK cell"
"OMA1",0.888158176551219,-0.0704437694631577,0.049,0.046,1,"3: IL2RB+ NK cell"
"C8orf76",0.865341300509565,0.0704391920008411,0.144,0.122,1,"3: IL2RB+ NK cell"
"TTC13",0.70165932912926,-0.0703891211356407,0.104,0.091,1,"3: IL2RB+ NK cell"
"SYTL3",0.000685065449065309,0.0703394683028977,0.538,0.468,1,"3: IL2RB+ NK cell"
"STAT3",0.802667730170484,0.0702455612294329,0.472,0.419,1,"3: IL2RB+ NK cell"
"POLG",0.669169740226181,-0.0702240567614153,0.192,0.178,1,"3: IL2RB+ NK cell"
"SYT11",0.773100324141111,-0.0702173764877509,0.138,0.124,1,"3: IL2RB+ NK cell"
"HAUS8",0.622809509335788,-0.0702129552574999,0.031,0.029,1,"3: IL2RB+ NK cell"
"USE1",0.567079200765775,0.0701922595942828,0.146,0.127,1,"3: IL2RB+ NK cell"
"SZT2",0.514241368524573,0.0701810779904504,0.079,0.068,1,"3: IL2RB+ NK cell"
"AP000977.1",0.772758149548812,0.0700980305908354,0.013,0.014,1,"3: IL2RB+ NK cell"
"TMEM185A",0.429934105001612,0.0700303487642837,0.083,0.068,1,"3: IL2RB+ NK cell"
"LRPPRC",0.0979677842139829,-0.0700140132618126,0.155,0.143,1,"3: IL2RB+ NK cell"
"AASDH",0.448466350796591,0.0700108591003432,0.071,0.059,1,"3: IL2RB+ NK cell"
"TOR1B",0.301619331941241,0.0700104884670329,0.077,0.062,1,"3: IL2RB+ NK cell"
"OSER1",0.552444426402251,-0.0700091964506404,0.192,0.179,1,"3: IL2RB+ NK cell"
"FCF1",0.410223721704357,0.070002778892059,0.084,0.073,1,"3: IL2RB+ NK cell"
"ITM2A",0.00768964784575089,-0.0699863903132816,0.289,0.27,1,"3: IL2RB+ NK cell"
"PIK3CA",0.698863082238102,-0.0699710858739926,0.168,0.156,1,"3: IL2RB+ NK cell"
"RTP4",0.138516800120814,0.0699641080690261,0.123,0.106,1,"3: IL2RB+ NK cell"
"IFT81",0.921607602446093,-0.0698796511029709,0.014,0.012,1,"3: IL2RB+ NK cell"
"ISYNA1",0.716843468444306,-0.0698706915692022,0.099,0.093,1,"3: IL2RB+ NK cell"
"ZSCAN5A",0.125089493388584,-0.0698533136470547,0.024,0.025,1,"3: IL2RB+ NK cell"
"ATG4D",0.119015737009031,-0.0698523853319786,0.17,0.156,1,"3: IL2RB+ NK cell"
"RNF8",0.742216805753079,-0.0698402189484482,0.094,0.087,1,"3: IL2RB+ NK cell"
"SLC66A1",0.136651519410093,-0.0697921950352476,0.038,0.033,1,"3: IL2RB+ NK cell"
"ZNF35",0.49280330723191,0.0697240031325466,0.046,0.037,1,"3: IL2RB+ NK cell"
"SMIM30",0.583175545251344,-0.0697105095707506,0.032,0.03,1,"3: IL2RB+ NK cell"
"FAM161A",0.0831073985365085,-0.0697086085695124,0.01,0.006,1,"3: IL2RB+ NK cell"
"CHCHD7",0.614331376213838,-0.0696854622890763,0.196,0.185,1,"3: IL2RB+ NK cell"
"ZNF775",0.483017767204686,-0.0696617584038353,0.045,0.041,1,"3: IL2RB+ NK cell"
"WAC",0.337378690582548,0.0696595418921968,0.415,0.37,1,"3: IL2RB+ NK cell"
"CREBBP",0.249742601777475,0.069522290866745,0.27,0.235,1,"3: IL2RB+ NK cell"
"CHAMP1",0.842856684913496,0.0695109649664212,0.067,0.058,1,"3: IL2RB+ NK cell"
"SLC16A1",0.342617025638515,0.0695008437965527,0.032,0.026,1,"3: IL2RB+ NK cell"
"TAF3",0.505346748244362,-0.0694913891673268,0.184,0.167,1,"3: IL2RB+ NK cell"
"TIMM22",0.656388921394613,0.069437068773653,0.101,0.086,1,"3: IL2RB+ NK cell"
"CDK7",0.202408628167375,0.0694358626181757,0.1,0.084,1,"3: IL2RB+ NK cell"
"SLC25A32",0.431488052903817,0.069420849157678,0.181,0.151,1,"3: IL2RB+ NK cell"
"SPOP",0.231411610079397,0.0694066313864105,0.225,0.194,1,"3: IL2RB+ NK cell"
"RAB30",0.568498980958107,-0.0693902183673614,0.036,0.033,1,"3: IL2RB+ NK cell"
"PUS10",0.863503552122917,0.0693817934624543,0.053,0.046,1,"3: IL2RB+ NK cell"
"ZSWIM7",0.476408958991164,0.0693749865611166,0.15,0.124,1,"3: IL2RB+ NK cell"
"EMC1-AS1",0.420345388205575,0.0693704159317008,0.03,0.027,1,"3: IL2RB+ NK cell"
"MRPL45",0.855169388028125,0.0693607308318378,0.079,0.069,1,"3: IL2RB+ NK cell"
"PUF60",0.0962269063547298,0.0693512114933258,0.385,0.328,1,"3: IL2RB+ NK cell"
"ZNF71",0.155287466486661,0.0693360245789982,0.053,0.043,1,"3: IL2RB+ NK cell"
"PRKCH",0.00165505670712488,0.0692840577904414,0.764,0.714,1,"3: IL2RB+ NK cell"
"PIGN",0.586406577747926,0.0692800823599224,0.071,0.059,1,"3: IL2RB+ NK cell"
"ZDHHC14",0.432525953437107,0.0692532199757157,0.12,0.105,1,"3: IL2RB+ NK cell"
"FAM20B",0.23975533580984,-0.0692162328279329,0.064,0.053,1,"3: IL2RB+ NK cell"
"ACADSB",0.647919242311966,0.0691461224090371,0.072,0.063,1,"3: IL2RB+ NK cell"
"TBC1D14",0.771090467181649,-0.0691454724552485,0.112,0.106,1,"3: IL2RB+ NK cell"
"AC009313.1",0.320663225017018,-0.0690264880768234,0.03,0.029,1,"3: IL2RB+ NK cell"
