"","CD8A","CD8B","CD3D","CD3E","CD3G","TRAC","TRBC1","TRBC2","CCR7","SELL","TCF7","LEF1","BACH2","IL7R","BCL2","S1PR1","KLF2","FOXP1","SATB1","GZMB","GZMA","GZMH","GZMK","GZMM","PRF1","GNLY","NKG7","KLRG1","CX3CR1","FGFBP2","FCGR3A","TBX21","EOMES","RUNX3","PRDM1","ZEB2","ID2","TOX","TOX2","PDCD1","HAVCR2","TIGIT","LAG3","CTLA4","ENTPD1","CD160","CD244","CD27","CD28","BCL6","CXCR5","MKI67","HLA-DRA","HLA-DRB1","CD38","FAS","ICOS","TNFRSF9","CXCR6","CD69","ITGAE","ITGA1","ZNF683","TRDV1","TRDV2","TRGV9","TRDC","TRGC1","TRGC2","TRAV1-2","SLC4A10","KLRB1","ZBTB16","RORC","TYROBP","KLRD1","KIR2DL3","KIR3DL1","NCAM1","KLRF1","KLRC1","KLRC2","ISG15","IFIT1","IFIT2","IFIT3","IFI44L","MX1","OAS1","STAT1","IRF7","HSPA1A","HSPA1B","HSP90AA1","DNAJB1","IFI27","CCL3","CCL4","CCL4L2","CCL5","XCL1","XCL2","IFNG","TNF","CSF2","B3GAT1","CD4","FOXP3","IL2RA","IKZF2","CCR4","GATA3","MAF","BATF","CD19","MS4A1","CD79A","CD79B","PAX5","BANK1","BLK","BLNK","TCL1A","IGHM","IGHD","IGKC","IGLC2","XBP1","MZB1","JCHAIN","IGHG1","IGHA1","IRF4","NCR1","NCR3","FCER1G","SH2D1B","SPON2","CLIC3","CD14","LYZ","S100A8","S100A9","S100A12","CSF1R","CD68","MARCO","VCAN","FCN1","MNDA","FCER1A","CLEC10A","CD1C","XCR1","BATF3","IRF8","LAMP3","LILRA4","CLEC4C","IL3RA","TCF4","PPBP","PF4","GP9","ITGA2B","TUBB1","TREML1","HBB","HBA1","HBA2","ALAS2","SLC4A1","GYPA"
"Intermediate Monocyte",0.66,0.4,1.86,1.86,1.2,0.8,0.93,1.99,3.86,21.68,1.73,1.33,4.65,9.84,21.81,1.99,38.16,58.64,10.37,1.73,0.13,1.06,0,1.06,0.53,4.39,24.07,1.86,3.99,0.4,26.6,0.53,0.27,69.02,60.9,98.01,52.53,1.2,0.4,2.39,71.28,0.4,0.27,0,10.24,0.53,11.3,0.4,0.53,48.4,0.4,0.8,94.28,92.82,5.85,9.44,0.66,7.71,0.13,18.35,26.46,4.52,0,0.27,0,0,0,0.27,0.66,0.13,0.13,0.13,0.66,0,98.54,3.19,0.66,0.27,1.6,0,0.13,0.27,55.98,3.99,11.84,10.77,29.65,26.86,27.39,58.78,64.63,23.01,5.59,80.45,27.39,19.28,65.96,51.06,47.61,13.83,0,0,0,27.39,0.13,0,29.26,0,1.6,0.93,0,0.4,3.32,10.37,0.13,0.27,1.46,1.6,0.13,1.46,0.53,1.73,0.13,0.8,0.4,1.33,0.4,45.48,0.8,0.93,0.13,0.13,5.72,1.86,0,97.74,0.53,2.53,1.46,59.18,94.55,89.23,93.22,60.51,54.52,96.28,12.37,64.1,91.49,19.68,0.53,1.2,1.06,3.32,5.05,28.86,2.53,1.06,0.13,66.36,15.16,15.96,9.04,2.39,2.79,6.38,2.79,2.79,0.13,0.13,0,0,0
"ISG+ CD4 T cell",6.6,7.66,75.99,77.63,50.27,19.95,32.65,58.13,81.24,77.39,83.24,86.07,85.5,91.97,29.25,62.6,71.69,89.35,54.49,0.41,4.01,0.25,3.85,32,1.23,1.72,1.64,7.54,0.04,2.91,0.08,0.74,0.29,37.24,5.74,1.52,23.43,15.65,6.47,0.78,1.6,1.15,0.98,3.73,0.12,0.29,0.29,29.05,38.47,17.45,1.64,0.41,0.98,1.07,9.18,20.36,66.24,0.29,0,76.4,20.44,4.96,0.29,1.72,0.25,0.25,1.19,0.37,1.47,1.56,0.29,1.72,0.66,0.12,0.45,0.66,0,0,0,0.16,0.2,0.78,37.28,17.37,15.4,23.15,26.14,37.98,14.17,48.18,36.91,34.41,34.08,81.07,66.65,1.02,2.21,2.83,1.35,2.05,0.12,0.16,0.08,7.05,0,0.04,16.35,0.74,3.48,12.25,3.61,21.59,1.88,40.19,0.16,0.16,1.56,1.11,0.08,0.2,0.2,0.04,0.04,0.12,0.04,0.04,0,34.94,0.04,0.2,0,0,23.06,0.08,0.61,1.97,0,3.07,1.52,0.16,0.33,0.25,0.78,0,0.08,0.2,0,0.08,0,0.08,0,0,0,0,1.27,2.95,8.6,0.04,0,1.11,3.89,1.35,0.57,0.2,0.2,0.29,0,5.98,0.33,0.33,0.12,0,0
"Naive 1 CD8",70.53,82.9,93.12,93.25,68.91,49.44,48.33,79.68,95.87,90.08,95.94,94.74,73.8,95.67,23.09,62.76,80.92,88.27,61.88,0.43,11.73,0.18,12.89,65.76,5.93,1.78,9.63,10.75,0.04,31.55,0.19,0.34,3.03,52.07,0.39,1.65,21.11,19.03,1.43,0.27,2.88,0.62,1.89,0.8,0.33,0.24,0.82,75.57,24.35,16.92,0.79,0.12,0.62,1.16,14.64,10.11,29.6,0.13,0.13,52.26,34.34,8.82,0.22,3.14,0.19,0.67,1.47,0.98,4.48,5.56,0.28,4.15,0.21,0.03,1.06,1.19,0.07,0,0.03,0.12,0.46,11.43,33.29,7.18,7.24,7.46,17.17,27.1,8.22,43.79,34.28,7.37,3.42,72.36,50.4,0.85,2.11,2.66,1.22,10.82,0.15,0.12,0.31,0.56,0.06,0,0.16,0.13,0.15,37.76,0.03,18.88,1.04,15.17,0.07,0.09,9.52,2.87,0.09,0.18,1.89,0.09,0.07,0.58,0.13,0.07,0.04,41.75,0.68,0.13,0.06,0.04,15.19,0.04,3.27,26.69,0.01,6.75,12.73,0.21,0.45,0.3,0.82,0.03,0.13,2.42,0,0.06,0.15,0.01,0,0,0,0,1.28,1.29,3.69,0,0.01,1,3.3,0.52,0.22,0.04,0.09,0.16,0.01,3.29,0.12,0.12,0.1,0,0
"Naive 2 CD8",65.83,78.4,89.29,92.67,64.68,47.77,46.48,78.11,92.96,87.81,94.63,91.72,67.34,89.7,18.53,59.03,78.88,85.83,55.79,1.39,13.17,1.27,18.85,64.96,6.34,3.33,9.03,9.75,0.46,26.8,0.64,1.32,4.58,42.75,0.81,3.5,15.78,18.68,1.51,0.5,2.56,1.6,2.25,1.29,0.45,0.38,0.94,71.94,25.12,16.21,1.01,0.29,1.17,1.96,12.81,7.83,26.55,0.31,0.15,42.17,28.95,5.44,0.77,3.12,0.26,0.81,1.82,1.15,3.69,5.67,0.38,2.63,0.14,0.03,1.13,2.52,0.19,0.1,0.05,0.15,0.45,11.85,30.6,4.65,5.73,5.25,15.37,23.75,6.75,42.48,30.72,8.77,4.69,67.24,46.63,0.84,2.3,3.52,1.73,11.3,0.22,0.33,0.89,0.52,0.1,0.05,1.8,0.53,0.5,35.18,0.1,15.47,0.67,13.51,0.02,0.17,7.98,3.02,0.12,0.03,2.09,0.12,0.05,0.6,0.15,0.07,0,39.32,0.98,0.14,0.02,0.03,10.25,0.48,2.66,24.23,0.21,7.37,10.94,0.14,0.67,0.39,0.96,0.03,0.15,1.79,0,0.07,0.1,0.03,0,0,0,0,0.98,1.29,2.15,0.02,0,1.1,3.28,0.74,0.19,0.05,0.05,0.26,0.07,3.57,0.14,0.14,0.07,0,0
"Naive CD4",0.54,2.91,89.75,93.47,64.96,36.58,41.39,73,95.24,92.96,95.55,94,62.49,91.39,14.23,59.88,85.95,85.88,62.02,0.25,21.55,0.15,2.41,58.19,1.23,1.36,0.8,10.8,0.08,13.07,0.11,0.17,0.34,26.39,1.81,0.68,16.67,21.05,5.17,0.47,1.19,0.78,1.4,2.69,0.25,0.11,0.41,71.33,35,20.56,1.05,0.12,0.7,1.25,10.81,8.62,50.84,0.08,0.07,48.06,26.16,3.99,0.06,2.05,0.23,0.14,1.23,0.34,0.94,1.4,0.4,1.22,0.21,0.03,1.21,0.34,0.03,0.02,0.03,0.09,0.08,0.27,27.02,5.65,6.4,9.31,15.04,25.41,8.8,46.78,31.2,13.25,5.37,66.93,45.28,0.89,1.64,2.01,0.98,1.05,0.04,0.02,0.22,1.72,0.04,0.01,36.01,1.08,1.06,15.2,1.57,20.49,2.5,22.77,0.09,0.16,1.58,4.17,0.07,0.31,1.56,0.09,0.07,0.17,0.04,0.07,0.05,47.6,0.53,0.12,0.01,0.04,7.35,0.04,0.93,2.33,0.04,3.56,1.29,0.2,0.65,0.39,1.15,0.03,0.13,1.02,0,0.09,0.06,0.04,0,0.01,0,0,0.53,0.83,2.34,0,0,0.9,4.84,0.49,0.22,0.04,0.05,0.14,0.04,3.3,0.18,0.17,0.05,0,0
"Naive Intermediate CD8",81.76,93.66,95.55,98.04,74.09,59.14,51.16,80.44,96.84,95.84,98.64,96.84,62.18,95.74,15.47,59.98,82.45,89.03,69.09,0.26,19.96,0.07,12.02,78.27,6.72,1.82,13.39,12.77,0,57.14,0.1,0.24,2.49,50.13,0.45,0.65,20.99,23.12,1.65,0.22,2.82,0.26,1.84,1.43,0.26,0.12,0.67,92.37,24.58,18.55,1,0.53,0.79,0.96,18.03,7.32,28.19,0.05,0.14,55.18,38.49,5.36,0.05,2.65,0.24,0.77,1.29,2.08,4.49,5.95,0.33,6.14,0.12,0.02,1.17,0.53,0.02,0,0.05,0.02,0.26,11.14,36.05,3.83,5.57,3.63,13.53,18.79,5.62,37.39,33.09,6.81,1.43,66.41,58.52,0.45,1.77,1.94,0.91,8.82,0.05,0.05,0.19,0.31,0.14,0,0.48,0.14,0.05,39.59,0.05,21.83,1.48,13.72,0.07,0.02,9.49,3.83,0.07,0,3.42,0,0.05,0.69,0.22,0.02,0,50.63,1.03,0.05,0.02,0.05,13.96,0,2.53,40.83,0.02,9.61,16.42,0.26,0.88,0.33,0.65,0.05,0.26,2.96,0,0.14,0.12,0.05,0,0,0,0,1.1,0.91,1.27,0,0,0.53,3.01,0.22,0.12,0.02,0,0.07,0,2.3,0.22,0.12,0.1,0.02,0
"Non-classical Monocyte",0.49,0.59,1.32,1.57,1.13,0.73,1.27,1.67,2.69,7.1,2.11,1.08,5.98,5.68,19.84,2.74,46.5,78.2,15.78,1.13,0.64,0.64,0.2,1.96,0.83,3.18,11.95,2.5,27.78,0.78,91.72,0.54,0.34,46.45,39.88,97.21,57.62,0.78,0.39,0.88,65.36,0.24,0.29,1.76,14.31,0.24,10.19,0.93,0.29,56.2,0.29,0.1,95.3,94.95,5.98,15.38,0.29,1.08,0.15,30.52,17.88,0.69,0.2,0.15,0.05,0.24,0.34,0.29,0.64,0,0.54,0.64,1.22,0,98.97,2.74,0.2,0.15,1.47,0.54,0.29,0.54,64.09,19.21,41.01,41.65,29.64,50.71,70.6,77.9,77.66,55.02,16.51,86.38,42.68,19.6,48.26,46.25,38.27,5.98,0.24,0.2,0.15,43.26,0,0.05,51.2,0.1,0.93,1.37,0.1,1.08,11.71,15.04,0.59,0.24,0.83,11.76,0.05,0.59,0.15,1.62,0.05,0.39,0.1,0.15,0.05,44.68,0.1,0.24,0.2,0.15,4.9,0.44,0.64,98.33,2.35,2.2,1.22,66.49,88.19,41.55,59.97,9.65,81.92,95.84,5.05,33.66,70.75,44.44,0,2.16,2.06,0.2,18.67,35.23,7.01,2.74,0,64.77,22.83,3.14,2.11,0.73,0.39,1.13,0.44,3.67,0.44,0.24,0,0,0
"pDC",0.72,1.43,5.02,19.71,2.87,3.23,3.58,27.6,58.06,63.44,10.75,6.81,13.62,26.16,29.39,14.7,15.77,76.7,11.83,59.86,1.79,3.23,1.08,1.79,0.72,3.94,51.25,5.73,1.79,2.51,0.72,2.51,0.36,52.69,23.3,72.4,51.97,3.94,13.62,1.79,12.54,2.51,2.51,0.36,17.56,1.08,1.43,10.75,1.43,17.92,1.43,1.79,93.55,96.42,43.37,31.18,0.72,14.34,0.36,17.92,64.52,1.79,0,0,0.36,0.72,0.36,0.72,0,0,0,1.43,0.36,0,85.3,1.43,0,0.36,0.36,0,0.36,0.72,43.37,6.45,20.79,8.96,38.35,65.23,37.99,72.4,91.4,32.97,15.05,98.92,26.16,11.83,3.58,4.66,2.15,8.96,0,0.36,0.72,19,0,0,45.52,0,10.39,24.37,0,0.72,0.36,12.19,5.73,2.87,19.35,11.83,1.79,11.47,32.26,65.59,22.22,50.54,5.73,72.4,23.66,64.87,63.8,74.55,6.45,10.39,68.82,0.72,0,54.12,0.36,29.75,57.71,0.36,17.2,0.36,1.43,0.72,7.17,71.33,0,0.36,0,16.13,0.72,0.36,0.72,1.43,4.3,64.52,24.73,47.31,24.73,71.33,84.95,3.23,3.23,1.43,0.72,2.87,0.72,8.6,1.08,0.72,0.36,0,0.36
"Resting Naive B cell",0.76,0.58,2.32,1.99,1.36,7.03,2.55,78.88,92.34,69.37,9.07,4.16,78.9,2.87,61.91,57.8,68.11,87.5,14.85,0.3,0.28,0.2,0.3,1.41,0.4,1.31,1.16,2.7,0.13,0.4,0.33,1.87,0.15,36.48,0.86,53.37,1.06,1.54,1.79,0.66,1.54,0.6,0.23,0.08,6.02,0.2,0.71,5.32,0.48,25.86,37.36,0.03,97.66,97.86,25.89,8.42,0.58,0.05,0.08,65.62,29.42,0.25,0.25,0.35,0.03,0.15,0.35,0.08,0.3,0.08,0.33,0.18,1.18,0,1.59,0.6,0,0.08,0,0.13,0.05,0.28,21.98,6.81,12.02,11.87,25.21,25.96,31.86,40.81,55,3.63,4.06,71.49,15.75,0.76,2.45,2.77,1.36,1.44,0.05,0.05,0.3,5.92,0.03,0,0.25,0.08,3.02,28.11,0.08,0.48,0.05,3.88,60.2,91.81,97.53,76.41,43.38,72.55,57.4,51.53,62.34,86.69,58.41,46.08,18.73,17.27,16.69,24.75,2.57,13.34,25.86,0.05,9.4,1.44,0.03,1.56,8.14,0.1,0.58,0.55,1.01,0.05,0.05,2.9,0,0.08,0.08,2.22,0,0,1.49,0,1.11,57.75,2.32,0.91,0.03,14.9,67.2,0.83,0.48,0.1,0.25,0.4,0.03,3.2,0.23,0.1,0.15,0,0
"TEMRA/CTL CD8",86.28,65.11,90.63,82.09,81.43,40.98,48.15,77.65,5.8,12.8,25.35,4.58,17.42,8.45,5.98,39.19,71.02,41.88,8.15,86.74,50.8,84.49,8.05,72.49,85.32,91.38,97.83,30.2,35.23,86.85,32.7,44.14,32.69,73.99,22.86,82.75,32.84,32.43,0.76,9.22,22.56,27.67,40.41,2.68,2.01,4.25,11.45,16.52,1.53,11.12,0.76,0.85,23.4,56.77,32.71,13.28,6.32,7.31,1.94,43.15,23.96,4.55,22.02,6.63,1.29,13.44,3.56,5.54,35.12,3.18,0.44,13.68,1.02,0.03,14.69,76.26,8.99,7.4,0.34,2.13,9.86,30.69,38.56,14.09,16.03,15.22,17,30.96,25.8,38.56,37.9,16.77,9.51,80.78,34.09,6.69,9.53,63.78,24.1,97.53,1.72,4.6,11.46,3.08,0,3.45,0.92,0.16,0.1,25.81,0.08,21.14,6.1,24.99,0.03,0.1,0.74,0.92,0.04,0.21,0.91,0.05,0.04,0.25,0.05,0.1,0.03,33.55,0.33,0.1,0.04,0.05,13.84,14.93,3.4,2.05,2.19,38.02,48.78,0.08,0.34,0.32,0.48,0.03,0.15,1.92,0,0.04,0.01,1,0,0,0,0,0.29,0.62,0.76,0.01,0.03,0.19,1.06,0.95,0.62,0.16,0.18,0.33,0.16,5,0.45,0.36,0.12,0,0
"Tex CD8",88.55,75.23,94.6,91.9,84.36,58.85,57.54,84.73,36.31,28.21,53.54,17.32,26.54,24.3,12.01,42.83,61.73,54.38,16.85,51.21,55.49,56.89,42.18,80.63,64.9,46.28,88.36,28.96,11.82,66.95,10.43,32.12,47.02,74.95,16.2,67.04,22.44,52.42,5.21,28.77,16.57,48.6,47.39,11.27,8.85,3.72,9.22,60.99,22.07,11.92,2.14,10.15,52.79,69.93,50.65,23.46,27.65,10.43,11.08,47.49,45.9,17.88,12.01,4.66,1.02,11.55,4,4.47,29.89,5.68,0.47,8.75,0.47,0.19,2.7,36.22,1.02,1.12,0.09,0.56,4,15.36,50.65,8.01,10.06,7.08,16.01,36.69,31.19,45.25,43.2,17.88,6.8,84.73,49.81,13.31,8.1,48.42,18.9,89.39,2.51,6.33,11.82,1.21,0,0.56,1.86,1.02,0.56,29.14,2.14,29.33,8.47,32.59,0,0.19,3.72,2.79,0,0.47,1.86,0.09,0,0.28,0,0.19,0,24.86,2.05,0.19,0.09,0,25.33,6.98,4.56,4.66,0.84,23.65,47.39,0.28,0.37,0.19,0.37,0,0.19,3.35,0,0.09,0,3.26,0,0,0,0.19,0.93,0.84,4,0,0,0.28,1.12,1.21,0.37,0,0.28,0.28,0.19,4.47,0.47,0.28,0,0,0
"Th2/Th17 EM CD4",1.51,1.46,90,92.85,63.89,43.78,47.8,74.49,70.27,72.13,79.66,66.2,39.06,87.48,17.15,75.17,85.48,70.83,44.47,1.19,10.13,1.19,5.69,37.35,4.22,4.25,4.85,14.18,0.49,3.37,0.25,4.76,1.1,40.85,11.08,9.33,16.4,26.31,8.83,12.38,1.93,12.54,8.22,14.94,1.3,0.27,0.27,55.42,45.89,21.93,3.93,0.9,4.36,8.25,7.24,22.65,57.55,0.88,3.69,54.85,26.43,1.37,0.61,3.19,1.6,1.37,3.55,1.57,3.62,1.48,0.56,27.89,9.3,1.15,1.03,1.17,0.02,0.02,0.02,0.2,0.2,0.31,43.06,9.15,9.03,11.06,19.82,39.24,17.75,42.29,42.67,20.76,8.88,79.28,48.27,5.48,1.55,2.63,1.33,6.31,0.4,0.18,1.12,6.88,0,0.09,39.01,4.58,6.61,10.34,38.76,40.99,26.58,30.67,0.09,0.2,7.46,7.93,0.07,0.54,4.36,0.11,0.13,0.54,0.04,0.09,0.07,53.69,0.49,0.13,0,0.07,9.26,0.07,5.01,1.73,0.02,5.78,6.2,0.22,0.4,0.36,0.9,0,0.29,1.57,0,0.04,0.04,0.18,0,0.02,0,0.02,1.01,0.85,3.35,0.02,0.04,1.39,1.71,0.76,0.36,0.2,0.07,0.4,0.04,3.96,0.29,0.25,0,0,0
"TNF+ B cell",0,0,0.72,0.72,1.44,0.72,2.88,40.29,76.98,15.11,7.91,1.44,85.61,0.72,49.64,35.25,73.38,89.93,26.62,1.44,0,0,0,0.72,1.44,1.44,2.16,1.44,0,0,0,5.76,0,44.6,2.16,44.6,10.79,5.04,7.19,8.63,0.72,1.44,0,0,2.88,0,1.44,1.44,0,25.18,48.92,0,98.56,99.28,12.95,3.6,0,0,0,94.24,19.42,0,0,0,0,0,0,0,0,0,0.72,0,6.47,0,2.16,0.72,0,0,0,0.72,0,0.72,35.25,3.6,12.95,4.32,25.9,26.62,7.91,25.9,58.27,43.17,51.8,93.53,71.94,0.72,2.16,12.23,9.35,0.72,0,0,0,29.5,0,0,0,0,6.47,12.95,0,1.44,0.72,2.16,32.37,82.01,93.53,34.53,23.74,62.59,38.13,22.3,16.55,48.92,28.78,30.22,11.51,28.78,18.71,4.32,3.6,15.83,46.04,0,5.76,2.16,0,7.19,3.6,0,0,0,0.72,0,0,1.44,0,0,0.72,0.72,0,0,2.16,0,0,69.06,2.16,1.44,0.72,11.51,71.94,1.44,0,0,0,1.44,0,3.6,0,0,0,0,0
"Transitional B cell",0.42,0.53,1.87,2,1.11,14.28,2.9,77.39,75.72,40.09,5.6,9.91,80.93,6.35,45.74,46.46,68.04,93.37,10.89,0.42,0.47,0.11,0.25,1.31,0.28,1.61,0.67,2.95,0.08,0.58,0.19,3.17,0.06,36.55,1.06,61.3,4.73,1.48,3.62,2.2,1.95,0.53,0.14,0.06,4.26,0.11,0.58,4.62,0.64,34.44,33.94,0.14,97.8,97.27,55.09,9.02,0.64,0.47,0.03,67.62,34.44,0.22,0,0.06,0.14,0.39,0.19,0.08,0.06,0,0.36,0.25,1.61,0,2.23,0.84,0,0.03,0,0.22,0.17,0.19,34.77,10.13,13.78,15.17,33.49,35.47,41.06,49.28,63.61,3.42,4.65,79.82,19.21,1.17,4.2,7.07,4.2,1.03,0,0.11,0.08,5.76,0.14,0,0.58,0.08,4.65,46.1,0,0.61,0.06,4.87,67.82,93.62,97.86,81.4,58.52,68.49,55.46,64.59,70.8,91.06,62.86,49.16,24.67,17.96,42.54,30.26,2.67,10.3,32.04,0.19,6.01,1.64,0.06,1.78,2.45,0.25,0.84,0.22,1.09,0.03,0.11,5.29,0,0.17,0.11,2.26,0,0,7.54,0,1.5,55.82,2.2,1.75,0.19,11.58,70.35,0.64,0.36,0.14,0.14,0.25,0,3.03,0.31,0.28,0.17,0,0
"Transitional Memory CD4",1.09,3.01,92.81,96.82,67.48,40.31,45.06,72.21,97.4,96.52,97.36,95.36,56.62,91.04,10.33,58.2,88.96,86.25,66.26,0.17,29.55,0.04,2.99,67.98,1.65,1.38,1.01,13.08,0.02,18.36,0.07,0.37,0.37,25.51,1.82,0.64,23.11,23.58,4.66,0.82,1.31,0.99,3.09,4.17,0.24,0.15,0.41,78.8,38.6,22.83,0.92,0.34,0.67,1.44,16.49,10.85,56.19,0.06,0.17,50.17,29.55,5.3,0.02,1.76,0.36,0.13,1.16,0.49,1.2,1.29,0.54,2.58,0.37,0,1.31,0.13,0,0,0,0.04,0.04,0.37,32.3,4.98,7.84,11.6,18.49,26.4,10.46,55.74,35.16,16.3,4.12,70.94,49.46,1.1,2.36,3.14,0.97,1.2,0.04,0.06,0.39,1.27,0.06,0,42.1,0.95,0.95,16.5,1.89,23.5,4.45,25.32,0.07,0.07,1.8,6.49,0.11,0.41,2.26,0.06,0.02,0.17,0.02,0.07,0.04,47.81,0.37,0.09,0.06,0.04,8.74,0,1.14,2.9,0.02,5.26,1.72,0.32,0.64,0.49,1.55,0.09,0.21,1.38,0,0.06,0.04,0.06,0,0,0,0,0.45,1.24,2.96,0,0,0.84,5.2,0.19,0.09,0,0.02,0.04,0,2.06,0.21,0.26,0.09,0,0
"Treg",3.52,12.1,83.68,90.38,52.58,46.03,41.42,71.48,69.15,84.42,69.05,84.47,47.62,50,65.43,56.3,87.1,80.41,46.28,0.3,2.38,0.1,0.64,32.74,8.58,2.33,1.59,11.41,0.2,0.94,0.05,1.84,0.35,30.7,14.53,2.03,5.36,44.39,5.16,3.87,1.88,35.22,3.57,47.37,4.81,0.1,0.25,61.21,36.16,22.77,1.09,0.69,4.07,7.84,8.48,23.51,45.09,2.48,1.54,50.69,25.4,0.2,0.25,2.13,0.4,0.15,1.34,0.3,1.19,1.44,0.55,4.71,0.79,0.15,0.99,0.64,0.1,0,0.1,0.15,0.1,0.3,35.42,7.49,7.19,12.2,16.02,32.94,17.26,41.32,37.8,31.75,8.93,69.84,48.36,1.74,2.03,2.13,1.24,1.88,0,0.1,0.15,6.1,0,0,25.5,57.69,55.85,54.22,13.24,30.61,11.16,38.34,0,0.3,3.42,10.76,0,1.84,1.39,0,0.05,0.5,0.05,0.05,0,44.25,0.1,0.05,0,0,21.13,0.2,11.61,15.33,0.05,2.33,3.03,0.45,0.69,0.35,0.99,0,0.15,1.98,0,0.05,0.1,0.05,0,0,0,0,0.6,1.29,6.94,0,0,0.74,4.12,0.64,0.2,0.05,0,0.3,0.05,3.67,0.3,0.35,0.1,0.05,0
"Tscm CD8",76.23,85.37,93.6,97.07,70.75,61.24,51.92,80.26,91.77,91.04,98.17,95.25,55.03,92.5,24.31,56.67,74.77,89.76,66.54,0.73,21.76,0.55,12.43,75.14,4.75,1.83,17.37,13.53,0.18,39.85,0.18,0.91,4.75,58.14,0.37,1.83,17.18,22.12,1.28,0.73,2.19,0.55,3.29,1.28,0.37,0.18,0.37,92.14,25.05,19.93,0.73,0.18,1.46,1.46,16.09,15.17,19.93,0.37,0.18,63.07,48.45,7.86,0.18,6.95,1.28,1.46,4.02,2.74,7.5,4.75,0.55,4.75,0,0,0.91,2.01,0.18,0,0.18,0.37,0.18,14.26,38.39,3.66,5.3,3.66,10.05,24.31,7.13,38.03,38.21,6.95,2.38,69.65,57.04,1.83,0.91,1.65,0.37,17.73,0,0.37,0.18,0.18,0.18,0.18,0.18,0.37,0.18,39.85,0.18,23.03,1.46,18.65,0,0.18,10.05,5.67,0,0,1.28,0,0,0.37,0,0,0.37,68.01,1.1,0,0,0,13.53,0,2.56,30.9,0,9.32,16.09,0.73,1.65,0.18,0.18,0,0.37,6.03,0,0,0.55,0.18,0,0,0,0,1.28,1.46,1.1,0,0,0.55,3.29,0,0.18,0,0,0,0,3.66,1.28,1.1,0.73,0,0
"Vd1 gd T cell",29.25,21.49,84.3,83.52,56.77,35.43,61.93,80.38,56.77,46.68,87.47,75.55,66.2,85.43,19.37,60.13,71.24,58.33,38.39,2.33,4.38,1.59,22.19,54.41,7.9,12.6,30.91,18.6,0.35,13.9,0.28,9,10.76,58.75,0.53,29.25,17.5,36.17,7.55,8.05,4.59,11.15,3.85,2.51,0.49,0.99,2.86,58.72,20.71,25.37,1.45,0.42,3.03,5.4,9.03,12.35,13.69,2.75,0.74,49.65,35.6,5.33,13.3,33.56,4.66,10.16,33.42,6.39,31.44,1.16,0.46,6.21,0.92,0.11,2.68,23.39,1.8,0.88,0.11,0.11,1.38,22.58,40.12,7.16,4.8,5.05,13.76,30.98,11.82,32.36,38.29,10.66,3.63,72.34,44.53,1.02,1.83,3.85,1.52,38.81,4.34,4.55,1.62,0.67,0.04,0,1.24,0.56,0.6,57.69,0.78,28.02,1.09,8.19,0,0.25,9.14,3.88,0.11,0.18,2.26,0.11,0,1.16,0.21,0.04,0,43.47,2.93,0.21,0.07,0.04,5.33,2.12,13.97,4.69,0.25,6.56,13.94,0.04,0.71,0.25,1.09,0,0.14,2.01,0,0.11,0,0.04,0,0,0,0,0.49,1.27,5.68,0,0,1.2,1.91,1.09,0.42,0.07,0.21,0.42,0,4.09,0.07,0.32,0.04,0,0
"Vg9Vd2 gd T cell",22.22,2.62,87.99,87.43,58.13,38.22,63.21,78.5,26.37,26.22,65.98,7.85,42.74,80.76,6.11,44.23,42.53,40.43,37.4,53.72,60.29,34.07,60.95,81.12,67.98,62.6,94.66,53.16,4,22.73,5.03,27.91,23.4,61.83,12.26,50.03,24.32,17.65,1.44,5.18,4.87,4.98,35.04,1.69,0.21,3.85,3.8,41.2,20.63,22.11,0.87,0.26,8.57,20.11,12.93,17.91,10.47,4.31,39.35,65.98,46.79,5.75,2.21,2.15,62.6,68.65,27.6,16.88,29.91,5.64,15.5,85.02,35.76,9.44,20.52,50.08,1.44,0.77,0.51,1.44,20.47,8,44.13,7.54,9.54,8.31,15.5,27.4,15.03,35.25,39.05,15.7,8.31,82.4,42.79,2.57,6.16,50.23,17.91,91.38,2,4.87,6.21,13.65,0,0.21,0.87,0.51,0.92,21.45,1.9,37.04,20.42,12.93,0.1,0.1,1.03,2.62,0.1,0.41,12.01,0.1,0.05,0.05,0,0.05,0,53.82,0.72,0.21,0,0.05,11.75,5.03,21.81,1.64,0.97,21.29,43,0.31,0.36,0.21,1.13,0.1,0.15,3.95,0,0.05,0.21,0.36,0,0,0,0,0.51,2.1,4.72,0.05,0,0.56,1.13,1.54,1.03,0.41,0.21,0.67,0.21,3.39,0.31,0.15,0.1,0,0
