"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"TCL1A",0.2248,0.0044,0.0053,0.0017,5e-04,0.0048,2e-04,0.0015,1e-04,0.6955,0.0035,1e-04,1e-04,5e-04,9e-04,1e-04,2e-04,1e-04,1e-04,0.2887,0.6623,2e-04,0,0.0016,0.0631,1,0,1e-04,0,0,2e-04
"HSP90AA1",0.2413,0.0585,0.1021,0.1259,0.1309,0.1672,0.0936,0.1991,0.291,0.051,0.0559,0.4857,0.0149,0.0323,0.0445,0.0395,0.042,0,0.1316,0.2179,0.0603,0.218,0.1476,0.0886,1,0.0993,0.0276,0.0573,0.0037,0.0823,0.1881
"IGHA1",0.063,8e-04,0.0031,7e-04,4e-04,3e-04,2e-04,4e-04,3e-04,0.1167,3e-04,0,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1,0.0731,3e-04,0,3e-04,0.0816,0.0524,1e-04,0,0,1e-04,2e-04
"IGHD",0.3133,0.0054,0.0018,0.0013,6e-04,0.0041,0.0013,7e-04,8e-04,0.997,0.002,3e-04,1e-04,8e-04,0.0012,9e-04,2e-04,0.0013,4e-04,0.026,1,5e-04,0,8e-04,0.3486,0.9384,1e-04,7e-04,0,0.0014,0
"IGHM",0.3212,0.0041,0.0064,0.0021,0,0.0048,1e-04,0.002,0.001,0.8612,0.0028,4e-04,4e-04,0.0011,0.0011,0.001,2e-04,0.001,5e-04,0.3621,0.876,6e-04,4e-04,0.0023,0.2059,1,2e-04,9e-04,6e-04,0.0025,1e-04
"HBA2",0.194,0.2282,0.0437,0.181,0.0321,0.0057,0.1395,0.1377,0.2453,0.1077,0.1005,0.1125,0.0806,0.0364,0.0451,0.0737,0.0277,0.027,0.0227,0.3498,0.0426,0.1644,0.0928,0.0893,0,0.1101,0.0654,0.1008,1,0.0261,0.0954
"HBA1",0.2158,0.3224,0.1057,0.1813,0.0983,0.0781,0.2033,0.2338,0.4272,0.1636,0.0254,0.1735,0.1229,0.0657,0.0336,0.1128,0.0314,0.0578,0.0869,1,0.0511,0.2018,0.1164,0.0723,0,0.1145,0.078,0.2011,0.8134,0.0456,0.1761
"CD19",0.5247,0.0043,0.0066,0.003,0.0029,0.0095,0,0.0022,0.0013,0.8935,8e-04,0.0011,5e-04,7e-04,0.0012,1e-04,4e-04,3e-04,0.0021,0.0184,0.8804,2e-04,0,0.0029,0.3257,1,4e-04,0,0,0,0.0012
"MAF",0.0034,0.0765,0.1375,0.4137,0.3931,0.3282,0.5937,0.2593,0.3075,0.0018,0.0659,0.0575,0.0828,0.025,0.0788,0.0181,0.0376,0.0291,0.1951,0.0042,0,0.2586,0.2697,1,0.0196,7e-04,0.1204,0.3917,0.0342,0.0476,0.778
"IRF8",0.3881,0.0038,0.0493,0.0349,0.0202,0.0175,0,0.1139,0.0117,0.3216,0.0902,0.0098,0.0017,0.0031,0.0024,0.0033,0.001,0.0017,0.1081,1,0.3853,0.0024,0.0015,0.0017,0.5437,0.3226,0.0024,0.0043,0.0042,0.0046,0.0076
"ITGAE",0.1081,0.2723,0.4976,0.8902,0.7291,0.7713,0.7082,0.1585,0.4145,0.4064,0.1382,0.1957,0.317,0.3946,0.219,0.3505,0.2624,0.3992,0,0.8255,0.4312,0.4152,0.9231,0.2394,0.1544,0.3942,0.2718,0.3197,0.6411,0.5855,1
"CLEC10A",0,0,0,0,0,0,0,1,0,0,0.1687,0,3e-04,0,0.0013,0,0,0,0.1023,0.0093,0,0,0,0.0015,0,0,0,0,0,0,0
"CD68",0.0082,0.0049,0.016,0.0191,0.0119,0.0122,0.0077,1,0.0081,0.0103,0.7143,0,0.0014,0.0034,0.0017,0.0029,0.0013,0.0035,0.6801,0.2333,0.0055,0.0046,0.0053,0.0024,0.0018,0.0083,0.0018,0.004,0.0083,0.0036,0.0084
"CCL5",0.0014,0.0095,0.4875,0.7794,1,0.9838,0.1575,0.0162,0.6084,9e-04,0.0063,0.0042,6e-04,0.017,0.0027,0.0278,0.0012,0.0135,0.0046,0.0065,0.0035,0.8118,0.8696,0.015,0,0.0023,8e-04,0.0033,0.0405,0.0994,0.4014
"CCL3",0.0614,0.0052,0.0268,0.1191,0.0797,0.0785,0.0022,1,0.0582,0.0025,0.7337,0.0019,0.0012,0.0016,0.0015,0.0028,0.0013,0.0011,0.7479,0.0032,0.0073,0.0258,0.015,9e-04,0.0032,0.0076,0.0023,0.0027,0,0.002,0.0504
"CCL4",0.2865,0.0339,0.0865,0.4246,0.3454,0.3724,0.0183,0.8962,0.3877,0.0021,0.7143,0.001,2e-04,0.0011,6e-04,0.006,0.0012,0,1,0.0082,0.0071,0.2775,0.1339,0.0024,0.0331,0.0218,0.0014,0.0017,3e-04,0.0057,0.3744
"CCL4L2",0.5056,0.0678,0.0491,0.2452,0.197,0.2195,0.0107,0.9246,0.3091,0.006,0.802,0.0028,0.001,0.0017,0.0011,0.0075,0.0019,7e-04,1,0.0015,0.0168,0.1664,0.0617,0.0031,0.0332,0.049,9e-04,0.009,0,0.0078,0.392
"CCR7",0.9018,0.7018,0.082,0.0286,0,0.0096,0.2168,0.0831,0.0105,0.5826,0.0102,0.5837,0.7637,0.7171,0.7886,0.7101,0.7788,0.6268,0.0103,1,0.792,0.0197,0.1511,0.373,0.6166,0.4025,0.7966,0.3682,0.5476,0.2938,0.0865
"SLC4A1",0,0,0,0,0,0,0,0,1,0.1094,0,0,0,0,0,0,0,0.1566,0,0,0,0,0,0,0,0,0,0.9714,0,0,0
"TBX21",0.0809,0.0126,0.4338,0.7802,1,0.9857,0.0685,0.0111,0.8853,0.0236,0.0043,0.007,1e-04,0.0023,0.0028,0.0193,0,4e-04,0.0041,0.0049,0.0191,0.8178,0.3837,0.0481,0.053,0.0314,0.0019,0.0185,0.0063,0.1047,0.3631
