"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Follicular B cell","gd T cell (cl9)","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD8","Naive 2 CD8","Naive CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"IL4R",0.00537646931044125,0.0088092564137132,0.00127519611070814,0.00372881541217503,0.000757366542541422,0.00245696005431165,0.00291142290688116,0.00993537171016027,0.00380985142238329,0.000904954620350407,0.000793186259469556,0.000773831973077647,0.00201989394407397,0.00181883122387222,0.00591442408203519,0.0060702251239606,0.00539135319859483,0.0277021975461208,0.00387432721987207,0.00122819567913851,0.00281800748960417,0.00571417593610435,0,0.00779059345923335,0.00993071887810668,0.00211775027661964,0.00718823397191113,0.00231135985746706,0.00843898832200737
"IL7R",0.0174446741637427,0.100156484358505,0.00925352858407525,0.0243005559443817,0.00308901265525654,0.00301141710708674,0.720385467195633,0.165005769682313,0.0195080617851283,0.014626177352299,0.0505189898170715,0.315452961747856,0.908502795093974,0.211256690571129,0.580654118319573,1.60898787319552,0.0226564629924593,0.204550656265515,0.00734894904395021,0.0182941312536521,0.130081090344502,0.654446825454208,0.00329175061412166,0.0272896461434271,1.22805594891946,0.0273113276114877,1.21420876029375,0.45690183298527,0.331222839801784
"ITGA1",0.0550218340660003,0.053697221494659,1.89447217576811,0.203828263471738,0.182653146346434,0.114134954907668,3.80310898744711,1.75758108920524,0.0323658612316635,0.356579052904823,1.90760005722152,0.261939222137105,0.241194256841982,0.0686157921099711,0.180970410145473,0.650564867741572,0.144273338492703,0.356275054346914,0.0119451672035957,0.25025341198942,1.05523112734916,0.28466973496956,0.0141722821920744,0.0183150130894907,0.453773314237697,0.0288334160861075,0.762458197650138,0.295637439998889,0.392322098024023
"ITGA2",0.0071274713101514,0.00269167863126194,0.00229917326521089,0.00386180032293818,0.0038019240575496,0.00356830853639129,0.0112512892350575,0.0988559385322853,0.00715857093525926,0.00742243578914013,1.31854244526501,0.00501495001505521,0.00313525607595487,0.00205200030046719,0.00181186289097313,0.0016074704392418,0.0996060211752433,0.105097786183427,0.00491885987328728,0.00792108866177265,0.0401309140257413,0.014835894910523,0.0314265412710039,0.00414327857914967,0.00135133594814979,0.00764714386700338,0.00471290046823208,0.00605893188928944,0.0275330897395495
"ITGA2B",0.00223104927202527,0.0019761405746763,0.00215558761567055,0.00255276391701025,0.0028045680235305,0.00282488380046406,0.00449599693762719,0.01753403296819,0.00277881473895187,0.00263633504567274,0.0827899984675626,0.00294588706613776,0.00249174171754917,0.00174230933789888,0.00181879697983624,0.00183772973088553,0.0125656859464701,0.0164420661505123,0.00217691681267156,0.00308043361201794,0.00764035569767638,0.00426871261862708,0.00316290512139748,0.00209141958794912,0.00205911018047541,0.00354150514349364,0.00178244303214349,0.00218900363731154,0.00813469999419524
"ITGA4",1.92088230098041,0.174043795827478,1.0995719251248,1.85698504019205,1.70511031434131,0.625362018290755,1.90091435261103,1.51380461170655,2.15127389444982,2.87344638410968,2.86622507550823,1.29027626896578,1.15393012675063,0.506020078326549,0.551913925125068,1.37538682556289,4.08651225639063,4.12566053743404,1.08271327373832,2.71442961101488,3.43112815737583,2.8337345229133,2.46555925619613,1.90458560259634,0.910684095791383,1.3909772138454,1.34702090170543,1.97442954561194,2.54158952020668
"ITGA6",0.00137828359624532,0.00233746047769525,0.0135251897418096,0.0166878289528403,0.00565252288087157,0.000879370546559166,0.165309919919324,0.00909412130002081,0.000373494248103183,0.00533680567575494,0.28866345179882,0.00424166453206472,0.000510541698343623,0.000183137774021228,0.00174387181746428,0.000336362085552761,0.0110979547964022,0.0109849533546538,0.000149612423601358,0.000908872864874314,0.0146884917523336,0.204675464876471,0,0.000927944565536314,0.00347697233809174,0.0914383873976123,0,0.0485841831646563,0.0217195661476294
"ITGAE",0.0382630142279422,0.0208616843642563,0.324061833920731,0.216178912785772,0.127914179203407,0.0529375982399116,4.09970845773876,0.184400712093073,0.0408089256854302,0.0587024557271757,0.0529196767321758,0.0382868716595129,0.199819761727578,0.0525991131485982,0.0242262261993614,0.380356473639123,0.0608437258480587,0.311542743529771,0.0200634725401398,0.0504879482627512,0.585964419274391,0.0730767771158964,0.0196301149116475,0.0430293858351112,0.0485358156545695,0.0944420015868125,0.178473239926177,0.149025317566109,0.11421002480776
"ITGAL",0.878245695230932,0.541440594637411,2.88700501671795,6.0347841974376,5.64285698185067,3.18959251976651,2.68626026528557,6.96269450118228,0.97248418140985,6.4939898544846,6.76553190426527,2.50972599068239,1.83472571562037,1.20297215805286,1.73841452660244,2.45657678053494,9.36059717564561,3.44920336381431,0.53126059524799,6.08275917886357,6.56212725879692,3.40127314866496,0.637834977488871,0.432405743074684,2.72345386926999,2.35090150490123,2.61439253967374,4.65322811999508,5.81072601746772
"ITGAM",0.0405854992511262,0.0223467581378716,0.22747026001213,0.745243842079926,0.363576037255143,0.098526923338426,0.114693329231741,4.55359830745327,0.0415805831477177,0.12411301790378,1.51112865557358,0.0306782767878394,0.0309738919128067,0.0161508182463858,0.0280599710030836,0.0939011722303455,0.341746746456953,0.0964485490787622,0.0149692422818346,0.0413520607071068,0.0368720820745273,0.0490081017309753,0.0275627823245827,0.0316556873961424,0.0605428043863703,0.0524218772614477,0.101024705464519,0.0935564569514442,0.0708802554341435
"ITGAX",0.573406629400253,0.132809043714046,1.7174148333662,2.26086853966109,1.94926139734548,1.00897152866085,0.207509631205751,15.0194228339238,1.07585745033515,2.68594778644279,8.77539669031987,0.0918316418246339,0.107447281008721,0.0849589267886241,0.0730348534507997,0.152672318358121,13.5520132339155,3.42714371086243,0.155352848297181,0.657449386803096,0.264020389798503,0.108157437839595,0.659268072040091,0.181392037267914,0.101212044607567,0.1395503894361,0.263947893510546,0.348079070662678,0.333021449408639
"ITGB1",0.130742734979714,0.0145642231857816,0.597050197391566,0.821279351973102,0.609234323526161,0.144996866991188,0.820796617338515,1.97989805118042,0.0665289380638852,0.259154100271416,1.49774245784101,0.0399607811358367,0.033645388892922,0.0132056008496786,0.0458928225036465,0.147133746998471,0.984929909793557,1.33504549549132,0.0142247324884795,0.451827192070082,0.666260284901689,0.712678411742279,0.0591147330272966,0.124850073987362,0.140600306555523,0.499823590161143,0.149292448221965,0.183345671894648,0.288832467775125
"ITGB2",1.16763170320083,0.803014222384051,4.90178937702931,6.34971988057729,6.0816013151865,3.37262164450149,4.57210520517947,10.4583116911711,1.07527656621037,6.69608905783182,8.93523076729243,3.0129050475773,2.40445285625774,1.51731920544438,1.95470843042223,2.98463321835525,10.8528601878798,5.11642454677775,0.633232745544327,6.7545237005054,7.77649820808015,4.53327563228929,0.807196501404539,0.489452441254638,3.01203788323891,2.88852059263081,3.21511142140253,5.30863731876075,6.82357614750959
"ITGB7",0.509160829064999,0.0490028884734291,0.0675932853966651,0.117701898600303,0.077355453416955,0.0321197083410269,0.833376331313664,0.104145715079963,0.507655966563509,0.170542364138376,0.0583498472837573,0.404859145038759,0.874263757145781,0.192414489522817,0.169500871723989,0.97902483162824,0.0117566354359017,0.575571178211172,0.239912734380744,0.170323750420798,0.913519168194296,0.336632811627671,0.537232815668197,0.303361041025547,0.352022545076636,0.220231858915527,0.556526231935859,0.655208777883302,0.605487540610601
"KIR2DL1",0.0238299330963201,0.00858134390380443,0.0571502000822906,0.285321091762974,2.83344046186992,0.137159722252226,0.00902108569960619,0.562100201297678,0.00976437619190382,0.337696440277068,0.0249470835191785,0.0017094560709435,0.00243536306279402,0.00327034622369269,0.00431501381062999,0.00293741163793778,0.302588441106697,0.0663044928628547,0.0108228313328291,0.118276074192371,0.00979933440461632,0.00347812758602992,0.00210541389002166,0.00546078162911981,0.00631555905817684,0.00420272172065996,0.0157288972816295,0.014367690781165,0.0144997313206456
"KIR2DL3",0.012782807254026,0.0118995030742255,0.209853142132618,0.479000344232279,2.60778240821439,0.186259053033828,0.0188667392370128,0.0507502493050365,0.0110533675325046,0.393274361698752,0.0102800030261955,0.00660569027945732,0.0108001888648875,0.00705841975297075,0.0118741001973758,0.030784985905928,0.0179948681783036,0.0141368688194498,0.00726497520123684,0.186885565348222,0.0313528929291644,0.0193901857725633,7.61623876873194e-05,0.0110171336469572,0.0218309904845401,0.0111929582837698,0.0385294308046842,0.0418108387637322,0.0186189606586941
"KIR3DL1",0.0369772671021017,0.0201276453285616,0.267392247984324,1.41735037457851,3.00239213224557,0.773481167503879,0.0494102487097398,0.0871869761177506,0.0350472162761468,1.15127130961679,0.106099837427821,0.0513395096529142,0.0285849808870191,0.0224262507063231,0.0220835491816961,0.0214903022101036,0.0680675691590759,0.0500652877995101,0.0267329820455394,0.565696391333604,0.113541822586309,0.0315315870693662,0.0106674125063733,0.0351802400092826,0.0274219119298129,0.0284069246016828,0.0345756660921623,0.0943179963026646,0.129554152300604
