"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"CD163",0.0098,0.0105,0.0114,0.0172,0.0123,0,0.0034,1,0.0099,0.0098,0.0886,0.0123,0.0071,0.0085,0.0036,0.0067,0.0047,0.0096,0.0629,0.0209,0.0099,0.0066,0.0068,0.0087,0.022,0.0096,0.014,0.0106,0.0275,0.0064,0.0086
"CD19",0.7869,0.0028,0.0048,0.0056,0.0046,0.002,0.0019,0.0074,0.0018,0.9822,0.0029,0.0031,0.0013,0.0013,0,6e-04,9e-04,0.0011,0.0035,0.0344,0.641,0.0028,0.0012,0.0026,0.8183,1,0.0043,0.0022,0.0038,0.0016,0.0022
"CD1C",0.8008,0.0014,0.0012,0.0036,0.0014,4e-04,9e-04,0.1077,0.0016,1,0.0272,0.0038,0.0019,0.0021,0,0,6e-04,0.002,0.0154,0.5291,0.3787,0.0017,0.0016,0.0046,0.4528,0.5809,0.0034,0.0015,0.0015,0.006,0.001
"CD1D",0.3429,0.015,0.0089,0.0072,0.005,0.002,0.005,1,0.0085,0.2741,0.7508,0.0082,0.0035,0.0048,0.0024,0.0049,8e-04,0.0038,0.1015,0.157,0.0784,0.007,0.0024,0.0035,0.2088,0.1128,0.0032,0.0053,0,0.0028,0.0052
"CD2",0.0127,0.2007,0.1323,0.1457,0.1007,0.0313,0.3545,0.1252,0.2565,0.0107,0.0842,0.5644,0.6145,0.6926,0.3961,0.5594,0.5485,1,0.0211,0.1,0,0.4428,0.7878,0.6355,0.0069,0.0071,0.6904,0.4413,0.8891,0.5799,0.3518
"CD22",0.891,0.0026,0.0013,0.0037,0.0032,7e-04,0.0021,0.0512,0.0016,0.9442,0.0108,0.0025,0.0034,0.0023,0,8e-04,0.0018,0.0046,0.0198,0.1057,0.8034,0.0019,0.0035,0.0037,1,0.3028,0.0052,0.0035,0.0029,0.0028,0.003
"CD226",6e-04,0,0.0025,0.0388,0.0475,0.0017,0.0353,0.0448,0.0079,0.0026,1,0.0058,0.0279,0.0434,0.0012,0.0059,0.0035,0.0273,0.0566,0.0698,2e-04,0.0143,0.0321,0.0506,0.0029,0.0015,0.0393,0.0031,0.1601,0.0037,0.0331
"CD24",0.1614,0.0026,0.0018,0.0029,8e-04,4e-04,0.0022,0.0027,0,0.2179,7e-04,0.0014,0.0015,0.0017,1e-04,3e-04,1e-04,0.0012,0.0029,0.0197,0.017,4e-04,8e-04,0.0016,0.172,1,0.0018,0.0011,0.0014,4e-04,0.0033
"CD244",0.0087,0.006,0.3634,1,0.8043,0.2999,0.0499,0.4104,0.5833,0.0095,0.6566,0.0035,0.0015,0.006,0,0.005,0.0013,0.0035,0.4747,0.0833,0.0011,0.2853,0.3367,0.0049,0.0044,0.0027,0.0043,0.0057,0.0241,0.1158,0.2772
"CD27",0.0371,0.2355,0.0131,0.0226,0.0024,0,0.3559,0.0716,0.0251,0.0508,0.0222,0.8055,0.8397,0.9086,0.5731,0.576,0.6931,0.8186,0.0138,0.1606,0.0168,0.0774,0.6047,0.5291,0.0164,0.0206,0.9016,0.8394,0.7562,1,0.2757
"CD274",0.1622,0.0345,2e-04,0.0135,2e-04,0.0018,0.0123,1,0.0086,0.0095,0.1763,0,0.001,0.0045,5e-04,0.0015,0.0028,0.002,0.6062,0.9595,0.0121,0.0012,3e-04,0.0039,0,0.0085,0.0021,0.004,0,0.0052,0.0039
"CD28",0.0139,0.1034,0.0026,0.0264,0.0033,0.0019,0.3294,0.0867,0.01,0.012,0.0158,0.2527,0.8087,0.2187,0.2174,0.1258,0.4004,0.6453,0.0135,0.0311,0.0049,0.0138,0.2943,0.9495,0,0.0185,1,0.5622,0.7238,0.2773,0.2604
"CD33",7e-04,0.0029,0.0254,0.0173,0.0085,0.0068,0.0145,1,0.0136,0.006,0.7651,0.0031,0.0053,0.0023,4e-04,2e-04,0.0022,0.0123,0.2965,0.1912,0,0.0071,0.0116,0.0092,0.0091,0.0018,0.0083,0.0181,0.0164,0.0103,0.0041
"CD36",0.0011,0,0.0052,0.0057,0.0061,0.0041,0.0131,1,0.0024,0.0052,0.4964,0.0035,0.0028,0.0027,4e-04,0.002,0.001,0.0024,0.1687,0.5495,0.0022,0.007,0.0058,0.0028,0.0153,0.0031,0.0011,0.0035,0.0055,0.0032,0.0165
"CD38",0.3535,0.0409,0.1601,0.7939,0.5874,0.2094,0.0788,0.2437,0.1623,0.4131,0.2357,0.2628,0.4193,0.2122,0.1138,0.0865,0.2629,0.4621,0,0.8287,0.1788,0.1067,0.61,0.1478,0.3727,1,0.6121,0.1565,0.3418,0.0918,0.057
"CD3D",0.0152,0.2684,0.0108,0.0588,0.1607,0.0542,0.3608,0.1145,0.755,0.0144,0.0829,0.7805,0.9182,0.6184,0.5465,0.4727,0.9285,0.9943,0.0268,0.0478,0,0.58,0.6958,0.6968,0.0042,0.0108,1,0.6656,0.9644,0.5466,0.8148
"CD4",0.0137,0.279,9e-04,0.0215,0.0033,0,0.1002,0.2512,0.009,0.012,0.2237,0.6769,0.8968,0.0059,0.5752,0.0225,0.8263,0.0096,0.235,0.4052,0.0022,0.0191,0.0568,0.9372,0.0036,0.0096,1,0.7623,0.0145,0.0241,0.0333
"CD40",1,3e-04,0.0025,0.0061,0.0023,5e-04,0.0029,0.2586,5e-04,0.6929,0.0668,0.001,0.0025,0.0026,0,2e-04,5e-04,0.0054,0.1359,0.3521,0.5343,0.0018,0.002,0.0022,0.4358,0.5297,0.0054,0.0057,0.0042,0.0014,0.0018
"CD40LG",0.8903,0.5014,0.4277,0.2634,0.0772,0.0983,0.1057,0.4129,0.8112,0.6533,0.3856,0.5742,0.3952,0.4518,0.1701,0.0982,0.1277,0.3182,0.258,0.0669,0.1511,0.3191,0.6239,0.6473,0,1,0.5966,0.1477,0.4129,0.1877,0.1296
"CD44",0.4267,0.1154,0.3301,0.0889,0.0377,0,0.4386,1,0.1902,0.351,0.6241,0.4021,0.4116,0.3712,0.2875,0.2854,0.4408,0.4126,0.8888,0.5406,0.2321,0.2613,0.5115,0.5604,0.2193,0.1016,0.5056,0.4069,0.3564,0.4412,0.5165
"CD45",0.3295,0.0892,0,0.3706,0.2783,0.0034,0.376,0.6971,0.4004,0.4006,0.3989,0.5317,0.6448,0.5443,0.2913,0.3757,0.5557,1,0.8577,0.2763,0.1626,0.4285,0.8259,0.6125,0.2487,0.2836,0.8222,0.5996,0.8919,0.5584,0.4986
"CD45RA",0.6521,0.1768,0.4979,0.8793,0.7373,0.5147,0.3398,0.1824,0.6023,0.7916,0.0723,0.5012,0.3857,0.8224,0.3525,0.7518,0.5828,1,0.5622,0.7965,0.4892,0.3342,0.0615,0,0.564,0.6356,0.3849,0.2772,0.9914,0.4306,0.0852
"CD45RO",0.0053,0.0079,0.0133,0.008,0.0032,9e-04,0.0958,0.1926,0.008,0.0183,0.0154,0.0264,0.1174,0,0.0186,0.0251,0.0344,0.4908,0.0256,0.1541,0.0081,0.0367,1,0.6369,0.0071,0.0085,0.5191,0.274,0,0.0501,0.2047
"CD47",1,0.0416,0.0169,0.2583,0.114,0,0.253,0.8833,0.04,0.5695,0.9591,0.4326,0.6336,0.2657,0.1534,0.119,0.453,0.5662,0.709,0.7958,0.2697,0.0662,0.1717,0.3829,0.3289,0.6764,0.8398,0.3272,0.4999,0.2138,0.1452
"CD48",0.9283,0.2727,0,0.3209,0.1925,0.0011,0.8523,0.8943,0.3897,1,0.7477,0.9822,0.8605,0.9107,0.6925,0.7298,0.8887,0.9676,0.8235,0.5938,0.8114,0.3799,0.7309,0.9781,0.7964,0.8338,0.9584,0.8565,0.9336,0.9781,0.8283
"CD5",0.0847,0.343,0.0027,0.0278,0.0029,0,0.3486,0.1021,0.0398,0.0752,0.0356,0.8373,0.9258,0.7074,0.6531,0.5441,0.7944,0.9192,0.0144,0.2483,0.0544,0.2311,0.6249,1,0.0339,0.0693,0.9989,0.7865,0.9172,0.5661,0.1705
"CD52",0.2173,0.0438,0,0.0278,0.0192,0.0014,0.218,0.0984,0.0681,0.5538,0.0445,0.4047,0.5312,0.372,0.1686,0.1778,0.3222,0.6514,0.1034,0.0358,0.1899,0.0911,0.2592,0.7037,0.4728,0.2682,0.6043,0.3162,1,0.4965,0.1461
"CD58",0.16,8e-04,0.0147,0.0483,0.0269,0.0064,0.0689,0.8899,0.0402,0.05,1,0.009,0.0059,0.0029,0,0,7e-04,0.0045,0.5675,0.2384,0.0114,0.0275,0.07,0.0883,0.0218,0.0302,0.0117,0.0463,0.0252,0.0133,0.0686
"CD69",1,7e-04,0.0854,0.3157,0.1303,0.0299,0.0749,0.0761,0.0616,0.1316,0.192,0.0485,0.0055,0.0084,0.001,0.0013,0.002,0,0.0991,0.0483,0.0753,0.016,0.0282,0.0237,0.1179,0.2794,0.0056,0.0084,0.0259,0.0339,0.1663
"CD7",0.0164,0.2775,0.3112,0.4731,0.2787,0.1296,0.5224,0.1111,0.2639,0.0126,0.0438,0.6133,0.7602,0.7509,0.5331,0.6208,0.7379,1,0.0236,0.0771,0.0042,0.143,0.3113,0.4615,0,0.012,0.8379,0.4663,0.9403,0.7768,0.3676
"CD79B",0.2471,0.0448,0.0315,0.0108,0.002,0.0094,0.0096,0.0127,0.0178,0.5374,0.0639,0.0177,0.0036,0.0055,0.0048,0.0068,7e-04,2e-04,0.0146,0.0315,0.0309,0.0132,0,0.0036,0.5959,1,0.0014,0.0024,0.0085,0.0037,0.0063
"CD81",0.2317,0,0.0584,0.3021,0.2253,0.0355,0.0873,0.6448,0.4256,0.4978,0.3264,0.1374,0.1922,0.1275,0.0199,0.0302,0.0792,0.1326,0.8548,0.0588,0.0585,0.3701,0.5459,0.1276,0.5883,1,0.2828,0.0971,0.428,0.2503,0.3898
"CD82",1,0.0053,0.0951,0.0712,0.0076,0.0044,0.0826,0.7847,0.012,0.6025,0.0642,0.0112,0.0574,0.0013,0.0087,0,0.0197,0.004,0.0557,0.7696,0.08,0.0026,0.0369,0.361,0.0063,0.8252,0.1207,0.045,0.0051,0.0179,0.0242
"CD83",0.8703,0,0.0034,0.0016,2e-04,2e-04,0.0013,0.0201,5e-04,0.041,0.0125,0,5e-04,8e-04,3e-04,5e-04,1e-04,0.001,0.056,1,0.0332,4e-04,4e-04,7e-04,0.0047,0.0693,0.0016,0.0044,0.0011,2e-04,0.0016
"CD86",0.0854,9e-04,0.0105,0.0057,0.0037,0.0012,0.0063,0.4256,0.0072,0.0372,0.3583,0.0029,0.0013,0.0012,0,2e-04,0.001,0.0028,1,0.4763,0.0064,0.0063,0.0331,0.0035,0.014,0.0597,0.0028,0.005,0.002,0.0025,0.0029
"CD8A",0.004,0.0066,0.0232,0.0768,0.1136,0.0347,0.2387,0.0266,0.1816,0.0036,0.0241,0.0684,0.0012,0.7275,0,0.5755,1e-04,1,0.0117,0.0145,7e-04,0.6125,0.8115,0.0095,0.0046,0.0023,0.0092,0.0081,0.8805,0.2474,0.0703
"CD99",0.0389,0.0229,0.1598,0.5239,0.5361,0.2399,0.4714,0.3965,0.4831,0.0519,0.4039,0.0758,0.0955,0.0507,0.0278,0.0214,0.0334,0.0728,0.0038,0.7143,0,0.5511,1,0.8546,0.0071,0.0038,0.1551,0.3235,0.1852,0.6665,0.5494
"CLEC12A",0.0051,0.0011,0.0193,0.019,0.0108,0.0086,0.0068,0.8585,0.0163,0.0087,0.9379,0.0028,0.0027,0.0024,0,6e-04,0.0016,0.0078,1,0.3484,0.0011,0.0104,0.0186,0.006,0.014,0.0048,0.0041,0.0042,0.0137,0.007,0.0095
"CLEC4C",0.0127,0.002,0.0059,0.0045,0.003,0.0015,0.0073,0.0106,0,0.0129,0.0104,0.0023,0.0064,0.0076,0.0026,0.0137,0.0017,0.0091,0.0041,1,0.0074,0.0034,0.0048,0.0031,0.0135,0.0113,0.0125,0.0028,0.0038,0.0026,0.0014
"CR1",0.829,0.0109,0.0076,0.0079,5e-04,0,0.1896,0.5734,0.0057,1,0.6033,0.0498,0.0253,0.0855,0.0085,0.02,0.0062,0.1113,0.151,0.0532,0.7867,0.0027,0.0125,0.0638,0.8233,0.6886,0.0403,0.0023,0.1336,0.0924,0.0062
"CR2",0.7601,0.018,0.0042,0.0058,0.0014,0.0037,0.0392,0.0055,2e-04,1,0,0.0635,0.0426,0.0996,0.0191,0.0489,0.0274,0.134,0.0017,0.0072,0.9182,9e-04,0.015,0.0131,0.8918,0.4744,0.0592,0.0034,0.1287,0.066,0.0023
"CTLA4",0.0203,0.0731,0,0.1548,0.0461,0.0619,0,0.2569,0.104,0.2647,0,0.4082,0.0849,0.075,0.0555,0.0811,0.057,0.5975,0.1255,1,0.0817,0.0247,0.1362,0.0992,0,0.1203,0.1944,0.2245,0.248,0.0672,0.0189
"CX3CR1",0.0034,0.0103,0.0177,0.8567,1,0.1681,0.0014,0.0474,0.0904,0.0205,0,0.0093,0.004,4e-04,8e-04,0.0057,2e-04,0.0068,0.664,0.024,9e-04,0.0586,0.0085,0.0041,0,0.0132,0.0016,0.006,0.032,0.0055,0.0311
"CXCR3",0.0108,0.0342,0.0229,0.0175,0.005,0.0079,0.0677,0.0088,0.0153,0.0145,0.013,0.0167,0.0059,0.2274,0.0042,0.0552,0.0026,0.045,0.0098,0.1521,0.0066,0.0123,0.0529,0.0245,0,0.0088,0.0062,0.0167,1,0.0801,0.0866
"CXCR5",1,0.0082,0.0054,0.0038,0.0042,0.0055,0.0076,0.0094,0.008,0.6906,0.0631,0.0068,0.0028,0.0038,0.0024,0.0011,0.0023,0,0.0192,0.0277,0.395,0.0095,0.009,0.0174,0.6383,0.3963,0.0022,0.0044,0.0096,0.0079,0.0083
"DPP4",0.0264,0.1045,0.029,0.0243,8e-04,0,0.9796,0.1403,0.009,0.0171,0.0454,0.4197,0.9103,0.314,0.2762,0.2052,0.6421,0.8915,0.0257,0.2405,0.0028,0.0128,0.1209,0.5723,4e-04,0.0255,1,0.3338,0.9639,0.038,0.9611
"ENG",0.0381,0.0023,0.0108,0.0057,0.0066,0.0023,0.0141,1,0.0163,0.0299,0.1687,0.0336,0.0031,0.0096,0.0049,0.004,0.0069,0,0.1328,0.0072,0.0141,0.0137,0.0114,0.0086,0.094,0.0204,0.0031,0.0038,0.0118,0.015,0.0129
"ENTPD1",0.7917,0.0077,0.0752,0.034,0.0112,0.0039,0.0259,1,0.0216,0.7101,0.5381,0.0074,0.0034,0.0041,0,0.0018,0.0014,0.0097,0.4058,0.9054,0.6141,0.0164,0.0909,0.0447,0.7137,0.1304,0.0109,0.2476,0.0092,0.0121,0.0057
"FAS",0.0715,0.023,0.125,0.1845,0.1044,0.0343,0.2639,0.7006,0.1155,0.1363,0.1937,0.0291,0.0826,0,0.0144,0.0144,0.0144,0.1546,0.3973,0.5553,0.0202,0.0983,0.7829,0.8876,0.0157,0.0247,0.1788,1,0.6207,0.1887,0.2858
"FCER1A",0.0072,0.0108,0.0053,0.0093,0.0012,0.0012,0,0.2622,0.0088,0.0083,0.1426,0.0066,0.0033,0.0027,0.0025,0.0011,0.0014,0.0086,0.0093,1,0.0029,0.0026,0.0011,0.0032,9e-04,0.0045,0.007,0.0036,0.0103,0.0032,0.0049
"FCER2",0.7285,0.0386,0.0287,0.0604,0.0203,0.0175,0.0273,1,8e-04,0.1849,0.2379,2e-04,0.0445,0.0189,0.0185,0.0191,0.0182,0.063,0.5168,0.0377,0.1993,0.0014,0.0168,0.0368,0,0.0892,0.0693,0.0167,0.0519,0.0248,0.0473
"FCGR1A",0.0014,0.0037,0.0114,0.0131,0.0074,0.0015,0.0036,1,0.0041,0.0058,0.5492,0.0014,0.0038,0.0029,0,1e-04,9e-04,0.0134,0.2138,0.0145,2e-04,0.0023,0.0044,0.0024,8e-04,4e-04,0.0078,0.0054,0.02,0.0028,0.0014
"FCGR2A",0.8033,9e-04,0.0148,0.0185,0.0086,0.0029,0.0062,1,0.0068,0.8036,0.4761,0.0023,0.0026,0.0023,0,8e-04,0.0017,0.0083,0.5746,0.0697,0.3655,0.0027,0.0056,0.0037,0.6477,0.7869,0.0049,0.0052,0.0087,0.004,0.0044
"FCGR3A",0.005,0.0017,0.1555,0.9169,0.8833,0.5343,0.0045,0.3225,0.1588,0.0014,0.1529,0.0011,0.0014,0.0018,9e-04,9e-04,5e-04,0.003,1,0.0075,9e-04,0.0234,0.0072,0.0013,0,0.0025,0.002,0.0011,0.0057,0.0015,0.0139
"GGT1",0.0168,0.0419,0.0281,0.0211,0.0039,0.0063,0.346,0.6987,0.0077,0.0132,0.3323,0.0897,0.5251,0.0265,0.0488,0.0073,0.0593,0.0771,0.1257,0.2094,0.003,0.0059,0.0641,1,0,0.0135,0.8622,0.2787,0.0997,0.0103,0.0826
"GP1BB",0.0057,0.0022,0.004,0.0051,0.006,0.0027,0.0063,0.0475,0.0135,0.0109,1,0.0096,0.003,0.0057,0.0013,0.0035,0.0017,0.0022,0.0821,0.1515,0.0057,0.0104,0.0238,0.011,0.016,0.0114,0.0043,0.0056,0,0.0084,0.0358
"Hamster-IgG",0.4213,0.2818,0.3268,0.1512,0.142,0.2185,0.1972,0.8921,0.1578,0.5218,0.2117,0.0293,0.1864,0.1279,0.3873,0.2711,0.1904,0.178,0.3024,0.8232,1,0.2037,0.0117,0.1422,0,0.5182,0.0395,0.1864,0.0141,0.0463,0.1533
"HLA-A",1,0,0.0265,0.2929,0.2272,0.0201,0.211,0.6148,0.1214,0.7218,0.4572,0.0926,0.2325,0.2104,0.0305,0.0988,0.1195,0.5284,0.5768,0.6755,0.3023,0.1191,0.2241,0.2371,0.3422,0.6146,0.3638,0.164,0.6638,0.2324,0.157
"HLA-DRA",0.8814,2e-04,0.0072,0.0074,0.005,0.0011,0.0041,0.3316,0.0088,0.8266,0.2777,0.0038,0.0021,0.0025,0,4e-04,0.0012,0.003,0.3992,0.687,0.752,0.0093,0.0818,0.0084,1,0.6067,0.0038,0.0086,0.0036,0.0031,0.0072
"HLA-E",0.3148,0.057,0.0233,0.1013,0.0859,0.0186,0.1465,0.9751,0.0299,0.2545,0.1297,0.0284,0.2639,0.2247,0.0449,0.0658,0.0675,0.3964,1,0.2851,0.0595,0.0266,0.1817,0.235,0,0.1799,0.6331,0.1614,0.6678,0.0984,0.1025
"Human-Ig",0.6014,0.002,1e-04,0.0112,0.0115,0.0015,0.0046,0.0793,0.0012,0.6878,0.0631,3e-04,0.0047,0.0016,5e-04,0.0011,0.0017,0.005,0.0889,0.0162,0.2289,9e-04,0.0092,0.0043,0.4292,1,0.0108,0.004,0,0.0011,0.0057
"ICAM1",0.2888,0.006,0.162,0.0832,0.025,0.0171,0.0374,1,0.0315,0.1096,0.5476,7e-04,0.0021,0.0041,0,0.0018,9e-04,0.008,0.7056,0.9555,0.0591,0.0153,0.0364,0.0127,0.0679,0.0822,0.0055,0.0143,0.0208,0.0675,0.0382
"ICOS",0.0123,0.0847,0.0025,0.0189,0.0039,8e-04,0.2228,0.0596,0.0075,0.0084,0.0093,0.2999,0.7155,0.197,0.1736,0.0805,0.2764,0.5529,0.0074,0.0248,0.0029,0.0173,0.3597,0.9005,0,0.0118,1,0.4373,0.474,0.0792,0.0504
"IFNGR1",0.1754,0.0354,0.0146,0.0723,0.033,0.0023,0.0301,1,0.0194,0.1622,0.221,0.0074,0.0349,0.011,0,0.0037,0.0098,0.0338,0.7336,0.1668,0.0475,0.008,0.0229,0.0369,0.056,0.0795,0.0644,0.0135,0.0871,0.0176,0.0821
"IGHD",0.802,0.0038,0.0042,0.0045,0.0041,0.0025,0.003,0.005,0.0017,1,0,0.0042,0.0027,0.0023,0.0017,0.0022,0.0021,0.0028,0.0037,9e-04,0.6337,0.0024,0.0019,0.0037,0.7894,0.8044,0.0044,0.0034,0.0027,0.0017,0.0018
"IGHM",0.4976,0.0015,0.0016,0.0029,0.002,9e-04,0.0021,0.0111,1e-04,0.6124,0.0356,7e-04,0.0012,0.0013,3e-04,0,3e-04,5e-04,0.0168,0.0046,0.1377,0.001,0.0021,0.0023,0.3533,1,0.0017,0.0012,2e-04,2e-04,0.0032
"IGKC",0.816,7e-04,0.0031,0.0133,0.0116,0.0029,0.0043,0.2007,0.0018,1,0.1095,3e-04,0.0025,9e-04,0,6e-04,0.0016,0.003,0.2037,0.0183,0.3253,0.0012,0.0068,0.0035,0.4781,0.9685,0.0054,0.0013,0.0029,6e-04,0.0067
"IL2RA",0.0402,0.0123,0.0042,0.0021,0,1e-04,0.1759,0.0083,0.0023,0.0115,0.0112,0.005,0.0015,9e-04,0.0036,5e-04,7e-04,3e-04,0.0044,0.1243,0.0039,8e-04,0.015,0.0959,0.0166,0.013,0.006,1,5e-04,0.0028,0.0037
"IL2RB",0.0114,0.0117,0.2115,1,0.5281,0.0916,0.0201,0.0201,0.1419,0.0042,0.0085,0.0137,0.0067,0.0135,0.0031,0.0055,0.0012,0.021,0.0063,0.0152,0,0.0312,0.0586,0.0095,0.0067,0.0017,0.0093,0.0175,0.0467,0.0348,0.0249
"IL3RA",0.0555,0.0016,0.0091,0.0086,0.0033,0.0012,0.0054,0.5443,0.0014,0.0635,0.1569,0.0015,0.0029,0.0019,0,7e-04,0.0011,0.0071,0.462,1,0.0414,4e-04,0.0021,0.0045,0.0421,0.0594,0.0057,0.0046,0.0066,0.0027,0.001
"IL4R",0.1941,0.318,0.046,0.1346,0.0273,0.0887,0.1051,0.3586,0.0327,0.1375,0.0286,0.0279,0.2995,0.0729,0.0882,0.0657,0.2051,0.2191,0.1946,1,0.1399,0.0443,0.1017,0.2063,0,0.2812,0.3585,0.0764,0.2595,0.0834,0.3046
"IL7R",0.009,0.0605,0.0039,0.0133,0,0,0.4467,0.1009,0.0072,0.0103,0.0296,0.1945,0.6393,0.5638,0.0898,0.1297,0.129,1,0.0122,0.1255,0.0027,0.0095,0.0791,0.4056,2e-04,0.0151,0.7628,0.0151,0.7542,0.2826,0.2044
"ITGA1",0.0114,0.011,0.4966,0.0506,0.045,0.027,1,0.4604,0.0909,0.0054,0.5,0.0659,0.0797,0.0605,0.0131,0.0149,0.0121,0.1684,0.0349,0.0908,0,0.0629,0.2752,0.0719,6e-04,0.0017,0.1165,0.0045,0.198,0.0748,0.1003
"ITGA2",0.0047,0.0013,0.001,0.0022,0.0022,0.002,0.0078,0.0743,0.0049,0.0047,1,0.0031,9e-04,0.0017,8e-04,8e-04,0,5e-04,0.0749,0.079,0.003,0.0053,0.0297,0.0105,0.0231,0.0024,3e-04,0.0051,0.0029,0.0039,0.0202
"ITGA2B",0.0075,0.0044,0.0066,0.0115,0.0146,0.0149,0.0354,0.1961,0.0125,0.0143,1,0.0164,0.0041,0.0108,0,0.0015,0.0025,0.0027,0.1349,0.1826,0.0069,0.018,0.0742,0.0326,0.019,0.0058,0.0054,0.0237,0.002,0.007,0.0803
"ITGA4",0.4421,0,0.2342,0.4259,0.3875,0.1142,0.437,0.339,0.6831,0.5004,0.6813,0.2825,0.1387,0.248,0.0505,0.084,0.0655,0.304,0.9901,1,0.2299,0.6429,0.8242,0.6731,0.5799,0.4379,0.1864,0.308,0.2968,0.4556,0.5991
"ITGA6",0.0048,0.0081,0.0469,0.0578,0.0196,0.003,0.5727,0.0315,0.0185,0.0013,1,0.0147,0.0076,0.0018,0.0042,6e-04,0.0052,0.0012,0.0384,0.0381,5e-04,0.0031,0.0509,0.709,0,0.0032,0.012,0.3168,0,0.1683,0.0752
