"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"ITGA1",0.176,0.342,0.097,0.113,0.153,0.2,0.221,0.174,0.123,0.093,0.141,0.261,0.944
"GZMK",1.178,1.626,1.138,0.42,0.226,0.404,1.845,1.744,0.459,5.37,4.761,0.331,0.152
"GZMA",0.413,5.043,0.777,3.3,4.392,0.116,2.147,0.318,3.586,5.542,4.469,0.781,1.251
"TCF7",9.136,1.398,10.424,1.425,0.51,5.586,3.41,8.113,1.709,2.287,3.043,1.331,1.865
"HAVCR2",0.046,0.782,0.049,1.484,0.988,0.036,0.477,0.052,1.63,0.575,0.198,1.383,1.337
"TNF",0.01,0.13,0.01,0.257,0.133,0.022,0.105,0.022,0.143,0.219,1.476,1.347,0.494
"NCR3",0.1,0.075,0.037,0.168,0.075,0.056,0.297,0.266,0.322,0.495,1.385,0.023,0
"HLA-DRA",0.016,2.288,0.021,1.146,1.135,0.043,1.229,0.049,1.036,0.725,0.156,17.187,0.843
"BACH2",3.794,0.673,2.323,1.185,0.509,7.493,3.067,3.93,1.233,1.3,3.108,1.771,1.849
"PRDM1",0.007,0.738,0.009,1.025,0.983,0.024,0.29,0.012,0.866,0.752,0.575,1.117,1.177
"TRGV9",0.012,0.9,0.013,1.812,0.885,0.03,0.648,0.109,1.15,7.075,0.844,0.06,0.668
"TOX",0.451,1.835,0.482,1.538,1.261,0.223,1.071,0.674,1.079,1.061,0.265,0.374,3.446
"IL2RA",0.003,0.003,0.004,0.006,0.001,0.011,0.001,0.097,0,0.01,0.016,0.128,0.102
"PRF1",0.143,7.83,0.108,9.569,10.599,0.17,4.13,0.107,10.018,7.113,3.955,0.673,5.058
"FAS",0.171,0.473,0.26,0.383,0.435,0.396,0.341,0.282,0.35,0.32,0.425,0.267,0.5
"ENTPD1",0.007,0.15,0.003,0.082,0.023,0,0.07,0.005,0.045,0.04,0.012,0.205,0.15
"MKI67",0.004,0.201,0.007,0.029,0.025,0.003,0.027,0.02,0.059,0,0,0,0.211
"CD44",6.025,6.447,5.269,6.343,6.148,12.386,9.187,6.935,6.401,8.555,13.974,12.71,8.044
"NCAM1",0.001,0.003,0,0.06,0.006,0,0,0.001,0.045,0.013,0.039,0.008,0
"ZBTB16",0.003,0.018,0.002,0.082,0.02,0.008,0.021,0.031,0.049,0.789,1.253,0.085,0.072
"CD27",3.51,1.647,5.093,0.245,0.596,1.472,1.488,2.775,0.232,1.866,1.075,0.686,1.003
"LAG3",0.046,1.838,0.067,1.733,1.735,0.041,1.025,0.072,1.71,1.99,1.122,0.14,1.118
"KLRB1",0.098,0.722,0.263,1.327,1.214,0.126,0.338,0.477,0.607,11.82,11.18,0.064,0.696
"CD69",1.795,1.983,1.759,3.829,2.189,5.542,2.391,2.27,2.485,4.458,8.898,1.1,2.606
"KLRD1",0.021,4.449,0.017,6.673,6.475,0.09,3.203,0.217,8.014,4.324,2.329,0.316,4.762
"KLRC1",0.009,0.46,0.004,1.002,0.871,0.013,0.551,0.017,0.428,0.579,0.604,0,0.477
"IFNG",0.008,0.606,0.009,0.894,0.566,0.005,0.193,0.03,0.509,0.339,0.626,0.366,0.56
"TRDV1",0.095,0.461,0.163,2.443,0.376,0.046,0.436,1.827,1.489,0.021,0,0.173,0.279
"TRDV2",0.007,0.141,0.01,0.478,0.048,0.007,0.102,0.218,0.154,8.12,0.668,0,0
"TRDC",0.015,0.123,0.013,1.079,0.099,0.019,0.137,0.989,0.488,1.498,0.176,0.094,0.042
"GZMH",0.003,10.069,0.001,9.514,13.938,0.103,4.45,0.001,9.175,4.44,0.936,1.088,5.699
"GZMB",0.015,16.269,0.003,20.675,23.677,0.108,9.154,0.017,24.784,12.667,4.181,2.348,11.361
"ITGAE",0.681,1.103,0.881,0.784,0.754,0.758,0.917,0.768,0.707,1.457,1.264,0.777,2.178
"TOP2A",0.012,0.126,0.004,0.042,0.036,0.005,0.052,0.029,0.028,0.094,0,0.009,0.1
"CCR7",10.561,0.431,9.087,0.161,0.061,10.232,2.581,8.433,0.072,0.432,1.31,5.272,0
"TBX21",0.005,1.446,0.011,1.926,2.071,0.02,1.006,0.057,1.911,1.181,0.566,0.16,1.385
"BCL2",0.457,0.203,0.357,0.283,0.176,1.194,0.356,0.529,0.21,0.302,0.241,1.003,0.766
"GZMM",2.306,5.46,2.635,4.021,3.872,1.15,4.614,2.037,4.74,5.808,3.459,1.077,2.819
"S1PR5",0.001,1.619,0,2.302,2.035,0.018,0.821,0.022,2.247,1.711,1.262,0.163,1.181
"KLF2",6.302,5.579,3.45,5.881,6.304,5.998,5.639,6.162,4.675,3.39,2.871,2.65,2.835
"TYROBP",0.015,0.874,0.025,2.273,1.35,0.032,0.632,0.07,3.956,1.683,0.652,16.829,0.039
"NKG7",0.245,51.295,0.23,47.392,57.838,0.639,28.897,0.544,48.344,36.776,19.005,5.821,15.711
"KIR2DL3",0,0.308,0,1.174,0.346,0.003,0.253,0.036,0.735,0.393,0,0.024,0.211
"KIR3DL1",0,0.184,0,0.629,0.212,0.001,0.135,0.014,3.433,0.633,0,0,0.22
"KIR3DL2",0.002,0.252,0,0.704,0.258,0.002,0.374,0.126,1.463,0.469,0,0,0.163
"IL2RB",0.232,1.385,0.205,1.763,1.201,0.27,1.306,0.326,1.884,1.918,0.955,0.387,1.276
"FOXP3",0.011,0.004,0.008,0.001,0.004,0.014,0.01,0.073,0,0,0.02,0,0
"CXCR3",0.58,2.727,0.33,1.574,1.229,0.425,4.002,1.149,2.616,2.095,1.2,0.703,0.653
"SLC4A10",0.007,0.013,0.004,0.009,0.007,0.004,0.009,0.004,0.011,0.411,0.687,0.02,0
"RORC",0.002,0.002,0.001,0,0,0.002,0,0.003,0,0.128,0.472,0,0
