"CD45RO","FAS","annotation","plot_group","source","facet"
0.658963255061822,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.467292554043161,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.325979951645938,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.312967302677169,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.267062167127111,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.622863536490192,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0,0.107237255076436,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.650456389839546,0.0260934973420199,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.228354319113921,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.119575682284152,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.0787351672506,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.386148833894437,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.85498000646219,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.25729299353915,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.208240583590853,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.660395668257054,1.00557542964268,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.22514290230737,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
2.35719610148699,0.274253646229376,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.655516750262341,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.36175423753277,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.229494772701373,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.195151747185,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.320522955128296,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.28421842421018,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0836222064262921,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0166977190568924,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.415755389220534,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.647177331264393,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.512884141108662,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.222703617341062,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0256587849919501,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.209126330463332,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.927252363517166,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.243692479567213,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
