gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
HSD17B12,Overlap,1,1,1.05488410343915,0.587090479692965,FALSE,FALSE
AL591895.1,Overlap,1,1,-3.4315591243074,-2.38409974863527,FALSE,FALSE
CEP57L1,Overlap,1,1,0.8532476412593,0.805984637969687,FALSE,FALSE
JTB,Unsuppressed_only,1,NA,-0.267591610238399,NA,FALSE,FALSE
TRMT5,Unsuppressed_only,1,NA,1.23290032797826,NA,FALSE,FALSE
AC104695.2,Overlap,1,1,-3.18608289560127,-5.33062683205887,FALSE,FALSE
GATAD2A,Unsuppressed_only,1,NA,0.52469975360033,NA,FALSE,FALSE
CDC37L1-DT,Overlap,1,1,-1.29498358065888,-0.647192771051627,FALSE,FALSE
AC079793.1,Overlap,1,1,-6.08779161484223,-0.721801324969968,FALSE,FALSE
TKTL1,Overlap,1,1,-1.46980850924926,-0.748757750217052,FALSE,FALSE
ENSG00000259088,Overlap,1,1,3.26875954493888,2.88361324415721,FALSE,FALSE
AL137009.1,Overlap,1,1,-3.53102583703581,-0.720164552343846,FALSE,FALSE
TMEM185B,Overlap,1,1,0.137480450474383,0.224491723707918,FALSE,FALSE
TBL2,Overlap,1,1,-0.129151184094305,-0.544523502104616,FALSE,FALSE
FAM234A,Overlap,1,1,0.158622005129107,-0.448428885978033,FALSE,FALSE
CBY1,Overlap,1,1,-0.596668942906791,-0.365333202732087,FALSE,FALSE
TIMM17B,Overlap,1,1,-0.433517139488774,-0.662952104246761,FALSE,FALSE
DMXL1,Overlap,1,1,0.235513270275241,0.282224121556656,FALSE,FALSE
RRAGA,Overlap,1,1,-0.31700116716685,-0.115015946237173,FALSE,FALSE
TNFRSF1A,Overlap,1,1,-0.50880484840536,-0.170557620136105,FALSE,FALSE
SMC2,Unsuppressed_only,1,NA,-0.612766131730433,NA,FALSE,FALSE
AL110114.1,Overlap,1,1,-4.02002143199655,-1.05072310299579,FALSE,FALSE
NBPF3,Overlap,1,1,-0.114005754871247,0.242970033608488,FALSE,FALSE
TMEM143,Overlap,1,1,-1.38684085181901,-1.25071623932444,FALSE,FALSE
GIPC1,Overlap,1,1,0.10418020431877,-0.193141555164053,FALSE,FALSE
RPAIN,Overlap,1,1,-0.219997207462666,-0.190763522658886,FALSE,FALSE
WASHC2C,Unsuppressed_only,1,NA,-0.105065051994821,NA,FALSE,FALSE
DMGDH,Overlap,1,1,-0.305881117873376,-0.966642786282448,FALSE,FALSE
TTC12,Overlap,1,1,-0.384392300765421,-0.502813508422374,FALSE,FALSE
FP700111.1,Overlap,1,1,-3.09082355137774,-0.95649056678949,FALSE,FALSE
XRCC3,Unsuppressed_only,1,NA,0.14813546536228,NA,FALSE,FALSE
MLLT10,Unsuppressed_only,1,NA,-0.15402635048165,NA,FALSE,FALSE
CYB561,Overlap,1,1,-0.375928492226371,0.723238901325018,FALSE,FALSE
IPMK,Overlap,1,1,0.530664855838386,-0.151643057259396,FALSE,FALSE
