"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12"
"GZMB",0.0133,0.0034,15.602,24.4661,20.7215,0.0071,15.9436,25.3624,0.347,11.9243,3.9996,0.9467,14.1244
"GNLY",0.0961,0.061,68.9345,102.4446,111.6095,0.0366,95.7957,189.1924,26.6175,36.2587,27.1623,6.5171,32.4043
"PRF1",0.1454,0.1132,7.1921,10.4042,9.6272,0.0763,6.435,10.0755,0.5221,6.9048,4.242,0.6724,5.6685
"NKG7",0.2428,0.2433,49.2364,58.3208,50.8278,0.1552,41.7727,49.2972,6.4416,34.9664,18.613,4.6649,16.7732
"GZMA",0.3947,0.8358,4.4435,4.1691,2.9996,0.0591,2.7941,3.19,0.1437,5.3782,4.765,0.4057,1.351
"GZMH",0.0018,0.0011,9.5754,14.1579,10.1155,0.0012,7.2301,9.3997,0.1303,4.0911,0.7418,0.3812,6.2016
"FGFBP2",0.716,2.0194,11.0348,15.9841,12.0485,0.1313,10.4312,11.851,0.8877,4.8125,0.1691,0.5969,4.6551
"CX3CR1",0.0011,0,1.2254,2.1761,1.2328,0,0.9528,1.2407,0.0192,0.376,0,0.2033,0.8399
"TBX21",0.0023,0.0121,1.3592,2.0653,1.9241,0.0044,1.2858,1.8057,0.415,1.1758,0.5962,0.0599,1.385
"EOMES",0.0759,0.0555,1.7181,1.1581,1.1847,0.054,1.3847,1.0845,0.3243,1.2417,0.4202,0.2395,0.8134
"ZEB2",0.0335,0.0113,7.7201,8.3668,10.914,0.1084,7.0508,8.6903,2.4334,5.7917,2.1818,11.8412,14.782
"PRDM1",0.0071,0.0051,0.658,0.9776,1.1331,0.0166,0.5326,0.8171,0.0087,0.6408,0.6227,1.1737,1.3492
"IGFBP2",2.7528,13.353,0.0285,0.003,0.0096,0.2878,0.07,0.081,0.7746,0.1572,0.0275,0.1013,0
"HILPDA",0.2614,1.1965,0.0307,0.0199,0.0283,0.0735,0.026,0.0388,0.1355,0.0628,0.101,0.1766,0
"PFKFB4",0.2078,0.962,0.0188,0.0218,0.014,0.0116,0.0171,0.034,0.0835,0.0203,0.0466,0.2491,0.0733
"EGLN3",0.1491,0.4281,0.0107,0.0104,0.0104,0.023,0.0064,0.0137,0.1026,0.0527,0.0617,0.0849,0
"AK4",0.0798,0.5462,0.008,0.0044,0.0037,0.0101,0.0119,0.0068,0.0765,0.0247,0.0149,0.2089,0.0733
"SLC2A1",0.2087,0.4622,0.4226,0.503,0.4892,0.1173,0.5085,0.543,0.2211,0.3421,0.4099,0.2539,0.5472
"HIF1A",1.4438,1.6287,1.0764,1.0416,1.2852,1.9868,1.082,1.3628,1.1996,1.3707,1.4811,2.0954,1.3366
"LDHA",7.7631,21.5611,11.6692,10.4453,11.4685,4.3239,12.7904,13.134,9.2312,11.7225,14.5557,5.6696,4.1192
"PKM",3.9973,10.2167,2.4762,2.8849,2.0708,2.0994,2.0318,2.3903,2.9024,2.902,2.7141,6.0908,1.6693
"ENO1",10.0488,27.8534,4.8478,5.4783,3.8095,4.1637,4.2021,3.8655,6.02,6.5903,6.488,5.8434,3.5129
"CD69",1.959,1.7956,1.9035,2.243,4.6766,5.8682,1.992,2.3056,3.0715,4.7595,7.8655,1.1232,2.2
"ITGAE",0.6769,0.9144,1.1063,0.7813,0.6739,0.7545,0.8429,0.6388,1.1842,1.3942,1.4994,0.4851,1.7501
"ITGB7",0.9034,0.8262,0.9464,1.0151,0.903,0.3538,0.8733,1.1155,0.6744,0.7868,0.6488,0.2438,1.1172
"CXCR6",0.0026,0.0036,0.1732,0.0222,0.0169,0,0.085,0.0218,0.0678,1.6448,1.6333,0.0176,0.1035
"ZNF683",0.0015,6e-04,1.001,1.6999,0.5642,0.0045,1.4922,1.1484,0.7609,0.1295,0,0.1129,0.851
"ITGA1",0.1924,0.0943,0.3254,0.1635,0.0786,0.1892,0.3002,0.1001,0.1294,0.1058,0.1336,0.1972,0.8695
"HLA-DRA",0.0255,0.0142,2.2322,1.2082,0.9128,0.0047,1.5629,1.0163,0.1642,0.7322,0.1355,17.698,0.9381
"CD38",0.2508,0.5641,2.0959,1.4898,2.0755,0.2822,1.8703,1.8683,0.3688,0.8774,0.1633,0.408,1.96
"MKI67",0.0038,0.008,0.1927,0.0324,0.0336,0.0041,0.0443,0.0713,0.0011,0.0027,0,0,0.1855
"TOP2A",0.0122,0.0039,0.1318,0.0449,0.045,0.0055,0.0595,0.0264,0.0216,0.0867,0,0.0089,0.0881
"STMN1",1.1979,0.9991,0.9996,0.7616,0.8021,0.8047,0.7922,0.8029,1.0973,0.582,0.442,0.3876,0.4781
"ICOS",0.6964,0.7148,0.462,0.1813,0.1699,0.8181,0.4153,0.0115,0.3025,0.1973,0.2699,0.0545,0.3327
"TNFRSF9",0.0017,0.0014,0.2924,0.1748,0.5255,0.0062,0.3134,0.5433,0.2696,0.3545,0.1891,0.0668,0.2266
"IFIT1",0.2051,0.1287,0.4706,0.951,0.5654,0.4534,0.6216,0.7348,0.2199,0.3984,0.2248,0.2929,0.2738
"IFIT3",0.1822,0.2117,0.4772,1.248,0.8484,0.4604,0.6522,1.0668,0.2579,0.4589,0.4864,0.7446,0.8935
"ISG15",0.8913,0.9001,2.1413,2.3393,2.2408,1.2861,2.1321,2.5344,2.5501,2.6772,5.0611,1.7945,1.3977
"MX1",0.8436,0.5536,1.4458,1.7353,1.5741,1.3661,1.4816,1.4999,1.3769,1.3463,1.1013,1.073,0.9229
"HSPA1A",0.7238,0.585,1.7798,1.6953,11.0121,7.4337,1.7875,1.8506,0.4899,4.2228,1.6213,1.7119,1.4632
"HSPA1B",0.5869,0.3449,1.1937,1.1662,6.7806,4.0984,0.9376,1.0886,0.3001,2.5019,0.8308,0.3558,1.0246
"DNAJB1",1.8999,1.4704,1.9686,1.8906,5.8068,5.3336,1.5675,1.4649,1.7592,2.7975,2.9029,1.2377,2.3041
"IFI27",0.032,0.0436,0.7079,0.3798,0.5538,0.0256,0.6167,0.2155,0.1104,0.3173,0.1518,1.6712,0.0499
"IFI44L",0.4351,0.7539,0.6331,0.6194,1.0341,0.5175,0.6434,0.8101,0.3628,0.6197,0.6747,0.6148,0.1984
"TRDV1",0.0857,0.1488,0.4598,0.3187,2.0058,0.0453,0.834,1.3923,0.7146,0.0252,0,0.0759,0.2454
"TRDV2",0.008,0.011,0.1142,0.0379,0.5708,0,0.1768,0.1197,0.0136,8.1241,0.5976,0,0
"TRGV9",0.0132,0.0131,0.8977,0.8093,2.0936,0.0148,0.8573,1.074,0.5289,6.469,0.7892,0.0202,0.5867
"TRDC",0.0211,0.0141,0.1298,0.0904,0.8308,0.0119,0.2171,0.3137,0.4524,1.5968,0.1182,0,0.0371
"TYROBP",0.0122,0.0235,0.712,1.3998,1.7632,0.0085,1.0011,3.7737,0.1981,1.8281,0.2515,16.8771,0.0347
"KLRD1",0.018,0.0179,4.0084,6.3333,6.8604,0.0428,4.3114,8.2015,2.3601,3.8286,2.3205,0.3982,5.3741
"KLRB1",0.1156,0.2501,0.654,1.1896,1.0258,0.0759,0.3739,0.2778,0.7678,12.4075,11.6255,0.0738,0.4952
"NCAM1",7e-04,0,0.0035,0.0066,0.0233,0,0.0031,0.0392,0,0.0156,0.0238,0.0083,0
"FCGR3A",0.002,0.0033,1.0365,1.7813,2.1804,0.0013,0.9808,1.976,0.0238,0.4798,0.0361,1.0813,0.3753
"KIR2DL3",0,0,0.2768,0.3227,1.1698,0,0.349,0.6347,0.1713,0.3319,0,0,0.2701
"KIR3DL1",0,0,0.1656,0.1856,0.9507,0,0.2435,3.4164,0.1018,0.5956,0,0,0.1933
"KIR3DL2",0.0019,0,0.2476,0.2404,0.7403,0.0043,0.229,1.2805,0.6474,0.4928,0,0.062,0.1434
"SLC4A10",0.006,0.005,0.0129,0.0061,0.0024,0.0026,0.0054,0.004,0.0094,0.4166,0.8224,0.0209,0
"ZBTB16",0.0025,0.0017,0.0135,0.0189,0.0701,0.0091,0.0289,0.004,0.0585,0.8367,1.1416,0.0386,0
"RORC",0.0014,6e-04,6e-04,0,0,0.0027,0,0,0.0084,0.154,0.5146,0,0
"NCR3",0.1007,0.0398,0.0638,0.0588,0.1808,0.0405,0.0839,0.3344,0.7285,0.5321,1.4505,0,0
