"Comparison","Module","CD8_Annotation","cohens_d","p_value","p_adj","star"
"Suppressed vs Pre-ART","Stress_IFN","CD16+ Effector CD8",0.0456587884872805,0.575439005640609,0.629571786753178,""
"Suppressed vs Pre-ART","TypeI_IFN_Memory","TEM CD8",0.294220950621952,0.310860092185431,0.36267010754967,""
"Suppressed vs Pre-ART","TypeI_IFN_Memory","TEMRA CD8",0.622524343779109,2.14464853061374e-22,1.50125397142962e-21,"***"
"Suppressed vs Pre-ART","TypeI_IFN_Memory","CD16+ Effector CD8",0.585061796338003,0.00145305886911086,0.00254285302094401,"**"
"Suppressed vs Pre-ART","Inflammatory_Chemokines","TEM CD8",-0.527436073989965,7.87473092346297e-07,2.36241927703889e-06,"***"
"Suppressed vs Pre-ART","Inflammatory_Chemokines","TEMRA CD8",-0.834901091735686,1.38804794655614e-81,2.9149006877679e-80,"***"
"Suppressed vs Pre-ART","Inflammatory_Chemokines","CD16+ Effector CD8",-0.672080798906825,0.000282249431706351,0.000592723806583338,"***"
"Suppressed vs Pre-ART","Terminal_Differentiation","TEM CD8",0.836153346031783,6.73336974992767e-13,2.82801529496962e-12,"***"
"Suppressed vs Pre-ART","Terminal_Differentiation","TEMRA CD8",-0.0203399749787825,0.647758385963131,0.647758385963131,""
"Suppressed vs Pre-ART","Terminal_Differentiation","CD16+ Effector CD8",-0.246993955575424,0.0673644554918117,0.0943102376885363,""
"Unsuppressed vs Pre-ART","Exhaustion","TEM CD8",-0.0654644678778275,0.317663453608049,0.392407795633472,""
"Unsuppressed vs Pre-ART","Exhaustion","TEMRA CD8",0.0730437593169,0.235964879172718,0.309703903914193,""
"Unsuppressed vs Pre-ART","Exhaustion","CD16+ Effector CD8",-0.462332148256281,0.0656096339242581,0.105984793262263,""
"Unsuppressed vs Pre-ART","Stemness","TEM CD8",0.240323056415452,0.018721097612086,0.0345956930523953,"*"
"Unsuppressed vs Pre-ART","Stemness","TEMRA CD8",-0.138219415212595,0.000683071271705469,0.00204921381511641,"**"
"Unsuppressed vs Pre-ART","Stemness","CD16+ Effector CD8",-0.206943949749843,0.383302094550258,0.447185776975301,""
"Unsuppressed vs Pre-ART","Cytotoxicity","TEM CD8",-0.803786361051507,1.27697514351188e-12,6.70411950343735e-12,"***"
"Unsuppressed vs Pre-ART","Cytotoxicity","TEMRA CD8",-0.912242502245607,9.25958675447991e-89,1.94451321844078e-87,"***"
"Unsuppressed vs Pre-ART","Cytotoxicity","CD16+ Effector CD8",-0.617585047411742,0.000540508342797243,0.00189177919979035,"**"
"Unsuppressed vs Pre-ART","Stress_IFN","TEM CD8",0.187240428246807,0.522795487611842,0.548935261992434,""
"Unsuppressed vs Pre-ART","Stress_IFN","TEMRA CD8",0.370033689034244,0.00720972178237061,0.0151404157429783,"*"
"Unsuppressed vs Pre-ART","Stress_IFN","CD16+ Effector CD8",0.375465285892553,0.0197689674585116,0.0345956930523953,"*"
"Unsuppressed vs Pre-ART","TypeI_IFN_Memory","TEM CD8",-0.20888174130095,0.112737677630249,0.169106516445373,""
"Unsuppressed vs Pre-ART","TypeI_IFN_Memory","TEMRA CD8",0.105064074277387,0.664285949464706,0.664285949464706,""
"Unsuppressed vs Pre-ART","TypeI_IFN_Memory","CD16+ Effector CD8",-0.099711598153795,0.405488524054763,0.448171526586843,""
"Unsuppressed vs Pre-ART","Inflammatory_Chemokines","TEM CD8",-0.520583035970808,2.76341658015926e-08,1.16063496366689e-07,"***"
"Unsuppressed vs Pre-ART","Inflammatory_Chemokines","TEMRA CD8",-0.383867775738093,2.20491551308229e-26,2.3151612887364e-25,"***"
"Unsuppressed vs Pre-ART","Inflammatory_Chemokines","CD16+ Effector CD8",-0.3695888840755,0.00526511015025076,0.0122852570172518,"*"
"Unsuppressed vs Pre-ART","Terminal_Differentiation","TEM CD8",0.671602034441875,3.08717539924602e-13,2.16102277947222e-12,"***"
"Unsuppressed vs Pre-ART","Terminal_Differentiation","TEMRA CD8",0.137141976120722,0.00143526620547672,0.00376757378937639,"**"
"Unsuppressed vs Pre-ART","Terminal_Differentiation","CD16+ Effector CD8",-0.240168777228577,0.134563250604441,0.188388550846218,""
