"","Naïve CD8","Naïve CD8 (innate-like)","Naïve CD8 (post-ART)","Transitional Tem CD8","Effector CD8","Terminal TEMRA CD8","KIR+ innate-like CD8","MAIT-like Trm","TRDV1+ γδ T cell","Naïve-like TRDV1+ γδ","Vγ9Vδ2 γδ T cell"
"CD244",0.0194,0.0837,0,0.3963,0.5706,0.4047,1,0.6101,0.799,0.3515,0.5846
"SIGLEC1",0,0.1779,0.1615,0.2113,0.613,0.1238,0.1289,0.6301,0.7655,1,0.0977
"ITGB7",0.3828,0.0135,0.5511,0.5662,0.9616,0.156,0.5123,1,0.3537,0.3163,0
"TNFRSF13C",0.5016,0.4518,0.7047,0.2606,0.8362,0.7687,0.6244,0,1,0.6038,0.5775
"GP1BB",0.0844,0.9497,0.4134,0.6838,1,0.8977,0.0222,0.0444,0,0.0409,0.1589
"ICAM1",0.1315,0.2011,0,0.4897,0.4954,0.0126,0.3382,0.1022,0.2626,1,0.1147
"SELP",0.194,0.2839,0.0085,0.4832,1,0.1917,0.0174,0.0354,0.112,0,0.0512
"IFNGR1",0.0088,0.055,0,0.0165,0.9535,0.0098,0.0983,0.5262,0.296,0.0188,1
"TCR-AB",0.1969,0.36,0.1904,0.1775,0.3223,1,0.1788,0.1239,0.0546,0.0844,0
"Rat-IgG1",0.2322,0.1844,0.2294,0.1428,0.1305,0.1866,0.7911,0.2378,1,0,0.0267
"Rat-IgG2a",0.4791,0.4375,0.5852,0.8305,0.1631,0.2282,0.4062,1,0,0.2007,0.2341
"Hamster-IgG",0.0262,0.0242,0.008,0.0155,0.0114,1,0.0068,0.0968,0.007,0,0.0159
"IL2RB",0.6798,0.1267,0.0566,0.0483,0.0584,0,1,0.0781,0.5259,0.3559,0.0469
"TNFRSF13B",1,0.0898,0,0,0.1117,0.685,0,0,0.0497,0,0
"FCER1A",0.2255,0.0046,0.0032,0.0045,0.0644,0.0017,0.0036,0.0019,1,0,0.0024
"ITGA2B",0.5914,0.0991,0.0352,0.5094,1,0.2328,0.0381,0,0.5596,0.0306,0.5819
"TNFRSF9",0.3071,1,0.0635,0.1727,0.1076,0,0.069,0.022,0.011,0.5333,0.0961
"CD163",0.1205,0.551,0.2313,0.1705,0.175,0.1519,1,0.6426,0.3719,0,0.1718
"CD83",0.053,0.0233,0,0,0,0,1,0,0,0,0
"IL4R",0.8499,1,0.1998,0.0524,0.4195,0.421,0.149,0,0.2107,0.2605,0.6251
"ANPEP",0.0338,0.0117,0.0026,1,0.0815,0.0017,0.0053,0.0086,0.006,0.001,0
"CD2",0.2466,0.7966,0.3757,0.6276,0.9073,0.3754,0.0677,1,0,0.1554,0.6302
"CD226",0.1053,0.379,0.2683,1,0.8719,0.5807,0.3985,0.294,0.2365,0,0.1597
"ITGB1",0.0164,0.043,0,0.4161,1,0.5988,0.5061,0.2322,0.4203,0.0319,0.2104
"CLEC4C",1,0.0345,0.0087,0.0103,0.0353,0.0257,0.0059,0,0.0071,0.1079,0.0251
"ITGA2",0.3655,0.4925,0.1172,0.2381,1,0.2416,0.0242,0.0216,0.1262,0,0.0471
"CD81",0,0.1397,0.1939,0.7828,0.9629,0.6145,0.8196,1,0.928,0.3278,0.9766
"IGHD",0.0069,0.0094,0.0089,0.0104,1,0.3861,0.0055,0,0.0068,0.0045,0.0086
"ITGB2",0.0469,0.0374,0,1,0.9685,0.7927,0.6532,0.7145,0.7926,0.2535,0.72
"CD28",0.5077,0.505,0.0907,0.1358,0.6841,0,0.0146,1,0.0622,0.3853,0.7811
"CD38",0.2473,1,0.1,0.4168,0.4361,0.0376,0.3677,0,0.6274,0.0387,0.0837
"IL7R",0.6916,1,0.3858,0.1971,0.0156,0,0.0173,0.4256,0.0092,0.9194,0.2393
"CD45",0,1,0.1944,0.7802,0.9993,0.4675,0.6009,0.7904,0.4487,0.5777,0.9776
"CD22",0.0274,0.0584,0.0368,0.0231,0.1331,0.2901,0.0125,0.005,1,0.0594,0
"TFRC",0.0136,0.0736,0.1243,0.0036,1,0.0269,0.962,0,0.4009,0.1397,0.1643
"DPP4",0.4421,0.4796,0.2408,0.2486,0.127,0.0042,0,1,0.0382,0.0366,0.5946
"CD36",0.6664,0.0809,0.0101,0.1458,1,0.063,0.0184,0,0.4085,0.0295,0.4938
"KIR2DL1",0.0039,0.0151,0,0.4344,0.3322,0.4431,0.4582,0.0353,1,0.002,0.3348
"ITGA1",0,0.2049,0.1734,0.7037,1,0.6633,0.968,0.0025,0.585,0.3441,0.3389
"ITGA4",0.3457,0,0.2437,1,0.7654,0.8188,0.6326,0.8834,0.7,0.353,0.5816
"NT5E",0.5089,1,0.6551,0.4135,0.0012,0.0059,0.0151,0,0.002,0.846,0.0031
"TCR-vA7.2",0.6836,1,0.5119,0.3028,0.364,0.0746,0.0669,0.3874,0.0297,0.5259,0
"TCR-vD2",0.1248,0.0153,0.0682,0.025,0.0301,0.0643,0.1123,0,0.0521,0.162,1
"OLR1",1,0.048,0.0157,0.0588,0.2384,0.0174,0.0309,0.0482,0.0299,0,0.0164
"KIR2DL3",0.0032,0.0186,0.0019,0.989,0.8539,0.1506,0.4112,0,1,0.018,0.0888
"KIR3DL1",0.0487,0.7574,0.0636,0.2768,0.1254,0.1027,1,0,0.3618,0.6799,0.2128
"SLAMF7",0.0254,0.8953,0.0033,0.0139,0.3356,0.0391,0.1293,1,0.1274,0,0.2484
"CD99",0.4904,0.1736,0,0.9668,1,0.7721,0.9164,0.4036,0.7703,0.5674,0.6295
"CLEC12A",0.0594,0.5889,0.0989,0.0767,1,0.5645,0.0357,0.1119,0.9149,0.0136,0
"SLAMF6",0,0.3618,0.1182,0.5423,0.7585,0.3812,0.5788,0.887,0.5524,0.3373,1
"KLRD1",0,0.2873,0.1714,1,0.6616,0.6362,0.7139,0.9253,0.9912,0.1102,0.8919
"IGKC",0.3471,0.2418,0.2528,0.0053,1,0.4889,0.0126,0.0314,0.0486,0.0058,0
"LILRB1",0.0897,0.0448,1,0.0654,0.0994,0.47,0,0,0.3385,0.1754,0.0023
"FCER2",0.3273,1,0,0,0.0577,0.1249,0.0054,0,0.0369,0.3025,0
"Human-Ig",0.2139,0.4554,0.2294,0.0011,1,0.8491,0.0064,0.0347,0.035,5e-04,0
"SIGLEC7",0,1,0.0431,6e-04,0.4104,0.0241,0.0874,0.0621,0.5129,0.2822,0.3366
"ADGRG1",0.0291,0.216,0.5472,0.5298,0.8446,0.9185,1,0.0709,0.9256,0,0.7556
"HLA-E",0.1923,1,0.0911,0.0012,0.1303,0.0338,0.0167,0.1818,0,0.2555,0.2101
"CD82",0.1226,0.129,0.105,0.0753,0.6146,0,1,0.2744,0.9826,0.2709,0.5823
"CD101",0.6372,0.6342,0.7638,0.9564,1,0.5893,0.4551,0.1857,0.6355,0,0.122
"C5AR1",0.004,1,0.0021,0.0752,0.0041,0.0023,0,0.094,0.0042,0.0013,1e-04
"GGT1",0.1924,0.9463,0.1983,0.4048,0.2485,0.0826,0,1,0.3043,1e-04,0.1333
