"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TRAV38-2DV8",0.000483656858530554,-6.70701941746417,0,0.13,1,"TRAV38-2DV8"
"RPS4Y1",0.000499580489350358,-1.64760291844159,0.169,0.565,1,"RPS4Y1"
"KLRC3",0.000504682641398437,-6.28076313816045,0,0.13,1,"KLRC3"
"ABI3",0.0005324424394942,0.192731630492445,0.529,0.261,1,"ABI3"
"NDUFAF2",0.000587586982524382,-1.36411144961152,0.074,0.043,1,"NDUFAF2"
"GTF2B",0.000590565521386814,-1.29332149414625,0.217,0.261,1,"GTF2B"
"CD8B",0.000599812809572254,-1.15225470333511,0.561,0.609,1,"CD8B"
"GNLY",0.000612221743614752,1.12112241381776,0.926,0.87,1,"GNLY"
"PRDX1",0.000614199940417879,-0.911339442437393,0.265,0.348,1,"PRDX1"
"TRGV7",0.000616870847773839,-2.66886319389329,0.122,0.348,1,"TRGV7"
"ABCC1",0.000638784511784233,0.254592699769269,0.201,0.087,1,"ABCC1"
"TRAV41",0.000674100491801194,5.62155446638217,0.28,0,1,"TRAV41"
"ZSWIM7",0.000684130450679559,-1.9730887852009,0.063,0.13,1,"ZSWIM7"
"SIRPG",0.000690331131558042,-4.09982230187697,0.005,0.13,1,"SIRPG"
"C14orf119",0.000703685027402593,4.26621114345518,0.238,0,1,"C14orf119"
"UBE2D3",0.000786549128488637,-1.13498861657991,0.571,0.826,1,"UBE2D3"
"NOP53",0.000816427048540146,1.46953067690754,0.704,0.391,1,"NOP53"
"KLF6",0.000862957547158474,-1.05128681549962,0.683,0.87,1,"KLF6"
"FP671120.4",0.0010394504487184,-0.11538627157659,0.582,0.304,1,"FP671120.4"
"TRBV7-3",0.00110098700954485,6.96047699394869,0.222,0,1,"TRBV7-3"
"OXLD1",0.00122907293137089,4.15231885585016,0.228,0,1,"OXLD1"
"AL138963.4",0.00130861270240796,-1.99641075841052,0.122,0.391,1,"AL138963.4"
"RNF187",0.00131339186798969,-1.19035338778603,0.212,0.565,1,"RNF187"
"EFHD2",0.00139796153492582,1.09802443503514,0.878,0.739,1,"EFHD2"
"SPCS2",0.00140371240098761,-0.8288310033874,0.429,0.478,1,"SPCS2"
"BACH2",0.00145034985847749,-2.26329602032919,0.053,0.087,1,"BACH2"
"POLR2E",0.00150676168982048,0.323399010361878,0.238,0.087,1,"POLR2E"
"SNHG32",0.00159868427365956,4.12756868333535,0.222,0,1,"SNHG32"
"TRBJ2-2P",0.00166359042572856,5.22999221531436,0.249,0,1,"TRBJ2-2P"
"TRBC2",0.00179273027860116,1.08261919537215,0.836,0.522,1,"TRBC2"
"TPI1",0.00183663669176506,-0.752831677363556,0.672,0.609,1,"TPI1"
"EIF1",0.00189909041315834,-0.677498238953422,0.958,1,1,"EIF1"
"CYB5R3",0.00225313200311041,4.09777229396409,0.206,0,1,"CYB5R3"
"ZNF880",0.00228295597087607,-3.91804807563614,0.005,0.13,1,"ZNF880"
"MFSD14A",0.00250774737118273,-0.305830540364791,0.185,0.13,1,"MFSD14A"
"SDF2L1",0.00257040931896145,0.405564068906744,0.169,0.087,1,"SDF2L1"
"KDELR1",0.00262843438171153,-0.287383211033911,0.328,0.217,1,"KDELR1"
"LINC00623",0.00266223551066755,-1.65544812433971,0.127,0.261,1,"LINC00623"
"AKR1B1",0.00268029373796232,-1.73343389402664,0.18,0.435,1,"AKR1B1"
"PRF1",0.00270673647614883,1.03481764742637,0.931,0.783,1,"PRF1"
"AL445471.1",0.00272858198804064,-5.4481405741271,0,0.087,1,"AL445471.1"
"PDE3B",0.00273443420844683,1.77769880257504,0.55,0.304,1,"PDE3B"
"KLC1",0.00277245504273136,-1.27408545993464,0.169,0.304,1,"KLC1"
"ENSG00000291159",0.00280938661182097,-4.47817936499778,0.005,0.13,1,"ENSG00000291159"
"ZDHHC7",0.00290155435780922,-1.56793048363127,0.116,0.217,1,"ZDHHC7"
"ENSG00000274292",0.00292638055969737,-6.56960841245927,0,0.087,1,"ENSG00000274292"
"IFNAR2",0.00294757630961774,-0.65590647687105,0.19,0.435,1,"IFNAR2"
"GLOD4",0.00298448218487627,3.87777521250476,0.196,0,1,"GLOD4"
"IDI1",0.00316549229732587,-1.40086772401431,0.28,0.652,1,"IDI1"
"DAP3",0.00320202345812261,-0.164038142222113,0.206,0.13,1,"DAP3"
"MAPKAPK2",0.00325701698015192,-0.969656953294326,0.365,0.739,1,"MAPKAPK2"
"GAPDH",0.00332981547829468,-0.6002344555205,0.989,0.957,1,"GAPDH"
"C15orf61",0.00336290469911867,-1.97212035272531,0.074,0.348,1,"C15orf61"
"COTL1",0.00362683928358026,-0.677458294089418,0.407,0.783,1,"COTL1"
"ECI1",0.0037521526493397,0.899669806386517,0.122,0.043,1,"ECI1"
"NPC1",0.00382106478245134,4.07798079598927,0.185,0,1,"NPC1"
"SSR3",0.00389290540205474,-0.0180667548374392,0.228,0.13,1,"SSR3"
"ZNF189",0.00402611118936146,-5.95626405871169,0,0.087,1,"ZNF189"
"AL360178.1",0.00418105612184667,-5.56572563582581,0,0.087,1,"AL360178.1"
"AC009133.3",0.00419373804420531,-3.99416599130435,0.011,0.174,1,"AC009133.3"
"IKBKG",0.00426404966770772,3.82939399861473,0.18,0,1,"IKBKG"
"SIRT2",0.00434032827263151,2.24157780058062,0.317,0.087,1,"SIRT2"
"YWHAH",0.00442307196075375,-1.2546416886743,0.206,0.261,1,"YWHAH"
"TRGV2",0.00451589259679776,-2.23903102752886,0.101,0.304,1,"TRGV2"
"ATRIP",0.0045478587016637,-2.16764111122998,0.048,0.217,1,"ATRIP"
"LINC00470",0.00455498875885928,-5.5798182946465,0,0.087,1,"LINC00470"
"COX7B",0.00457196128998433,-1.00866369307999,0.434,0.783,1,"COX7B"
"ZNF655",0.00461844898084945,-0.21917462704161,0.296,0.217,1,"ZNF655"
"MCMBP",0.0047028613159339,3.70752904497906,0.175,0,1,"MCMBP"
"IQGAP2",0.00476324784791332,1.55283748354029,0.503,0.304,1,"IQGAP2"
"CGGBP1",0.00478919047761312,2.02981224011988,0.434,0.13,1,"CGGBP1"
"DERL1",0.00479119349642057,-0.0550008871262883,0.28,0.217,1,"DERL1"
"H6PD",0.00484064379779166,-2.93556294495137,0.026,0.217,1,"H6PD"
"AGBL3",0.00485942428862966,-5.60730494066901,0,0.087,1,"AGBL3"
"PAF1",0.00501715439968927,3.76221529289523,0.18,0,1,"PAF1"
"TRA2B",0.00508090496657689,0.278835470762388,0.429,0.261,1,"TRA2B"
"DMGDH",0.00508674768625775,-5.6321544232136,0,0.087,1,"DMGDH"
"ENSG00000275202",0.00508992354842232,-5.87085270785795,0,0.087,1,"ENSG00000275202"
"ENSG00000290989",0.00508992354842232,-5.87085270785795,0,0.087,1,"ENSG00000290989"
"AC008945.2",0.00524445134833825,-5.69212677844309,0,0.087,1,"AC008945.2"
"TRAV36DV7",0.00524445134833825,-5.69212677844309,0,0.087,1,"TRAV36DV7"
"PLCD3",0.00529714758636962,-5.65851067172208,0,0.087,1,"PLCD3"
"IRF2",0.00537924104398413,-0.516807834183486,0.312,0.261,1,"IRF2"
"DAPP1",0.00545015486139386,-5.83865669906592,0,0.087,1,"DAPP1"
"TRBV18",0.00562279864665447,-6.40181234076006,0,0.087,1,"TRBV18"
"SAV1",0.00563302122212588,-5.78324491776025,0,0.087,1,"SAV1"
"TRAV26-1",0.00568261829457243,-6.94565697796341,0,0.087,1,"TRAV26-1"
"SAMD1",0.00569446861301234,-1.85900103861128,0.069,0.304,1,"SAMD1"
"LINC00685",0.00575358858175096,-5.73941294632271,0,0.087,1,"LINC00685"
"HVCN1",0.00575359206345727,-5.79793695558935,0,0.087,1,"HVCN1"
"MRPL37",0.00580498936817943,-0.690292729818251,0.095,0.043,1,"MRPL37"
"SMIM30",0.00583542415216346,-2.98361046986872,0.026,0.217,1,"SMIM30"
"HMOX2",0.0059528791558685,0.0746684271092995,0.291,0.174,1,"HMOX2"
"MAGOHB",0.00596911418308114,-2.20935940670148,0.048,0.261,1,"MAGOHB"
"CROT",0.00602033424769617,-3.15152946814135,0.026,0.174,1,"CROT"
"S100A11",0.00612408410397625,-1.01504109002388,0.587,0.783,1,"S100A11"
"EBPL",0.00615633503022383,-2.45005541377393,0.042,0.261,1,"EBPL"
"SLC25A4",0.00633642763067366,-2.95182448057368,0.032,0.217,1,"SLC25A4"
"SCARB2",0.00634526908886863,-3.23204372436671,0.026,0.174,1,"SCARB2"
"B3GNT2",0.00638836823242448,-1.14034235561632,0.212,0.522,1,"B3GNT2"
"POLR2C",0.0064357213115412,3.67121587020201,0.169,0,1,"POLR2C"
"AGO3",0.00653234446553378,3.77283857806599,0.164,0,1,"AGO3"
"FBXL5",0.00655843797308209,-0.500439364197643,0.19,0.13,1,"FBXL5"
"CMPK2",0.00674489692927502,-2.64215185981734,0.011,0.13,1,"CMPK2"
"GALNT1",0.00698969270703082,3.76616885790618,0.159,0,1,"GALNT1"
"LZIC",0.00709659616350712,-1.59799579979422,0.111,0.391,1,"LZIC"
"MOCS2",0.00715363357166088,-0.725317199479393,0.138,0.13,1,"MOCS2"
"TBC1D9B",0.00741043943991125,-2.07710310642594,0.069,0.304,1,"TBC1D9B"
"PNRC1",0.00748770351568721,-0.567206408231597,0.91,0.957,1,"PNRC1"
"H1-4",0.00753052490390453,4.256703052678,0.148,0,1,"H1-4"
"GNL1",0.00765537974526303,3.57994755654918,0.159,0,1,"GNL1"
"LY9",0.00782302810157607,-1.27661057070578,0.212,0.391,1,"LY9"
"PABPC1",0.00783595738929059,0.267896339348481,0.741,0.87,1,"PABPC1"
"TMX3",0.00786544334697058,3.5000873050514,0.159,0,1,"TMX3"
"CASP8",0.00806602389147943,1.88495930759948,0.392,0.13,1,"CASP8"
"NUP58",0.00863337849607772,0.892624025414083,0.159,0.043,1,"NUP58"
"ENSG00000273149",0.00865906562740619,4.39243669869397,0.148,0,1,"ENSG00000273149"
"RPUSD3",0.0087510167132703,3.94132360346439,0.169,0,1,"RPUSD3"
"NAP1L1",0.00893036314612402,-0.562310538835566,0.381,0.696,1,"NAP1L1"
"KRT10",0.00900752479907588,-0.834639023563585,0.386,0.478,1,"KRT10"
"CD48",0.00906983662970974,-0.898459588677674,0.381,0.739,1,"CD48"
"CLSTN3",0.00910648049583165,3.70604781143823,0.159,0,1,"CLSTN3"
"DYNLT1",0.00920626114288133,-0.33498232550434,0.275,0.217,1,"DYNLT1"
"ZEB2",0.00923079441526938,0.853273787331866,0.82,0.696,1,"ZEB2"
"STK17A",0.00928673726681204,-0.537100791429042,0.672,0.957,1,"STK17A"
"CHCHD1",0.00935066531983788,1.32125690429469,0.185,0.043,1,"CHCHD1"
"ATF6B",0.00951444150407409,0.566582309242077,0.27,0.13,1,"ATF6B"
"CLEC2B",0.00955464480380851,-0.834260848395745,0.709,0.826,1,"CLEC2B"
"MSI2",0.00993004810719661,3.52932429722496,0.148,0,1,"MSI2"
"SCAMP1",0.0100599620581507,-0.905643959074616,0.138,0.13,1,"SCAMP1"
"CFDP1",0.010081067868427,-0.479788806960831,0.196,0.174,1,"CFDP1"
"IFIH1",0.0100978174886024,-2.21877308317611,0.09,0.217,1,"IFIH1"
"SHPRH",0.0104173907223183,3.66200831145093,0.153,0,1,"SHPRH"
"APMAP",0.0104562114582095,0.994360532832757,0.672,0.565,1,"APMAP"
"ZER1",0.0104666753647046,3.52983845278848,0.153,0,1,"ZER1"
"ATAD2",0.0108277000287206,-1.02659870495451,0.085,0.087,1,"ATAD2"
"PRKAR2A",0.010970653688457,3.7755452857703,0.159,0,1,"PRKAR2A"
"HERC5",0.0110150710666205,-1.94082267623941,0.095,0.348,1,"HERC5"
"FAM136A",0.01108417812348,-0.293292689278844,0.132,0.087,1,"FAM136A"
"TRGV9",0.011099203655314,3.7187018050915,0.153,0,1,"TRGV9"
"STX12",0.0113055763865181,3.59410891626114,0.148,0,1,"STX12"
"CKAP5",0.0113232851762687,3.61845561023784,0.148,0,1,"CKAP5"
"DNAJB2",0.0114084032644323,-0.111744827044991,0.153,0.13,1,"DNAJB2"
"TRAF6",0.0114593545765381,3.3327725932605,0.143,0,1,"TRAF6"
"PRSS23",0.0116269506007996,1.63842560456139,0.529,0.217,1,"PRSS23"
"KLRC4",0.0116559509531656,-1.56173838370943,0.159,0.348,1,"KLRC4"
"RSRC1",0.0117205004958258,3.54431793888547,0.148,0,1,"RSRC1"
"CTDSP1",0.0117478266411909,1.93013939899397,0.407,0.13,1,"CTDSP1"
"GET4",0.0117527983557802,-1.95581535781387,0.074,0.304,1,"GET4"
"C9orf85",0.0117799092041787,-1.93184771082563,0.058,0.261,1,"C9orf85"
"ZNF821",0.0119454284887179,-2.09952034307598,0.085,0.304,1,"ZNF821"
"C1orf21",0.0119873374226807,0.748176501471114,0.582,0.565,1,"C1orf21"
"ZBTB11",0.0120670372384425,3.42497860566425,0.143,0,1,"ZBTB11"
"P2RY10",0.01223477298051,-1.90495416583601,0.095,0.348,1,"P2RY10"
"TRAV21",0.012287729379248,5.15523852277411,0.143,0,1,"TRAV21"
"AC074032.1",0.0123179949354735,-3.77934041114222,0.011,0.13,1,"AC074032.1"
"VDAC2",0.0124540508975074,0.0634269416575193,0.386,0.261,1,"VDAC2"
"TNFSF10",0.0125117361895042,3.42943074520214,0.138,0,1,"TNFSF10"
"AHCTF1",0.0126612528047235,3.45117347434832,0.143,0,1,"AHCTF1"
"BNIP3",0.0127177839795776,-1.58160976615942,0.116,0.174,1,"BNIP3"
"SDR39U1",0.0127656000142081,-1.21625595343484,0.19,0.478,1,"SDR39U1"
"GARS",0.0129832231240953,-1.84640995530176,0.095,0.174,1,"GARS"
"NFKBIA",0.0130262754444024,-0.564313854793568,0.598,0.565,1,"NFKBIA"
"MRPL47",0.0132489881707102,3.52074461026992,0.143,0,1,"MRPL47"
"MTHFD2",0.0134146775598714,-2.03372882409098,0.074,0.13,1,"MTHFD2"
"SMG6",0.0134396733638896,3.52537043065559,0.143,0,1,"SMG6"
"CCDC66",0.0134898302907892,3.4427152651798,0.138,0,1,"CCDC66"
"PTAR1",0.0137306139034016,3.32956689409262,0.138,0,1,"PTAR1"
"GDE1",0.0138245916712007,3.34788763604668,0.138,0,1,"GDE1"
"ICAM2",0.0138915726754407,3.52402933401483,0.143,0,1,"ICAM2"
"TC2N",0.0140032128524898,2.6261999018358,0.339,0.087,1,"TC2N"
"GRK5",0.014024181815749,3.42469453190994,0.138,0,1,"GRK5"
"PSMB8",0.0140429488522372,-0.473293975079316,0.741,0.739,1,"PSMB8"
"FANCD2",0.014408541291247,-3.8678258893032,0.005,0.087,1,"FANCD2"
"THRAP3",0.0144565582751396,-0.637690349241851,0.36,0.391,1,"THRAP3"
"ECSIT",0.0145516098221522,-1.87977036596507,0.058,0.261,1,"ECSIT"
"IFITM3",0.0146809622549617,-1.57364541282535,0.09,0.304,1,"IFITM3"
"MRPS33",0.0146865741066993,-2.93132830282788,0.037,0.217,1,"MRPS33"
"DEXI",0.0147953073183602,3.44432142026723,0.143,0,1,"DEXI"
"ARL10",0.0147967288867339,-3.83605823345307,0.005,0.087,1,"ARL10"
"C12orf75",0.0148707006076987,-0.653116788011367,0.683,0.913,1,"C12orf75"
"ENSG00000267002",0.0149309785855619,-3.59545440598628,0.005,0.087,1,"ENSG00000267002"
"COPS7B",0.015103091734781,-0.356972648438488,0.132,0.087,1,"COPS7B"
"RPS15A",0.0151411875328111,-0.366021046405085,1,1,1,"RPS15A"
"NAMPT",0.0152002166623433,-2.1514753017169,0.079,0.304,1,"NAMPT"
"HDAC4",0.0154916207127419,3.18900433870197,0.132,0,1,"HDAC4"
"SMAD7",0.0155157337227113,-1.07442401368107,0.169,0.435,1,"SMAD7"
"RMC1",0.0155302011432894,3.64118533291365,0.143,0,1,"RMC1"
"ARSA",0.0159041283191071,3.47465041162949,0.138,0,1,"ARSA"
"TMED4",0.0159668798172938,-1.56027803680589,0.153,0.435,1,"TMED4"
"TREX1",0.0160871109997424,-3.66185778404667,0.005,0.087,1,"TREX1"
"DELE1",0.0161400623212434,3.37049719828422,0.138,0,1,"DELE1"
"PINK1",0.0161737441114522,3.30689913755395,0.132,0,1,"PINK1"
"KLRC1",0.0162821826574389,5.06513797524316,0.164,0,1,"KLRC1"
"KMO",0.0163251683729944,-3.65467086260494,0.005,0.087,1,"KMO"
"EXOC5",0.0163484582414172,3.45313052935687,0.138,0,1,"EXOC5"
"FMNL1",0.0164804254183342,0.771592085968008,0.635,0.348,1,"FMNL1"
"C16orf87",0.0165918097719188,0.145506112258998,0.095,0.043,1,"C16orf87"
"AC004854.2",0.0169178663193362,-3.52846274757107,0.005,0.087,1,"AC004854.2"
"GPCPD1",0.0171045093204537,1.97738660901967,0.323,0.087,1,"GPCPD1"
"LARP4B",0.0171069315165891,-1.34613719758187,0.185,0.478,1,"LARP4B"
"ANP32B",0.017181862397279,-1.00290141604169,0.481,0.739,1,"ANP32B"
"ARL5A",0.017210746736526,-1.52833816339251,0.196,0.478,1,"ARL5A"
"LINC02446",0.0172458095391644,-1.24417128887715,0.122,0.348,1,"LINC02446"
"IFRD1",0.0173077758804233,3.57811126372208,0.138,0,1,"IFRD1"
"VCL",0.0177011842055711,3.53267640576204,0.138,0,1,"VCL"
"CTSS",0.0178009935858392,-1.08531836458462,0.275,0.435,1,"CTSS"
"SEC61B",0.017814366842868,-0.789949856474564,0.508,0.609,1,"SEC61B"
"FBXL18",0.0178545691916542,-4.35731298757148,0.005,0.087,1,"FBXL18"
"RPAP3",0.0179035319452937,-2.19767356728314,0.063,0.217,1,"RPAP3"
"TET2",0.0179183263998113,3.33952458015385,0.127,0,1,"TET2"
"SLC38A5",0.0179972843996165,-1.18232274418222,0.063,0.087,1,"SLC38A5"
"UBE2V1",0.0181409049920009,-0.894492512823887,0.402,0.565,1,"UBE2V1"
"CIRBP",0.0182125050705446,-0.633023747189455,0.73,0.913,1,"CIRBP"
"ATP6V1F",0.0182578456948041,1.32568135301561,0.508,0.261,1,"ATP6V1F"
"USP36",0.018397760754898,3.51391426397429,0.132,0,1,"USP36"
"TMEM50A",0.0183984346148349,0.697378269487453,0.64,0.348,1,"TMEM50A"
"UBE2I",0.0185080915585983,0.00452358314412193,0.37,0.522,1,"UBE2I"
"PPP1R18",0.0185341661733639,-0.791388429636352,0.487,0.739,1,"PPP1R18"
"NSF",0.0185365465315391,-0.623077667178123,0.291,0.565,1,"NSF"
"XPOT",0.018568964999268,3.199259546655,0.127,0,1,"XPOT"
"DIPK1A",0.018599465033259,-0.436950103240628,0.132,0.087,1,"DIPK1A"
"POLR3C",0.0186535094532984,0.189075957638753,0.095,0.043,1,"POLR3C"
"AKT1",0.0188545010746874,-1.40349079415026,0.138,0.348,1,"AKT1"
"IL5RA",0.0189804551442744,-4.02669530454146,0.005,0.087,1,"IL5RA"
"TRAV13-2",0.0190513915353909,5.38987772268605,0.169,0,1,"TRAV13-2"
"TRAF1",0.0191760082410916,-1.81674050554976,0.085,0.304,1,"TRAF1"
"SLC39A1",0.0192073354405751,3.26953322241259,0.127,0,1,"SLC39A1"
"MARF1",0.0192502525245739,1.43632475850976,0.201,0.043,1,"MARF1"
"UBR3",0.0193481482741664,3.37242213309391,0.127,0,1,"UBR3"
"TRIM35",0.0193519514924118,-3.00135714314332,0.021,0.174,1,"TRIM35"
"SHISAL2A",0.0193854298335969,-0.0532243768458148,0.18,0.13,1,"SHISAL2A"
"ZNF106",0.0194200544800393,-1.71615283689333,0.138,0.391,1,"ZNF106"
"INTS6-AS1",0.0195783230591224,-4.09961364340839,0.005,0.087,1,"INTS6-AS1"
"ENSG00000284707",0.0196177820625219,-2.02327689057391,0.048,0.087,1,"ENSG00000284707"
"LITAF",0.0196969371996854,0.418353869610257,0.836,0.913,1,"LITAF"
"WDR33",0.0197704407842986,2.12904818161567,0.259,0.043,1,"WDR33"
"TRMT10B",0.0198774652882564,0.300011910043854,0.09,0.043,1,"TRMT10B"
"KIAA1191",0.0199575113419957,3.35740944425122,0.132,0,1,"KIAA1191"
"SRSF1",0.0200867658438686,-0.797988961005052,0.217,0.478,1,"SRSF1"
"GMPR2",0.0201452635182457,3.45701835165178,0.138,0,1,"GMPR2"
"ACYP1",0.0201504704585508,-2.01536776778853,0.058,0.217,1,"ACYP1"
"LINC00486",0.0202162573521528,3.46207483823927,0.116,0,1,"LINC00486"
"ZNF554",0.0202589744003775,-3.54376534135352,0.005,0.087,1,"ZNF554"
"RCN2",0.0203641280829436,-1.15623630529874,0.212,0.435,1,"RCN2"
"INAFM1",0.0203955136563539,-3.85334768293931,0.005,0.087,1,"INAFM1"
"TRIB2",0.0206086564847938,-2.2545042337579,0.058,0.261,1,"TRIB2"
"FXYD5",0.0206653609108589,-0.0519498799253362,0.608,0.435,1,"FXYD5"
"ENSG00000261669",0.0209816958409375,-3.57712889523786,0.005,0.087,1,"ENSG00000261669"
"SFXN3",0.0209937156745479,3.32800877529247,0.127,0,1,"SFXN3"
"NSL1",0.021277641300857,-0.889362467719662,0.201,0.435,1,"NSL1"
"TRBV24-1",0.0213264013683222,6.06522256578649,0.159,0,1,"TRBV24-1"
"LRCH4",0.0217729959226609,3.53448507522898,0.132,0,1,"LRCH4"
"VPS11",0.0218685035854542,-0.811689850748895,0.106,0.087,1,"VPS11"
"NPRL2",0.0218798651861357,3.25801185072457,0.127,0,1,"NPRL2"
"GMDS-DT",0.0219866412557912,3.5194805748871,0.127,0,1,"GMDS-DT"
"LRFN3",0.0223358774715418,-3.97097621191876,0.005,0.087,1,"LRFN3"
"PPIL2",0.0223505835928075,3.22995513593813,0.122,0,1,"PPIL2"
"CARD8",0.0224529833032659,2.15884243725126,0.259,0.043,1,"CARD8"
"TAF10",0.0225540401225336,0.350224683831661,0.55,0.609,1,"TAF10"
"ARHGEF7",0.0225605984493713,1.02293209517299,0.18,0.043,1,"ARHGEF7"
"FASTKD5",0.0225652647006318,-3.68552339753809,0.005,0.087,1,"FASTKD5"
"NCOA1",0.0226577743299172,1.25636952366447,0.36,0.217,1,"NCOA1"
"UBL7-DT",0.0226723510906875,-4.38989413534447,0.005,0.087,1,"UBL7-DT"
"AC020659.1",0.0227006376759136,-3.36394854066814,0.026,0.174,1,"AC020659.1"
"ZNG1B",0.0227148218054863,-2.98099048396353,0.037,0.13,1,"ZNG1B"
"TBC1D17",0.0227629433536427,-1.91890855337462,0.095,0.304,1,"TBC1D17"
"TRBV5-1",0.0228869117376765,-1.46296707579037,0.058,0.217,1,"TRBV5-1"
"WDR5B",0.0231228679779539,-3.90408482038859,0.005,0.087,1,"WDR5B"
"MTHFS",0.0231276728563779,3.24073673186306,0.122,0,1,"MTHFS"
"TMSB10",0.0232263132199411,-0.451103738672049,0.989,1,1,"TMSB10"
"ZBTB4",0.0232639973662779,-2.04800263823414,0.085,0.304,1,"ZBTB4"
"PDE7A",0.0233609392779194,1.06280585816297,0.354,0.13,1,"PDE7A"
"TUT4",0.0234428632948694,0.232828487299797,0.397,0.217,1,"TUT4"
"CD44",0.0235471321767814,-0.72984231095071,0.693,0.913,1,"CD44"
"MBD1",0.0235765866452603,-1.86503441434617,0.095,0.304,1,"MBD1"
"TNK2-AS1",0.0235772036233092,-3.80882680735539,0.005,0.087,1,"TNK2-AS1"
"AC009779.2",0.0236191919242419,-3.74398331397145,0.005,0.087,1,"AC009779.2"
"CBY1",0.0236418992137775,-4.67522955915179,0.005,0.087,1,"CBY1"
"BRWD3",0.0236672987161572,3.22666635971863,0.122,0,1,"BRWD3"
"EIF3C",0.0237385574846315,-3.23513731009764,0.005,0.087,1,"EIF3C"
"TIMM8A",0.0238082273279885,-3.88487051171724,0.005,0.087,1,"TIMM8A"
"APOA1",0.0238668039163236,-3.53656380029257,0.005,0.087,1,"APOA1"
"DEF6",0.0238712599628931,-0.724681148068416,0.296,0.391,1,"DEF6"
"SMG5",0.0239632218685029,-1.45934471599786,0.079,0.261,1,"SMG5"
"MGST3",0.0239675298456846,-0.690365515046052,0.228,0.304,1,"MGST3"
"GATC",0.0239878706508141,-3.313452546518,0.005,0.087,1,"GATC"
"AC008750.2",0.0240041107749992,-3.83006708023579,0.005,0.087,1,"AC008750.2"
"KCNMB3",0.0240134767509605,-4.20281079598031,0.005,0.087,1,"KCNMB3"
"NSUN2",0.02410207298262,-1.64725967784293,0.111,0.348,1,"NSUN2"
"PDCD2L",0.0241511959099235,-3.80356458847879,0.005,0.087,1,"PDCD2L"
"RCCD1",0.0241659206174736,-3.5670558324241,0.005,0.087,1,"RCCD1"
"ZNF81",0.0241862662558995,-4.02084453139422,0.005,0.087,1,"ZNF81"
"AC090587.2",0.0242045473070635,-3.42506699916515,0.005,0.087,1,"AC090587.2"
"AL162377.1",0.0242087984904128,-4.09414230950612,0.005,0.087,1,"AL162377.1"
"ENSG00000291232",0.0242383833143611,-3.83295478497455,0.005,0.087,1,"ENSG00000291232"
"C17orf97",0.0242395315665783,-3.71513505272862,0.005,0.087,1,"C17orf97"
"DCP2",0.0242572440196773,-0.113832087455593,0.233,0.391,1,"DCP2"
"ZNHIT1",0.0244581846251821,0.183578815949206,0.28,0.174,1,"ZNHIT1"
"SRP14",0.0245365805128524,-0.488715941809971,0.815,1,1,"SRP14"
"CAB39",0.0247160760769819,2.26294556406672,0.249,0.043,1,"CAB39"
"SLC25A24",0.0251582230262259,3.14874450314343,0.122,0,1,"SLC25A24"
